allometry_ID,group,subgroup,Family,taxonID,Genus and species,Common name,FIA Species Code,Wood specific gravity,minDiameter,maxDiameter,dbh range (cm),Taxon ID Notes,"Reference Number
 (Global Wood Density DB)",Initials and References Used/Other Notes,Excluding Factor
C11,conifer,Pseudotsuga,Pinaceae,TABR2,Taxus brevifolia,"Yew, Pacific",,0.6,,,,,,Chojnacky et. al suggest using PSME for taxus spp.  SR- spg from Zanne et al. Global wood density database. ,
C12,conifer,Tsuga < 0.40 spg,Pinaceae,TSCA,Tsuga canadensis,"Hemlock, eastern",261,0.38,3,85,3 – 85,,,,
C13,conifer,Tsuga  ≥ 0.40 spg,Pinaceae,TSHE,T. heterophylla,"Hemlock, western",263,0.42,3,72,3 – 172,,,,
C13,conifer,Tsuga  ≥ 0.40 spg,Pinaceae,TSME,T. mertensiana,"Hemlock, mountain",264,0.42,,,9-126,,,,
,,,Anacardiaceae,MAIN3,Mangifera indica,Mango,,0.552,,,,,182,"AQ, spg added from Zanne et al. Global wood density database. 6 spg values, value closest to average assigned.","Introduced, Tropical, Only occurs in Florida and Puerto Rico"
,,,Anacardiaceae,CODO,Comocladia dodonaea,,,,,,,,,SR - SPG not known,Puerto Rico
C2,conifer,Abies ≥ 0.35 spg,Pinaceae,ABAM,A. amabilis,"Fir, Pacific silver",11,0.4,4,9,4 – 109,,,,
C2,conifer,Abies ≥ 0.35 spg,Pinaceae,ABCO,A. concolor,"Fir, white",15,0.37,7,8,7–158,,,,
C2,conifer,Abies ≥ 0.35 spg,Pinaceae,ABCOL,A. concolor var. lowiana,"Fir, white",,0.37,,,,,,added by kj - A. concolor var lowania syn; Sr- SPG of higher taxonomic level used,
C2,conifer,Abies ≥ 0.35 spg,Pinaceae,ABGR,A. grandis,"Fir, grand",,0.35,,,,,,Added by kj - based on worldagroforstr.org,
,,,Aquifoliaceae,ILAN,Ilex anomala,,,,,,,,,SR- SPG not known,Hawaii
C2,conifer,Abies ≥ 0.35 spg,Pinaceae,ABIES,Abies spp. ,"Fir, Pacific silver - noble - other",10,0.39,9,11,9 – 111,,,,
C2,conifer,Abies ≥ 0.35 spg,Pinaceae,ABMA, A. magnifica,"Fir, California red",,0.36,,,,,,added by kj,
C3,conifer,Cupressaceae < 0.30 spg,Cupressaceae,THOC2,Thuja occidentalis,"Cedar, northern white",241,0.29,3,66,3 – 66,,,,
C4,conifer,Cupressaceae 0.30 – 0.39 spg,Cupressaceae,CADE27,Calocedrus decurrens,incense-cedar,81,0.35,25,44,25– 144,,,,
,,,Araliaceae ,CHTR2,Cheirodendron trigynum,,,0.47,,,,,,"SR - spg from Asner, G. P. et al (2011); Hawaii",Hawaii
C4,conifer,Cupressaceae 0.30 – 0.39 spg,Cupressaceae,SEGI2,Sequoiadendron giganteum,"Sequoia, giant",212,0.34,,,97-614,,,,
C4,conifer,Cupressaceae 0.30 – 0.39 spg,Cupressaceae,THPL,T. plicata,"Cedar, western red",242,0.31,3,69,3 – 169,,,,
C5,conifer,Cupressaceae ≥ 0.40 spg,Cupressaceae,CANO9,Chamaecyparis nootkatensis,"Cedar, Alaska",42,0.42,8,9,8 – 109,,,,
C5,conifer,Cupressaceae ≥ 0.40 spg,Cupressaceae,JUCOD,Juniperus communis var. depressa,Common juniper ,,0.517,,,,,28,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned based on SPG.",
C5,conifer,Cupressaceae ≥ 0.40 spg,Cupressaceae,JUVI,Juniperus virginiana,"Juniper, eastern redcedar",68,0.44,3,43,3 – 43,,,,
C5,conifer,Cupressaceae ≥ 0.40 spg,Cupressaceae,JUVIV,Juniperus virginiana var. virginiana ,Eastern redcedar ,,0.44,,,,,7,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned based on SPG.",
C5,conifer,Cupressaceae ≥ 0.40 spg,Cupressaceae,TADI2,Taxodium distichum,Bald cypress,,0.420,,,,,7,SM - spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.,
C6,conifer,Larix,Pinaceae,LALA,Larix larcina,Tamarack,71,0.49,3,51,3 – 51,,,,
C6,conifer,Larix,Pinaceae,LAOC,L. occidentalis,"Tamarack, western larch",73,0.48,3,98,3 – 98,,,,
C6,conifer,Larix,Pinaceae,LARIX,L. spp.,"Tamarack, larch (introduced)",70,0.49,6,35,6 – 35,,,,
C7,conifer,Picea < 0.35 spg,Pinaceae,PIEN,Picea engelmannii,"Spruce, Engelmann",93,0.33,3,90,3 – 90,,,,
C7,conifer,Picea < 0.35 spg,Pinaceae,PISI,P. sitchensis,"Spruce, Sitka",98,0.33,5,83,5 – 283,,,,
C8,conifer,Picea ≥ 0.35 spg,Pinaceae,PIAB,P.abies,"Spruce, Norway",91,0.36,6,44,6 – 44,,,,
C8,conifer,Picea ≥ 0.35 spg,Pinaceae,PICEA,Picea sp,,,0.366,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004. Allometry assigned using this SPG ",
C8,conifer,Picea ≥ 0.35 spg,Pinaceae,PIGL,P. glauca,"Spruce, white",94,0.37,3,8,3–58,,,,
C8,conifer,Picea ≥ 0.35 spg,Pinaceae,PIMA,P. mariana,"Spruce, black",,0.38,,,,,,Added by kj - based on worldagroforstr.org,
C8,conifer,Picea ≥ 0.35 spg,Pinaceae,PIRU,Picea rubens,Red spruce,,0.37,,,,,7,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",
C9,conifer,Pinus < 0.45 spg,Pinaceae,PIAL,Pinus albicaulis,"Pine, whitebark",101,0.43,3,50,3 – 50,,,,
C9,conifer,Pinus < 0.45 spg,Pinaceae,PIAR5,P. arizonica,"Pine, Arizona",135,0.43,10,45,10– 45,PIARA and PIARS2 also this species,,,
C9,conifer,Pinus < 0.45 spg,Pinaceae,PIBA2,P. banksiana,"Pine, jack",105,0.4,3,41,3 – 41,,,,
,,,Bignoniaceae,TAHE,Tabebuia heterophylla,White cedar,,0.580,,,,,141,SM - spg added from Zanne et al. Global wood density database. There are 3 spg values from the Global wood density database for this species.,Tropical
,,,Boraginaceae,COCO5,Cordia collococca,red manjack,,0.380,,,,,116,"BS, spg added from Zanne et al. Global wood density database. Assigned Central America value. Hawaii, Puerto Rico",Tropical
C9,conifer,Pinus < 0.45 spg,Pinaceae,PICO,P. contorta,"Pine, lodgepole",108,0.38,3,60,3 – 60,,,,
,,,Boraginaceae,BOSU2,Bourreria succulenta,,,0.54,,,,,,"SR- spg from Brandeis, T.J., et al 2006; Puerto Rico",Puerto Rico
,,,Burseraceae,BUSI,Bursera simaruba,Gumbo limbo,,0.31,,,,,141,"AQ, spg added from Zanne et al. Global wood density database. 6 spg values, value closest to average assigned.","Tropical, Florida/Puerto Rico only"
,,,Capparaceae ,CACY,Capparis cynophallophora,,,,,,,,,SR- SPG not known,Tropical
,,,Capparaceae ,CAHA9,Capparis hastata,,,,,,,,,SR- SPG not known,Puerto Rico
C9,conifer,Pinus < 0.45 spg,Pinaceae,PICOL,P. contorta var. latifolia,"Pine, lodgepole",,0.38,,,,,,SR- spg from P. contorta used,
,,,Combretaceae,BUBU,Bucida buceras,Gregorywood,,0.69,,,,,204,"AQ, spg added from Zanne et al. Global wood density database. 3 spg values, median value from South America assigned.","Tropical, Florida/Puerto Rico only"
C9,conifer,Pinus < 0.45 spg,Pinaceae,PICOL2,P. contorta ssp. latifolia,"Pine, lodgepole",,0.38,,,,,,SR- spg from P. contorta used,
C9,conifer,Pinus < 0.45 spg,Pinaceae,PIFL2,P. flexilis,"Pine, limber",,0.37,,,,,,SR- spg from Zanne et al. Global wood density database. ,
C9,conifer,Pinus < 0.45 spg,Pinaceae,PIGL2,Pinus glabra,Spruce pine,,0.41,,,,,7,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",
C9,conifer,Pinus < 0.45 spg,Pinaceae,PIJE,P. jeffreyi,"Pine, Jeffrey",116,0.37,3,33,3 – 133,,,,
C9,conifer,Pinus < 0.45 spg,Pinaceae,PILA,P. lambertiana,"Pine, sugar",117,0.34,3,80,3 – 180,,,,
C9,conifer,Pinus < 0.45 spg,Pinaceae,PILE,P. leiophylla,"Pine, Chihuahua",118,0.43,10,35,10– 35,,,,
C9,conifer,Pinus < 0.45 spg,Pinaceae,PIMO3,P. monticola,"Pine, western white",119,0.36,4,15,4 – 115,,,,
C9,conifer,Pinus < 0.45 spg,Pinaceae,PINACE,Pinus spp.,"Pine, ponderosa- lodgepole-sugar",100,0.37,16,80,16– 80,,,,
C9,conifer,Pinus < 0.45 spg,Pinaceae,PINUS,Pinus spp.,"Pine, ponderosa- lodgepole-sugar",100,0.37,16,80,16– 80,,,,
C9,conifer,Pinus < 0.45 spg,Pinaceae,PIPO,P. ponderosa,"Pine, ponderosa",122,0.38,3,18,3 – 118,,,,
C9,conifer,Pinus < 0.45 spg,Pinaceae,PIPOS,P. ponderosa,"Pine, ponderosa",122,0.38,3,18,3 – 118,,,,
C9,conifer,Pinus < 0.45 spg,Pinaceae,PIRE,P. resinosa,"Pine, red",125,0.41,3,55,3 – 55,,,,
C9,conifer,Pinus < 0.45 spg,Pinaceae,PISA2,P. sabiniana,"Pine, California foothill",,,,,,,,SR- spg not known,
C9,conifer,Pinus < 0.45 spg,Pinaceae,PIST,P. strobus,"Pine, eastern white",129,0.34,3,69,3 – 69,,,,
H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACER,Acer sp,,,,,,,,,"SR- Assigning this allometry based on the fact that most maples have a SPG <0.5, however this is a tenuous assumption especially if sugar maple is common in a region, and in that case it should be H2",
H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACMA3,Acer macrophyllum,"Maple, bigleaf",312,0.44,5,46,5 – 46,,,,
H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACNE2,Acer negundo,Box elder,,0.416,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",
H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACNEN,Acer negundo var. negundo,Box elder,,0.416,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",
H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACPE,A. pensylvanicum,"Maple, striped",315,0.44,3,13,3 – 13,,,,
H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACRU,A. rubrum,"Maple, red",316,0.49,3,66,3 – 66,,,,
H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACRUR,Acer rubrum var. rubrum,Red maple,,0.49,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",
H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACSA2,A. saccharinum,"Maple, silver",317,0.44,4,45,4 – 45,,,,
,,,Dicksoniaceae,CIGL,Cibotium glaucum,,,0.22,,,,,,"SR - spg from Asner, G. P. et al (2011); Hawaii",Hawaii
,,,Dicksoniaceae,CIME8,Cibotium menziesii,,,0.21,,,,,,"SR - spg from Asner, G. P. et al (2011); Hawaii",Hawaii
H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACSP2,A. spicatum,"Maple, mountain",319,0.47,3,10,3 – 10,,,,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Elaeagnaceae,ELAN,Elaeagnus angustifolia,Russian olive,,0.464,,,,,33,"AQ, spg added from Zanne et al. Global wood density database. 3 spg values, the median value was assigned.","Introduced not sure if this should be removed, RAC"
,,,Epacridaceae,STTA,Styphelia tameiameiae,,,,,,,,,SR- SPG not known,Hawaii
H10,hardwood,"Fagaceae, deciduous",Fagaceae,CADE12,Castanea dentata,"Chestnut, American",421,0.4,3,32,3 – 32,,,,
H10,hardwood,"Fagaceae, deciduous",Fagaceae,FAGR,Fagus grandifolia,Beech,531,0.56,3,66,3 – 66,,,,
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUAL,Quercus alba,"Oak, white",802,0.6,3,74,3 – 74,,,,
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUCH,Quercus chapmanii,Chapman oak,,0.78,,,,,29,"BS, spg added from Zanne et al. Global wood density database. Deciduous or subevergreen (FNA), could also fit H11 category.",
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUCO2,Q. coccinea,"Oak, scarlet",806,0.6,3,56,3 – 56,,,,
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUEL,Q. ellipsoidalis,"Oak, pin",809,0.59,3,50,3 – 50,,,,
,,,Euphorbiaceae,TRSE6,Triadica sebifera,,,,,,,,,SR- SPG not known; non-native,non-native
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUERC,Quercus sp.,Oaks,800,0.59,3,73,3 – 73,,,,
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUFA,Q. falcata,"Oak, red southern",812,0.52,3,56,3 – 56,,,,
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUHE,Quercus × heterophylla,Bartram oak,,0.56,,,,,6,"BS, spg for this hybrid's parents (Q. phellos x rubra) added from Zanne et al. Global wood density database. ",
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUIN,Quercus incana,bluejack oak,,0.71,,,,,29,"BS, spg added from Zanne et al. Global wood density database. Allometry H10 assigned because it is deciduous (FNA).",
,,,Fabaceae,ANIN,Andira inermis,Cabbagebark tree,,0.635,,,,,141,"AQ, spg added from Zanne et al. Global wood density database. There were 8 spg values and the value closest to the average was entered",Range expands all of Florida and Puerto Rico
,,,Fabaceae,SESI3,Senna siamea,Siamese cassia,,0.650,,,,,204,"SM - spg added from Zanne et al. Global wood density database. Assigned South America value vs South-East Asia values, Ref 204",Puerto Rico Only
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUKE,Q. kelloggii,"Oak, California black",812,0.51,3,56,3 – 56,,,kj assigned,
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QULA,Quercus laceyi,,,,,,,,,"SR - SPG not known; allometry assigned based on deciduous phenology, remote chance this could fit under W3 as well",
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QULA2,Quercus laevis,turkey oak,,0.639,,,,,29,"BS, spg added from Zanne et al. Global wood density database. Allometry H10 assigned because it is deciduous (FNA).",
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QULY,Quercus lyrata,overcup oak,,0.57,,,,,6,"BS, spg added from Zanne et al. Global wood density database. Allometry H10 assigned because it is deciduous (FNA).",
H9,hardwood,"Fabaceae/Juglandaceae, other",Fabaceae,LELE10,Leucaena leucocephala,White leadtree,,0.84,,,,,23,"AQ, spg added from Zanne et al. Global wood density database. 3 spg values, assigned value from Mexico",Introduced
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUMA2,Q. macrocarpa,"Oak, bur",823,0.58,6,25,6 – 25,,,,
,,,Fabaceae,PIAC,Pictetia aculeata,Fustic,,0.8,,,,,111,"AQ, spg added from Zanne et al. Global wood density database. Puerto Rico",Puerto Rico
H9,hardwood,"Fabaceae/Juglandaceae, other",Fabaceae,PIDU,Pithecellobium dulce,Monkeypod,,0.64,,,,,26,"AQ, spg added from Zanne et al. Global wood density database. 6 spg values, value closest to average assigned. Allometry assigned based on distribution. Could also be W2.",Introduced
,,,Fabaceae,ACKO,Acacia koa,,,0.55,,,,,,SR - SPG from Skolmen 1974; Hawaii,Hawaii
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUMA3,Quercus marilandica,"Oak, blackjack",,0.56,,,,,,"kj assigned; SR- spg from Jenkins, Chojnacky et al 2004",
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUMA6,Quercus margaretta (Ashe) Smal,"Oak, sand post",,,,,,,,kj assigned based on synonomy with Q. steallata varieties,
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUMI,Quercus michauxii ,swamp chestnut oak,,0.6,,,,,6,"BS, spg added from Zanne et al. Global wood density database. Randomly chose one of two spg values. Allometry H10 assigned because it is deciduous (FNA).",
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUMO4,Q. prinus,"Oak, chestnut",832,0.57,3,58,3 – 58,,,synonym,
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUMU,Quercus muehlenbergii,,,0.6,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004; allometry based on deciduous phenology",
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUNI,Q. nigra,"Oak, water",827,0.56,3,51,3 – 51,,,,
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUPA5,Quercus pagoda,cherrybark oak,,0.61,,,,,6,"BS, spg for Quercus falcata var. pagodifolia from Alden, H. 1995. Hardwoods of North America. United States Department of Agriculture, Forest Service, Forest Products Laboratory. Gen. Tech. Report FPL-GTR-83. 136 pp. https://www.fpl.fs.fed.us/documnts/fplgtr/fplgtr83.pdf. Allometry H10 assigned becauase it is deciduous (FNA).",
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUPH,Quercus phellos,Willow oak,,0.560,,,,,6,SM - spg added from Zanne et al. Global wood density database. Allometry H10 assigned because it is deciduous (FNA).,
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QURU,Q. rubra,"Oak, red northern",833,0.56,3,73,3 – 73,,,,
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUSH,Quercus shumardii,Shumard's oak,,0.644,,,,,29,SM - spg added from Zanne et al. Global wood density database. Allomtery H10 assigned because it is deciduous (FNA).,
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUST,Q. stellata,"Oak, post",835,0.6,3,53,3 – 53,,,,
H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUVE,Q. velutina,"Oak, black",837,0.56,3,89,3 – 89,,,,
H11,hardwood,"Fagaceae, evergreen",Fagaceae,CHCH7,Chrysolepis chrysophylla,"Chinkapin, golden",431,0.42,3,61,3 – 61,,,,
H11,hardwood,"Fagaceae, evergreen",Fagaceae,LIDE3,Lithocarpus densiflorus,Tanoak,631,0.58,3,66,3 – 66,,,NB: USDA currently recognizes this as Notholithocarpus densiflorus (NODE3),
H11,hardwood,"Fagaceae, evergreen",Fagaceae,QUDO,Q. douglasii,"Oak, blue",807,0.59,12,42,12– 42,,,,
H11,hardwood,"Fagaceae, evergreen",Fagaceae,QUFU,Quercus fusiformis,,,,,,,,,"SR - SPG not known; allometry based on evergreen character, slight chance it could fit under W3",
H11,hardwood,"Fagaceae, evergreen",Fagaceae,QUGE2,Quercus geminata,sand live oak,,0.872,,,,,29,"BS, spg added from Zanne et al. Global wood density database. Subevergreen (FNA).",
H11,hardwood,"Fagaceae, evergreen",Fagaceae,QUHE2,Quercus hemisphaerica,Darlington oak,,0.69,,,,,29,"BS, spg added from Zanne et al. Global wood density database. Allometry H11 assigned because it is evergreen or tardily deciduous (FNA), could also fit H10 category.",
H11,hardwood,"Fagaceae, evergreen",Fagaceae,QULA3,Q. laurifolia,"Oak, laurel",820,0.56,3,44,3 – 44,,,,
H11,hardwood,"Fagaceae, evergreen",Fagaceae,QUMI2,Q. minima,"Oak, dwarf live",841,0.59,3,3,3 – 3,,,,
H11,hardwood,"Fagaceae, evergreen",Fagaceae,QUMY,Quercus myrtifolia,myrtle oak,,0.807,,,,,29,"BS, spg added from Zanne et al. Global wood density database. Allometry H11 assigned because it is evergreen (FNA).",
H11,hardwood,"Fagaceae, evergreen",Fagaceae,QUVI,Quercus virginiana,Live oak,,0.800,,,,,6,SM - spg added from Zanne et al. Global wood density database. Assigned first value. Allomtery H11 assigned because it is subevergreen (FNA).,
H12,hardwood,Hamamelidaceae,Hamamelidaceae,HAVI4 ,Hamamelis virginiana,American witch-hazel,,0.56,,,,,,"kj assigned, spg from Zanne et al. 2009",
H12,hardwood,Hamamelidaceae,Hamamelidaceae,LIST2,Liquidambar styraciflua,Sweetgum,611,0.46,3,53,3 – 53,,,,
H13,hardwood,Hippocastanaceae/Tiliaceae,Hippocastanaceae,AECA,Aesculus californica,,,0.33,,,,,,"SR-SPG from Jenkins, Chojnacky, et all 2004; H13 used based on family",
H13,hardwood,Hippocastanaceae/Tiliaceae,Hippocastanaceae,AEFL,Aesculus flava,"Aesculus, yellow",332,0.33,8,56,8 – 56,,,,
H13,hardwood,Hippocastanaceae/Tiliaceae,Tiliaceae,TIAM,Tilia americana,"buckeye
Basswood",951,0.32,3,55,3 – 55,,,,
H13,hardwood,Hippocastanaceae/Tiliaceae,Tiliaceae,TIAMH,T. americana. var. heterophylla,"Basswood, white",952,0.32,8,33,8 – 33,,,,
H14,hardwood,Magnoliaceae,Magnoliaceae,LITU,Liriodendron tulipifera,Tulip poplar,621,0.4,3,65,3 – 65,,,,
H14,hardwood,Magnoliaceae,Magnoliaceae,MAAC,Magnolia acuminata,Cucumber tree,,0.44,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned based on family.",
H14,hardwood,Magnoliaceae,Magnoliaceae,MAFR,Magnolia fraseri,"Magnolia, Fraser",655,0.4,5,13,5 – 13,,,,
H14,hardwood,Magnoliaceae,Magnoliaceae,MAMA2,Magnolia macrophylla,Bigleaf magnolia,,,,,,,,"SR- originally listed as H7, but H14 seems to fit better",
H14,hardwood,Magnoliaceae,Magnoliaceae,MATR,Magnolia tripetala,,,,,,,,,SR- spg not known for species,
H14,hardwood,Magnoliaceae,Magnoliaceae,MAVI2,M. virginiana,"Magnolia, sweetbay",653,0.42,3,19,3 – 19,,,,
H15,hardwood,Oleaceae < 0.55 spg,Oleaceae,FRAXI,Fraxinus spp.,Ash,540,0.51,4,32,4 – 32,,,,
H15,hardwood,Oleaceae < 0.55 spg,Oleaceae,FRNI,Fraxinus nigra,"Ash, black",543,0.45,3,43,3 – 43,,,,
H15,hardwood,Oleaceae < 0.55 spg,Oleaceae,FRPE,F. pennsylvanica,"Ash, green",544,0.53,3,42,3 – 42,,,,
H16,hardwood,Oleaceae ≥ 0.55 spg,Oleaceae,FRAM2,F. americana,"Ash, white",541,0.55,3,55,3 – 55,,,,
H17,hardwood,Salicaceae < 0.35 spg,Salicaceae,POBA2,Populus balsamifera,"Populus, balasm poplar",741,0.31,3,53,3 – 53,,,,
H17,hardwood,Salicaceae < 0.35 spg,Salicaceae,POBAT,P.balsamifera. ssp. trichocarpa,"Populus, black Cottonwood",747,0.31,5,32,5 – 32,,,,
H17,hardwood,Salicaceae < 0.35 spg,Salicaceae,POPUL,Populus spp.,"Populus, cottonwood",740,0.34,3,40,3 – 40,,,,
H18,hardwood,Salicaceae ≥ 0.35 spg,Salicaceae,PODE3,P. deltoides,"Populus, cottonwood eastern",742,0.37,3,7,3–27,,,,
H18,hardwood,Salicaceae ≥ 0.35 spg,Salicaceae,POGR4,P. grandidentata,"Populus, aspen bigtooth",743,0.36,3,5,3–55,,,,
H18,hardwood,Salicaceae ≥ 0.35 spg,Salicaceae,POPUL,Populus spp.,"Populus, cottonwood",740,0.35,4,8,4–38,,,,
H18,hardwood,Salicaceae ≥ 0.35 spg,Salicaceae,POTR5,P. tremuloides,"Populus, aspen quaking",746,0.35,3,0,3–70,,,,
H18,hardwood,Salicaceae ≥ 0.35 spg,Salicaceae,SAAL2,Salix alba,"Willow, white",927,0.36,3,4,3 – 4,,,,
H18,hardwood,Salicaceae ≥ 0.35 spg,Salicaceae,SABE2,Salix bebbiana,"Willow, Bebb",,,,,,,,"SR- SPG not known, allometry chosen based on other Salix spp.",
H18,hardwood,Salicaceae ≥ 0.35 spg,Salicaceae,SALIX,Salix spp.,Willow,920,0.36,3,23,3 – 23,,,,
H18,hardwood,Salicaceae ≥ 0.35 spg,Salicaceae,SANI,Salix nigra,Black willow,,0.360,,,,,6,SM - spg added from Zanne et al. Global wood density database,
H18,hardwood,Salicaceae ≥ 0.35 spg,Salicaceae,SASC,Salix scouleriana,,,,,,,,,"SR - SPG not known; allometry chosen based on Jenkins, Chojnacky 2004 reporting Salix spp specic gravity to be 0.36. Used this general assumption.",
H2,hardwood,Aceraceae ≥ 0.50 spg,Aceraceae,ACBA3,Acer barbatum,,,0.56,,,,,,"SR- syn for A. floridanum, spg for that species used. Allometry assigned based on SPG.",
H2,hardwood,Aceraceae ≥ 0.50 spg,Aceraceae,ACCI,Acer circinatum,Vine maple,,,,,,,,"SR- other species in the palmatum group of maples have SPG >0.5, used this as a guide for allometry selection",
H2,hardwood,Aceraceae ≥ 0.50 spg,Aceraceae,ACFL,Acer floridanum,,,0.56,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004. Allometry asigned based on SPG",
H2,hardwood,Aceraceae ≥ 0.50 spg,Aceraceae,ACNI5,Acer nigrum,Black maple,,0.52,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",
H2,hardwood,Aceraceae ≥ 0.50 spg,Aceraceae,ACSA3,A. saccharum,"Maple, sugar",318,0.56,3,70,3 – 70,,,,
H2,hardwood,Aceraceae ≥ 0.50 spg,Aceraceae,ACSAS,Acer saccharum var. saccharum,Sugar maple,,0.56,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",
H3,hardwood,Betulaceae  < 0.40 spg,Betulaceae,ALRU2,Alnus rubra,"Alder, red",351,0.37,3,64,3 – 64,,,,
H3,hardwood,Betulaceae  < 0.40 spg,Betulaceae,ALVI5,Alnus viridis,"Alder, sitka",350,0.37,3,7,3 – 7,,,,
H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,ALINR,Alnus incana ssp. rugosa,Speckled alder,,0.43911,,,,,28,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",
