compiled_by,allometry_ID,group,subgroup,Family,taxonID,acceptedTaxonID,Genus and species,Common name,genus,specificEpithet,FIA Species Code,spg_gcm3,minDiameter,maxDiameter,dbh range (cm),Taxon ID Notes,Zanne et al Reference Number,Initials and References Used and Other Notes,Excluding Factor,density_source,need_density,decid_vs_ever,decid_vs_ever_source,woodland_vs_forest,woodland_vs_forest_source
SMS,H7,,,Asteraceae,PAIN2,PAIN2,,,Parthenium,incanum,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,PRSE,PRSE,,,Prenanthes,serpentaria,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,PRENA,PRENA,,,Prenanthes,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,SEFL3,SEFL3,,,Senecio,flaccidus,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,TECA2,TECA2,,,Tetradymia,canescens,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,TEGL,TEGL,,,Tetradymia,glabrata,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,TETRA3,TETRA3,,,Tetradymia,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,WEFR,WEFR,,,Wedelia,fruticosa,,,,,,,,,,,,,,,
SMS,H7,,,Asteraceae,ZIAC,ZIAC,,,Zinnia,acerosa,,,,,,,,,,,,,,,
SMS,H7,,,Berberidaceae,BETH,BETH,,,Berberis,thunbergii,,,,,,,,,,,,,,,
SMS,H7,,,Berberidaceae,MANE2,MANE2,,,Mahonia,nervosa,,,,,,,,,,,,,,,
SMS,,,,Betulaceae,ALNUS,ALNUS,,,Alnus,sp.,,0.37,,,,,,,,average of 1 NA specie in Zanne et al 2009,yes,,,,
SMS,,,,Betulaceae,BEGL,BEGL,,,Betula,glandulosa,,0.517,,,,,,,,average of 6 NA species in Zanne et al 2009,yes,,,,
SMS,,,,Betulaceae,BEGL/BENA,BEGL/BENA,,,Betula,,,0.517,,,,,,,,average of 6 NA species in Zanne et al 2009,yes,,,,
SMS,,,,Betulaceae,CACAV,CACAV,,,Carpinus,caroliniana,,0.58,,,,,,,,Zanne et al 2009,yes,,,,
SMS,,,,Betulaceae,COAM3,COAM3,,,Corylus,americana,,unknown,,,,,,,,genus not in Zanne et al 2009,yes,,,,
SMS,,,,Betulaceae,COCOC2,COCOC2,,,Corylus,cornuta,,unknown,,,,,,,,genus not in Zanne et al 2009,yes,,,,
SMS,H7,,,Bignoniaceae,BICA,BICA,,,Bignonia,capreolata,,,,,,,,,,,,,,,
SMS,H7,,,Bignoniaceae,BIGNO,BIGNO,,,Bignonia,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Bignoniaceae,CARA2,CARA2,,,Campsis,radicans,,,,,,,,,,,,,,,
SMS,H7,,,Bignoniaceae,DILA10,DILA10,,,Distictis,lactiflora,,,,,,,,,,,,,,,
SMS,H7,,,Bignoniaceae,MAUN3,MAUN3,,,Macfadyena,unguis-cati,,,,,,,,,,,,,,,
SMS,H7,,,Bignoniaceae,BIGNON,BIGNON,,,,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Blechnaceae,SACY3,SACY3,,,Sadleria,cyatheoides,,,,,,,,,,,,,,,
SMS,H7,,,Blechnaceae,SAPA11,SAPA11,,,Sadleria,pallida,,,,,,,,,,,,,,,
SMS,H7,,,Blechnaceae,SASO2,SASO2,,,Sadleria,souleyetiana,,,,,,,,,,,,,,,
SMS,H7,,,Boraginaceae,BOURRSPP,BOURRSPP,,,Bourreria,spp.,,,,,,,,,,,,,,,
SMS,H7,,,Boraginaceae,HAVI2,HAVI2,,,Hackelia,virginiana,,,,,,,,,,,,,,,
SMS,H7,,,Boraginaceae,ROAC2,ROAC2,,,Rochefortia,acanthophora,,,,,,,,,,,,,,,
SMS,H7,,,Boraginaceae,TOVO,TOVO,,,Tournefortia,volubilis,,,,,,,,,,,,,,,
SMS,H7,,,Buxbaumiaceae,BUMI6,BUMI6,,,Buxbaumia,minakatae,,,,,,,,,,,,,,,
SMS,H7,,,Cabombaceae,CABOM,CABOM,,,Cabomba,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Cactaceae,LEQU,LEQU,,,Leptocereus,quadricostatus,,,,,,,,,,,,,,,
SMS,H7,,,Cactaceae,OPUNT,OPUNT,,,Opuntia,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Cactaceae,PIRO6,PIRO6,,,Pilosocereus,royenii,,,,,,,,,,,,,,,
SMS,H7,,,Calycanthaceae,CAFL22,CAFL22,,,Calycanthus,floridus,,,,,,,,,,,,,,,
SMS,H7,,,Campanulaceae,CLMO5,CLMO5,,,Clermontia,montis-loa,,,,,,,,,,,,,,,
SMS,H7,,,Canellaceae,CAWI,CAWI,,,Canella,winterana,,,,,,,,,,,,,,,
SMS,H7,,,Capparaceae,CAFL2,CAFL2,,,Capparis,flexuosa,,,,,,,,,,,,,,,
SMS,H7,,,Capparaceae,CAIN5,CAIN5,,,Capparis,indica,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,LOIN4,LOIN4,,,Lonicera,interrupta,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,LOJA,LOJA,,,Lonicera,japonica,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,LOMA6,LOMA6,,,Lonicera,maackii,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,LOMO2,LOMO2,,,Lonicera,morrowii,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,LONIC,LONIC,,,Lonicera,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,SANI4,SANI4,,,Sambucus,nigra,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,SANIC4,SANIC4,,,Sambucus,nigra,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,SANIC5,SANIC5,,,Sambucus,nigra,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,SARA2,SARA2,,,Sambucus,racemosa,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,SARA2/SANI4,SARA2/SANI4,,,Sambucus,racemosa/nigra,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,SAMBU,SAMBU,,,Sambucus,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,SYOC,SYOC,,,Symphoricarpos,occidentalis,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,SYOR,SYOR,,,Symphoricarpos,orbiculatus,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,VIAC,VIAC,,,Viburnum,acerifolium,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,VIDE,VIDE,,,Viburnum,dentatum,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,VILA,VILA,,,Viburnum,lantana,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,VILA11,VILA11,,,Viburnum,lantanoides,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,VINUC,VINUC,,,Viburnum,nudum,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,VIRU,VIRU,,,Viburnum,rufidulum,,,,,,,,,,,,,,,
SMS,H7,,,Caprifoliaceae,VIBUR,VIBUR,,,Viburnum,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Celastraceae,CAXY,CAXY,,,Cassine,xylocarpa,,,,,,,,,,,,,,,
SMS,H7,,,Celastraceae,CEOR7,CEOR7,,,Celastrus,orbiculatus,,,,,,,,,,,,,,,
SMS,H7,,,Celastraceae,CRRH,CRRH,,,Crossopetalum,rhacoma,,,,,,,,,,,,,,,
SMS,H7,,,Celastraceae,CROSS,CROSS,,,Crossopetalum,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Celastraceae,EUAM9,EUAM9,,,Euonymus,americanus,,,,,,,,,,,,,,,
SMS,H7,,,Celastraceae,EUAT5,EUAT5,,,Euonymus,atropurpureus,,,,,,,,,,,,,,,
SMS,H7,,,Celastraceae,EUFO5,EUFO5,,,Euonymus,fortunei,,,,,,,,,,,,,,,
SMS,H7,,,Celastraceae,MAPO5,MAPO5,,,Maytenus,ponceana,,,,,,,,,,,,,,,
SMS,H7,,,Celastraceae,SCFR,SCFR,,,Schaefferia,frutescens,,,,,,,,,,,,,,,
SMS,H7,,,Chenopodiaceae,ATCA2,ATCA2,,,Atriplex,canescens,,,,,,,,,,,,,,,
SMS,H7,,,Chenopodiaceae,ATCO,ATCO,,,Atriplex,confertifolia,,,,,,,,,,,,,,,
SMS,H7,,,Chenopodiaceae,KRLA2,KRLA2,,,Krascheninnikovia,lanata,,,,,,,,,,,,,,,
SMS,H7,,,Chenopodiaceae,SAVE4,SAVE4,,,Sarcobatus,vermiculatus,,,,,,,,,,,,,,,
SMS,H7,,,Clethraceae,CLAC3,CLAC3,,,Clethra,acuminata,,,,,,,,,,,,,,,
SMS,H7,,,Clethraceae,CLETH,CLETH,,,Clethra,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Clusiaceae,HYBR3,HYBR3,,,Hypericum,brachyphyllum,,,,,,,,,,,,,,,
SMS,H7,,,Convolvulaceae,IPST2,IPST2,,,Ipomoea,steudelii,,,,,,,,,,,,,,,
SMS,H7,,,Convolvulaceae,JACU3,JACU3,,,Jacquemontia,cumanensis,,,,,,,,,,,,,,,
SMS,H7,,,Convolvulaceae,JACQU,JACQU,,,Jacquemontia,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Convolvulaceae,CONVOL,CONVOL,,,,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Cornaceae,COAM2,COAM2,,,Cornus,amomum,,,,,,,,,,,,,,,
SMS,H7,,,Cornaceae,COSE16,COSE16,,,Cornus,sericea,,,,,,,,,,,,,,,
SMS,H7,,,Cornaceae,CORNU,CORNU,,,Cornus,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Cornaceae,CORNUSPP,CORNUSPP,,,Cornus,spp.,,,,,,,,,,,,,,,
SMS,,,,Cupressaceae,JUCO6,JUCO6,,,Juniperus,communis,,0.517,,,,,,,,Zanne et al 2009,yes,,,forest,10 of 19 associations forested in http://usnvc.org/explore-classification/ 
SMS,,,,Cupressaceae,JUSC2,JUSC2,,,Juniperus,scopulorum,,0.447,,,,,,,,average of 3 NA species in Zanne et al 2009,yes,,,woodland,http://usnvc.org/explore-classification/
SMS,,,,Cupressaceae,JUNIP,JUNIP,,,Juniperus,sp.,,0.447,,,,,,,,average of 3 NA species in Zanne et al 2009,yes,,,woodland,http://usnvc.org/explore-classification/
SMS,,,,Cupressaceae,THUJA,THUJA,,,Thuja,sp.,,0.3,,,,,,,,average of 2 NA species in Zanne et al 2009,yes,,,forest,http://usnvc.org/explore-classification/
SMS,H7,,,Dicksoniaceae,CIBOT,CIBOT,,,Cibotium,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Ebenaceae,DIOSP,DIOSP,,,Diospyros,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Elaeagnaceae,ELCO,ELCO,,,Elaeagnus,commutata,,,,,,,,,,,,,,,
SMS,H7,,,Elaeagnaceae,ELUM,ELUM,,,Elaeagnus,umbellata,,,,,,,,,,,,,,,
SMS,H7,,,Elaeagnaceae,SHAR,SHAR,,,Shepherdia,argentea,,,,,,,,,,,,,,,
SMS,H7,,,Elaeagnaceae,SHCA,SHCA,,,Shepherdia,canadensis,,,,,,,,,,,,,,,
SMS,H7,,,Ephedraceae,EPTR,EPTR,,,Ephedra,trifurca,,,,,,,,,,,,,,,
SMS,H7,,,Ephedraceae,EPVI,EPVI,,,Ephedra,viridis,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,ARCO3,ARCO3,,,Arctostaphylos,columbiana,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,ARPA6,ARPA6,,,Arctostaphylos,patula,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,BERA3,BERA3,,,Bejaria,racemosa,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,GASH,GASH,,,Gaultheria,shallon,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,GABA,GABA,,,Gaylussacia,baccata,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,GADU,GADU,,,Gaylussacia,dumosa,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,GAUR,GAUR,,,Gaylussacia,ursina,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,KALMI,KALMI,,,Kalmia,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,LEGR,LEGR,,,Ledum,groenlandicum,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,LEPA11,LEPA11,,,Ledum,palustre,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,LEDUM,LEDUM,,,Ledum,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,LYFE,LYFE,,,Lyonia,ferruginea,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,LYLI,LYLI,,,Lyonia,ligustrina,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,LYLIL,LYLIL,,,Lyonia,ligustrina,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,LYLU3,LYLU3,,,Lyonia,lucida,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,LYONI,LYONI,,,Lyonia,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,MEFE,MEFE,,,Menziesia,ferruginea,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,OXYDE,OXYDE,,,Oxydendrum,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,RHCA7,RHCA7,,,Rhododendron,canescens,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,RHPE4,RHPE4,,,Rhododendron,periclymenoides,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,RHODO,RHODO,,,Rhododendron,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,VACA8,VACA8,,,Vaccinium,calycinum,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,VACO,VACO,,,Vaccinium,corymbosum,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,VAFU,VAFU,,,Vaccinium,fuscatum,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,VAME,VAME,,,Vaccinium,membranaceum,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,VAOV,VAOV,,,Vaccinium,ovalifolium,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,VAPA4,VAPA4,,,Vaccinium,pallidum,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,VAPA,VAPA,,,Vaccinium,parvifolium,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,VARE,VARE,,,Vaccinium,reticulatum,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,VACCI,VACCI,,,Vaccinium,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,VAUL,VAUL,,,Vaccinium,uliginosum,,,,,,,,,,,,,,,
SMS,H7,,,Ericaceae,ERICAC,ERICAC,,,,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Erythroxylaceae,ERAR17,ERAR17,,,Erythroxylum,areolatum,,,,,,,,,,,,,,,
SMS,H7,,,Erythroxylaceae,ERBR11,ERBR11,,,Erythroxylum,brevipes,,,,,,,,,,,,,,,
SMS,H7,,,Erythroxylaceae,ERRO3,ERRO3,,,Erythroxylum,rotundifolium,,,,,,,,,,,,,,,
SMS,H7,,,Euphorbiaceae,ADRI,ADRI,,,Adelia,ricinella,,,,,,,,,,,,,,,
SMS,H7,,,Euphorbiaceae,ARFA,ARFA,,,Argythamnia,fasciculata,,,,,,,,,,,,,,,
SMS,H7,,,Euphorbiaceae,BEDI2,BEDI2,,,Bernardia,dichotoma,,,,,,,,,,,,,,,
SMS,H7,,,Euphorbiaceae,CRBE4,CRBE4,,,Croton,betulinus,,,,,,,,,,,,,,,
SMS,H7,,,Euphorbiaceae,CRDI8,CRDI8,,,Croton,discolor,,,,,,,,,,,,,,,
SMS,H7,,,Euphorbiaceae,CRFL23,CRFL23,,,Croton,flavens,,,,,,,,,,,,,,,
SMS,H7,,,Euphorbiaceae,CRLU2,CRLU2,,,Croton,lucidus,,,,,,,,,,,,,,,
SMS,H7,,,Euphorbiaceae,CROTO,CROTO,,,Croton,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Euphorbiaceae,CROTOSPP,CROTOSPP,,,Croton,spp.,,,,,,,,,,,,,,,
SMS,H7,,,Euphorbiaceae,DIFR6,DIFR6,,,Ditrysinia,fruticosa,,,,,,,,,,,,,,,
SMS,H7,,,Euphorbiaceae,GYLU,GYLU,,,Gymnanthes,lucida,,,,,,,,,,,,,,,
SMS,H7,,,Euphorbiaceae,PHEP,PHEP,,,Phyllanthus,epiphyllanthus,,,,,,,,,,,,,,,
SMS,H7,,,Euphorbiaceae,SASE6,SASE6,,,Savia,sessiliflora,,,,,,,,,,,,,,,
SMS,H9,,,Fabaceae,ABPR3,ABPR3,,,Abrus,precatorius,,,,,,,,,,,no,,,woodland,
SMS,H9,,,Fabaceae,ACFA,ACFA,,,Acacia,farnesiana,,,,,,,,,,,no,,,woodland,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,ACRE4,ACRE4,,,Acacia,retusa,,,,,,,,,,,no,,,woodland,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,AMFR,AMFR,,,Amorpha,fruticosa,,,,,,,,,,,no,,,woodland,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,CERCI2,CERCI2,,,Cercis,sp.,,,,,,,,,,,no,,,forest,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,CLADR,CLADR,,,Cladrastis,sp.,,,,,,,,,,,no,,,woodland,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,CLTE3,CLTE3,,,Clitoria,ternatea,,,,,,,,,,,no,,,woodland,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,GAST2,GAST2,,,Galactia,striata,,,,,,,,,,,no,,,woodland,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,HACA2,HACA2,,,Haematoxylum,campechianum,,,,,,,,,,,no,,,woodland,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,LAJAM,LAJAM,,,Lathyrus,japonicus,,,,,,,,,,,no,,,woodland,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,LEBI2,LEBI2,,,Lespedeza,bicolor,,,,,,,,,,,no,,,woodland,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,LUAL4,LUAL4,,,Lupinus,albifrons,,,,,,,,,,,no,,,woodland,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,PARKI2,PARKI2,,,Parkinsonia,sp.,,,,,,,,,,,no,,,forest,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,PIUN,PIUN,,,Pithecellobium,unguis-cati,,,,,,,,,,,no,,,forest,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,POFL20,POFL20,,,Poitea,florida,,,,,,,,,,,no,,,forest,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,POPA34,POPA34,,,Poitea,paucifolia,,,,,,,,,,,no,,,forest,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,WISTE,WISTE,,,Wisteria,sp.,,,,,,,,,,,no,,,forest,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,ZAPO2,ZAPO2,,,Zapoteca,portoricensis,,,,,,,,,,,no,,,woodland,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,FABACE,FABACE,,,,sp.,,,,,,,,,,,no,,,,
SMS,,,,Fagaceae,CASTA,CASTA,,,Castanea,sp.,,,,,,,,,,,no,decid,www.efloras.org ,forest,http://usnvc.org/explore-classification/
SMS,,,,Fagaceae,CHSE11,CHSE11,,,Chrysolepis,sempervirens,,,,,,,,,,,no,ever,calscape.org,forest,http://usnvc.org/explore-classification/
SMS,,,,Fagaceae,QUIN7,QUIN7,,,Quercus,inopina,,,,,,,,,,,no,ever,www.efloras.org ,woodland,http://usnvc.org/explore-classification/
SMS,,,,Fagaceae,QUMA13,QUMA13,,,Quercus,margaretta,,,,,,,,,,,no,decid,https://aggie-horticulture.tamu.edu/ornamentals/natives/QUERCUSMARGARETTA.HTM ,forest,http://usnvc.org/explore-classification/
SMS,,,,Fagaceae,QUPU80,QUPU80,,,Quercus,pumila,,,,,,,,,,,no,decid,www.efloras.org ,woodland,http://usnvc.org/explore-classification/
SMS,H7,,,Flacourtiaceae,CAAC3,CAAC3,,,Casearia,aculeata,,,,,,,,,,,,,,,
SMS,H7,,,Flacourtiaceae,CASY2,CASY2,,,Casearia,sylvestris,,,,,,,,,,,,,,,
SMS,H7,,,Ginkgoaceae,GIBI2,GIBI2,,,Ginkgo,biloba,,,,,,,,,,,,,,,
SMS,H7,,,Grossulariaceae,ITVI,ITVI,,,Itea,virginica,,,,,,,,,,,,,,,
SMS,H7,,,Grossulariaceae,RICE,RICE,,,Ribes,cereum,,,,,,,,,,,,,,,
SMS,H7,,,Grossulariaceae,RIMI,RIMI,,,Ribes,missouriense,,,,,,,,,,,,,,,
SMS,H7,,,Grossulariaceae,RIRO,RIRO,,,Ribes,roezlii,,,,,,,,,,,,,,,
SMS,H7,,,Grossulariaceae,RIBES,RIBES,,,Ribes,sp.,,,,,,,,,,,,,,,
SMS,H13,,,Hippocastanaceae,AEPA,AEPA,,,Aesculus,pavia,,,,,,,,,,,no,,,,
SMS,H7,,,Hydrangeaceae,BRAR6,BRAR6,,,Broussaisia,arguta,,,,,,,,,,,,,,,
SMS,H7,,,Hydrangeaceae,JAAM,JAAM,,,Jamesia,americana,,,,,,,,,,,,,,,
SMS,H7,,,Hydrangeaceae,PHHI2,PHHI2,,,Philadelphus,hirsutus,,,,,,,,,,,,,,,
SMS,H7,,,Hydrangeaceae,HYDRAN,HYDRAN,,,,sp.,,,,,,,,,,,,,,,
SMS,H7,,,Illiciaceae,ILLIC,ILLIC,,,Illicium,sp.,,,,,,,,,,,,,,,
SMS,,,,Juglandaceae,CACA38,CACA38,,,Carya,carolinae-septentrionalis,,0.611,,,,,,,,average of 10 NA species in Zanne et al 2009,yes,,,forest,http://usnvc.org/explore-classification/
SMS,,,,Juglandaceae,JUGLA,JUGLA,,,Juglans,sp.,,0.467,,,,,,,,average of 3 NA species in Zanne et al 2009,yes,,,forest,http://usnvc.org/explore-classification/
SMS,H7,,,Lamiaceae,CECA,CECA,,,Cedronella,canariensis,,,,,,,,,,,,,,,
SMS,H7,,,Lamiaceae,MORU,MORU,,,Monarda,russeliana,,,,,,,,,,,,,,,
