"domainid","siteid","plotid_parent","tallydate","yearboutbegan","eventid","volumefactor","samplingprotocolversion","lidsazimuth","targettaxapresent","logdistance","logmaxdiameter","minorlogdiameter","logid","loglength","taxonid","scientificname","decayclass","mortonOrder","siteID","nlcdClass","plotType","subtype","applicableModules","plotSize","subtypeSpecification"
"D08","DELA","DELA_016","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",160,"N",NA,NA,NA,NA,NA,NA,NA,NA,267,"DELA","evergreenForest","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_016","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",40,"N",NA,NA,NA,NA,NA,NA,NA,NA,267,"DELA","evergreenForest","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_016","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",280,"Y",23.6,23.4,21.9,"290",4.8,"PIPA2","Pinus palustris Mill.","4 - Rotten throughout",267,"DELA","evergreenForest","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_017","2016-10-17T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",50,"N",NA,NA,NA,NA,NA,NA,NA,NA,268,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_017","2016-10-17T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",290,"Y",15.5,16.5,14,"151",1.3,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",268,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_017","2016-10-17T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",170,"Y",73.1,50,49.4,"152",9.5,"ACNE2","Acer negundo L.","1 - Fresh fallen",268,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_017","2016-10-17T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",290,"Y",17.5,25,37,"150",3.6,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",268,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_018","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",50,"N",NA,NA,NA,NA,NA,NA,NA,NA,326,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_018","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",170,"Y",7.6,18.4,15.4,"326",2.2,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",326,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_018","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",290,"Y",23,20.7,18.3,"327",17.1,"CAGL8","Carya glabra (Mill.) Sweet","1 - Fresh fallen",326,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_018","2016-07-08T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",290,"Y",199.7,58.2,41.8,"328",19,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",326,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_020","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",290,"N",NA,NA,NA,NA,NA,NA,NA,NA,358,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_020","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",50,"Y",38.1,38.6,36.5,"333",10.9,"CELA","Celtis laevigata Willd.","1 - Fresh fallen",358,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_020","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",170,"Y",88.1,38.6,37.9,"334",15.3,"PLOC","Platanus occidentalis L.","2 - Sound round",358,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_020","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",50,"Y",6.4,25,18,"329",3.7,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",358,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_020","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",50,"Y",8.4,18.2,12.5,"330",4.4,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",358,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_020","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",50,"Y",13.5,14.9,12.9,"332",4.8,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",358,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_020","2016-07-11T00:00:00.000Z",NA,NA,"5","NEON.DOC.001711vC",50,"Y",27.1,19.4,9,"331",2.8,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",358,"DELA","woodyWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst",1600,""
"D08","DELA","DELA_037","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",240,"Y",21.6,70.4,7688,"00205",28.6,"QUNI","Quercus nigra L.","2 - Sound round",102,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_037","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",120,"Y",10.1,12.2,NA,"00889",1.5,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",102,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_037","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",120,"Y",NA,39.71,NA,"00710",13.9,"QUERC","Quercus sp.","3 - Heartwood sound",102,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_037","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",120,"Y",96.6,62.1,NA,"00888",21.6,"CATO6","Carya tomentosa (Lam.) Nutt.","1 - Fresh fallen",102,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_037","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",120,"Y",107.6,56.2,23.7,"00333",11.8,"CELA","Celtis laevigata Willd.","2 - Sound round",102,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_037","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",0,"Y",130.5,45.2,NA,"00895",14.4,"QUERC","Quercus sp.","3 - Heartwood sound",102,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_037","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",0,"Y",139.2,49.3,NA,"00887",8.4,"QUNI","Quercus nigra L.","3 - Heartwood sound",102,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_038","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",100,"Y",22.2,40,NA,"00031",12.2,"QUERC","Quercus sp.","3 - Heartwood sound",107,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_038","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",100,"Y",33.7,35,NA,"00028",6.1,"QUERC","Quercus sp.","4 - Rotten throughout",107,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_038","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",100,"Y",45.6,42.5,32.5,"00026",9.1,"QUERC","Quercus sp.","3 - Heartwood sound",107,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_038","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",100,"Y",81.1,53.5,NA,"00292",19.1,"QUERC","Quercus sp.","3 - Heartwood sound",107,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_038","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",220,"N",NA,NA,NA,NA,NA,NA,NA,NA,107,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,""
