"","domainID","siteID","plotID","date","eventID","volumeFactor","samplingProtocolVersion","lidsAzimuth","targetTaxaPresent","logDistance","logMaxDiameter","logMinorDiameter","logID","logLength","taxonID","scientificName","decayClass","plotType","diameterClass","decayClassNum"
"37","D08","LENO","LENO_021",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",150,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"38","D08","LENO","LENO_007",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",20,"Y",32.6,28,28,"00856",5.1,"QUNI","Quercus nigra L.","3 - Heartwood sound","distributed",">=10cm","3"
"39","D08","LENO","LENO_021",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",270,"Y",65.1,56.7,56.7,"00826",20.8,"QUNI","Quercus nigra L.","4 - Rotten throughout","distributed",">=10cm","4"
"40","D08","LENO","LENO_016",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",310,"Y",55.3,33.5,33.5,"00861",25.3,"LIST2","Liquidambar styraciflua L.","2 - Sound round","distributed",">=10cm","2"
"41","D08","LENO","LENO_014",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",310,"Y",51.3,67.5,67.5,"00860",27.2,"QUPH","Quercus phellos L.","1 - Fresh fallen","distributed",">=10cm","1"
"42","D08","LENO","LENO_017",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",140,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"43","D08","LENO","LENO_001",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",280,"Y",1.6,7.1,7.1,"L01",3.3,"BENI","Betula nigra L.","2 - Sound round","distributed","5-10cm","2"
"44","D08","LENO","LENO_012",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",330,"Y",79.5,51.9,51.9,"00831",20.1,"LIST2","Liquidambar styraciflua L.","1 - Fresh fallen","distributed",">=10cm","1"
"45","D08","LENO","LENO_009",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",90,"Y",13,44.1,44.1,"00842",14.7,"QUPA5","Quercus pagoda Raf.","3 - Heartwood sound","distributed",">=10cm","3"
"46","D08","LENO","LENO_019",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",50,"Y",68.8,35,35,"00852",28,"QUPA5","Quercus pagoda Raf.","1 - Fresh fallen","distributed",">=10cm","1"
"47","D08","LENO","LENO_001",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",160,"Y",16.5,26.1,26.1,"00862",4.8,"ACSA2","Acer saccharinum L.","3 - Heartwood sound","distributed",">=10cm","3"
"48","D08","LENO","LENO_006",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",10,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"49","D08","LENO","LENO_004",2021-06-03,"CDW.2021.LENO",8,"NEON.DOC.001711vF",50,"Y",130.8,54.8,54.8,"00353",20.1,"PITA","Pinus taeda L.","4 - Rotten throughout","distributed",">=10cm","4"
"50","D08","LENO","LENO_014",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",310,"Y",5.3,40.5,40.5,"00859",20.8,"LIST2","Liquidambar styraciflua L.","2 - Sound round","distributed",">=10cm","2"
"51","D08","LENO","LENO_007",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",20,"Y",9.1,45,45,"00855",13.9,"QUERC","Quercus sp.","3 - Heartwood sound","distributed",">=10cm","3"
"52","D08","LENO","LENO_012",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",330,"Y",92.9,80.7,80.7,"00830",34,"QUPA5","Quercus pagoda Raf.","1 - Fresh fallen","distributed",">=10cm","1"
"53","D08","LENO","LENO_012",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",90,"Y",15.3,41.7,41.7,"00837",6.7,"LIST2","Liquidambar styraciflua L.","2 - Sound round","distributed",">=10cm","2"
"54","D08","LENO","LENO_002",2021-06-02,"CDW.2021.LENO",8,"NEON.DOC.001711vF",70,"Y",0.4,11.5,11.5,"00266",2.7,"CACA18","Carpinus caroliniana Walter","1 - Fresh fallen","distributed",">=10cm","1"
"55","D08","LENO","LENO_003",2021-06-03,"CDW.2021.LENO",8,"NEON.DOC.001711vF",100,"Y",68.7,76.7,76.7,"00871",30,"QUPH","Quercus phellos L.","1 - Fresh fallen","distributed",">=10cm","1"
"56","D08","LENO","LENO_002",2021-06-02,"CDW.2021.LENO",8,"NEON.DOC.001711vF",190,"Y",154.6,26.9,26.9,"00463",28.7,"QUPH","Quercus phellos L.","1 - Fresh fallen","distributed",">=10cm","1"
"57","D08","LENO","LENO_002",2021-06-02,"CDW.2021.LENO",8,"NEON.DOC.001711vF",310,"Y",1.2,22.3,22.3,"00463",7.7,"QUPH","Quercus phellos L.","1 - Fresh fallen","distributed",">=10cm","1"
"58","D08","LENO","LENO_002",2021-06-02,"CDW.2021.LENO",8,"NEON.DOC.001711vF",310,"Y",4.8,11.9,8.8,"00875",2.2,"FRPE","Fraxinus pennsylvanica Marshall","1 - Fresh fallen","distributed",">=10cm","1"
"59","D08","LENO","LENO_001",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",40,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"60","D08","LENO","LENO_004",2021-06-03,"CDW.2021.LENO",8,"NEON.DOC.001711vF",170,"Y",14.5,24,24,"00348",26.1,"QUNI","Quercus nigra L.","3 - Heartwood sound","distributed",">=10cm","3"
"61","D08","LENO","LENO_012",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",330,"Y",34.3,38.2,38.2,"00833",10.1,"QUNI","Quercus nigra L.","4 - Rotten throughout","distributed",">=10cm","4"
"62","D08","LENO","LENO_005",2021-05-26,"CDW.2021.LENO",8,"NEON.DOC.001711vF",270,"Y",57.6,69.9,69.9,"00986",24.3,"PLOC","Platanus occidentalis L.","2 - Sound round","distributed",">=10cm","2"
"63","D08","LENO","LENO_002",2021-06-02,"CDW.2021.LENO",8,"NEON.DOC.001711vF",310,"Y",10.4,12.6,12.6,"00463",4.2,"QUPH","Quercus phellos L.","1 - Fresh fallen","distributed",">=10cm","1"
"64","D08","LENO","LENO_010",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",260,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"65","D08","LENO","LENO_008",2021-06-03,"CDW.2021.LENO",8,"NEON.DOC.001711vF",190,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"66","D08","LENO","LENO_002",2021-06-02,"CDW.2021.LENO",8,"NEON.DOC.001711vF",310,"Y",0.6,8.8,8.8,"L02",4.8,"QUPH","Quercus phellos L.","1 - Fresh fallen","distributed","5-10cm","1"
"67","D08","LENO","LENO_008",2021-06-03,"CDW.2021.LENO",8,"NEON.DOC.001711vF",70,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"68","D08","LENO","LENO_006",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",130,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"69","D08","LENO","LENO_002",2021-06-02,"CDW.2021.LENO",8,"NEON.DOC.001711vF",310,"Y",0.1,4,4,"L01",2.5,"QUPH","Quercus phellos L.","1 - Fresh fallen","distributed","2-5cm","1"
"70","D08","LENO","LENO_014",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",310,"Y",79.4,67.5,67.5,"00860",27.2,"QUPH","Quercus phellos L.","1 - Fresh fallen","distributed",">=10cm","1"
"71","D08","LENO","LENO_018",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",270,"Y",2.7,8.3,8.3,"L01",2.2,"FRPE","Fraxinus pennsylvanica Marshall","3 - Heartwood sound","distributed","5-10cm","3"
"72","D08","LENO","LENO_005",2021-05-26,"CDW.2021.LENO",8,"NEON.DOC.001711vF",150,"Y",7.3,12.4,12.4,"00990",4.2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound","distributed",">=10cm","3"
"73","D08","LENO","LENO_003",2021-06-03,"CDW.2021.LENO",8,"NEON.DOC.001711vF",220,"Y",27.9,47.5,22.6,"00868",1,"QUPA5","Quercus pagoda Raf.","3 - Heartwood sound","distributed",">=10cm","3"
"74","D08","LENO","LENO_009",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",210,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"75","D08","LENO","LENO_004",2021-06-03,"CDW.2021.LENO",8,"NEON.DOC.001711vF",50,"Y",23.2,19.6,17.2,"00351",13.9,"QUNI","Quercus nigra L.","3 - Heartwood sound","distributed",">=10cm","3"
"76","D08","LENO","LENO_005",2021-05-26,"CDW.2021.LENO",8,"NEON.DOC.001711vF",30,"Y",7.6,12.5,12.5,"00877",3.8,"PLOC","Platanus occidentalis L.","3 - Heartwood sound","distributed",">=10cm","3"
"77","D08","LENO","LENO_005",2021-05-26,"CDW.2021.LENO",8,"NEON.DOC.001711vF",30,"Y",14.1,23.3,23.3,"00876",4,"PIGL2","Pinus glabra Walter","4 - Rotten throughout","distributed",">=10cm","4"
"78","D08","LENO","LENO_012",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",210,"Y",1.3,36.3,30.5,"00342",20,"QUNI","Quercus nigra L.","3 - Heartwood sound","distributed",">=10cm","3"
"79","D08","LENO","LENO_009",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",90,"Y",76.2,45,45,"00839",19.4,"PITA","Pinus taeda L.","4 - Rotten throughout","distributed",">=10cm","4"
"80","D08","LENO","LENO_009",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",90,"Y",122.4,64.9,64.9,"00840",31,"QUNI","Quercus nigra L.","1 - Fresh fallen","distributed",">=10cm","1"
"81","D08","LENO","LENO_007",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",140,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"82","D08","LENO","LENO_002",2021-06-02,"CDW.2021.LENO",8,"NEON.DOC.001711vF",190,"Y",0.3,19.6,19.6,"00268",5.1,"QUPH","Quercus phellos L.","1 - Fresh fallen","distributed",">=10cm","1"
"83","D08","LENO","LENO_018",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",30,"Y",6.4,43.9,43.9,"00844",18.8,"QUPH","Quercus phellos L.","1 - Fresh fallen","distributed",">=10cm","1"
"84","D08","LENO","LENO_002",2021-06-02,"CDW.2021.LENO",8,"NEON.DOC.001711vF",190,"Y",1.4,13.4,7.4,"00270",1.1,"QUPH","Quercus phellos L.","4 - Rotten throughout","distributed",">=10cm","4"
"85","D08","LENO","LENO_003",2021-06-03,"CDW.2021.LENO",8,"NEON.DOC.001711vF",220,"Y",104.4,35.6,35.6,"00865",15,"QULY","Quercus lyrata Walter","1 - Fresh fallen","distributed",">=10cm","1"
"86","D08","LENO","LENO_013",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",160,"Y",0.6,6.5,6.5,"L01",1,"QUPH","Quercus phellos L.","2 - Sound round","distributed","5-10cm","2"
"87","D08","LENO","LENO_013",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",280,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"88","D08","LENO","LENO_012",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",330,"Y",78,56.9,56.9,"00832",30.6,"QUPH","Quercus phellos L.","1 - Fresh fallen","distributed",">=10cm","1"
"89","D08","LENO","LENO_017",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",20,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"90","D08","LENO","LENO_007",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",260,"Y",8,22,22,"00857",7.5,"QUERC","Quercus sp.","3 - Heartwood sound","distributed",">=10cm","3"
"91","D08","LENO","LENO_012",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",90,"Y",78,44.5,41.8,"00439",13.7,"QUPA5","Quercus pagoda Raf.","4 - Rotten throughout","distributed",">=10cm","4"
"92","D08","LENO","LENO_021",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",270,"Y",6.5,11.7,11.7,"00827",12.9,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout","distributed",">=10cm","4"
"93","D08","LENO","LENO_013",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",40,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"94","D08","LENO","LENO_003",2021-06-03,"CDW.2021.LENO",8,"NEON.DOC.001711vF",220,"Y",35.2,35,35,"00866",8.7,"QUERC","Quercus sp.","3 - Heartwood sound","distributed",">=10cm","3"
"95","D08","LENO","LENO_005",2021-05-26,"CDW.2021.LENO",8,"NEON.DOC.001711vF",30,"Y",50.5,35.6,35.6,"00929",8,"PIGL2","Pinus glabra Walter","3 - Heartwood sound","distributed",">=10cm","3"
"96","D08","LENO","LENO_015",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",50,"Y",6,28.5,28.5,"00851",8.6,"FRPE","Fraxinus pennsylvanica Marshall","3 - Heartwood sound","distributed",">=10cm","3"
"97","D08","LENO","LENO_003",2021-06-03,"CDW.2021.LENO",8,"NEON.DOC.001711vF",100,"Y",178,87,87,"00870",32.9,"QUPH","Quercus phellos L.","1 - Fresh fallen","distributed",">=10cm","1"
"98","D08","LENO","LENO_017",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",260,"Y",41,31.2,31.2,"00829",2.6,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout","distributed",">=10cm","4"
"99","D08","LENO","LENO_010",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",140,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"100","D08","LENO","LENO_015",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",290,"Y",0.5,8,8,"L01",2.6,"CACA18","Carpinus caroliniana Walter","2 - Sound round","distributed","5-10cm","2"
"101","D08","LENO","LENO_010",2021-08-17,"CDW.2021.LENO",8,"NEON.DOC.001711vF",20,"N",NA,NA,NA,NA,NA,NA,NA,NA,"distributed",NA,NA
"102","D08","LENO","LENO_011",2021-05-26,"CDW.2021.LENO",8,"NEON.DOC.001711vF",190,"Y",55.8,36.9,36.9,"00428",23,"QUNI","Quercus nigra L.","2 - Sound round","distributed",">=10cm","2"
"103","D08","LENO","LENO_004",2021-06-03,"CDW.2021.LENO",8,"NEON.DOC.001711vF",170,"Y",16.8,34,34,"00874",12.6,"QUNI","Quercus nigra L.","3 - Heartwood sound","distributed",">=10cm","3"
"104","D08","LENO","LENO_019",2021-08-16,"CDW.2021.LENO",8,"NEON.DOC.001711vF",290,"Y",32.3,75,75,"00800",30.9,"PITA","Pinus taeda L.","1 - Fresh fallen","distributed",">=10cm","1"
"105","D08","LENO","LENO_068",2017-05-08,"CDW.2017.LENO",8,"NEON.DOC.001711vC",230,"Y",1.8,9,9,"L02",2,"CACA18","Carpinus caroliniana Walter",NA,"tower","5-10cm",NA
"106","D08","LENO","LENO_067",2017-05-08,"CDW.2017.LENO",8,"NEON.DOC.001711vC",170,"Y",132,182.6,NA,"470",18.8,"CATO5","Carphephorus tomentosus (Michx.) Torr. & A. Gray","2 - Sound round","tower",">=10cm","2"
"107","D08","LENO","LENO_068",2017-05-08,"CDW.2017.LENO",8,"NEON.DOC.001711vC",350,"Y",44.4,45.7,39.9,"401",23.4,"PITA","Pinus taeda L.","4 - Rotten throughout","tower",">=10cm","4"
"108","D08","LENO","LENO_068",2017-05-08,"CDW.2017.LENO",8,"NEON.DOC.001711vC",230,"Y",31.1,44.1,35.6,"394",8.7,"QUNI","Quercus nigra L.","4 - Rotten throughout","tower",">=10cm","4"
"109","D08","LENO","LENO_068",2017-05-08,"CDW.2017.LENO",8,"NEON.DOC.001711vC",230,"Y",92.4,43.3,40.3,"393",5.7,"QUNI","Quercus nigra L.","4 - Rotten throughout","tower",">=10cm","4"
"110","D08","LENO","LENO_068",2017-05-08,"CDW.2017.LENO",8,"NEON.DOC.001711vC",110,"Y",0.7,27,19,"398",7.9,"QUERC","Quercus sp.","4 - Rotten throughout","tower",">=10cm","4"
"111","D08","LENO","LENO_068",2017-05-08,"CDW.2017.LENO",8,"NEON.DOC.001711vC",350,"Y",3.3,9.6,7.9,"L01",2.5,"QUPA5","Quercus pagoda Raf.",NA,"tower","5-10cm",NA
"112","D08","LENO","LENO_068",2017-05-08,"CDW.2017.LENO",8,"NEON.DOC.001711vC",230,"Y",27,44.3,35.5,"395",8.3,"QUNI","Quercus nigra L.","4 - Rotten throughout","tower",">=10cm","4"
"113","D08","LENO","LENO_068",2017-05-08,"CDW.2017.LENO",8,"NEON.DOC.001711vC",110,"Y",41.4,51.1,51,"396",24,"2PLANT-H","Unknown hardwood plant","4 - Rotten throughout","tower",">=10cm","4"
"114","D08","LENO","LENO_062",2017-05-08,"CDW.2017.LENO",8,"NEON.DOC.001711vC",90,"Y",59.7,36.8,30.4,"405",14.1,"PITA","Pinus taeda L.","3 - Heartwood sound","tower",">=10cm","3"
"115","D08","LENO","LENO_062",2017-05-08,"CDW.2017.LENO",8,"NEON.DOC.001711vC",330,"Y",39.5,41.1,30.9,"413",12.3,"QUNI","Quercus nigra L.","4 - Rotten throughout","tower",">=10cm","4"
"116","D08","LENO","LENO_062",2017-05-08,"CDW.2017.LENO",8,"NEON.DOC.001711vC",90,"Y",60.7,109,40.5,"406",24.5,"PITA","Pinus taeda L.","4 - Rotten throughout","tower",">=10cm","4"
"117","D08","LENO","LENO_062",2017-05-08,"CDW.2017.LENO",8,"NEON.DOC.001711vC",330,"Y",37.4,30.7,30.2,"412",17,"QUNI","Quercus nigra L.","4 - Rotten throughout","tower",">=10cm","4"
"118","D08","LENO","LENO_062",2017-05-08,"CDW.2017.LENO",8,"NEON.DOC.001711vC",330,"Y",31.9,25.2,22,"410",1.2,"QUPA5","Quercus pagoda Raf.","3 - Heartwood sound","tower",">=10cm","3"
"119","D08","LENO","LENO_062",2017-05-08,"CDW.2017.LENO",8,"NEON.DOC.001711vC",90,"Y",16.7,39.9,32.9,"404",11.4,"PITA","Pinus taeda L.","4 - Rotten throughout","tower",">=10cm","4"
"120","D08","LENO","LENO_062",2017-05-08,"CDW.2017.LENO",8,"NEON.DOC.001711vC",210,"Y",16.1,65,62.7,"408",17.8,"QUERC","Quercus sp.","3 - Heartwood sound","tower",">=10cm","3"
"121","D08","LENO","LENO_062",2017-05-08,"CDW.2017.LENO",8,"NEON.DOC.001711vC",210,"Y",0.7,7.5,6.2,"L01",1.2,"PITA","Pinus taeda L.",NA,"tower","5-10cm",NA
"122","D08","LENO","LENO_062",2017-05-08,"CDW.2017.LENO",8,"NEON.DOC.001711vC",330,"Y",6.1,16.3,15.4,"409",3.5,"PITA","Pinus taeda L.","3 - Heartwood sound","tower",">=10cm","3"
"123","D08","LENO","LENO_062",2017-05-08,"CDW.2017.LENO",8,"NEON.DOC.001711vC",90,"Y",83.7,48,37.1,"407",4.9,"QUERC","Quercus sp.","4 - Rotten throughout","tower",">=10cm","4"
