domainid,siteid,plotid,subplotid,pointid,stemazimuth,stemdistance,taxonid,individualid,growthform,stemdiameter,templateSize,springLength,
D10/13,RMNP,RMNP_042,39,39,32.3,12.6,PICOL2,NEON.PLA.D10.RMNP.02340,sbt,28.9,md,long_0.26,70
D10/13,RMNP,RMNP_041,21,41,207.9,10,PICOL2,NEON.PLA.D10.RMNP.02407,sbt,28.9,md,long_0.26,71
D10/13,RMNP,RMNP_042,21,41,182.7,20,PICOL2,NEON.PLA.D10.RMNP.02184,sbt,28.8,md,long_0.26,72
D10/13,RMNP,RMNP_043,23,41,113.8,11.4,PICOL2,NEON.PLA.D10.RMNP.02321,sbt,28.5,md,long_0.26,73
D10/13,RMNP,RMNP_041,21,21,6.3,3.4,PICOL2,NEON.PLA.D10.RMNP.02401,sbt,28.5,md,long_0.26,74
D10/13,RMNP,RMNP_041,21,41,210.4,8,PICOL2,NEON.PLA.D10.RMNP.02408,sbt,28.4,md,long_0.26,75
D10/13,RMNP,RMNP_045,23,41,146.8,15.3,POTR5,NEON.PLA.D10.RMNP.02803,sbt,28.3,md,long_0.26,76
D10/13,RMNP,RMNP_041,23,25,298.8,12.8,PICOL2,NEON.PLA.D10.RMNP.02490,sbt,28.1,md,long_0.26,77
D10/13,RMNP,RMNP_044,39,41,314.6,4.5,PICOL2,NEON.PLA.D10.RMNP.02891,sbt,28.1,md,long_0.26,78
D10/13,RMNP,RMNP_045,21,21,45.7,5.6,PICOL2,NEON.PLA.D10.RMNP.02254,sbt,28,md,long_0.26,79
D10/13,RMNP,RMNP_044,39,41,342.2,7.9,POTR5,NEON.PLA.D10.RMNP.02899,sbt,28,md,long_0.26,80
D10/13,RMNP,RMNP_043,23,25,289.3,13.3,PICOL2,NEON.PLA.D10.RMNP.02308,sbt,27.7,md,long_0.26,81
D10/13,RMNP,RMNP_041,21,39,159.7,18.7,PICOL2,NEON.PLA.D10.RMNP.02402,sbt,27.6,md,long_0.26,82
D10/13,RMNP,RMNP_045,21,21,1.3,17.6,POTR5,NEON.PLA.D10.RMNP.03033,mbt,27.1,md,long_0.26,83
D10/13,RMNP,RMNP_044,23,25,347.1,12.1,POTR5,NEON.PLA.D10.RMNP.02875,sbt,26.9,md,long_0.26,84
D10/13,RMNP,RMNP_045,23,41,91.6,1.8,POTR5,NEON.PLA.D10.RMNP.02990,sbt,26.6,md,long_0.26,85
D10/13,RMNP,RMNP_045,21,41,260.4,1.8,POTR5,NEON.PLA.D10.RMNP.03039,sbt,26.1,md,long_0.26,86
