"siteid","eventid","date","plotid","plottype","plotsize","tagid","taxonid","growthform","stemdiameter","basalstemdiameter","plantstatus"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00542","CIGL","sbt",25.5,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00543","MEPO5","sbt",19.6,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00544","CIGL","sbt",25.5,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00545","CIGL","sbt",29.7,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00546","CIGL","sbt",26.8,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00547","ILAN","sbt",25,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00548","ILAN","sbt",15.7,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00549","CHTR2","smt",1.8,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00550","CHTR2","smt",1.1,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00553","CHTR2","smt",5.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00701","ILAN","smt",1.9,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00702","CHTR2","smt",2.4,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00704","ILAN","smt",5.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00704","ILAN","smt",3.1,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00704","ILAN","smt",4.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00552","CHTR2","smt",5.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00707","ILAN","smt",1.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00708","CHTR2","smt",5.4,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00709","MEPO5","smt",3.1,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00713","CHTR2","smt",6.1,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00719","MEPO5","smt",1.7,NA,"2"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00720","CLMO5","smt",4,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00721","MELIC3","smt",1.8,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00722","COOC3","smt",2.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-05-21T00:00:00.000Z","PUUM_042","tower","400","00723","VACA8","sis",1.6,2.2,"1"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_036","tower","1600","00401","CIGL","sbt",32.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-04-24T00:00:00.000Z","PUUM_036","tower","1600","00402","MEPO5","sbt",38.4,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00318","CIGL","sbt",22.4,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00341","ALST11","lia",1.1,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00345","MEPO5","sbt",12.8,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00346","CIGL","sbt",25.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00002","MEPO5","smt",3.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00302","MEPO5","sbt",13,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00303","CIGL","sbt",33.5,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00304","CIGL","sbt",17,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00012","MEPO5","smt",5.5,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00013","MEPO5","smt",4.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00004","CHTR2","smt",1.6,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00008","MEPO5","smt",5,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00005","CHTR2","smt",1.4,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00010","ILAN","smt",1.1,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00009","MEPO5","smt",3,NA,"6"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00027","COPROSPP","smt",2.5,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00028","COPROSPP","smt",2.7,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00026","COPROSPP","smt",1.5,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00029","MEPO5","smt",3.8,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00032","ILAN","smt",1.1,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00033","MEPO5","smt",9.7,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00034","CHTR2","smt",2.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00035","MEPO5","sbt",12.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00030","ILAN","smt",2,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00314","MYLE2","sbt",12.3,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00315","CIGL","sbt",30.4,NA,"1"
