"RDa","RDb","RDab","rdEquiv"
6,42,"6, 42",42.4
6,44,"6, 44",44.4
7,8,"7, 8",10.6
7,9,"7, 9",11.4
7,10,"7, 10",12.2
7,12,"7, 12",13.9
7,14,"7, 14",15.7
7,16,"7, 16",17.5
7,18,"7, 18",19.3
7,20,"7, 20",21.2
7,22,"7, 22",23.1
7,24,"7, 24",25
7,26,"7, 26",26.9
7,28,"7, 28",28.9
7,30,"7, 30",30.8
7,32,"7, 32",32.8
7,34,"7, 34",34.7
7,36,"7, 36",36.7
7,38,"7, 38",38.6
7,40,"7, 40",40.6
7,42,"7, 42",42.6
7,44,"7, 44",44.6
8,9,"8, 9",12
8,10,"8, 10",12.8
8,12,"8, 12",14.4
8,14,"8, 14",16.1
8,16,"8, 16",17.9
8,18,"8, 18",19.7
8,20,"8, 20",21.5
8,22,"8, 22",23.4
8,24,"8, 24",25.3
8,26,"8, 26",27.2
8,28,"8, 28",29.1
8,30,"8, 30",31
8,32,"8, 32",33
8,34,"8, 34",34.9
8,36,"8, 36",36.9
8,38,"8, 38",38.8
8,40,"8, 40",40.8
8,42,"8, 42",42.8
8,44,"8, 44",44.7
9,10,"9, 10",13.5
9,12,"9, 12",15
9,14,"9, 14",16.6
9,16,"9, 16",18.4
9,18,"9, 18",20.1
9,20,"9, 20",21.9
9,22,"9, 22",23.8
9,24,"9, 24",25.6
9,26,"9, 26",27.5
9,28,"9, 28",29.4
9,30,"9, 30",31.3
9,32,"9, 32",33.2
9,34,"9, 34",35.2
9,36,"9, 36",37.1
9,38,"9, 38",39.1
9,40,"9, 40",41
9,42,"9, 42",43
9,44,"9, 44",44.9
10,12,"10, 12",15.6
10,14,"10, 14",17.2
10,16,"10, 16",18.9
10,18,"10, 18",20.6
10,20,"10, 20",22.4
10,22,"10, 22",24.2
10,24,"10, 24",26
10,26,"10, 26",27.9
10,28,"10, 28",29.7
10,30,"10, 30",31.6
10,32,"10, 32",33.5
10,34,"10, 34",35.4
10,36,"10, 36",37.4
10,38,"10, 38",39.3
10,40,"10, 40",41.2
10,42,"10, 42",43.2
10,44,"10, 44",45.1
12,14,"12, 14",18.4
12,16,"12, 16",20
12,18,"12, 18",21.6
12,20,"12, 20",23.3
12,22,"12, 22",25.1
12,24,"12, 24",26.8
12,26,"12, 26",28.6
12,28,"12, 28",30.5
12,30,"12, 30",32.3
12,32,"12, 32",34.2
12,34,"12, 34",36.1
12,36,"12, 36",37.9
12,38,"12, 38",39.8
12,40,"12, 40",41.8
12,42,"12, 42",43.7
12,44,"12, 44",45.6
14,16,"14, 16",21.3
14,18,"14, 18",22.8
14,20,"14, 20",24.4
14,22,"14, 22",26.1
14,24,"14, 24",27.8
14,26,"14, 26",29.5
14,28,"14, 28",31.3
14,30,"14, 30",33.1
14,32,"14, 32",34.9
14,34,"14, 34",36.8
14,36,"14, 36",38.6
14,38,"14, 38",40.5
14,40,"14, 40",42.4
14,42,"14, 42",44.3
14,44,"14, 44",46.2
16,18,"16, 18",24.1
16,20,"16, 20",25.6
16,22,"16, 22",27.2
16,24,"16, 24",28.8
16,26,"16, 26",30.5
16,28,"16, 28",32.2
16,30,"16, 30",34
16,32,"16, 32",35.8
16,34,"16, 34",37.6
16,36,"16, 36",39.4
16,38,"16, 38",41.2
16,40,"16, 40",43.1
16,42,"16, 42",44.9
16,44,"16, 44",46.8
18,20,"18, 20",26.9
18,22,"18, 22",28.4
18,24,"18, 24",30
18,26,"18, 26",31.6
18,28,"18, 28",33.3
18,30,"18, 30",35
18,32,"18, 32",36.7
18,34,"18, 34",38.5
18,36,"18, 36",40.2
18,38,"18, 38",42
18,40,"18, 40",43.9
18,42,"18, 42",45.7
18,44,"18, 44",47.5
20,22,"20, 22",29.7
20,24,"20, 24",31.2
20,26,"20, 26",32.8
20,28,"20, 28",34.4
20,30,"20, 30",36.1
20,32,"20, 32",37.7
20,34,"20, 34",39.4
20,36,"20, 36",41.2
20,38,"20, 38",42.9
20,40,"20, 40",44.7
20,42,"20, 42",46.5
20,44,"20, 44",48.3
22,24,"22, 24",32.6
22,26,"22, 26",34.1
22,28,"22, 28",35.6
22,30,"22, 30",37.2
22,32,"22, 32",38.8
22,34,"22, 34",40.5
22,36,"22, 36",42.2
22,38,"22, 38",43.9
22,40,"22, 40",45.7
22,42,"22, 42",47.4
22,44,"22, 44",49.2
24,26,"24, 26",35.4
24,28,"24, 28",36.9
24,30,"24, 30",38.4
24,32,"24, 32",40
24,34,"24, 34",41.6
24,36,"24, 36",43.3
24,38,"24, 38",44.9
24,40,"24, 40",46.6
24,42,"24, 42",48.4
24,44,"24, 44",50.1
26,28,"26, 28",38.2
26,30,"26, 30",39.7
26,32,"26, 32",41.2
26,34,"26, 34",42.8
26,36,"26, 36",44.4
26,38,"26, 38",46
26,40,"26, 40",47.7
26,42,"26, 42",49.4
26,44,"26, 44",51.1
28,30,"28, 30",41
28,32,"28, 32",42.5
28,34,"28, 34",44
28,36,"28, 36",45.6
28,38,"28, 38",47.2
28,40,"28, 40",48.8
28,42,"28, 42",50.5
28,44,"28, 44",52.2
30,32,"30, 32",43.9
30,34,"30, 34",45.3
30,36,"30, 36",46.9
30,38,"30, 38",48.4
30,40,"30, 40",50
30,42,"30, 42",51.6
30,44,"30, 44",53.3
32,34,"32, 34",46.7
32,36,"32, 36",48.2
32,38,"32, 38",49.7
32,40,"32, 40",51.2
32,42,"32, 42",52.8
32,44,"32, 44",54.4
34,36,"34, 36",49.5
34,38,"34, 38",51
34,40,"34, 40",52.5
34,42,"34, 42",54
34,44,"34, 44",55.6
36,38,"36, 38",52.3
36,40,"36, 40",53.8
36,42,"36, 42",55.3
36,44,"36, 44",56.9
38,40,"38, 40",55.2
38,42,"38, 42",56.6
38,44,"38, 44",58.1
40,42,"40, 42",58
40,44,"40, 44",59.5
42,44,"42, 44",60.8
