"","X","domainid","siteid","plotid_parent","tallydate","yearboutbegan","eventid","volumefactor","samplingprotocolversion","lidsazimuth","targettaxapresent","logdistance","logmaxdiameter","minorlogdiameter","logid","loglength","taxonid","scientificname","decayclass","diameterClass","decayClassNum"
"22",22,"D20","PUUM","PUUM_014","2020-07-28T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",30,"Y",9.2,77.8,NA,"06735",5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"23",23,"D20","PUUM","PUUM_010","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",130,"Y",22.8,31,30,"06641",2.6,"CIBOT","Cibotium sp.",NA,">=10cm",NA
"24",24,"D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",210,"Y",65,42,40,"06715",11,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"25",25,"D20","PUUM","PUUM_013","2020-07-23T00:00:00.000Z",2020,"CDW.2020.PUUM",5,"NEON.DOC.001711vF",230,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",210,"Y",0.9,27,18.5,"06582",11.9,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"27",27,"D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",20,"Y",70,64,NA,"06551",11.6,"MEPO5","Metrosideros sp.","3 - Heartwood sound",">=10cm",3
"28",28,"D20","PUUM","PUUM_004","2020-08-11T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",220,"Y",10.5,20,19,"06611",9.1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"29",29,"D20","PUUM","PUUM_001","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",160,"Y",16,37,NA,"06590",12.12,"MEPO5","Metrosideros sp.","3 - Heartwood sound",">=10cm",3
"30",30,"D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",260,"Y",85.5,44,34,"06558",12,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"31",31,"D20","PUUM","PUUM_004","2020-08-11T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",340,"Y",22,23,NA,"06711",8.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"32",32,"D20","PUUM","PUUM_020","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",330,"Y",3.9,27.5,25,"06566",2.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"33",33,"D20","PUUM","PUUM_005","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",230,"Y",79,42.5,30,"06782",13,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"34",34,"D20","PUUM","PUUM_001","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",40,"Y",1.5,30,NA,"06584",4.73,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"35",35,"D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",210,"Y",70.4,43,40.5,"06624",10.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"36",36,"D20","PUUM","PUUM_008","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",310,"Y",61.8,36,34,"06773",6.9,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm",3
"37",37,"D20","PUUM","PUUM_014","2020-07-28T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",30,"Y",13.9,27.2,NA,"06733",1.8,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"38",38,"D20","PUUM","PUUM_010","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",130,"Y",18.8,70.5,47.5,"06651",4.8,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm",3
"39",39,"D20","PUUM","PUUM_005","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",350,"Y",0.4,24,NA,"06696",7.2,"2PLANT-H","Unknown Hardwood","2 - Sound round",">=10cm",2
"40",40,"D20","PUUM","PUUM_018","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",280,"Y",8.8,14,NA,"06679",3.1,"ACKO","Acacia koa A. Gray","3 - Heartwood sound",">=10cm",3
"41",41,"D20","PUUM","PUUM_010","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",250,"Y",1.6,17,NA,"06644",2,"CIBOT","Cibotium sp.",NA,">=10cm",NA
"42",42,"D20","PUUM","PUUM_015","2020-08-03T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",50,"Y",23.1,89.5,67.5,"06716",16.1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"43",43,"D20","PUUM","PUUM_014","2020-07-28T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",30,"Y",42.7,40.4,NA,"06647",12,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"44",44,"D20","PUUM","PUUM_020","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",330,"Y",78.5,46.5,46,"06579",12.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"45",45,"D20","PUUM","PUUM_018","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",160,"Y",5.5,13.5,NA,"06600",8.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"46",46,"D20","PUUM","PUUM_018","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",160,"Y",2.4,8,NA,"L01",4.2,"ACKO","Acacia koa A. Gray","3 - Heartwood sound","5-10cm",3
"47",47,"D20","PUUM","PUUM_008","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",310,"Y",69.2,46.5,NA,"06775",7.6,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm",3
"48",48,"D20","PUUM","PUUM_008","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",310,"Y",67.7,50,45.6,"06776",10.3,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm",3
"49",49,"D20","PUUM","PUUM_004","2020-08-11T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",100,"Y",3.3,23,NA,"06617",6.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"50",50,"D20","PUUM","PUUM_010","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",130,"Y",79.5,66,NA,"06643",13.4,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"51",51,"D20","PUUM","PUUM_009","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",160,"Y",74.5,51,NA,"06633",9.6,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm",3
"52",52,"D20","PUUM","PUUM_001","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",40,"Y",15,28,NA,"06595",2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"53",53,"D20","PUUM","PUUM_005","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",350,"Y",3.6,11,NA,"06774",2.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"54",54,"D20","PUUM","PUUM_004","2020-08-11T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",100,"Y",32.6,35,NA,"06613",2.2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"55",55,"D20","PUUM","PUUM_010","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",10,"Y",57,45,38,"06794",10.3,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"56",56,"D20","PUUM","PUUM_019","2020-08-12T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",270,"Y",16.4,33,23,"06502",4.9,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"57",57,"D20","PUUM","PUUM_009","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",40,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,"D20","PUUM","PUUM_007","2020-08-05T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",250,"Y",13.6,20,NA,"06522",8,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"59",59,"D20","PUUM","PUUM_015","2020-08-03T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",50,"Y",3,19.5,NA,"06399",4.9,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"60",60,"D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",210,"Y",23.1,37,32,"06593",8,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"61",61,"D20","PUUM","PUUM_001","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",40,"Y",64.5,71,NA,"06790",17.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"62",62,"D20","PUUM","PUUM_001","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",280,"Y",57.5,44.5,35.5,"06627",2.2,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm",3
"63",63,"D20","PUUM","PUUM_012","2020-07-30T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",280,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,"D20","PUUM","PUUM_001","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",160,"Y",18,42.5,NA,"06583",13.3,"MEPO5","Metrosideros sp.","3 - Heartwood sound",">=10cm",3
"65",65,"D20","PUUM","PUUM_015","2020-08-03T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",290,"Y",11.8,18,17,"06619",6.9,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"66",66,"D20","PUUM","PUUM_016","2020-08-12T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",200,"Y",12.5,23.5,21.5,"06524",3.6,"CIBOT","Cibotium sp.",NA,">=10cm",NA
"67",67,"D20","PUUM","PUUM_006","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",20,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",68,"D20","PUUM","PUUM_012","2020-07-30T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",40,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,"D20","PUUM","PUUM_010","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",10,"Y",19.5,44.5,39.5,"06738",13.4,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"70",70,"D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",330,"Y",2.3,11,NA,"06743",3,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"71",71,"D20","PUUM","PUUM_010","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",130,"Y",19.8,32,30.5,"06652",3.3,"CIBOT","Cibotium sp.",NA,">=10cm",NA
"72",72,"D20","PUUM","PUUM_014","2020-07-28T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",150,"Y",6.7,26.5,26,"06649",2.1,"CIBOT","Cibotium sp.",NA,">=10cm",NA
"73",73,"D20","PUUM","PUUM_004","2020-08-11T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",340,"Y",16.5,28.5,NA,"06712",7.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"74",74,"D20","PUUM","PUUM_007","2020-08-05T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",250,"Y",46.6,37.5,NA,"06520",17.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"75",75,"D20","PUUM","PUUM_018","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",280,"Y",12.95,29.5,NA,"06667",2.25,"CIBOT","Cibotium sp.",NA,">=10cm",NA
"76",76,"D20","PUUM","PUUM_010","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",10,"Y",41.1,52,NA,"06791",6.4,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"77",77,"D20","PUUM","PUUM_019","2020-08-12T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",30,"Y",0.8,25,NA,"06375",4.32,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"78",78,"D20","PUUM","PUUM_014","2020-07-28T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",150,"Y",66,55.5,48.6,"06681",5.4,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"79",79,"D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",20,"Y",25.5,37,NA,"06554",3.1,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",">=10cm",4
"80",80,"D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",210,"Y",25.6,30,NA,"06717",2.6,"CIBOT","Cibotium sp.",NA,">=10cm",NA
"81",81,"D20","PUUM","PUUM_001","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",40,"Y",12,26.5,NA,"06586",18,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm",3
"82",82,"D20","PUUM","PUUM_014","2020-07-28T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",30,"Y",38.65,29,24.4,"06636",3.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"83",83,"D20","PUUM","PUUM_014","2020-07-28T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",270,"Y",8.2,15.3,NA,"06687",1.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"84",84,"D20","PUUM","PUUM_018","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",280,"Y",1.5,10,6.3,"06671",6.68,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"85",85,"D20","PUUM","PUUM_003","2020-07-23T00:00:00.000Z",2020,"CDW.2020.PUUM",NA,"NEON.DOC.001711vF",110,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",86,"D20","PUUM","PUUM_003","2020-07-23T00:00:00.000Z",2020,"CDW.2020.PUUM",NA,"NEON.DOC.001711vF",350,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",87,"D20","PUUM","PUUM_005","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",350,"Y",5.2,16,NA,"06639",7.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"88",88,"D20","PUUM","PUUM_015","2020-08-03T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",50,"Y",3.7,21.5,21,"06398",2.8,"CIBOT","Cibotium sp.",NA,">=10cm",NA
"89",89,"D20","PUUM","PUUM_004","2020-08-11T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",220,"Y",54,32.5,NA,"06607",12.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"90",90,"D20","PUUM","PUUM_002","2020-07-23T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",290,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",91,"D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",20,"Y",42,38.5,NA,"06546",9.3,"MEPO5","Metrosideros sp.","3 - Heartwood sound",">=10cm",3
"92",92,"D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",330,"Y",22,33,28.5,"06724",13.7,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"93",93,"D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",90,"Y",14.3,44,36.5,"06777",7,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"94",94,"D20","PUUM","PUUM_018","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",280,"Y",61.3,99,68.5,"06676",26.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"95",95,"D20","PUUM","PUUM_012","2020-07-30T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",160,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,"D20","PUUM","PUUM_001","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",160,"Y",29,40,NA,"06592",7.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"97",97,"D20","PUUM","PUUM_018","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",280,"Y",1.9,24,NA,"06599",2.2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"98",98,"D20","PUUM","PUUM_018","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",280,"Y",11.5,22.5,NA,"06692",1.88,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"99",99,"D20","PUUM","PUUM_014","2020-07-28T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",150,"Y",46.6,54,30.3,"06699",1.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"100",100,"D20","PUUM","PUUM_016","2020-08-12T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",320,"Y",4,25,23.5,"06511",8.9,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm",3
"101",101,"D20","PUUM","PUUM_007","2020-08-05T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",250,"Y",10.4,18,NA,"06516",4.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"102",102,"D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",20,"Y",82,81.5,65.5,"06547",12.2,"MEPO5","Metrosideros sp.","3 - Heartwood sound",">=10cm",3
"103",103,"D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",330,"Y",2.9,63.5,61,"06645",13.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"104",104,"D20","PUUM","PUUM_009","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",160,"Y",81,95.5,59.5,"06632",5.82,"MEPO5","Metrosideros polymorpha Gaudich.","4 - Rotten throughout",">=10cm",4
"105",105,"D20","PUUM","PUUM_011","2020-07-30T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",190,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",106,"D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",210,"Y",13,34,29.5,"06793",14.4,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
"107",107,"D20","PUUM","PUUM_005","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",230,"Y",14.5,35.5,NA,"06666",10.3,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm",3
