undeMoss,wiscMoss
Cornus canadensis,Brachythecium populeum (Hedw.) BSG
Corylus cornuta,Brachythecium reflexum (Starke in Web. & Mohr) BSG
Crataegus,Brachythecium reflexum var. pacificum Ren. & Card. in Röll.
Diervilla lonicera,Brachythecium rivulare BSG
Dirca palustris,Brachythecium rutabulum (Hedw.) BSG
Doellingeria umbellata,Brachythecium salebrosum (Web. & Mohr) BSG
Doellingeria umbellata var. umbellata,Brachythecium velutinum (Hedw.) BSG
Dryopteris intermedia,Brothera leana (Sull.) C. Müll.
Equisetum sylvaticum,Brotherella recurvans (Michx.) Fleisch.
Eurybia macrophylla,Bruchia flexuosa (Sw. ex Schwaegr.) C. Müll.
Euthamia graminifolia,Bruchia sullivantii Aust.
Fragaria virginiana,Bryhnia graminicolor (Brid.) Grout
Fraxinus nigra,Bryhnia novae-angliae (Sull. & Lesq. in Sull.) Grout
Fraxinus pennsylvanica,Bryoerythrophyllum recurvirostre (Hedw.) Chen
Galium tinctorium,Bryohaplocladium microphyllum (Hedw.) Wat. & Iwats.
Galium triflorum,Bryohaplocladium virginianum (Brid.) Wat. & Iwats.
Galium--4-leaved,Bryoxiphium norvegicum (Brid.) Mitt.
Gaultheria hispidula,Bryum algovicum Sendtn. ex C. Müll.
Gaultheria procumbens,Bryum argenteum Hedw.
Geum,Bryum caespiticium Hedw.
Geum macrophyllum,Bryum capillare Hedw.
Glyceria striata,Bryum cyclophyllum (Schwaegr.) BSG
Gymnocarpium dryopteris,Bryum lisae var. cuspidatum (BSG) Marg.
Hieracium,Bryum pallens (Brid.) Sw. in Röhl.
Hieracium--#1,"Bryum pseudotriquetrum (Hedw.) Gaertn., Meyer & Scherb."
Hieracium--different sp,Bryum stenotrichum C. Müll.
Ilex mucronata,Bryum uliginosum (Brid.) BSG
Ilex verticillata,Bryum violaceum Crundw. & Nyh.
Iris versicolor,Bryum weigelii Spreng.
Kalmia polifolia,Buxbaumia aphylla Hedw.
Ledum groenlandicum,Callicladium haldanianum (Grev.) Crum
Linnaea borealis,Calliergon cordifolium (Hedw.) Kindb.
Lonicera canadensis,Calliergon giganteum (Schimp.) Kindb.
Lycopodium annotinum,Calliergon richardsonii (Mitt.) Kindb. in Warnst.
Lycopodium dendroideum,Calliergon stramineum (Brid.) Kindb.
Lycopodium obscurum,Calliergon trifarium (Web. & Mohr) Kindb.
Maianthemum,Calliergonella cuspidata (Hedw.) Loeske
Maianthemum canadense,Campylium chrysophyllum (Brid.) J. Lange
Milium,Campylium hispidulum (Brid.) Mitt.
Mitchella repens,Campylium polygamum (BSG) C. Jens.
Monotropa hypopithys,Campylium stellatum (Hedw.) C. Jens.
Monotropa uniflora,Ceratodon purpureus (Hedw.) Brid.
Onoclea sensibilis,Climacium americanum Brid.
Oryzopsis asperifolia,Climacium dendroides (Hedw.) Web. & Mohr
Osmorhiza claytonii,Conardia compacta (C. Müll.) Robins.
Osmunda cinnamomea,Coscinodon calyptratus (Hook. in Drumm.) C. Jens. ex Kindb.
Osmunda claytoniana,Cratoneuron filicinum (Hedw.) Spruce
Ostrya virginiana,Cynodontium alpestre (Wahlenb.) Milde
Oxalis montana,Cynodontium strumiferum (Hedw.) Lindb.
Phegopteris connectilis,Cyrto-hypnum minutulum (Hedw.) Buck & Crum
Photinia melanocarpa,Cyrto-hypnum pygmaeum (BSG) Buck & Crum
Picea glauca,Desmatodon cernuus (Hüb.) BSG
Picea mariana,Desmatodon obtusifolius (Schwaegr.) Schimp.
Poaceae,Desmatodon plinthobius Sull. & Lesq. in Sull.
Polygonatum biflorum,Dichelyma capillaceum (With.) Myr.
Polygonum cuspidatum,Dichelyma falcatum (Hedw.) Myr.
Polygonum scandens,Dichelyma pallescens BSG
Populus grandidentata,Dichodontium pellucidum (Hedw.) Schimp.
Populus tremuloides,Dicranella cerviculata (Hedw.) Schimp.
Prunus serotina,Dicranella heteromalla (Hedw.) Schimp.
Prunus virginiana,Dicranella rufescens (With.) Schimp.
Pteridium aquilinum,Dicranella schreberiana var. robusta (Schimp. ex Braithw.) Crum & Anders.
Pyrola,Dicranella subulata (Hedw.) Schimp.
Pyrola chlorantha,Dicranella varia (Hedw.) Schimp.
Pyrola elliptica,Dicranodontium denudatum (Brid.) Britt. in Williams
Ranunculus recurvatus,Dicranum flagellare Hedw.
Rhamnus alnifolia,Dicranum fulvum Hook.
Ribes--thornless,Dicranum fuscescens Turn.
Rubus flagellaris,Dicranum montanum Hedw.
Rubus idaeus,Dicranum muehlenbeckii BSG
Rubus pubescens,Dicranum ontariense Peters.
Scutellaria lateriflora,Dicranum polysetum Sw.
Symphyotrichum ciliolatum,Dicranum sabuletorum Ren. & Card.
Taraxacum officinale,Dicranum scoparium Hedw.
Thuja occidentalis,Dicranum undulatum Brid.
Tilia americana,Dicranum viride (Sull. & Lesq. in Sull.) Lindb.
Trientalis borealis,Didymodon fallax (Hedw.) Zand.
Unknown--Aster hairy,Didymodon rigidulus var. gracilis (Schleich. ex Hook. & Grev.) Zand.
Unknown--Aster sp.,Didymodon rigidulus Hedw.
Unknown--dryoteris like,Didymodon tophaceus (Brid.) Lisa
Unknown--Orchid,Diphyscium foliosum (Hedw.) Mohr
Unknown--Orchid (hairy),Distichium capillaceum (Hedw.) BSG
Vaccinium myrtilloides,Distichium inclinatum (Hedw.) BSG
Veronica officinalis,Ditrichum flexicaule (Schwaegr.) Hampe
Viola,Ditrichum heteromallum (Hedw.) Britt.
Viola rotundifolia,Ditrichum lineare (Sw.) Lindb.
,Ditrichum pallidum (Hedw.) Hampe
,Ditrichum pusillum (Hedw.) Hampe
,Drepanocladus aduncus (Hedw.) Warnst.
,Drepanocladus aduncus var. kneiffii (BSG) Mönk.
,Drepanocladus aduncus var. polycarpus (Bland ex Voit) G. Roth
,Drepanocladus sendtneri (Schimp.) Warnst.
,Drepanocladus simplicissimus Warnst.
,Drummondia prorepens (Hedw.) Britt.
,Dryptodon patens (Hedw.) Brid.
,Encalypta ciliata Hedw.
,Encalypta procera Bruch
,Encalypta rhaptocarpa Schwaegr.
,Entodon brevisetus (Hook. & Wils. in Wils.) Lindb.
,Entodon cladorrhizans (Hedw.) C. Müll.
,Entodon compressus C. Müll.
,Entodon seductrix (Hedw.) C. Müll.
,Ephemerum cohaerens (Hedw.) Hampe
,Ephemerum crassinervium (Schwaegr.) Hampe
,Ephemerum spinulosum Bruch & Schimp. in Schimp.
,Eurhynchium hians (Hedw.) Sande Lac.
,Eurhynchium praelongum (Hedw.) BSG
,Eurhynchium pulchellum (Hedw.) Jenn.
,Fabronia ciliaris (Brid.) Brid.
,Fissidens adianthoides Hedw.
,Fissidens bryoides Hedw.
,Fissidens dubius P. Beauv.
,Fissidens fontanus (B. Pyl.) Steud.
,Fissidens microcladus Thwaites & Mitt. in Mitt.
,Fissidens obtusifolius Wils.
,Fissidens osmundioides Hedw.
,Fissidens ravenelii Sull.
,Fissidens subbasilaris Hedw.
,Fissidens taxifolius Hedw.
,Fontinalis antipyretica Hedw.
,Fontinalis dalecarlica Schimp. in BSG
,Fontinalis flaccida Ren. & Card.
,Fontinalis hypnoides C. J. Hartm.
,Fontinalis missourica Card.
,Fontinalis novae-angliae Sull.
,Fontinalis sphagnifolia (C. Müll.) Wijk & Marg.
,Forsstroemia producta (Hornsch.) Par.
,Funaria americana Lindb.
,Funaria flavicans Michx.
,Funaria hygrometrica Hedw.
,Grimmia donniana Sm.
,Grimmia hermannii Crum.
,Grimmia laevigata (Brid.) Brid.
,Grimmia montana BSG
,Grimmia olneyi Sull.
,Grimmia ovalis (Hedw.) Lindb.
,Grimmia pilifera P.-Beauv.
,Grimmia plagiopodia Hedw.
,Grimmia pulvinata (Hedw.) Sm.
,Grimmia teretinervis Limpr.
,Gymnostomum aeruginosum Sm.
,Hamatocaulis vernicosus (Mitt.) Hedenäs
,Haplohymenium triste (Ces. in De Not.) Kindb.
,Hedwigia ciliata (Hedw.) P.-Beauv.
,Helodium blandowii (Web. & Mohr) Warnst.
,"Helodium blandowii var. helodioides (Ren. & Card. in Röll) Crum, Steere, Anders."
,Helodium paludosum (Sull.) Aust.
,Herzogiella seligeri (Brid.) Iwats.
,Herzogiella striatella (Brid.) Iwats.
,Herzogiella turfacea (Lindb.) Iwats.
,Homalia trichomanoides (Hedw.) BSG
,Homalotheciella subcapillata (Hedw.) Broth.
,Homomallium adnatum (Hedw.) Broth.
,Hygroamblystegium fluviatile (Hedw.) Loeske
,Hygroamblystegium noterophilum (Sull. & Lesq. in Sull.) . Warnst.
,Hygroamblystegium tenax (Hedw.) Jenn.
,Hygrohypnum eugyrium (BSG) Loeske
,Hygrohypnum luridum (Hedw.) Jenn.
,Hygrohypnum ochraceum (Turn. ex Wils.) Loeske
,Hylocomiastrum pyrenaicum (Spruce) Fleisch. in Broth.
,Hylocomium splendens (Hedw.) BSG
,Hymenostylium recurvirostre (Hedw.) Dix.
,Hyophila involuta (Hook.) Jaeg. & Sauerb.
,Hypnum cupressiforme Hedw.
,Hypnum cupressiforme var. filiforme Brid.
,Hypnum curvifolium Hedw.
,Hypnum fertile Sendtn.
,Hypnum imponens Hedw.
,Hypnum lindbergii Mitt.
,Hypnum pallescens (Hedw.) P.-Beauv.
,Hypnum pratense Koch ex Brid.
,Isopterygiopsis muelleriana (Schimp.) Iwats.
,Isopterygiopsis pulchella (Hedw.) Iwats.
,Isopterygium tenerum (Sw.) Mitt.
,Jaffueliobryum raui (Aust.) Thér.
,Jaffueliobryum wrightii (Sull. in Gray) Thér.
,Leptobryum pyriforme (Hedw.) Wils.
,Leptodictyum riparium (Hedw.) Warnst.
,Leskea gracilescens Hedw.
,Leskea obscura Hedw.
,Leskea polycarpa Hedw.
,Leskeella nervosa (Brid.) Loeske
,Leucobryum glaucum (Hedw.) Ångstr. in Fr.
,Leucodon brachypus Brid.
,Leucodon brachypus var. andrewsianus Crum & Anderson
,Leucodon julaceus (Hedw.) Sull.
,Limprichtia revolvens (Sw.) Loeske
,Lindbergia brachyptera (Mitt.) Kindb.
,Meesia triquetra (Richt.) Ångstr.
,Meesia uliginosa Hedw.
,Micromitrium megalosporum Aust.
,Mnium marginatum (With.) Brid. ex P.-Beauv.
,Mnium spinulosum BSG
,Mnium stellare Hedw.
,Mnium thomsonii Schimp.
,Myurella julacea (Schwaegr.) BSG
,Myurella sibirica (C. Müll.) Reim.
,Neckera pennata Hedw.
,Oncophorus virens (Hedw.) Brid.
,Oncophorus wahlenbergii Brid.
,Orthotrichum anomalum Hedw.
,Orthotrichum obtusifolium Brid.
,Orthotrichum ohioense Sull. & Lesq. in Aust.
,Orthotrichum pumilum Sw.
,Orthotrichum pusillum Mitt.
,Orthotrichum sordidum Sull. & Lesq. in Aust.
,Orthotrichum speciosum var. elegans (Schwaegr. ex Hook. & Grev.) Warnst.
,Orthotrichum stellatum Brid.
,Orthotrichum strangulatum P.-Beauv.
,Oxystegus spiralis (Grout) Crum & Anders.
,Palustriella commutata (Brid.) Ochyra
,Paraleucobryum longifolium (Hedw.) Loeske
,Phascum cuspidatum Hedw.
,Philonotis fontana (Hedw.) Brid.
,Philonotis longiseta (Michx.) Britt.
,Philonotis marchica (Hedw.) Britt.
,Physcomitrium collenchymatum Gier
,Physcomitrium hookeri Hampe
,Physcomitrium immersum Sull.
,Physcomitrium pyriforme (Hedw.) Hampe
,Plagiomnium ciliare (C. Müll.) T. Kop.
,Plagiomnium cuspidatum (Hedw.) T. Kop.
,Plagiomnium drummondii (Bruch & Schimp.) T. Kop.
,Plagiomnium ellipticum (Brid.) T. Kop.
,Plagiomnium medium (BSG) T. Kop.
,Plagiomnium rostratum (Schrad.) T. Kop.
,Plagiopus oederiana (Sw.) Limpr.
,Plagiothecium cavifolium (Brid.) Iwats.
,Plagiothecium denticulatum (Hedw.) BSG
,Plagiothecium laetum BSG
,Plagiothecium latebricola BSG
,Platydictya confervoides (Brid.) Crum
,Platydictya jungermannioides (Brid.) Crum
,Platydictya minutissima (Sull. & Lesq. in Sull.) Crum
,Platydictya subtilis (Hedw.) Crum
,Platygyrium repens (Brid.) BSG
,Platyhypnidium riparioides (Hedw.) Dix.
,Pleuridium subulatum (Hedw.) Rabenh.
,Pleurozium schreberi (Brid.) Mitt.
,Pogonatum urnigerum (Hedw.) P.-Beauv.
,Pohlia annotina (Hedw.) Lindb.
,Pohlia bulbifera (Warnst.) Warnst.
,Pohlia cruda (Hedw.) Lindb.
,Pohlia elongata Hedw.
,Pohlia lescuriana (Sull.) Grout
,Pohlia melanodon (Brid.) Shaw
,Pohlia nutans (Hedw.) Lindb.
,Pohlia obtusifolia (Brid.) L. Koch
,Pohlia proligera (Kindb. ex Limpr.) Lindb. ex Arnell
,Pohlia wahlenbergii (Web. & Mohr) Andr.
,Polytrichastrum alpinum (Hedw.) G. L. Sm.
,Polytrichum commune Hedw.
,Polytrichum formosum Hedw.
,Polytrichum juniperinum Hedw.
,Polytrichum longisetum Brid.
,Polytrichum ohioense Ren. & Card.
,Polytrichum pallidisetum Funck
,Polytrichum piliferum Hedw.
,Polytrichum strictum Brid.
,Pseudobryum cinclidioides (Hüb.) T. Kop.
,Pseudotaxiphyllum distichaceum (Mitt.) Iwats.
,Pseudotaxiphyllum elegans (Brid.) Iwats.
,Pterigynandrum filiforme Hedw.
,Ptilium crista-castrensis (Hedw.) De Not.
,Pylaisiadelpha tenuirostris (Bruch & Schimp. ex Sull.) Buck
,Pylaisiella intricata (Hedw.) Grout
,Pylaisiella polyantha (Hedw.) Grout
,"Pylaisiella selwynii (Kindb.) Crum, Steere & Anders."
,Racomitrium heterostichum (Hedw.) Brid.
,Racomitrium aciculare (Web.) Brid.
,Rauiella scita (P.-Beauv.) Reim.
,Rhabdoweisia crispata (With.) Lindb.
,Rhizomnium appalachianum T. Kop.
,Rhizomnium magnifolium (Horik.) T. Kop.
,Rhizomnium pseudopunctatum (Bruch & Schimp.) T. Kop.
,Rhizomnium punctatum (Hedw.) T. Kop.
,Rhodobryum roseum (Hedw.) Limpr.
,Rhytidiadelphus triquetrus (Hedw.) Warnst.
,Rhytidium rugosum (Hedw.) Kindb.
,Saelania glaucescens (Hedw.) Bomanss. & Broth.
,Sanionia uncinata (Hedw.) Loeske
,Schistidium agassizii Sull. & Lesq. in Sull.
,Schistidium apocarpum (Hedw.) BSG
,Schistidium rivulare (Brid.) Podp.
,Schistostega pennata (Hedw.) Web. & Mohr
,Schwetschkeopsis fabronia (Schwaegr.) Broth.
,Scorpidium scorpioides (Hedw.) Limpr.
,Seligeria calcarea (Hedw.) BSG
,Seligeria campylopoda Kindb. in Mac. & Kindb.
,Seligeria donniana (Sm.) C. Müll.
,Seligeria pusilla (Hedw.) BSG
,Seligeria recurvata (Hedw.) BSG
,Sematophyllum demissum (Wils.) Mitt.
,Sphagnum andersonianum Andrus
,Sphagnum angustifolium C. Jens. ex Russ.) C. Jens. in Tolf
,Sphagnum capillifolium (Ehrh.) Hedw.
,Sphagnum centrale C. Jens. in Arnell & C. Jens.
,Sphagnum compactum DC. in Lam. & DC.
,Sphagnum contortum Schultz
,Sphagnum cuspidatum Ehrh. ex Hoffm.
,Sphagnum fallax (Klinggr.) Klinggr.
,Sphagnum fimbriatum Wils. in J. Hook.
,Sphagnum flexuosum Dozy & Molk.
,Sphagnum fuscum (Schimp.) Klinggr.
,Sphagnum girgensohnii Russ.
,Sphagnum henryense Warnst.
,Sphagnum lescurii Sull. in Gray
,Sphagnum magellanicum Brid.
,Sphagnum majus (Russ.) C. Jens.
,Sphagnum nitidum Warnst.
,Sphagnum palustre L.
,Sphagnum papillosum Lindb.
,Sphagnum pulchrum (Lindb. ex Braithw.) Warnst.
,Sphagnum recurvum P.-Beauv.
,Sphagnum riparium Ångstr.
,Sphagnum rubellum Wils.
,Sphagnum russowii Warnst.
,Sphagnum squarrosum Crome
,Sphagnum subnitens Russ. & Warnst. in Warnst.
,Sphagnum subsecundum Nees in Sturm
,Sphagnum teres (Schimp.) Ångstr. in Hartm.
,Sphagnum warnstorfii Russ.
,Sphagnum wulfianum Girg.
,Splachnum ampullaceum Hedw.
,Steerecleus serrulatus (Hedw.) Robins.
,Taxiphyllum deplanatum (Bruch & Schimp. ex Sull.) Fleisch.
,Taxiphyllum taxirameum (Mitt.) Fleisch.
,Tetraphis pellucida Hedw.
,Thelia asprella Sull.
,Thelia hirtella (Hedw.) Sull.
,Thelia lescurii Sull.
,Thuidium delicatulum (Hedw.) BSG
,Thuidium philibertii Limpr.
,Thuidium recognitum (Hedw.) Lindb.
,Timmia megapolitana Hedw.
,Tomenthypnum nitens (Hedw.) Loeske
,Tortella fragilis (Drumm.) Limpr.
,Tortella humilis (Hedw.) Jenn.
,Tortella inclinata (R. Hedw.) Limpr.
,"Tortella inclinata var. densa (Lor. & Mol.) Eckel, comb. nov."
,Tortella tortuosa (Hedw.) Limpr.
,Tortula mucronifolia Schwaegr.
,"Tortula ruralis (Hedw.) Gaertn., Meyer & Scherb."
,Trematodon ambiguus (Hedw.) Hornsch.
,Ulota coarctata (P.-Beauv.) Hamm.
,Ulota crispa (Hedw.) Brid.
,Warnstorfia exannulata (BSG) Loeske
,Warnstorfia fluitans (Hedw.) Loeske
,Weissia controversa Hedw.
,Zygodon viridissimus var. rupestris Lindb. ex C. J. Hartm.
