"","domainID","siteID","plotID","plotType","date","eventID","volumeFactor","samplingProtocolVersion","lidsAzimuth","targetTaxaPresent","logDistance","logMaxDiameter","logMinorDiameter","logID","logLength","taxonID","scientificName","diameterClass","decayClass","decayClassNum"
"18","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",290,"Y",55.6,56.5,56.5,"00326",5.2,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","3 - Heartwood sound",3
"19","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",290,"Y",59.6,59,59,"00327",5.4,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","2 - Sound round",2
"20","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",290,"Y",184.5,67,67,"00328",19,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","2 - Sound round",2
"21","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",290,"Y",145.4,67,67,"00328",19,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","2 - Sound round",2
"22","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",40,"Y",12.7,34.8,34.8,"00343",3.5,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","4 - Rotten throughout",4
"23","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",40,"Y",33.8,32.5,32.5,"00344",7.5,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","2 - Sound round",2
"24","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",40,"Y",35.1,42,42,"00345",27,"ABMA","Abies magnifica A. Murray bis",">=10cm","2 - Sound round",2
"25","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",40,"Y",38.8,36.8,36.8,"00346",13,"ABMA","Abies magnifica A. Murray bis",">=10cm","2 - Sound round",2
"26","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",40,"Y",54.3,94.3,94.3,"00347",21,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","4 - Rotten throughout",4
"27","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",40,"Y",62.8,42.5,42.5,"00348",6.4,"ABMA","Abies magnifica A. Murray bis",">=10cm","5 - No structural integrity",5
"28","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",40,"Y",70,51.3,51.3,"00349",16,"ABMA","Abies magnifica A. Murray bis",">=10cm","2 - Sound round",2
"29","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",40,"Y",72.9,66,66,"00350",6.3,"ABMA","Abies magnifica A. Murray bis",">=10cm","3 - Heartwood sound",3
"30","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",40,"Y",105,68,68,"00351",5.1,"2PLANT-H","Unknown hardwood plant",">=10cm","5 - No structural integrity",5
"31","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",40,"Y",122.4,261,261,"00352",29,"2PLANT-S","Unknown softwood plant",">=10cm","5 - No structural integrity",5
"32","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",40,"Y",147,135,135,"00353",38.8,"ABMA","Abies magnifica A. Murray bis",">=10cm","4 - Rotten throughout",4
"33","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",40,"Y",162.8,67.6,67.6,"00354",42,"ABMA","Abies magnifica A. Murray bis",">=10cm","2 - Sound round",2
"34","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",40,"Y",197.6,102,102,"00355",7.3,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","3 - Heartwood sound",3
"35","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",40,"Y",215,88.7,88.7,"00356",11.2,"ABMA","Abies magnifica A. Murray bis",">=10cm","2 - Sound round",2
"36","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",160,"Y",1.2,12.1,12.1,"00357",10.3,"2PLANT-H","Unknown hardwood plant",">=10cm","2 - Sound round",2
"37","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",160,"Y",9.9,25.2,25.2,"00358",7.1,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","3 - Heartwood sound",3
"38","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",160,"Y",18.7,74.1,74.1,"00359",7.9,"ABMA","Abies magnifica A. Murray bis",">=10cm","5 - No structural integrity",5
"39","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",160,"Y",26.4,40.1,40.1,"00360",10,"ABMA","Abies magnifica A. Murray bis",">=10cm","2 - Sound round",2
"40","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",160,"Y",26.6,40.3,40.3,"00361",17.9,"ABMA","Abies magnifica A. Murray bis",">=10cm","2 - Sound round",2
"41","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",160,"Y",31.7,26.6,26.6,"00362",6.3,"ABMA","Abies magnifica A. Murray bis",">=10cm","2 - Sound round",2
"42","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",160,"Y",33.9,35,35,"00363",14.6,"ABMA","Abies magnifica A. Murray bis",">=10cm","2 - Sound round",2
"43","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",160,"Y",60.6,83.1,83.1,"00364",9.5,"ABMA","Abies magnifica A. Murray bis",">=10cm","2 - Sound round",2
"44","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",160,"Y",67.6,57.7,57.7,"00365",8.8,"ABMA","Abies magnifica A. Murray bis",">=10cm","2 - Sound round",2
"45","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",160,"Y",68.7,41.6,41.6,"00366",5.6,"ABMA","Abies magnifica A. Murray bis",">=10cm","2 - Sound round",2
"46","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",160,"Y",71.7,60.3,60.3,"00367",2.9,"2PLANT-S","Unknown softwood plant",">=10cm","4 - Rotten throughout",4
"47","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",160,"Y",73.5,67.6,67.6,"00368",7.9,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","3 - Heartwood sound",3
"48","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",160,"Y",125.6,74.4,74.4,"00369",27.4,"ABMA","Abies magnifica A. Murray bis",">=10cm","2 - Sound round",2
"49","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",160,"Y",167.8,67.7,67.7,"00370",14.9,"2PLANT-H","Unknown hardwood plant",">=10cm","4 - Rotten throughout",4
"50","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",160,"Y",180.9,140,140,"00371",25.2,"2PLANT-S","Unknown softwood plant",">=10cm","5 - No structural integrity",5
"51","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",160,"Y",198.7,84,84,"00372",3,"2PLANT-S","Unknown softwood plant",">=10cm","5 - No structural integrity",5
"52","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",160,"Y",205.4,128,128,"00373",12.2,"ABMA","Abies magnifica A. Murray bis",">=10cm","5 - No structural integrity",5
"53","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",280,"Y",4.5,127,127,"00374",12.2,"ABMA","Abies magnifica A. Murray bis",">=10cm","3 - Heartwood sound",3
"54","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",280,"Y",6.1,33.3,33.3,"00375",5.8,"2PLANT-H","Unknown hardwood plant",">=10cm","4 - Rotten throughout",4
"55","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",280,"Y",7,12,12,"00376",14.9,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","3 - Heartwood sound",3
"56","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",280,"Y",10,98.2,98.2,"00377",12,"ABMA","Abies magnifica A. Murray bis",">=10cm","5 - No structural integrity",5
"57","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",280,"Y",19.4,31,31,"00378",12.2,"ABMA","Abies magnifica A. Murray bis",">=10cm","2 - Sound round",2
"58","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",280,"Y",25.7,34.3,34.3,"00379",5.7,"ABMA","Abies magnifica A. Murray bis",">=10cm","5 - No structural integrity",5
"59","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",280,"Y",29.5,71.7,71.7,"00380",15.8,"ABMA","Abies magnifica A. Murray bis",">=10cm","3 - Heartwood sound",3
"60","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",280,"Y",31.7,92.3,92.3,"00381",5.4,"2PLANT-H","Unknown hardwood plant",">=10cm","5 - No structural integrity",5
"61","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",280,"Y",37,100,100,"00382",13.3,"2PLANT-H","Unknown hardwood plant",">=10cm","5 - No structural integrity",5
"62","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",280,"Y",45.5,54,54,"00383",17.3,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","2 - Sound round",2
"63","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",280,"Y",57,38.9,38.9,"00384",8.5,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","2 - Sound round",2
"64","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",280,"Y",59.2,42.4,42.4,"00385",17,"2PLANT-H","Unknown hardwood plant",">=10cm","5 - No structural integrity",5
"65","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",280,"Y",63.5,75.1,75.1,"00386",4.2,"2PLANT-H","Unknown hardwood plant",">=10cm","5 - No structural integrity",5
"66","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",280,"Y",143.6,130,130,"00387",22,"ABMA","Abies magnifica A. Murray bis",">=10cm","3 - Heartwood sound",3
"67","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",280,"Y",165.5,102.5,102.5,"00388",59.5,"ABMA","Abies magnifica A. Murray bis",">=10cm","3 - Heartwood sound",3
"68","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",280,"Y",174,129,0.2,"00389",12.4,"2PLANT-H","Unknown hardwood plant",">=10cm","5 - No structural integrity",5
"69","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",280,"Y",175.3,97,0.1,"00390",6.7,"2PLANT-H","Unknown hardwood plant",">=10cm","5 - No structural integrity",5
"70","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",40,"Y",11.5,26,26,"00426",4,"2PLANT-H","Unknown hardwood plant",">=10cm","4 - Rotten throughout",4
"71","D17","TEAK","TEAK_002","distributed",2022-06-08,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",160,"Y",1.6,8.1,8.1,"L01",6.9,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","5-10cm","2 - Sound round",2
"72","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",20,"Y",31.7,72,72,"00329",5.5,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","5 - No structural integrity",5
"73","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",20,"Y",40,124,124,"00330",8,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","4 - Rotten throughout",4
"74","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",20,"Y",53.9,46,46,"00331",22.5,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","2 - Sound round",2
"75","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",20,"Y",147.2,171,40,"00332",2,"PINUS","Pinus sp.",">=10cm","5 - No structural integrity",5
"76","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",20,"Y",114.5,118,118,"00333",5.9,"ABMA","Abies magnifica A. Murray bis",">=10cm","3 - Heartwood sound",3
"77","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",140,"Y",12.9,50,50,"00334",10.8,"ABMA","Abies magnifica A. Murray bis",">=10cm","2 - Sound round",2
"78","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",140,"Y",14.5,41,41,"00335",18,"ABMA","Abies magnifica A. Murray bis",">=10cm","2 - Sound round",2
"79","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",140,"Y",20.4,80,80,"00336",4.5,"2PLANT-H","Unknown hardwood plant",">=10cm","5 - No structural integrity",5
"80","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",140,"Y",63.7,41,41,"00337",7.4,"ABMA","Abies magnifica A. Murray bis",">=10cm","2 - Sound round",2
"81","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",140,"Y",80,45,45,"00338",10.1,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","2 - Sound round",2
"82","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",140,"Y",120,74,74,"00339",19.5,"ABMA","Abies magnifica A. Murray bis",">=10cm","2 - Sound round",2
"83","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",140,"Y",160.8,67,67,"00340",14.7,"ABMA","Abies magnifica A. Murray bis",">=10cm","3 - Heartwood sound",3
"84","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",140,"Y",220,74,74,"00341",9.9,"2PLANT-H","Unknown hardwood plant",">=10cm","4 - Rotten throughout",4
"85","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",140,"Y",225.2,76,76,"00342",7.5,"2PLANT-H","Unknown hardwood plant",">=10cm","3 - Heartwood sound",3
"86","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",260,"Y",177.1,140,140,"00391",22.3,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","4 - Rotten throughout",4
"87","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",260,"Y",178.9,75.8,75.8,"00392",2.5,"ABMA","Abies magnifica A. Murray bis",">=10cm","3 - Heartwood sound",3
"88","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",260,"Y",200.3,129,129,"00393",16,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","4 - Rotten throughout",4
"89","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",260,"Y",0.8,9.4,9.4,"L01",1.8,"ABMA","Abies magnifica A. Murray bis","5-10cm","2 - Sound round",2
"90","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",260,"Y",1.6,6.9,6.9,"L02",2.2,"ABMA","Abies magnifica A. Murray bis","5-10cm","2 - Sound round",2
"91","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",260,"Y",2.3,9.4,9.4,"L03",2.2,"ABMA","Abies magnifica A. Murray bis","5-10cm","2 - Sound round",2
"92","D17","TEAK","TEAK_003","distributed",2022-06-07,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",260,"Y",2.5,7.8,7.8,"L04",1.6,"ABMA","Abies magnifica A. Murray bis","5-10cm","2 - Sound round",2
"93","D17","TEAK","TEAK_004","distributed",2022-06-14,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",130,"Y",46.6,45.9,45.9,"00574",25,"ABMA","Abies magnifica A. Murray bis",">=10cm","3 - Heartwood sound",3
"94","D17","TEAK","TEAK_004","distributed",2022-06-14,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",130,"Y",55.7,80.4,80.4,"00575",9.9,"PICO","Pinus contorta Douglas ex Loudon",">=10cm","3 - Heartwood sound",3
"95","D17","TEAK","TEAK_004","distributed",2022-06-14,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",130,"Y",213.8,112,112,"00576",12.3,"PINUS","Pinus sp.",">=10cm","3 - Heartwood sound",3
"96","D17","TEAK","TEAK_004","distributed",2022-06-14,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",250,"Y",18.5,66.5,66.5,"00577",7,"ABMA","Abies magnifica A. Murray bis",">=10cm","4 - Rotten throughout",4
"97","D17","TEAK","TEAK_004","distributed",2022-06-14,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",250,"Y",91.8,65.4,65.4,"00577",7.1,"ABMA","Abies magnifica A. Murray bis",">=10cm","4 - Rotten throughout",4
"98","D17","TEAK","TEAK_004","distributed",2022-06-14,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",250,"Y",81.7,51.4,51.4,"00578",2.9,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","2 - Sound round",2
"99","D17","TEAK","TEAK_004","distributed",2022-06-14,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",250,"Y",27.9,50.5,50.5,"00578",2.9,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","2 - Sound round",2
"100","D17","TEAK","TEAK_004","distributed",2022-06-14,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",250,"Y",33.8,48.7,48.7,"00579",5.8,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","2 - Sound round",2
"101","D17","TEAK","TEAK_004","distributed",2022-06-14,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",250,"Y",76.4,48.9,48.9,"00579",5.8,"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",">=10cm","2 - Sound round",2
"102","D17","TEAK","TEAK_004","distributed",2022-06-14,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",10,"Y",22,41.6,41.6,"00580",20.2,"ABMA","Abies magnifica A. Murray bis",">=10cm","3 - Heartwood sound",3
"103","D17","TEAK","TEAK_004","distributed",2022-06-14,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",10,"Y",45.1,45.6,45.6,"00581",9.2,"ABMA","Abies magnifica A. Murray bis",">=10cm","2 - Sound round",2
"104","D17","TEAK","TEAK_004","distributed",2022-06-14,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",10,"Y",91.9,52.3,52.3,"00582",9.4,"ABMA","Abies magnifica A. Murray bis",">=10cm","5 - No structural integrity",5
"105","D17","TEAK","TEAK_004","distributed",2022-06-14,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",10,"Y",219,76.3,20.8,"00583",4.9,"2PLANT-H","Unknown hardwood plant",">=10cm","3 - Heartwood sound",3
"106","D17","TEAK","TEAK_005","distributed",2022-06-15,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",200,"Y",218.8,104,104,"00455",4.4,"ABIES","Abies sp.",">=10cm","5 - No structural integrity",5
"107","D17","TEAK","TEAK_005","distributed",2022-06-15,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",80,"Y",6.4,14.9,14.9,"00584",1.3,"PINUS","Pinus sp.",">=10cm","4 - Rotten throughout",4
"108","D17","TEAK","TEAK_005","distributed",2022-06-15,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",80,"Y",8.4,29.4,29.4,"00585",1.8,"ABMA","Abies magnifica A. Murray bis",">=10cm","4 - Rotten throughout",4
"109","D17","TEAK","TEAK_005","distributed",2022-06-15,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",80,"Y",13,35.4,35.4,"00586",9.9,"ABMA","Abies magnifica A. Murray bis",">=10cm","3 - Heartwood sound",3
"110","D17","TEAK","TEAK_005","distributed",2022-06-15,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",80,"Y",82.9,48.5,48.5,"00587",7.1,"ABMA","Abies magnifica A. Murray bis",">=10cm","1 - Fresh fallen",1
"111","D17","TEAK","TEAK_005","distributed",2022-06-15,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",80,"Y",170,122,122,"00588",8.3,"ABMA","Abies magnifica A. Murray bis",">=10cm","3 - Heartwood sound",3
"112","D17","TEAK","TEAK_005","distributed",2022-06-15,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",80,"Y",192.9,84.4,84.4,"00589",17.2,"ABMA","Abies magnifica A. Murray bis",">=10cm","3 - Heartwood sound",3
