"","domainid","siteid","plotid_parent","tallydate","volumefactor","particle_count","lidsazimuth","logdiameter","taxonid","decayclass","logid_ingest","logdistance","loglength","acceptedtaxonid","targettaxapresent","diameterClass","decayClassNum"
"19","D17","SJER","SJER_046","2017-02-14T00:00:00.000Z","5",NA,20,33.3,"PISA2","1 - Fresh fallen","13",7.4,10.1,"PISA2","Y",">=10cm","1"
"20","D17","SJER","SJER_012","2017-02-28T00:00:00.000Z","5",NA,130,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"21","D17","SJER","SJER_057","2017-02-14T00:00:00.000Z","5",NA,10,50.2,"PISA2","2 - Sound round","12",142,18,"PISA2","Y",">=10cm","2"
"22","D17","SJER","SJER_055","2017-02-15T00:00:00.000Z","5",NA,260,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"23","D17","SJER","SJER_055","2017-02-15T00:00:00.000Z","5",NA,140,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"24","D17","SJER","SJER_055","2017-02-15T00:00:00.000Z","5",NA,20,21.24,"QUDO","3 - Heartwood sound","14",31,7.3,"QUDO","Y",">=10cm","3"
"25","D17","SJER","SJER_055","2017-02-15T00:00:00.000Z","5",NA,20,48.9,"PISA2","4 - Rotten throughout","15",199.6,6.3,"PISA2","Y",">=10cm","4"
"26","D17","SJER","SJER_058","2017-02-18T00:00:00.000Z","5",NA,150,53.2,"PISA2","1 - Fresh fallen","32",179.7,20.5,"PISA2","Y",">=10cm","1"
"27","D17","SJER","SJER_058","2017-02-18T00:00:00.000Z","5",NA,30,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"28","D17","SJER","SJER_058","2017-02-18T00:00:00.000Z","5",NA,270,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"29","D17","SJER","SJER_048","2017-02-18T00:00:00.000Z","5",NA,350,6.7,"QUDO","1 - Fresh fallen","L01",7.8,1.2,"QUDO","Y","5-10cm","1"
"30","D17","SJER","SJER_048","2017-02-18T00:00:00.000Z","5",NA,230,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"31","D17","SJER","SJER_059","2017-02-19T00:00:00.000Z","5",NA,70,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"32","D17","SJER","SJER_059","2017-02-19T00:00:00.000Z","5",NA,310,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"33","D17","SJER","SJER_048","2017-02-19T00:00:00.000Z","5",NA,110,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"34","D17","SJER","SJER_047","2017-02-18T00:00:00.000Z","5",NA,310,35.1,"PISA2","2 - Sound round","21",75.5,10.3,"PISA2","Y",">=10cm","2"
"35","D17","SJER","SJER_059","2017-02-18T00:00:00.000Z","5",NA,190,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"36","D17","SJER","SJER_049","2017-02-16T00:00:00.000Z","5",NA,290,67.2,"QUWI2","4 - Rotten throughout","23",106,11.6,"QUWI2","Y",">=10cm","4"
"37","D17","SJER","SJER_049","2017-02-16T00:00:00.000Z","5",NA,50,28.08,"PISA2","4 - Rotten throughout","25",31.4,11.6,"PISA2","Y",">=10cm","4"
"38","D17","SJER","SJER_049","2017-02-16T00:00:00.000Z","5",NA,50,22,"PISA2","3 - Heartwood sound","24",35,1.5,"PISA2","Y",">=10cm","3"
"39","D17","SJER","SJER_049","2017-02-16T00:00:00.000Z","5",NA,170,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"40","D17","SJER","SJER_062","2017-02-16T00:00:00.000Z","5",NA,190,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"41","D17","SJER","SJER_062","2017-02-16T00:00:00.000Z","5",NA,70,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"42","D17","SJER","SJER_012","2017-02-28T00:00:00.000Z","5",NA,10,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"43","D17","SJER","SJER_019","2017-02-28T00:00:00.000Z","5",NA,10,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"44","D17","SJER","SJER_045","2017-02-16T00:00:00.000Z","5",NA,200,67.2,"PISA2","3 - Heartwood sound","29",218.1,20.8,"PISA2","Y",">=10cm","3"
"45","D17","SJER","SJER_022","2017-02-27T00:00:00.000Z","5",NA,10,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"46","D17","SJER","SJER_022","2017-02-27T00:00:00.000Z","5",NA,130,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"47","D17","SJER","SJER_022","2017-02-27T00:00:00.000Z","5",NA,250,46.1,"QUDO","4 - Rotten throughout","22",143,4.3,"QUDO","Y",">=10cm","4"
"48","D17","SJER","SJER_016","2017-02-27T00:00:00.000Z","5",NA,220,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"49","D17","SJER","SJER_019","2017-02-28T00:00:00.000Z","5",NA,130,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"50","D17","SJER","SJER_016","2017-02-27T00:00:00.000Z","5",NA,100,39,"QUWI2","4 - Rotten throughout","10",105,7.1,"QUWI2","Y",">=10cm","4"
"51","D17","SJER","SJER_016","2017-02-27T00:00:00.000Z","5",NA,340,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"52","D17","SJER","SJER_014","2017-02-27T00:00:00.000Z","5",NA,180,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"53","D17","SJER","SJER_014","2017-02-27T00:00:00.000Z","5",NA,300,51,"PISA2","2 - Sound round","16",90,15,"PISA2","Y",">=10cm","2"
"54","D17","SJER","SJER_014","2017-02-27T00:00:00.000Z","5",NA,60,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"55","D17","SJER","SJER_015","2017-02-27T00:00:00.000Z","5",NA,60,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"56","D17","SJER","SJER_015","2017-02-27T00:00:00.000Z","5",NA,180,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"57","D17","SJER","SJER_015","2017-02-27T00:00:00.000Z","5",NA,300,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"58","D17","SJER","SJER_019","2017-02-28T00:00:00.000Z","5",NA,250,59,"PISA2","3 - Heartwood sound","34",93.7,15.3,"PISA2","Y",">=10cm","3"
"59","D17","SJER","SJER_001","2017-02-28T00:00:00.000Z","5",NA,260,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"60","D17","SJER","SJER_001","2017-02-28T00:00:00.000Z","5",NA,140,27.1,"QUWI2","2 - Sound round","41",54.2,7.1,"QUWI2","Y",">=10cm","2"
"61","D17","SJER","SJER_001","2017-02-28T00:00:00.000Z","5",NA,20,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"62","D17","SJER","SJER_064","2017-03-01T00:00:00.000Z","5",NA,310,35.3,"PISA2","1 - Fresh fallen","46",77.9,13.7,"PISA2","Y",">=10cm","1"
"63","D17","SJER","SJER_064","2017-03-01T00:00:00.000Z","5",NA,190,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"64","D17","SJER","SJER_064","2017-03-01T00:00:00.000Z","5",NA,70,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"65","D17","SJER","SJER_052","2017-03-01T00:00:00.000Z","5",NA,50,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"66","D17","SJER","SJER_052","2017-03-01T00:00:00.000Z","5",NA,170,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"67","D17","SJER","SJER_052","2017-03-01T00:00:00.000Z","5",NA,290,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"68","D17","SJER","SJER_053","2017-03-08T00:00:00.000Z","5",NA,280,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"69","D17","SJER","SJER_061","2017-03-06T00:00:00.000Z","5",NA,270,70.8,"PISA2","3 - Heartwood sound","47",43.4,19.1,"PISA2","Y",">=10cm","3"
"70","D17","SJER","SJER_061","2017-03-06T00:00:00.000Z","5",NA,270,32.4,"PISA2","2 - Sound round","33",64.3,19.2,"PISA2","Y",">=10cm","2"
"71","D17","SJER","SJER_061","2017-03-06T00:00:00.000Z","5",NA,270,49.5,"PISA2","4 - Rotten throughout","30",79.8,12.5,"PISA2","Y",">=10cm","4"
"72","D17","SJER","SJER_061","2017-03-06T00:00:00.000Z","5",NA,30,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"73","D17","SJER","SJER_061","2017-03-06T00:00:00.000Z","5",NA,150,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"74","D17","SJER","SJER_063","2017-03-06T00:00:00.000Z","5",NA,110,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"75","D17","SJER","SJER_063","2017-03-06T00:00:00.000Z","5",NA,230,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"76","D17","SJER","SJER_063","2017-03-06T00:00:00.000Z","5",NA,350,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"77","D17","SJER","SJER_009","2017-03-02T00:00:00.000Z","5",NA,250,39.4,"PISA2","3 - Heartwood sound","45",94,7.6,"PISA2","Y",">=10cm","3"
"78","D17","SJER","SJER_009","2017-03-02T00:00:00.000Z","5",NA,10,29.6,"QUDO","4 - Rotten throughout","43",56.8,6.25,"QUDO","Y",">=10cm","4"
"79","D17","SJER","SJER_009","2017-03-02T00:00:00.000Z","5",NA,130,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"80","D17","SJER","SJER_050","2017-03-02T00:00:00.000Z","5",NA,190,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"81","D17","SJER","SJER_050","2017-03-02T00:00:00.000Z","5",NA,70,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"82","D17","SJER","SJER_050","2017-03-02T00:00:00.000Z","5",NA,310,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"83","D17","SJER","SJER_053","2017-03-08T00:00:00.000Z","5",NA,160,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"84","D17","SJER","SJER_053","2017-03-08T00:00:00.000Z","5",NA,40,35.6,"PISA2","3 - Heartwood sound","52",90,11.2,"PISA2","Y",">=10cm","3"
"85","D17","SJER","SJER_053","2017-03-08T00:00:00.000Z","5",NA,40,38.7,"PISA2","3 - Heartwood sound","53",90.3,14.2,"PISA2","Y",">=10cm","3"
"86","D17","SJER","SJER_060","2017-03-08T00:00:00.000Z","5",NA,130,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"87","D17","SJER","SJER_060","2017-03-08T00:00:00.000Z","5",NA,250,9.9,"QUDO","4 - Rotten throughout","L01",0.6,2.2,"QUDO","Y","5-10cm","4"
"88","D17","SJER","SJER_060","2017-03-08T00:00:00.000Z","5",NA,250,7.1,"QUDO","1 - Fresh fallen","L02",3.2,1.3,"QUDO","Y","5-10cm","1"
"89","D17","SJER","SJER_060","2017-03-08T00:00:00.000Z","5",NA,250,7.7,"QUDO","1 - Fresh fallen","L03",4,1.3,"QUDO","Y","5-10cm","1"
"90","D17","SJER","SJER_060","2017-03-08T00:00:00.000Z","5",NA,250,39.1,"PISA2","2 - Sound round","54",66.7,19.3,"PISA2","Y",">=10cm","2"
"91","D17","SJER","SJER_060","2017-03-08T00:00:00.000Z","5",NA,10,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"92","D17","SJER","SJER_054","2017-03-08T00:00:00.000Z","5",NA,20,73.79,"PISA2","2 - Sound round","55",279,18.5,"PISA2","Y",">=10cm","2"
"93","D17","SJER","SJER_054","2017-03-08T00:00:00.000Z","5",NA,140,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"94","D17","SJER","SJER_054","2017-03-08T00:00:00.000Z","5",NA,260,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"95","D17","SJER","SJER_026","2017-03-09T00:00:00.000Z","5",NA,60,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"96","D17","SJER","SJER_026","2017-03-09T00:00:00.000Z","5",NA,300,8.5,"PISA2","1 - Fresh fallen","L01",4.3,3,"PISA2","Y","5-10cm","1"
"97","D17","SJER","SJER_026","2017-03-09T00:00:00.000Z","5",NA,300,57.3,"PISA2","1 - Fresh fallen","71",98,16.3,"PISA2","Y",">=10cm","1"
"98","D17","SJER","SJER_026","2017-03-09T00:00:00.000Z","5",NA,300,48.4,"QUWI2","2 - Sound round","72",159,5.5,"QUWI2","Y",">=10cm","2"
"99","D17","SJER","SJER_026","2017-03-09T00:00:00.000Z","5",NA,180,47.9,"QUWI2","4 - Rotten throughout","35",172.2,6.5,"QUWI2","Y",">=10cm","4"
"100","D17","SJER","SJER_051","2017-03-06T00:00:00.000Z","5",NA,350,33.2,"PISA2","3 - Heartwood sound","38",13.9,17.1,"PISA2","Y",">=10cm","3"
"101","D17","SJER","SJER_051","2017-03-06T00:00:00.000Z","5",NA,350,42.7,"QUWI2","3 - Heartwood sound","36",124.7,10.3,"QUWI2","Y",">=10cm","3"
"102","D17","SJER","SJER_051","2017-03-06T00:00:00.000Z","5",NA,110,9,"PISA2",NA,"L01",4.9,2.2,"PISA2","Y","5-10cm",NA
"103","D17","SJER","SJER_051","2017-03-06T00:00:00.000Z","5",NA,110,12.1,"PISA2","2 - Sound round","28",5.1,10.3,"PISA2","Y",">=10cm","2"
"104","D17","SJER","SJER_051","2017-03-06T00:00:00.000Z","5",NA,110,31.3,"PISA2","1 - Fresh fallen","37",6.7,19.8,"PISA2","Y",">=10cm","1"
"105","D17","SJER","SJER_051","2017-03-02T00:00:00.000Z","5",NA,230,16.9,"QUDO","5 - No structural integrity","50",12.9,1.7,"QUDO","Y",">=10cm","5"
"106","D17","SJER","SJER_051","2017-03-02T00:00:00.000Z","5",NA,230,52,"PISA2","2 - Sound round","42",200,21.9,"PISA2","Y",">=10cm","2"
"107","D17","SJER","SJER_056","2017-03-22T00:00:00.000Z",NA,NA,180,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"108","D17","SJER","SJER_056","2017-03-22T00:00:00.000Z",NA,NA,300,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"109","D17","SJER","SJER_047","2017-02-18T00:00:00.000Z","5",NA,70,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"110","D17","SJER","SJER_046","2017-02-14T00:00:00.000Z","5",NA,140,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"111","D17","SJER","SJER_047","2017-02-18T00:00:00.000Z","5",NA,190,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"112","D17","SJER","SJER_002","2017-02-24T00:00:00.000Z","5",NA,320,6.7,"QUDO",NA,"L01",4.4,2.1,"QUDO","Y","5-10cm",NA
"113","D17","SJER","SJER_002","2017-02-24T00:00:00.000Z","5",NA,200,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"114","D17","SJER","SJER_002","2017-02-24T00:00:00.000Z","5",NA,80,40.4,"QUWI2","1 - Fresh fallen","17",190.4,9.7,"QUWI2","Y",">=10cm","1"
"115","D17","SJER","SJER_007","2017-02-28T00:00:00.000Z","5",NA,150,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"116","D17","SJER","SJER_007","2017-02-28T00:00:00.000Z","5",NA,270,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"117","D17","SJER","SJER_010","2017-02-28T00:00:00.000Z","5",NA,150,7.3,"QUWI2",NA,"L01",5.3,1.9,"QUWI2","Y","5-10cm",NA
"118","D17","SJER","SJER_010","2017-02-28T00:00:00.000Z","5",NA,270,27.5,"PISA2","2 - Sound round","2",11.1,14.2,"PISA2","Y",">=10cm","2"
"119","D17","SJER","SJER_010","2017-02-28T00:00:00.000Z","5",NA,270,22,"PISA2","2 - Sound round","3",12.3,9.2,"PISA2","Y",">=10cm","2"
"120","D17","SJER","SJER_007","2017-02-28T00:00:00.000Z","5",NA,30,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"121","D17","SJER","SJER_010","2017-02-28T00:00:00.000Z","5",NA,270,18.8,"PISA2","2 - Sound round","4",17.9,8.7,"PISA2","Y",">=10cm","2"
"122","D17","SJER","SJER_010","2017-02-28T00:00:00.000Z","5",NA,270,28,"PISA2","2 - Sound round","7",19.7,8.4,"PISA2","Y",">=10cm","2"
"123","D17","SJER","SJER_010","2017-02-28T00:00:00.000Z","5",NA,270,53.5,"PISA2","2 - Sound round","6",19.8,17.7,"PISA2","Y",">=10cm","2"
"124","D17","SJER","SJER_010","2017-02-28T00:00:00.000Z","5",NA,30,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"125","D17","SJER","SJER_025","2017-02-13T00:00:00.000Z","5",NA,270,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"126","D17","SJER","SJER_005","2017-03-09T00:00:00.000Z","5",NA,230,39,"PISA2","3 - Heartwood sound","19",105.1,9,"PISA2","Y",">=10cm","3"
"127","D17","SJER","SJER_005","2017-03-09T00:00:00.000Z","5",NA,350,11,"QUDO","4 - Rotten throughout","56",9.7,1.3,"QUDO","Y",">=10cm","4"
"128","D17","SJER","SJER_005","2017-03-09T00:00:00.000Z","5",NA,110,12.3,"PISA2","2 - Sound round","58",12.7,3.1,"PISA2","Y",">=10cm","2"
"129","D17","SJER","SJER_057","2017-02-14T00:00:00.000Z","5",NA,130,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"130","D17","SJER","SJER_025","2017-02-13T00:00:00.000Z","5",NA,150,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"131","D17","SJER","SJER_057","2017-02-14T00:00:00.000Z","5",NA,250,36,"PISA2","3 - Heartwood sound","9",116.9,16.9,"PISA2","Y",">=10cm","3"
"132","D17","SJER","SJER_046","2017-02-14T00:00:00.000Z","5",NA,260,50.7,"PISA2","1 - Fresh fallen","11",184.4,18.6,"PISA2","Y",">=10cm","1"
"133","D17","SJER","SJER_045","2017-02-16T00:00:00.000Z","5",NA,80,36.4,"PISA2","1 - Fresh fallen","20",80.2,20.4,"PISA2","Y",">=10cm","1"
"134","D17","SJER","SJER_045","2017-02-16T00:00:00.000Z","5",NA,320,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"135","D17","SJER","SJER_062","2017-02-16T00:00:00.000Z","5",NA,310,69.5,"QUDO","3 - Heartwood sound","26",169,9.8,"QUDO","Y",">=10cm","3"
"136","D17","SJER","SJER_003","2017-03-06T00:00:00.000Z","5",NA,90,26.7,"QUWI2","2 - Sound round","31",29.9,5,"QUWI2","Y",">=10cm","2"
"137","D17","SJER","SJER_003","2017-03-06T00:00:00.000Z","5",NA,210,6.8,"PISA2","2 - Sound round","L01",2.4,1.9,"PISA2","Y","5-10cm","2"
"138","D17","SJER","SJER_003","2017-03-06T00:00:00.000Z","5",NA,210,43.18,"PISA2","2 - Sound round","48",68.3,16.3,"PISA2","Y",">=10cm","2"
"139","D17","SJER","SJER_003","2017-03-06T00:00:00.000Z","5",NA,330,25,"PISA2","3 - Heartwood sound","49",33.6,14.7,"PISA2","Y",">=10cm","3"
"140","D17","SJER","SJER_003","2017-03-06T00:00:00.000Z","5",NA,330,33.6,"PISA2","2 - Sound round","44",69.2,9.2,"PISA2","Y",">=10cm","2"
"141","D17","SJER","SJER_003","2017-03-06T00:00:00.000Z","5",NA,330,62,"PISA2","3 - Heartwood sound","40",111.5,11.5,"PISA2","Y",">=10cm","3"
"142","D17","SJER","SJER_003","2017-03-06T00:00:00.000Z","5",NA,330,38.1,"PISA2","4 - Rotten throughout","40",114.1,10.4,"PISA2","Y",">=10cm","4"
"143","D17","SJER","SJER_008","2017-03-20T00:00:00.000Z",NA,NA,340,28.69,"QUDO","3 - Heartwood sound","39",97.5,6.3,"QUDO","Y",">=10cm","3"
"144","D17","SJER","SJER_008","2017-03-20T00:00:00.000Z",NA,NA,100,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"145","D17","SJER","SJER_008","2017-03-20T00:00:00.000Z",NA,NA,220,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"146","D17","SJER","SJER_056","2017-03-22T00:00:00.000Z",NA,NA,60,17.7,"PISA2","2 - Sound round","61",26.6,8.1,"PISA2","Y",">=10cm","2"
"147","D17","SJER","SJER_056","2017-03-22T00:00:00.000Z",NA,NA,60,32.3,"PISA2","2 - Sound round","51",29.1,8.5,"PISA2","Y",">=10cm","2"
"148","D17","SJER","SJER_056","2017-03-22T00:00:00.000Z",NA,NA,60,38.1,"PISA2","2 - Sound round","59",111.1,9.1,"PISA2","Y",">=10cm","2"
