,taxonID,family,genus,species,scientificName,synonym,commonName,pathway,refType,reference
11480,BRMA3,Poaceae,Bromus,madritensis,Bromus madritensis L.,,compact brome,C3,journal,"499,563"
11514,BRPU4,Poaceae,Bromus,purgans,Bromus purgans L.,Bromus kalmii, ,C3,journal,"7,90"
11520,BRRI8,Poaceae,Bromus,rigidus,Bromus rigidus Roth,,ripgut brome,C3,journal,"7,30,563"
11522,BRRU2,Poaceae,Bromus,rubens,Bromus rubens L.,,red brome,C3,journal,"30,39,477"
11523,BRSC3,Poaceae,Bromus,scoparius,Bromus scoparius L.,,broom brome,C3,journal,563
11536,BRST3,Poaceae,Bromus,stamineus,Bromus stamineus Desv.,,roadside brome,C3,journal,171
11537,BRST2,Poaceae,Bromus,sterilis,Bromus sterilis L.,,poverty brome,C3,journal,"57,129,149"
11540,BRTE,Poaceae,Bromus,tectorum,Bromus tectorum L.,,cheatgrass,C3,journal,"7,32,34,99,129,179,180,182,383,385,563,629"
11548,BRUN,Poaceae,Bromus,unioloides,Bromus unioloides Kunth,Bromus catharticus, ,C3,journal,7465
11553,BRWI,Poaceae,Bromus,willdenowii,Bromus willdenowii Kunth,Bromus catharticus, ,C3,journal,"89,410,413"
12312,CACA4,Poaceae,Calamagrostis,canadensis,Calamagrostis canadensis (Michx.) Beauv.,,bluejoint,C3,journal,"7,32,90,110,120,168"
12331,CAEP,Poaceae,Calamagrostis,epigeios,Calamagrostis epigeios (L.) Roth,,chee reedgrass,C3,journal,"156,158,250,268,269,000,000"
14041,CAAC2,Cyperaceae,Carex,acutiformis,Carex acutiformis Ehrh.,,lesser pond sedge,C3,journal,551
14164,CABR10,Cyperaceae,Carex,brevior,Carex brevior (Dewey) Mackenzie,,shortbeak sedge,C3,journal,106
14210,CACA15,Cyperaceae,Carex,caroliniana,Carex caroliniana Schwein.,,Carolina sedge,C3,journal,54
14222,CACH3,Cyperaceae,Carex,cherokeensis,Carex cherokeensis Schwein.,,Cherokee sedge,C3,journal,54
14293,CADI4,Cyperaceae,Carex,diandra,Carex diandra Schrank,,lesser panicled sedge,C3,journal,551
14310,CADU6,Cyperaceae,Carex,duriuscula,Carex duriuscula C.A. Mey.,,needleleaf sedge,C3,journal,"10,156,158,250,269"
14325,CAEL2,Cyperaceae,Carex,eleocharis,Carex eleocharis Bailey,Carex duriuscula, ,C3,journal,"48,59,106,170"
14354,CAFI,Cyperaceae,Carex,filifolia,Carex filifolia Nutt.,,threadleaf sedge,C3,journal,"48,59,179"
14424,CAGR5,Cyperaceae,Carex,grayi,Carex grayi Carey,,Gray's sedge,C3,journal,16
14446,CAHE5,Cyperaceae,Carex,heliophila,Carex heliophila Mackenzie,Carex inops ssp. heliophila, ,C3,journal,"129,610"
14473,CAHY4,Cyperaceae,Carex,hystericina,Carex hystericina Muhl. ex Willd.,,bottlebrush sedge,C3,journal,163
14512,CAKO2,Cyperaceae,Carex,kobomugi,Carex kobomugi Ohwi,,Japanese sedge,C3,journal,189
14518,CALA16,Cyperaceae,Carex,lacustris,Carex lacustris Willd.,,hairy sedge,C3,journal,65
14527,CALA11,Cyperaceae,Carex,lasiocarpa,Carex lasiocarpa Ehrh.,,woollyfruit sedge,C3,journal,431
14801,CAPL3,Cyperaceae,Carex,planostachys,Carex planostachys Kunze,,cedar sedge,C3,journal,151
14814,CAPR5,Cyperaceae,Carex,praegracilis,Carex praegracilis W. Boott,,clustered field sedge,C3,URL,179
14862,CARO6,Cyperaceae,Carex,rostrata,Carex rostrata Stokes,,beaked sedge,C3,journal,551
14923,CASI12,Cyperaceae,Carex,siccata,Carex siccata Dewey,Carex foenea var. foenea, ,C3,URL,179
14946,CAST40,Cyperaceae,Carex,stenophylla,Carex stenophylla auct. non Wahlenb.,Carex duriuscula, ,C3,journal,511
14969,CAST8,Cyperaceae,Carex,stricta,Carex stricta Lam.,,upright sedge,C3,journal,65
14983,CASU7,Cyperaceae,Carex,subnigricans,Carex subnigricans Stacey,,nearlyblack sedge,C3,journal,124
15762,CARI2,Poaceae,Catapodium,rigidum,Catapodium rigidum (L.) C.E. Hubbard ex Dony,Desmazeria rigida, ,C3,journal,563
16293,CELA9,Poaceae,Centotheca,lappacea,Centotheca lappacea (L.) Desv.,,,C3,journal,90
17383,CHLA5,Poaceae,Chasmanthium,latifolium,Chasmanthium latifolium (Michx.) Yates,,Indian woodoats,C3,journal,"7,54,529"
17390,CHSE2,Poaceae,Chasmanthium,sessiliflorum,Chasmanthium sessiliflorum (Poir.) Yates,,longleaf woodoats,C3,journal,"54,529"
18396,CILA2,Poaceae,Cinna,latifolia,Cinna latifolia (Trev. ex Goepp.) Griseb.,,drooping woodreed,C3,journal,"7,90"
18812,CLJA,Cyperaceae,Cladium,jamaicense,Cladium jamaicense Crantz,Cladium mariscus ssp. jamaicense, ,C3,journal,"65,323,596"
20847,COSE4,Poaceae,Cortaderia,selloana,Cortaderia selloana (J.A. & J.H. Schultes) Aschers. & Graebn.,,Uruguayan pampas grass,C3,journal,"7,90,119,465,472,529"
22613,CUME2,Poaceae,Cutandia,memphitica,Cutandia memphitica (Spreng.) Benth.,,Memphisgrass,C3,journal,563
23091,CYCR,Poaceae,Cynosurus,cristatus,Cynosurus cristatus L.,,crested dogstail grass,C3,journal,413
23093,CYEC,Poaceae,Cynosurus,echinatus,Cynosurus echinatus L.,,bristly dogstail grass,C3,journal,465
23111,CYAL2,Cyperaceae,Cyperus,alternifolius,Cyperus alternifolius auct. non L.,Cyperus involucratus, ,C3,journal,"61,189,194,323,324,500,000,000"
23112,CYALF,Cyperaceae,Cyperus,alternifolius,Cyperus alternifolius L. ssp. flabelliformis (Rottb.) Kükenth.,Cyperus involucratus, ,C3,journal,556
23150,CYDI4,Cyperaceae,Cyperus,difformis,Cyperus difformis L.,,variable flatsedge,C3,journal,"16,156,189,261,266,300,000"
23195,CYFU3,Cyperaceae,Cyperus,fuscus,Cyperus fuscus L.,,brown flatsedge,C3,journal,"156,261,518"
23207,CYHA,Cyperaceae,Cyperus,haspan,Cyperus haspan L.,,haspan flatsedge,C3,journal,"266,323,350"
23228,CYIN6,Cyperaceae,Cyperus,involucratus,Cyperus involucratus Rottb.,,unbrella plant,C3,book,"194,500,502,518"
23316,CYPR17,Cyperaceae,Cyperus,prolifer,Cyperus prolifer Lam.,,miniature flatsedge,C3,journal,323
23379,CYVE,Cyperaceae,Cyperus,vegetus,Cyperus vegetus Willd.,Cyperus eragrostis, ,C3,book,"194,500,502"
23679,CYPA22,Poaceae,Cyrtococcum,patens,Cyrtococcum patens (L.) Camus,,,C3,journal,"16,90,199"
23767,DAAS,Poaceae,Dactylis,aschersoniana,Dactylis aschersoniana Graebn.,Dactylis glomerata ssp. aschersoniana, ,C3,journal,"7,90"
23768,DAGL,Poaceae,Dactylis,glomerata,Dactylis glomerata L.,,orchardgrass,C3,journal,"7,28,57,90,120,129,149,150,171,265,375,409,410,413,426,427,563"
23971,DACA3,Poaceae,Danthonia,californica,Danthonia californica Boland.,,California oatgrass,C3,journal,199
23980,DAIN,Poaceae,Danthonia,intermedia,Danthonia intermedia Vasey,,timber oatgrass,C3,journal,199
23982,DAPA2,Poaceae,Danthonia,parryi,Danthonia parryi Scribn.,,Parry's oatgrass,C3,journal,48
23983,DAPI,Poaceae,Danthonia,pilosa,Danthonia pilosa R. Br.,Rytidosperma pilosum, ,C3,journal,7
23984,DAPU10,Poaceae,Danthonia,purpurea,Danthonia purpurea (Thunb.) Beauv. ex Roemer & J.A. Schultes,Karroochloa purpurea, ,C3,journal,199
23985,DASE,Poaceae,Danthonia,semiannularis,Danthonia semiannularis (Labill.) R. Br.,Rytidosperma semiannulare, ,C3,journal,199
23988,DASP2,Poaceae,Danthonia,spicata,Danthonia spicata (L.) Beauv. ex Roemer & J.A. Schultes,,poverty oatgrass,C3,journal,"7,54,75,90,199"
24498,DEAUG,Poaceae,Deschampsia,australis,Deschampsia australis auct. non Nees ex Steud.,Deschampsia nubigena, ,C3,journal,121
24507,DECA18,Poaceae,Deschampsia,caespitosa,Deschampsia caespitosa (L.) Beauv.,,tufted hairgrass,C3,journal,"7,156"
24549,DEFL,Poaceae,Deschampsia,flexuosa,Deschampsia flexuosa (L.) Trin.,,wavy hairgrass,C3,journal,"7,90,149"
24669,DERI5,Poaceae,Desmazeria,rigida,Desmazeria rigida (L.) Tutin,,ferngrass,C3,journal,149
24844,DIAM,Poaceae,Diarrhena,americana,Diarrhena americana Beauv.,,American beakgrain,C3,journal,"7,90,199"
24895,DIAC2,Poaceae,Dichanthelium,acuminatum,Dichanthelium acuminatum (Sw.) Gould & C.A. Clark,,tapered rosette grass,C3,journal,75
24911,DICL,Poaceae,Dichanthelium,clandestinum,Dichanthelium clandestinum (L.) Gould,,deertongue,C3,journal,7
24915,DICO2,Poaceae,Dichanthelium,commutatum,Dichanthelium commutatum (J.A. Schultes) Gould,,variable panicgrass,C3,journal,7
24920,DIDE4,Poaceae,Dichanthelium,depauperatum,Dichanthelium depauperatum (Muhl.) Gould,,starved panicgrass,C3,journal,7
24938,DILA11,Poaceae,Dichanthelium,lanuginosum,Dichanthelium lanuginosum (Ell.) Gould,Dichanthelium acuminatum var. fasciculatum, ,C3,journal,7
24943,DILA8,Poaceae,Dichanthelium,latifolium,Dichanthelium latifolium (L.) Gould & C.A. Clark,,broadleaf rosette grass,C3,journal,7
24945,DILE2,Poaceae,Dichanthelium,leibergii,Dichanthelium leibergii (Vasey) Freckmann,,openflower rosette grass,C3,journal,7
24950,DILI5,Poaceae,Dichanthelium,lindheimeri,Dichanthelium lindheimeri (Nash) Gould,Dichanthelium acuminatum var. lindheimeri, ,C3,journal,7
24951,DILI2,Poaceae,Dichanthelium,linearifolium,Dichanthelium linearifolium (Scribn. ex Nash) Gould,,slimleaf panicgrass,C3,journal,7
24956,DIME2,Poaceae,Dichanthelium,meridionale,Dichanthelium meridionale (Ashe) Freckmann,,matting rosette grass,C3,journal,7
24957,DIMI5,Poaceae,Dichanthelium,microcarpon,Dichanthelium microcarpon (Muhl. ex Ell.) Mohlenbrock,Dichanthelium dichotomum var. dichotomum, ,C3,journal,7
24959,DINO,Poaceae,Dichanthelium,nodatum,Dichanthelium nodatum (A.S. Hitchc. & Chase) Gould,,Sarita rosette grass,C3,journal,7
24960,DIOL,Poaceae,Dichanthelium,oligosanthes,Dichanthelium oligosanthes (J.A. Schultes) Gould,,Heller's rosette grass,C3,journal,7
24978,DISP2,Poaceae,Dichanthelium,sphaerocarpon,Dichanthelium sphaerocarpon (Ell.) Gould,,roundseed panicgrass,C3,journal,"7,89"
27283,EHCA,Poaceae,Ehrharta,calycina,Ehrharta calycina Sm.,,perennial veldtgrass,C3,journal,"7,90,379,430"
27284,EHER,Poaceae,Ehrharta,erecta,Ehrharta erecta Lam.,,panic veldtgrass,C3,journal,"90,199"
27285,EHLO3,Poaceae,Ehrharta,longiflora,Ehrharta longiflora Sm.,,longflowered veldtgrass,C3,journal,379
27393,ELAC5,Cyperaceae,Eleocharis,acutangula,Eleocharis acutangula (Roxb.) J.A. Schultes,,acute spikerush,C3,journal,323
27394,ELAC2,Cyperaceae,Eleocharis,acutisquamata,Eleocharis acutisquamata Buckl.,,sharpscale spikerush,C3,journal,532
27395,ELAL,Cyperaceae,Eleocharis,albida,Eleocharis albida Torr.,,white spikerush,C3,journal,532
27396,ELAM4,Cyperaceae,Eleocharis,ambigens,Eleocharis ambigens Fern.,Eleocharis fallax, ,C3,journal,532
27399,ELAT,Cyperaceae,Eleocharis,atropurpurea,Eleocharis atropurpurea (Retz.) J.& K. Presl,,purple spikerush,C3,journal,"266,323,532"
27405,ELBO,Cyperaceae,Eleocharis,bolanderi,Eleocharis bolanderi Gray,,Bolander's spikerush,C3,journal,532
27408,ELCA8,Cyperaceae,Eleocharis,calva,Eleocharis calva Torr.,Eleocharis erythropoda, ,C3,journal,532
27410,ELCA9,Cyperaceae,Eleocharis,cancellata,Eleocharis cancellata S. Wats.,,Arizona spikerush,C3,journal,532
27411,ELCA14,Cyperaceae,Eleocharis,capillacea,Eleocharis capillacea auct. non Kunth,Eleocharis baldwinii, ,C3,journal,532
27420,ELCE,Cyperaceae,Eleocharis,cellulosa,Eleocharis cellulosa Torr.,,Gulf Coast spikerush,C3,journal,532
27422,ELCO2,Cyperaceae,Eleocharis,compressa,Eleocharis compressa Sullivant,,flatstem spikerush,C3,journal,"54,532"
27425,ELCO11,Cyperaceae,Eleocharis,congesta,Eleocharis congesta D. Don,,spikerush,C3,journal,"109,532"
27428,ELDE2,Cyperaceae,Eleocharis,decumbens,Eleocharis decumbens C.B. Clarke,,decumbent spikerush,C3,journal,532
27431,ELDU3,Cyperaceae,Eleocharis,dulcis,Eleocharis dulcis (Burman f.) Trin. ex Henschel,,Chinese waterchestnut,C3,journal,"266,532"
27433,ELEL,Cyperaceae,Eleocharis,elegans,Eleocharis elegans (Kunth) Roemer & J.A. Schultes,,elegant spikerush,C3,journal,"61,532"
27435,ELEL4,Cyperaceae,Eleocharis,elliptica,Eleocharis elliptica Kunth,,elliptic spikerush,C3,journal,532
27438,ELEL2,Cyperaceae,Eleocharis,elongata,Eleocharis elongata Chapman,,slim spikerush,C3,journal,532
27439,ELEN,Cyperaceae,Eleocharis,engelmannii,Eleocharis engelmannii Steud.,,Engelmann's spikerush,C3,journal,532
27442,ELEQ,Cyperaceae,Eleocharis,equisetoides,Eleocharis equisetoides (Ell.) Torr.,,jointed spikesedge,C3,journal,"163,532"
27445,ELFI,Cyperaceae,Eleocharis,fistulosa,Eleocharis fistulosa J.A. Schultes,Eleocharis acutangula, ,C3,journal,"266,532"
27447,ELFL,Cyperaceae,Eleocharis,flavescens,Eleocharis flavescens (Poir.) Urban,,yellow spikerush,C3,journal,532
27452,ELGE,Cyperaceae,Eleocharis,geniculata,Eleocharis geniculata (L.) Roemer & J.A. Schultes,,Canada spikesedge,C3,journal,"266,532"
27453,ELHA2,Cyperaceae,Eleocharis,halophila,Eleocharis halophila (Fern. & Brack.) Fern. & Brack.,,saltmarsh spikerush,C3,journal,532
27454,ELIN,Cyperaceae,Eleocharis,intermedia,Eleocharis intermedia J.A. Schultes,,matted spikerush,C3,journal,532
27455,ELIN2,Cyperaceae,Eleocharis,interstincta,Eleocharis interstincta (Vahl) Roemer & J.A. Schultes,,knotted spikerush,C3,journal,"532,596"
27456,ELKA,Cyperaceae,Eleocharis,kamtschatica,Eleocharis kamtschatica (C.A. Mey.) Komarov,,Kamchatka spikerush,C3,journal,"266,532"
27457,ELLA,Cyperaceae,Eleocharis,lanceolata,Eleocharis lanceolata Fern.,,daggerleaf spikerush,C3,journal,532
27462,ELMA12,Cyperaceae,Eleocharis,macounii,Eleocharis macounii Fern.,Eleocharis obtusa, ,C3,journal,532
27463,ELMA5,Cyperaceae,Eleocharis,macrostachya,Eleocharis macrostachya Britt.,Eleocharis palustris, ,C3,URL,"179,180,532"
27464,ELMA6,Cyperaceae,Eleocharis,mamillata,Eleocharis mamillata auct. non Lindb. f.,Eleocharis palustris, ,C3,journal,532
27465,ELME,Cyperaceae,Eleocharis,melanocarpa,Eleocharis melanocarpa Torr.,,blackfruit spikerush,C3,journal,532
27467,ELMI2,Cyperaceae,Eleocharis,microcarpa,Eleocharis microcarpa Torr.,,smallfruit spikerush,C3,journal,532
27476,ELMO2,Cyperaceae,Eleocharis,montevidensis,Eleocharis montevidensis Kunth,,sand spikerush,C3,journal,532
27485,ELNA,Cyperaceae,Eleocharis,nana,Eleocharis nana Kunth,,hairlike spikerush,C3,journal,532
27486,ELNI2,Cyperaceae,Eleocharis,nigrescens,Eleocharis nigrescens (Nees) Steud.,,black spikerush,C3,journal,"323,532"
27488,ELNI,Cyperaceae,Eleocharis,nitida,Eleocharis nitida Fern.,,quill spikerush,C3,journal,532
