"","taxonID","acceptedTaxonID","family.x","genus.x","species","pathway","scientificName.y","commonName","reference","nativeStatusCode"
"63","AEGOP2","AEGOP2","Poaceae","Aegopogon","Humb.","","Aegopogon Humb. & Bonpl. ex Willd.","relaxgrass","","N"
"64","AESQ2","AETA2","","Aegilops","squarrosa","unknown","Aegilops squarrosa of authors"," ","","I"
"65","AETA2","AETA2","Poaceae","Aegilops","tauschii","unknown","Aegilops tauschii Coss.","Tausch's goatgrass","","I"
"66","AETE","AETE","Poaceae","Aegopogon","tenellus","unknown","Aegopogon tenellus (DC.) Trin.","fragilegrass","","N"
"67","AETEA","AETE","","Aegopogon","tenellus","unknown","Aegopogon tenellus (DC.) Trin. var. abortivus (Fourn.) Beetle"," ","","N"
"68","LATE4","AETE","","Lamarckia","tenella","unknown","Lamarckia tenella DC."," ","","N"
"69","AGAV","AGAV","Poaceae","Agrostis","avenacea","unknown","Agrostis avenacea J.F. Gmel.","Pacific bentgrass","","I"
"70","AGRE5","AGAV","","Agrostis","retrofracta","unknown","Agrostis retrofracta Willd."," ","","I"
"71","AGCR","AGCR","Poaceae","Agropyron","cristatum","C3","Agropyron cristatum (L.) Gaertn.","crested wheatgrass","10,28,90,120,156,157,158,250,268,269,400","I"
"72","AGCRP8","AGCRP8","Poaceae","Agropyron","cristatum","unknown","Agropyron cristatum (L.) Gaertn. ssp. pectinatum (Bieb.) Tzvelev","crested wheatgrass","","I"
"73","AGPE5","AGCRP8","","Agropyron","pectiniforme","C3","Agropyron pectiniforme Roemer & J.A. Schultes"," ","7","I"
"74","AGCR3","AGCRP8","","Agropyron","cristatiforme","unknown","Agropyron cristatiforme Sarkar"," ","","I"
"75","AGDE2","AGDE2","Poaceae","Agropyron","desertorum","C3","Agropyron desertorum (Fisch. ex Link) J.A. Schultes","desert wheatgrass","129,156,250,269,409,000","I"
"76","AGCRD2","AGDE2","","Agropyron","cristatum","unknown","Agropyron cristatum (L.) Gaertn. var. desertorum (Fisch. ex Link) Dorn"," ","","I"
"77","AGCRD","AGDE2","","Agropyron","cristatum","unknown","Agropyron cristatum (L.) Gaertn. ssp. desertorum (Fisch. ex Link) A. Löve"," ","","I"
"78","AGEL4","AGEL4","Poaceae","Agrostis","elliottiana","unknown","Agrostis elliottiana J.A. Schultes","Elliott's bentgrass","","N"
"79","AGEX2","AGEL4","","Agrostis","exigua","unknown","Agrostis exigua Thurb."," ","","N"
"80","AGEX","AGEX","Poaceae","Agrostis","exarata","unknown","Agrostis exarata Trin.","spike bentgrass","","N"
"81","AGAM2","AGEX","","Agrostis","ampla","unknown","Agrostis ampla A.S. Hitchc."," ","","N"
"82","AGMIM","AGEX","","Agrostis","microphylla","unknown","Agrostis microphylla Steud. var. major Vasey"," ","","N"
