siteID,sampleID,treatment,dryMass,sizeCategory
DEJU,DEJU_050_440_south,WholeCore,1.5187,1_2
DEJU,DEJU_050_440_south,WholeCore,0.9242,2_10
DEJU,DEJU_051_637_south,10%,0.1081,0_1
DEJU,DEJU_051_637_south,10%,0.1119,1_2
DEJU,DEJU_051_637_south,10%,0.1354,2_10
DEJU,DEJU_051_637_south,15%,0.4737,0_1
DEJU,DEJU_051_637_south,15%,0.0417,1_2
DEJU,DEJU_051_637_south,15%,0.2172,2_10
DEJU,DEJU_051_637_south,25%,1.1696,0_1
DEJU,DEJU_051_637_south,25%,0.1805,1_2
DEJU,DEJU_051_637_south,25%,0.2567,2_10
DEJU,DEJU_051_637_south,50%,2.4624,0_1
DEJU,DEJU_051_637_south,50%,0.7059,1_2
DEJU,DEJU_051_637_south,50%,0.0579,2_10
DEJU,DEJU_051_637_south,WholeCore,4.2138,0_1
DEJU,DEJU_051_637_south,WholeCore,1.04,1_2
DEJU,DEJU_051_637_south,WholeCore,0.6672,2_10
DEJU,DEJU_052_149_south,10%,0.0364,0_1
DEJU,DEJU_052_149_south,10%,0.0264,1_2
DEJU,DEJU_052_149_south,10%,0,2_10
DEJU,DEJU_052_149_south,15%,0.1782,0_1
DEJU,DEJU_052_149_south,15%,0.0821,1_2
DEJU,DEJU_052_149_south,15%,0.0654,2_10
DEJU,DEJU_052_149_south,25%,0.3708,0_1
DEJU,DEJU_052_149_south,25%,0.258,1_2
DEJU,DEJU_052_149_south,25%,0.1312,2_10
DEJU,DEJU_052_149_south,50%,0.5174,0_1
DEJU,DEJU_052_149_south,50%,0.4464,1_2
DEJU,DEJU_052_149_south,50%,0.7725,2_10
DEJU,DEJU_052_149_south,WholeCore,1.1028,0_1
DEJU,DEJU_052_149_south,WholeCore,0.8129,1_2
DEJU,DEJU_052_149_south,WholeCore,0.9691,2_10
DEJU,DEJU_053_009_south,10%,0.0219,0_1
DEJU,DEJU_053_009_south,10%,0,1_2
DEJU,DEJU_053_009_south,10%,0,2_10
DEJU,DEJU_053_009_south,15%,0.0604,0_1
DEJU,DEJU_053_009_south,15%,0.0251,1_2
DEJU,DEJU_053_009_south,15%,0,2_10
DEJU,DEJU_053_009_south,25%,0.3485,0_1
DEJU,DEJU_053_009_south,25%,0.125,1_2
DEJU,DEJU_053_009_south,25%,0.1821,2_10
DEJU,DEJU_053_009_south,50%,0.6692,0_1
DEJU,DEJU_053_009_south,50%,0.2094,1_2
DEJU,DEJU_053_009_south,50%,0.6154,2_10
DEJU,DEJU_053_009_south,WholeCore,1.1,0_1
DEJU,DEJU_053_009_south,WholeCore,0.3695,1_2
DEJU,DEJU_053_009_south,WholeCore,0.7975,2_10
DEJU,DEJU_054_764_south,10%,0.0926,0_1
DEJU,DEJU_054_764_south,10%,0.2126,1_2
DEJU,DEJU_054_764_south,10%,0.1735,2_10
DEJU,DEJU_054_764_south,15%,0.4271,0_1
DEJU,DEJU_054_764_south,15%,0.3956,1_2
DEJU,DEJU_054_764_south,15%,0.8411,2_10
DEJU,DEJU_054_764_south,25%,0.6038,0_1
DEJU,DEJU_054_764_south,25%,0.6189,1_2
DEJU,DEJU_054_764_south,25%,1.2489,2_10
DEJU,DEJU_054_764_south,50%,1.2443,0_1
DEJU,DEJU_054_764_south,50%,1.0455,1_2
DEJU,DEJU_054_764_south,50%,2.7335,2_10
DEJU,DEJU_054_764_south,WholeCore,2.3678,0_1
DEJU,DEJU_054_764_south,WholeCore,2.2726,1_2
DEJU,DEJU_054_764_south,WholeCore,4.997,2_10
TOOL,TOOL_048_073_North,10%,0.1687,0_1
TOOL,TOOL_048_073_North,10%,0.0604,1_2
TOOL,TOOL_048_073_North,10%,0.1141,2_10
TOOL,TOOL_048_073_North,15%,0.4124,0_1
TOOL,TOOL_048_073_North,15%,0.2021,1_2
TOOL,TOOL_048_073_North,15%,0.094,2_10
TOOL,TOOL_048_073_North,25%,0.6888,0_1
TOOL,TOOL_048_073_North,25%,0.1082,1_2
TOOL,TOOL_048_073_North,25%,0.0777,2_10
TOOL,TOOL_048_073_North,50%,1.1858,0_1
TOOL,TOOL_048_073_North,50%,0.2559,1_2
TOOL,TOOL_048_073_North,50%,0.0132,2_10
TOOL,TOOL_048_073_North,WholeCore,2.4557,0_1
TOOL,TOOL_048_073_North,WholeCore,0.6266,1_2
TOOL,TOOL_048_073_North,WholeCore,0.299,2_10
TOOL,TOOL_049_029_north,10%,0.1569,0_1
TOOL,TOOL_049_029_north,10%,0,1_2
TOOL,TOOL_049_029_north,10%,0,2_10
TOOL,TOOL_049_029_north,15%,0.4619,0_1
TOOL,TOOL_049_029_north,15%,0.1748,1_2
TOOL,TOOL_049_029_north,15%,0.0152,2_10
TOOL,TOOL_049_029_north,25%,0.8512,0_1
TOOL,TOOL_049_029_north,25%,0.294,1_2
TOOL,TOOL_049_029_north,25%,0.2211,2_10
TOOL,TOOL_049_029_north,50%,2.0806,0_1
TOOL,TOOL_049_029_north,50%,1.4525,1_2
TOOL,TOOL_049_029_north,50%,0.5198,2_10
TOOL,TOOL_049_029_north,WholeCore,3.5506,0_1
TOOL,TOOL_049_029_north,WholeCore,1.9213,1_2
TOOL,TOOL_049_029_north,WholeCore,0.7561,2_10
TOOL,TOOL_051_026_south,10%,0.1292,0_1
TOOL,TOOL_051_026_south,10%,0.138,1_2
TOOL,TOOL_051_026_south,10%,0.1595,2_10
TOOL,TOOL_051_026_south,15%,0.2428,0_1
TOOL,TOOL_051_026_south,15%,0.1113,1_2
TOOL,TOOL_051_026_south,15%,0.0996,2_10
TOOL,TOOL_051_026_south,25%,0.4353,0_1
TOOL,TOOL_051_026_south,25%,0.3285,1_2
TOOL,TOOL_051_026_south,25%,0.0271,2_10
TOOL,TOOL_051_026_south,50%,1.049,0_1
TOOL,TOOL_051_026_south,50%,0.3462,1_2
TOOL,TOOL_051_026_south,50%,0,2_10
TOOL,TOOL_051_026_south,WholeCore,1.8563,0_1
TOOL,TOOL_051_026_south,WholeCore,0.924,1_2
TOOL,TOOL_051_026_south,WholeCore,0.2862,2_10
TOOL,TOOL_054_099_south,10%,0.6997,0_1
TOOL,TOOL_054_099_south,10%,0.5511,1_2
TOOL,TOOL_054_099_south,10%,0,2_10
TOOL,TOOL_054_099_south,15%,1.4912,0_1
TOOL,TOOL_054_099_south,15%,0.6472,1_2
TOOL,TOOL_054_099_south,15%,1.233,2_10
TOOL,TOOL_054_099_south,25%,1.3068,0_1
TOOL,TOOL_054_099_south,25%,1.9443,1_2
TOOL,TOOL_054_099_south,25%,1.0769,2_10
TOOL,TOOL_054_099_south,50%,3.6754,0_1
TOOL,TOOL_054_099_south,50%,3.8529,1_2
TOOL,TOOL_054_099_south,50%,2.2531,2_10
TOOL,TOOL_054_099_south,WholeCore,7.1731,0_1
TOOL,TOOL_054_099_south,WholeCore,6.9955,1_2
TOOL,TOOL_054_099_south,WholeCore,4.563,2_10
TOOL,TOOL_056_051_south,10%,0.5742,0_1
TOOL,TOOL_056_051_south,10%,0.0841,1_2
TOOL,TOOL_056_051_south,10%,0.0368,2_10
TOOL,TOOL_056_051_south,15%,0.9392,0_1
TOOL,TOOL_056_051_south,15%,0.3432,1_2
TOOL,TOOL_056_051_south,15%,0.8412,2_10
TOOL,TOOL_056_051_south,25%,1.9439,0_1
TOOL,TOOL_056_051_south,25%,0.6995,1_2
TOOL,TOOL_056_051_south,25%,0.1481,2_10
TOOL,TOOL_056_051_south,50%,3.6885,0_1
TOOL,TOOL_056_051_south,50%,0.9467,1_2
TOOL,TOOL_056_051_south,50%,1.3491,2_10
TOOL,TOOL_056_051_south,WholeCore,7.1458,0_1
TOOL,TOOL_056_051_south,WholeCore,2.0735,1_2
TOOL,TOOL_056_051_south,WholeCore,2.3752,2_10
TOOL,TOOL_057_026_north,10%,0.1688,0_1
TOOL,TOOL_057_026_north,10%,0.1678,1_2
TOOL,TOOL_057_026_north,10%,0.3958,2_10
TOOL,TOOL_057_026_north,15%,0.5255,0_1
TOOL,TOOL_057_026_north,15%,0.3048,1_2
TOOL,TOOL_057_026_north,15%,0.0898,2_10
TOOL,TOOL_057_026_north,25%,0.7949,0_1
TOOL,TOOL_057_026_north,25%,0.5022,1_2
TOOL,TOOL_057_026_north,25%,0.8722,2_10
TOOL,TOOL_057_026_north,50%,2.0635,0_1
TOOL,TOOL_057_026_north,50%,0.6196,1_2
TOOL,TOOL_057_026_north,50%,2.661,2_10
TOOL,TOOL_057_026_north,WholeCore,4.2919,0_1
TOOL,TOOL_057_026_north,WholeCore,1.5944,1_2
TOOL,TOOL_057_026_north,WholeCore,4.0188,2_10
TOOL,TOOL_058_186_south,10%,0.3791,0_1
TOOL,TOOL_058_186_south,10%,0.1013,1_2
TOOL,TOOL_058_186_south,10%,0.1495,2_10
TOOL,TOOL_058_186_south,15%,0.9018,0_1
TOOL,TOOL_058_186_south,15%,0.0785,1_2
TOOL,TOOL_058_186_south,15%,0.0153,2_10
TOOL,TOOL_058_186_south,25%,1.0726,0_1
TOOL,TOOL_058_186_south,25%,0.6282,1_2
TOOL,TOOL_058_186_south,25%,0.4463,2_10
TOOL,TOOL_058_186_south,50%,2.6557,0_1
TOOL,TOOL_058_186_south,50%,0.8997,1_2
TOOL,TOOL_058_186_south,50%,1.3811,2_10
TOOL,TOOL_058_186_south,WholeCore,5.0092,0_1
TOOL,TOOL_058_186_south,WholeCore,1.7077,1_2
TOOL,TOOL_058_186_south,WholeCore,1.9922,2_10
TOOL,TOOL_059_149_north,10%,0.1472,0_1
TOOL,TOOL_059_149_north,10%,0.1432,1_2
TOOL,TOOL_059_149_north,10%,0.8663,2_10
TOOL,TOOL_059_149_north,15%,0.5597,0_1
TOOL,TOOL_059_149_north,15%,0.3479,1_2
TOOL,TOOL_059_149_north,15%,0.9885,2_10
TOOL,TOOL_059_149_north,25%,0.6313,0_1
TOOL,TOOL_059_149_north,25%,0.1373,1_2
TOOL,TOOL_059_149_north,25%,0.4657,2_10
TOOL,TOOL_059_149_north,50%,1.5145,0_1
TOOL,TOOL_059_149_north,50%,0.8523,1_2
TOOL,TOOL_059_149_north,50%,0.4246,2_10
TOOL,TOOL_059_149_north,WholeCore,2.8527,0_1
TOOL,TOOL_059_149_north,WholeCore,1.4807,1_2
TOOL,TOOL_059_149_north,WholeCore,2.7451,2_10
TOOL,TOOL_061_186_south,10%,0.5439,0_1
TOOL,TOOL_061_186_south,10%,0.35,1_2
TOOL,TOOL_061_186_south,10%,0.7044,2_10
TOOL,TOOL_061_186_south,15%,0.8446,0_1
TOOL,TOOL_061_186_south,15%,0.612,1_2
TOOL,TOOL_061_186_south,15%,0.8365,2_10
TOOL,TOOL_061_186_south,25%,1.6355,0_1
TOOL,TOOL_061_186_south,25%,0.7855,1_2
TOOL,TOOL_061_186_south,25%,0.7807,2_10
TOOL,TOOL_061_186_south,50%,3.2032,0_1
TOOL,TOOL_061_186_south,50%,2.27,1_2
TOOL,TOOL_061_186_south,50%,2.1228,2_10
TOOL,TOOL_061_186_south,WholeCore,6.2272,0_1
TOOL,TOOL_061_186_south,WholeCore,4.0175,1_2
TOOL,TOOL_061_186_south,WholeCore,4.4444,2_10
TOOL,TOOL_063_076_south,10%,0.2545,0_1
TOOL,TOOL_063_076_south,10%,0.2751,1_2
TOOL,TOOL_063_076_south,10%,0.0155,2_10
TOOL,TOOL_063_076_south,15%,0.565,0_1
TOOL,TOOL_063_076_south,15%,0.4913,1_2
TOOL,TOOL_063_076_south,15%,0,2_10
TOOL,TOOL_063_076_south,25%,1.1812,0_1
TOOL,TOOL_063_076_south,25%,0.196,1_2
TOOL,TOOL_063_076_south,25%,0.2101,2_10
TOOL,TOOL_063_076_south,50%,2.2622,0_1
TOOL,TOOL_063_076_south,50%,1.1721,1_2
TOOL,TOOL_063_076_south,50%,0.2998,2_10
TOOL,TOOL_063_076_south,WholeCore,4.2629,0_1
TOOL,TOOL_063_076_south,WholeCore,2.1345,1_2
TOOL,TOOL_063_076_south,WholeCore,0.5254,2_10
TOOL,TOOL_065_169_south,10%,0.1782,0_1
TOOL,TOOL_065_169_south,10%,0.1199,1_2
TOOL,TOOL_065_169_south,10%,0.232,2_10
TOOL,TOOL_065_169_south,15%,1.1796,0_1
TOOL,TOOL_065_169_south,15%,0.3319,1_2
TOOL,TOOL_065_169_south,15%,1.5346,2_10
TOOL,TOOL_065_169_south,25%,2.7318,0_1
TOOL,TOOL_065_169_south,25%,0.8378,1_2
TOOL,TOOL_065_169_south,25%,1.5601,2_10
TOOL,TOOL_065_169_south,50%,6.7572,0_1
TOOL,TOOL_065_169_south,50%,1.9334,1_2
TOOL,TOOL_065_169_south,50%,1.8392,2_10
TOOL,TOOL_065_169_south,WholeCore,10.8468,0_1
TOOL,TOOL_065_169_south,WholeCore,3.223,1_2
TOOL,TOOL_065_169_south,WholeCore,5.1659,2_10
TOOL,TOOL_070_097_south,10%,0.3085,0_1
TOOL,TOOL_070_097_south,10%,0.1553,1_2
TOOL,TOOL_070_097_south,10%,0.116,2_10
TOOL,TOOL_070_097_south,15%,0.6316,0_1
TOOL,TOOL_070_097_south,15%,0.4016,1_2
TOOL,TOOL_070_097_south,15%,0.05,2_10
TOOL,TOOL_070_097_south,25%,0.7493,0_1
TOOL,TOOL_070_097_south,25%,0.7694,1_2
TOOL,TOOL_070_097_south,25%,0.9367,2_10
TOOL,TOOL_070_097_south,50%,2.0274,0_1
TOOL,TOOL_070_097_south,50%,1.4185,1_2
TOOL,TOOL_070_097_south,50%,0.6835,2_10
TOOL,TOOL_070_097_south,WholeCore,3.7168,0_1
TOOL,TOOL_070_097_south,WholeCore,2.7448,1_2
TOOL,TOOL_070_097_south,WholeCore,1.6702,2_10
