"","plotid_parent","domainid","siteid","tallydate","volumefactor_ingest","particle_count","lidsazimuth","logmaxdiameter","taxonid","decayclass","logid_ingest","logdistance","loglength","acceptedtaxonid","targettaxapresent","diameterClass","decayClassNum"
"31","ORNL_002","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,90,30.2,"PINUS","5 - No structural integrity","197",40.3,3.2,"PINUS","Y",">=10cm","5"
"32","ORNL_002","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,90,24.9,"PINUS","5 - No structural integrity","198",43.5,6.5,"PINUS","Y",">=10cm","5"
"33","ORNL_002","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,90,33.5,"QUERC","4 - Rotten throughout","199",46,5.7,"QUERC","Y",">=10cm","4"
"34","ORNL_002","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,90,39.6,"QURU","1 - Fresh fallen","200",103.6,19.9,"QURU","Y",">=10cm","1"
"35","ORNL_002","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,90,47.5,"ACSA3","2 - Sound round","301",133.8,5.8,"ACSA3","Y",">=10cm","2"
"36","ORNL_002","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,330,2.6,"ACSA3",NA,"L01",0.35,2,"ACSA3","Y","2-5cm",NA
"37","ORNL_002","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,330,6.8,"ACSA3",NA,"L02",2.5,1.5,"ACSA3","Y","5-10cm",NA
"38","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,50,16.6,"QUAL","3 - Heartwood sound","201",3.8,25.5,"QUAL","Y",">=10cm","3"
"39","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,50,19.5,"QUAL","3 - Heartwood sound","201",5.5,25.5,"QUAL","Y",">=10cm","3"
"40","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,50,40,"QURU","2 - Sound round","205",20.1,20.5,"QURU","Y",">=10cm","2"
"41","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,50,20.5,"QUAL","3 - Heartwood sound","206",32.3,22.5,"QUAL","Y",">=10cm","3"
"42","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,50,14.8,"QUERC","4 - Rotten throughout","203",9.1,1.9,"QUERC","Y",">=10cm","4"
"43","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,50,19,"QUERC","4 - Rotten throughout","204",10.5,11.7,"QUERC","Y",">=10cm","4"
"44","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,170,29.2,"PINUS","4 - Rotten throughout","212",20.4,5.7,"PINUS","Y",">=10cm","4"
"45","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,170,27,"PINUS","4 - Rotten throughout","213",21.4,15.5,"PINUS","Y",">=10cm","4"
"46","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,170,28,"PINUS","4 - Rotten throughout","214",22.3,6.7,"PINUS","Y",">=10cm","4"
"47","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,170,27.2,"PINUS","5 - No structural integrity","215",28.8,2.1,"PINUS","Y",">=10cm","5"
"48","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,170,33.2,"PINUS","5 - No structural integrity","216",216,12.8,"PINUS","Y",">=10cm","5"
"49","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,170,20.2,"QUERC","4 - Rotten throughout","217",33.5,2.3,"QUERC","Y",">=10cm","4"
"50","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,290,12.5,"QUERC","2 - Sound round","218",1,5,"QUERC","Y",">=10cm","2"
"51","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,290,64,"QUAL","2 - Sound round","219",11.6,26.5,"QUAL","Y",">=10cm","2"
"52","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,50,27,"QUFA","3 - Heartwood sound","207",33,5.3,"QUFA","Y",">=10cm","3"
"53","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,50,20,"QUAL","3 - Heartwood sound","201",1.1,25.5,"QUAL","Y",">=10cm","3"
"54","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,50,17.5,"QUAL","3 - Heartwood sound","201",2.4,25.5,"QUAL","Y",">=10cm","3"
"55","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,50,17.3,"ACRU","3 - Heartwood sound","202",2.6,11.7,"ACRU","Y",">=10cm","3"
"56","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,50,20,"QUAL","3 - Heartwood sound","201",3.45,25.5,"QUAL","Y",">=10cm","3"
"57","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,50,16.5,"QUAL","3 - Heartwood sound","201",3.65,25.5,"QUAL","Y",">=10cm","3"
"58","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,170,15,"CARYA","4 - Rotten throughout","211",17.6,7.7,"CARYA","Y",">=10cm","4"
"59","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,50,36,"NYSY","3 - Heartwood sound","208",35,19.7,"NYSY","Y",">=10cm","3"
"60","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,50,38.9,"CARYA","2 - Sound round","209",59.5,31.1,"CARYA","Y",">=10cm","2"
"61","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,290,38.6,"PINUS","4 - Rotten throughout","220",53.8,10.3,"PINUS","Y",">=10cm","4"
"62","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,170,45.5,"PINUS","4 - Rotten throughout","210",11.5,13.3,"PINUS","Y",">=10cm","4"
"63","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,290,38,"PINUS","4 - Rotten throughout","221",78.8,18.1,"PINUS","Y",">=10cm","4"
"64","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,290,62,"QUVE","3 - Heartwood sound","222",160,26.8,"QUVE","Y",">=10cm","3"
"65","ORNL_003","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,170,6,"QUAL","3 - Heartwood sound","L01",2.2,2.8,"QUAL","Y","5-10cm","3"
"66","ORNL_004","D07","ORNL","2017-05-23T00:00:00.000Z",5,NA,140,8.9,"QUERC","3 - Heartwood sound","L01",3.1,1.6,"QUERC","Y","5-10cm","3"
"67","ORNL_004","D07","ORNL","2017-05-23T00:00:00.000Z",5,NA,140,10.2,"QUAL","2 - Sound round","225",4.6,1.6,"QUAL","Y",">=10cm","2"
"68","ORNL_004","D07","ORNL","2017-05-23T00:00:00.000Z",5,NA,20,68.5,"QUERC","3 - Heartwood sound","223",212.1,23.4,"QUERC","Y",">=10cm","3"
"69","ORNL_004","D07","ORNL","2017-05-23T00:00:00.000Z",5,NA,140,17.5,"QUERC","3 - Heartwood sound","224",1,15.2,"QUERC","Y",">=10cm","3"
"70","ORNL_004","D07","ORNL","2017-05-23T00:00:00.000Z",5,NA,260,35.5,"QUCO2","3 - Heartwood sound","226",58.8,3.4,"QUCO2","Y",">=10cm","3"
"71","ORNL_006","D07","ORNL","2017-05-24T00:00:00.000Z",5,NA,310,17,"LITU","4 - Rotten throughout","235",2,8.4,"LITU","Y",">=10cm","4"
"72","ORNL_006","D07","ORNL","2017-05-24T00:00:00.000Z",5,NA,310,14.5,"LITU","4 - Rotten throughout","236",2.1,4.6,"LITU","Y",">=10cm","4"
"74","ORNL_006","D07","ORNL","2017-05-24T00:00:00.000Z",5,NA,70,45,"QUAL","4 - Rotten throughout","233",167.3,25.1,"QUAL","Y",">=10cm","4"
"75","ORNL_006","D07","ORNL","2017-05-24T00:00:00.000Z",5,NA,70,58,"QUAL","3 - Heartwood sound","234",169.8,28.5,"QUAL","Y",">=10cm","3"
"76","ORNL_006","D07","ORNL","2017-05-24T00:00:00.000Z",5,NA,190,24.5,"ACRU","4 - Rotten throughout","238",47.9,7.8,"ACRU","Y",">=10cm","4"
"77","ORNL_007","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,320,47.6,"LITU","3 - Heartwood sound","242",19.35,21.65,"LITU","Y",">=10cm","3"
"78","ORNL_007","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,320,20.9,"PINUS","4 - Rotten throughout","243",33.6,9.8,"PINUS","Y",">=10cm","4"
"82","ORNL_007","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,200,30,"PINUS","4 - Rotten throughout","239",57,9.6,"PINUS","Y",">=10cm","4"
"84","ORNL_007","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,80,44,"PINUS","4 - Rotten throughout","241",94.4,12.1,"PINUS","Y",">=10cm","4"
"85","ORNL_007","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,80,28.5,"PIST","3 - Heartwood sound","240",20.3,20.7,"PIST","Y",">=10cm","3"
"86","ORNL_008","D07","ORNL","2017-06-01T00:00:00.000Z",5,NA,200,10.5,"QUMO4","1 - Fresh fallen","272",9.7,28.7,"QUMO4","Y",">=10cm","1"
"87","ORNL_008","D07","ORNL","2017-06-01T00:00:00.000Z",5,NA,200,11.5,"QUMO4","1 - Fresh fallen","272",8.5,28.7,"QUMO4","Y",">=10cm","1"
"88","ORNL_008","D07","ORNL","2017-06-01T00:00:00.000Z",5,NA,200,12.8,"QUMO4","1 - Fresh fallen","272",8.5,28.7,"QUMO4","Y",">=10cm","1"
"89","ORNL_008","D07","ORNL","2017-06-01T00:00:00.000Z",5,NA,200,12.8,"QUMO4","1 - Fresh fallen","272",10.4,28.7,"QUMO4","Y",">=10cm","1"
"90","ORNL_008","D07","ORNL","2017-06-01T00:00:00.000Z",5,NA,200,18,"QUMO4","1 - Fresh fallen","272",9.1,28.7,"QUMO4","Y",">=10cm","1"
"91","ORNL_008","D07","ORNL","2017-06-01T00:00:00.000Z",5,NA,200,13.9,"QUMO4","1 - Fresh fallen","272",7.9,28.7,"QUMO4","Y",">=10cm","1"
"92","ORNL_008","D07","ORNL","2017-06-01T00:00:00.000Z",5,NA,200,13,"QUMO4","3 - Heartwood sound","271",8,5.35,"QUMO4","Y",">=10cm","3"
"93","ORNL_008","D07","ORNL","2017-06-01T00:00:00.000Z",5,NA,320,30,"ACRU","4 - Rotten throughout","274",69.5,6.8,"ACRU","Y",">=10cm","4"
"94","ORNL_008","D07","ORNL","2017-06-01T00:00:00.000Z",5,NA,320,13,"QUERC","4 - Rotten throughout","273",9.4,3.5,"QUERC","Y",">=10cm","4"
"95","ORNL_008","D07","ORNL","2017-06-01T00:00:00.000Z",5,NA,200,13.5,"QUMO4","1 - Fresh fallen","272",11.1,28.7,"QUMO4","Y",">=10cm","1"
"96","ORNL_008","D07","ORNL","2017-06-01T00:00:00.000Z",5,NA,200,20.1,"2PLANT-H","4 - Rotten throughout","270",2.4,11.9,"2PLANT-H","Y",">=10cm","4"
"97","ORNL_008","D07","ORNL","2017-06-01T00:00:00.000Z",5,NA,200,9.5,"QUERC","1 - Fresh fallen","L01",0.4,5.05,"QUERC","Y","5-10cm","1"
"98","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,250,63.2,"QURU","4 - Rotten throughout","265",173.5,27.8,"QURU","Y",">=10cm","4"
"100","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,250,38.5,"QUERC","4 - Rotten throughout","264",85,2,"QUERC","Y",">=10cm","4"
"101","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,10,14.4,"QUMO4","3 - Heartwood sound","255",16.85,7.5,"QUMO4","Y",">=10cm","3"
"103","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,250,34.5,"CARYA","3 - Heartwood sound","268",82.7,24.2,"CARYA","Y",">=10cm","3"
"105","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,250,67,"QUERC","4 - Rotten throughout","262",44,4.6,"QUERC","Y",">=10cm","4"
"106","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,130,36.5,"QUVE","3 - Heartwood sound","266",15.3,2.6,"QUVE","Y",">=10cm","3"
"108","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,130,19.8,"QUVE","3 - Heartwood sound","267",27.4,15,"QUVE","Y",">=10cm","3"
"109","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,10,38.7,"QUMO4","3 - Heartwood sound","253",8.7,17.9,"QUMO4","Y",">=10cm","3"
"111","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,10,38.2,"QUMO4","3 - Heartwood sound","257",58.45,16.8,"QUMO4","Y",">=10cm","3"
"112","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,10,24.7,"QUAL","1 - Fresh fallen","259",107.2,14.2,"QUAL","Y",">=10cm","1"
"113","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,10,31.9,"QUMO4","2 - Sound round","299",4.9,13.2,"QUMO4","Y",">=10cm","2"
"116","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,10,37.2,"QUERC","4 - Rotten throughout","256",42.35,3.8,"QUERC","Y",">=10cm","4"
"118","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,10,32,"QUMO4","3 - Heartwood sound","251",6.45,18.8,"QUMO4","Y",">=10cm","3"
"119","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,10,12.4,"QUAL","1 - Fresh fallen","259",106.4,14.2,"QUAL","Y",">=10cm","1"
"120","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,10,15.5,"QUAL","1 - Fresh fallen","259",106.7,14.2,"QUAL","Y",">=10cm","1"
"121","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,10,23,"QUMO4","3 - Heartwood sound","252",84.7,20,"QUMO4","Y",">=10cm","3"
"123","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,10,23.5,"QUMO4","3 - Heartwood sound","254",9.7,11.9,"QUMO4","Y",">=10cm","3"
"125","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,10,24,"QUMO4","3 - Heartwood sound","298",4,10.6,"QUMO4","Y",">=10cm","3"
"126","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,10,16.4,"QUAL","1 - Fresh fallen","259",106.1,14.2,"QUAL","Y",">=10cm","1"
"127","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,250,30.2,"QUERC","3 - Heartwood sound","263",62.7,11.2,"QUERC","Y",">=10cm","3"
"128","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,10,34,"QURU","1 - Fresh fallen","258",82.5,14,"QURU","Y",">=10cm","1"
"129","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,10,60.2,"2PLANT-S","5 - No structural integrity","260",149.2,3.1,"2PLANT-S","Y",">=10cm","5"
"130","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,10,22.5,"QUMO4","3 - Heartwood sound","252",89.5,20,"QUMO4","Y",">=10cm","3"
"132","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,250,18.1,"QUMO4","2 - Sound round","261",17.1,8.7,"QUMO4","Y",">=10cm","2"
"134","ORNL_009","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,10,12.5,"QUMO4","3 - Heartwood sound","252",84.2,20,"QUMO4","Y",">=10cm","3"
"135","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,200,45,"PINUS","4 - Rotten throughout","325",0.8,9,"PINUS","Y",">=10cm","4"
"136","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,320,31.9,"PINUS","5 - No structural integrity","319",48.4,6.5,"PINUS","Y",">=10cm","5"
"137","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,320,31,"PINUS","4 - Rotten throughout","320",60.6,18.2,"PINUS","Y",">=10cm","4"
"138","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,320,33.1,"PINUS","5 - No structural integrity","321",74,1.6,"PINUS","Y",">=10cm","5"
"139","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,320,51.1,"PINUS","5 - No structural integrity","322",123.4,10.9,"PINUS","Y",">=10cm","5"
"140","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,80,22.9,"PINUS","5 - No structural integrity","323",22.9,10.4,"PINUS","Y",">=10cm","5"
"141","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,80,35.4,"PINUS","4 - Rotten throughout","324",101.5,9.45,"PINUS","Y",">=10cm","4"
"142","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,200,38.5,"PINUS","5 - No structural integrity","326",7.65,2.4,"PINUS","Y",">=10cm","5"
"143","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,320,35,"PINUS","5 - No structural integrity","313",4.5,13.3,"PINUS","Y",">=10cm","5"
"144","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,320,15.4,"PINUS","5 - No structural integrity","314",7.5,4.3,"PINUS","Y",">=10cm","5"
"145","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,320,39.6,"PINUS","5 - No structural integrity","315",23.9,7.9,"PINUS","Y",">=10cm","5"
"146","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,320,22.6,"PINUS","4 - Rotten throughout","316",24.2,16,"PINUS","Y",">=10cm","4"
"147","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,320,27.9,"PINUS","4 - Rotten throughout","317",33.2,18.1,"PINUS","Y",">=10cm","4"
"148","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,320,27.8,"PINUS","5 - No structural integrity","318",35.35,13.3,"PINUS","Y",">=10cm","5"
"149","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,200,27.3,"PINUS","4 - Rotten throughout","269",50.5,15.4,"PINUS","Y",">=10cm","4"
"150","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,80,29.7,"PINUS","4 - Rotten throughout","329",31.3,19.2,"PINUS","Y",">=10cm","4"
"151","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,200,34.6,"PINUS","4 - Rotten throughout","330",36.7,20.4,"PINUS","Y",">=10cm","4"
"152","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,200,30.4,"PINUS","4 - Rotten throughout","327",22.2,4.45,"PINUS","Y",">=10cm","4"
"153","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,80,24.6,"PINUS","5 - No structural integrity","328",30.9,7.7,"PINUS","Y",">=10cm","5"
"154","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,200,45.8,"PINUS","5 - No structural integrity","331",39.3,6.7,"PINUS","Y",">=10cm","5"
"155","ORNL_010","D07","ORNL","2017-05-31T00:00:00.000Z",5,NA,200,24,"PINUS","3 - Heartwood sound","332",46.75,16.8,"PINUS","Y",">=10cm","3"
"156","ORNL_012","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,10,46.5,"QURU","3 - Heartwood sound","246",73.55,14.9,"QURU","Y",">=10cm","3"
"157","ORNL_012","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,250,12.6,"ACSA3","3 - Heartwood sound","249",13.1,10.1,"ACSA3","Y",">=10cm","3"
"158","ORNL_012","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,130,2.5,"2PLANT-H","2 - Sound round","L01",0.1,2.3,"2PLANT-H","Y","2-5cm","2"
"159","ORNL_012","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,130,20.4,"QURU","4 - Rotten throughout","248",6.2,1.4,"QURU","Y",">=10cm","4"
"160","ORNL_012","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,250,55,"FAGR","2 - Sound round","250",119,40,"FAGR","Y",">=10cm","2"
"161","ORNL_012","D07","ORNL","2017-05-26T00:00:00.000Z",5,NA,10,33.5,"QURU","3 - Heartwood sound","247",92.1,10.5,"QURU","Y",">=10cm","3"
"162","ORNL_014","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,300,36.5,"PIEC2","4 - Rotten throughout","244",82.9,18.3,"PIEC2","Y",">=10cm","4"
"163","ORNL_014","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,180,35,"PINUS","5 - No structural integrity","246",34.4,3.5,"PINUS","Y",">=10cm","5"
"164","ORNL_014","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,60,5,"ACRU","2 - Sound round","L01",1.1,1.2,"ACRU","Y","5-10cm","2"
"165","ORNL_027","D07","ORNL","2017-05-23T00:00:00.000Z",5,NA,260,14.5,"PINUS","3 - Heartwood sound","229",0.8,2.9,"PINUS","Y",">=10cm","3"
"166","ORNL_027","D07","ORNL","2017-05-23T00:00:00.000Z",5,NA,140,20.5,"PINUS","3 - Heartwood sound","300",46,18.6,"PINUS","Y",">=10cm","3"
"167","ORNL_027","D07","ORNL","2017-05-23T00:00:00.000Z",5,NA,140,14.2,"PINUS","3 - Heartwood sound","300",47.5,18.6,"PINUS","Y",">=10cm","3"
"168","ORNL_027","D07","ORNL","2017-05-23T00:00:00.000Z",5,NA,140,12.2,"PINUS","4 - Rotten throughout","231",1.6,2.7,"PINUS","Y",">=10cm","4"
"169","ORNL_027","D07","ORNL","2017-05-23T00:00:00.000Z",5,NA,260,9.3,"PIST","4 - Rotten throughout","L01",1.5,6,"PIST","Y","5-10cm","4"
"170","ORNL_029","D07","ORNL","2017-05-19T00:00:00.000Z",5,NA,210,19.8,"QUMO4","1 - Fresh fallen","192",19.28,10.8,"QUMO4","Y",">=10cm","1"
"171","ORNL_029","D07","ORNL","2017-05-19T00:00:00.000Z",5,NA,90,24.58,"PINUS","3 - Heartwood sound","188",35.6,14.2,"PINUS","Y",">=10cm","3"
"172","ORNL_029","D07","ORNL","2017-05-19T00:00:00.000Z",5,NA,90,19.1,"JUVIV","4 - Rotten throughout","186",29.45,3.3,"JUVIV","Y",">=10cm","4"
"173","ORNL_029","D07","ORNL","2017-05-19T00:00:00.000Z",5,NA,90,7,"CECA4",NA,"L02",3.5,3.4,"CECA4","Y","5-10cm",NA
"174","ORNL_029","D07","ORNL","2017-05-19T00:00:00.000Z",5,NA,90,17.4,"PINUS","4 - Rotten throughout","185",0.2,6.6,"PINUS","Y",">=10cm","4"
"175","ORNL_029","D07","ORNL","2017-05-19T00:00:00.000Z",5,NA,210,29,"PINUS","3 - Heartwood sound","194",28.1,10.3,"PINUS","Y",">=10cm","3"
"176","ORNL_029","D07","ORNL","2017-05-19T00:00:00.000Z",5,NA,330,10.1,"PINUS","3 - Heartwood sound","181",1.75,5.9,"PINUS","Y",">=10cm","3"
