"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","tempstemid","growthform","stemdiameter","existing_band","agb","addDBH","bandLength","springSize"
"D16","WREF","WREF_073","39_400",39,85.5,12.4,"THPL","NEON.PLA.D16.WREF.04419",1,"single bole tree",59.9,"Y",1243.6,7.5,212,"127mm"
"D16","WREF","WREF_073","39_400",57,128.2,9.7,"THPL","NEON.PLA.D16.WREF.04456",1,"single bole tree",59.4,"Y",1218.6,7.5,211,"127mm"
"D16","WREF","WREF_073","39_400",57,142.1,8.8,"PSMEM","NEON.PLA.D16.WREF.04438",1,"single bole tree",52.9,"Y",1635.9,7.5,190,"127mm"
"D16","WREF","WREF_073","39_400",41,338.2,8.8,"PSMEM","NEON.PLA.D16.WREF.04424",1,"multi-bole tree",49.8,"Y",1408,4,169,"76mm"
"D16","WREF","WREF_073","39_400",59,209.5,4.7,"PSMEM","NEON.PLA.D16.WREF.04428",1,"single bole tree",48.6,"N",1325.2,4,166,"76mm"
"D16","WREF","WREF_073","39_400",39,75.4,12,"PSMEM","NEON.PLA.D16.WREF.04420",1,"single bole tree",47,"Y",1219.4,4,161,"76mm"
"D16","WREF","WREF_073","39_400",59,246.6,6.9,"THPL","NEON.PLA.D16.WREF.04431",1,"single bole tree",44.2,"Y",596,4,152,"76mm"
"D16","WREF","WREF_073","39_400",39,78.4,8.2,"THPL","NEON.PLA.D16.WREF.04464",1,"single bole tree",44,"Y",589.5,4,151,"76mm"
"D16","WREF","WREF_073","39_400",57,147.2,12.4,"PSMEM","NEON.PLA.D16.WREF.04473",1,"single bole tree",43.7,"Y",1017.6,4,150,"76mm"
"D16","WREF","WREF_073","39_400",57,93.8,0.9,"PSMEM","NEON.PLA.D16.WREF.04433",1,"single bole tree",40.7,"Y",852.7,4,141,"76mm"
"D16","WREF","WREF_073","39_400",57,160.4,9.7,"PSMEM","NEON.PLA.D16.WREF.04442",1,"single bole tree",34.2,"Y",553.3,4,120,"76mm"
"D16","WREF","WREF_073","39_400",39,2.4,5.9,"ABAM","NEON.PLA.D16.WREF.04470",1,"single bole tree",30.4,"Y",345.7,4,109,"76mm"
"D16","WREF","WREF_073","39_400",57,143.7,3.5,"TSHE","NEON.PLA.D16.WREF.04432",1,"single bole tree",28.6,"Y",297.8,4,103,"76mm"
"D16","WREF","WREF_073","39_400",57,139.1,10.4,"TSHE","NEON.PLA.D16.WREF.04439",1,"single bole tree",27.6,"Y",271.8,4,100,"76mm"
"D16","WREF","WREF_073","39_400",41,338.2,8.8,"PSMEM","NEON.PLA.D16.WREF.04424A",2,"multi-bole tree",26.9,"Y",304.7,4,98,"76mm"
"D16","WREF","WREF_073","39_400",41,325.8,11.4,"ABAM","NEON.PLA.D16.WREF.04425",1,"single bole tree",26.7,"Y",245.3,4,97,"76mm"
"D16","WREF","WREF_073","39_400",39,6.9,19.9,"PSMEM","NEON.PLA.D16.WREF.04434",1,"single bole tree",23.3,"N",213.2,4,86,"76mm"
"D16","WREF","WREF_073","39_400",39,44.7,19.5,"PSMEM","NEON.PLA.D16.WREF.04427",1,"single bole tree",23.2,"N",210.9,4,86,"76mm"
"D16","WREF","WREF_074","23_400",23,56.4,17.8,"PSMEM","NEON.PLA.D16.WREF.03658",1,"single bole tree",74.4,"N",3818.3,7.5,258,"127mm"
"D16","WREF","WREF_074","23_400",25,315.8,16.6,"PSMEM","NEON.PLA.D16.WREF.03669",1,"multi-bole tree",53.2,"N",1659.1,7.5,191,"127mm"
"D16","WREF","WREF_074","23_400",23,13.1,10.4,"TSHE","NEON.PLA.D16.WREF.03673",1,"single bole tree",53.2,"Y",1467.5,7.5,191,"127mm"
"D16","WREF","WREF_074","23_400",23,58.8,10.2,"TSHE","NEON.PLA.D16.WREF.03679",1,"single bole tree",47,"Y",1067.3,4,161,"76mm"
"D16","WREF","WREF_074","23_400",25,339.3,3.5,"PSMEM","NEON.PLA.D16.WREF.03214",1,"single bole tree",45.1,"Y",1100.5,4,155,"76mm"
"D16","WREF","WREF_074","23_400",25,315.8,16.6,"PSMEM","NEON.PLA.D16.WREF.03669A",2,"multi-bole tree",42.7,"N",960.7,4,147,"76mm"
"D16","WREF","WREF_074","23_400",25,351,17.5,"PSMEM","NEON.PLA.D16.WREF.03205",1,"single bole tree",41,"Y",868.4,4,142,"76mm"
"D16","WREF","WREF_074","23_400",25,344.7,14.2,"PSMEM","NEON.PLA.D16.WREF.03662",1,"single bole tree",28.8,"Y",361,4,103,"76mm"
"D16","WREF","WREF_074","23_400",25,277.2,14.8,"PSMEM","NEON.PLA.D16.WREF.03677",1,"single bole tree",27.8,"Y",330.7,4,100,"76mm"
"D16","WREF","WREF_074","23_400",25,332.6,21.8,"TSHE","NEON.PLA.D16.WREF.03667",1,"single bole tree",24.5,"N",200.1,4,90,"76mm"
"D16","WREF","WREF_074","23_400",23,3.2,3.2,"PSMEM","NEON.PLA.D16.WREF.03674",1,"single bole tree",23.8,"Y",224.8,4,88,"76mm"
"D16","WREF","WREF_074","23_400",25,335.8,1.9,"PSMEM","NEON.PLA.D16.WREF.03213",1,"single bole tree",23.5,"Y",217.8,4,87,"76mm"
"D16","WREF","WREF_074","39_400",39,63.6,5.2,"PSMEM","NEON.PLA.D16.WREF.03262",1,"single bole tree",66.6,"Y",2899.6,7.5,233,"127mm"
"D16","WREF","WREF_074","39_400",41,276.8,7.1,"TSHE","NEON.PLA.D16.WREF.03233",1,"single bole tree",53.5,"Y",1488.9,7.5,192,"127mm"
"D16","WREF","WREF_074","39_400",41,298.5,10.1,"TSHE","NEON.PLA.D16.WREF.03228",1,"single bole tree",50.9,"Y",1310,7.5,184,"127mm"
"D16","WREF","WREF_074","39_400",41,300.4,16.9,"TSHE","NEON.PLA.D16.WREF.03220",1,"single bole tree",48.5,"Y",1157.1,4,165,"76mm"
"D16","WREF","WREF_074","39_400",57,135.1,9.9,"TSHE","NEON.PLA.D16.WREF.03221",1,"single bole tree",46,"Y",1010,4,157,"76mm"
"D16","WREF","WREF_074","39_400",41,343.4,6.1,"TSHE","NEON.PLA.D16.WREF.03230",1,"single bole tree",44.3,"Y",916.8,4,152,"76mm"
"D16","WREF","WREF_074","39_400",41,315.4,6.2,"TSHE","NEON.PLA.D16.WREF.03232",1,"single bole tree",44,"Y",900.9,4,151,"76mm"
"D16","WREF","WREF_074","39_400",41,350.7,10.4,"TSHE","NEON.PLA.D16.WREF.03223",1,"single bole tree",27.4,"Y",266.7,4,99,"76mm"
"D16","WREF","WREF_074","39_400",57,159.8,11.3,"TSHE","NEON.PLA.D16.WREF.03219",1,"single bole tree",24.1,"N",191.8,4,89,"76mm"
