"mortonOrder","plotID","siteID","nlcdClass","plotType","subtype","applicableModules","plotSize","subtypeSpecification"
"10393","BONA_080","BONA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"36","DEJU_045","DEJU","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"740","DEJU_046","DEJU","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"932","DEJU_047","DEJU","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"21","HEAL_001","HEAL","dwarfScrub","distributed","basePlot","all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst","1600",
"21","HEAL_001","HEAL","dwarfScrub","distributed","birdGrid","brd","250000","ninePoints"
"21","HEAL_001","HEAL","dwarfScrub","distributed","tickPlot","tck","1600",
"1894","UNDE_037","UNDE","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"1958","UNDE_038","UNDE","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"2918","UNDE_043","UNDE","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"2292","BARR_054","BARR","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst","1600",
"6872","TOOL_044","TOOL","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst","1600",
"27033","BONA_084","BONA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst","1600",
"1316","DEJU_048","DEJU","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst","1600",
"29","HEAL_002","HEAL","dwarfScrub","distributed","basePlot","all|bet|cdw|cfc|dhp|div|hbp|vst","1600",
"2982","UNDE_044","UNDE","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst","1600",
"665","BONA_072","BONA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst","1600",
"1689","BONA_073","BONA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst","1600",
"2713","BONA_074","BONA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst","1600",
"3481","BONA_075","BONA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst","1600",
"3737","BONA_076","BONA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst","1600",
"6809","BONA_077","BONA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst","1600",
"3828","BARR_081","BARR","","tower","phenology","phe","40000","phenocam"
"81524","BARR_082","BARR","","tower","phenology","phe","40000","primary"
"631","BARR_083","BARR","sedgeHerbaceous","distributed","basePlot","all|bet","1600",
"631","BARR_083","BARR","sedgeHerbaceous","distributed","mammalGrid","mam","8100","diversity"
"1651","BARR_084","BARR","sedgeHerbaceous","distributed","basePlot","all|bet","1600",
"1651","BARR_084","BARR","sedgeHerbaceous","distributed","tickPlot","tck","1600",
"1651","BARR_084","BARR","sedgeHerbaceous","distributed","mammalGrid","mam","8100","diversity"
"4339","BARR_085","BARR","sedgeHerbaceous","distributed","basePlot","all|bet","1600",
"13171","BARR_086","BARR","sedgeHerbaceous","distributed","mosquitoPoint","mos|mpt","0",
"7927","BARR_087","BARR","sedgeHerbaceous","distributed","mosquitoPoint","mos|mpt","0",
"2","BLAN_001","BLAN","deciduousForest","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst","1600",
"2","BLAN_001","BLAN","deciduousForest","distributed","mammalGrid","mam","8100","diversity"
"9","BLAN_003","BLAN","pastureHay","distributed","mammalGrid","mam","8100","diversity"
"9","BLAN_003","BLAN","pastureHay","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst","1600",
"18","BLAN_004","BLAN","pastureHay","distributed","tickPlot","tck","1600",
"18","BLAN_004","BLAN","pastureHay","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst","1600",
"20","BLAN_005","BLAN","deciduousForest","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst","1600",
"20","BLAN_005","BLAN","deciduousForest","distributed","tickPlot","tck","1600",
"25","BLAN_006","BLAN","pastureHay","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst","1600",
"25","BLAN_006","BLAN","pastureHay","distributed","mammalGrid","mam","8100","diversity"
"36","BLAN_007","BLAN","deciduousForest","distributed","basePlot","all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst","1600",
"55","BLAN_008","BLAN","pastureHay","distributed","tickPlot","tck","1600",
"55","BLAN_008","BLAN","pastureHay","distributed","basePlot","all|bet|cdw|cfc|dhp|div|hbp|vst","1600",
"66","BLAN_009","BLAN","deciduousForest","distributed","basePlot","all|bet|cdw|cfc|dhp|div|hbp|vst","1600",
"66","BLAN_009","BLAN","deciduousForest","distributed","mammalGrid","mam","8100","diversity"
"82","BLAN_010","BLAN","pastureHay","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst","1600",
"84","BLAN_011","BLAN","deciduousForest","distributed","basePlot","all|bet|cdw|cfc|dhp|div|hbp|vst","1600",
"89","BLAN_012","BLAN","deciduousForest","distributed","basePlot","all|bet|cdw|cfc|dhp|div|hbp|vst","1600",
"89","BLAN_012","BLAN","deciduousForest","distributed","tickPlot","tck","1600",
"119","BLAN_013","BLAN","deciduousForest","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst","1600",
"121","BLAN_014","BLAN","pastureHay","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst","1600",
"130","BLAN_015","BLAN","deciduousForest","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst","1600",
"130","BLAN_015","BLAN","deciduousForest","distributed","tickPlot","tck","1600",
"146","BLAN_016","BLAN","pastureHay","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst","1600",
"148","BLAN_017","BLAN","deciduousForest","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst","1600",
"153","BLAN_018","BLAN","deciduousForest","distributed","basePlot","all|brd|cdw|dhp|div|hbp|vst","1600",
"164","BLAN_019","BLAN","pastureHay","distributed","basePlot","all|cdw|dhp|div|hbp|vst","1600",
"192","BLAN_020","BLAN","pastureHay","distributed","basePlot","all|cdw|dhp|div|hbp|vst","1600",
"192","BLAN_020","BLAN","pastureHay","distributed","tickPlot","tck","1600",
"244","BLAN_022","BLAN","pastureHay","distributed","mosquitoPoint","mos|mpt","0",
"249","BLAN_023","BLAN","deciduousForest","distributed","mosquitoPoint","mos|mpt","0",
"258","BLAN_024","BLAN","deciduousForest","distributed","mosquitoPoint","mos|mpt","0",
"356","BLAN_025","BLAN","deciduousForest","distributed","mosquitoPoint","mos|mpt","0",
"521","BLAN_026","BLAN","deciduousForest","distributed","mosquitoPoint","mos|mpt","0",
"608","BLAN_027","BLAN","deciduousForest","distributed","mosquitoPoint","mos|mpt","0",
"1145","BLAN_029","BLAN","pastureHay","distributed","mosquitoPoint","mos|mpt","0",
"26","BLAN_031","BLAN","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"90","BLAN_032","BLAN","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"282","BLAN_033","BLAN","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"474","BLAN_034","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"858","BLAN_035","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"1054","BLAN_036","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"1498","BLAN_037","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"1562","BLAN_038","BLAN","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst","1600",
"1626","BLAN_039","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"2074","BLAN_040","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"2394","BLAN_042","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"2842","BLAN_043","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"2970","BLAN_044","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"3098","BLAN_045","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"3674","BLAN_046","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"4682","BLAN_047","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"5038","BLAN_048","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"5402","BLAN_049","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"5466","BLAN_050","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"5914","BLAN_051","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"6042","BLAN_052","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"6234","BLAN_053","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"6746","BLAN_054","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"6810","BLAN_055","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"7514","BLAN_056","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"7626","BLAN_057","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"8026","BLAN_059","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"8730","BLAN_060","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"3226","BLAN_061","BLAN","","tower","phenology","phe","40000","primary"
"12446","BLAN_062","BLAN","","tower","phenology","phe","40000","phenocam"
"9034","BLAN_063","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"9242","BLAN_064","BLAN","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"1753","BLAN_065","BLAN","pastureHay","distributed","mosquitoPoint","mos|mpt","0",
"1","CPER_001","CPER","grasslandHerbaceous","distributed","basePlot","all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst","1600",
"1","CPER_001","CPER","grasslandHerbaceous","distributed","tickPlot","tck","1600",
"2","CPER_002","CPER","grasslandHerbaceous","distributed","basePlot","all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst","1600",
"2","CPER_002","CPER","grasslandHerbaceous","distributed","mammalGrid","mam","8100","diversity"
"2","CPER_002","CPER","grasslandHerbaceous","distributed","tickPlot","tck","1600",
"18","CPER_003","CPER","grasslandHerbaceous","distributed","basePlot","all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst","1600",
"18","CPER_003","CPER","grasslandHerbaceous","distributed","tickPlot","tck","1600",
"21","CPER_004","CPER","grasslandHerbaceous","distributed","basePlot","all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst","1600",
"21","CPER_004","CPER","grasslandHerbaceous","distributed","birdGrid","brd","250000","ninePoints"
"21","CPER_004","CPER","grasslandHerbaceous","distributed","mammalGrid","mam","8100","diversity"
"21","CPER_004","CPER","grasslandHerbaceous","distributed","tickPlot","tck","1600",
"22","CPER_005","CPER","grasslandHerbaceous","distributed","basePlot","all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst","1600",
"22","CPER_005","CPER","grasslandHerbaceous","distributed","birdGrid","brd","250000","ninePoints"
"22","CPER_005","CPER","grasslandHerbaceous","distributed","mammalGrid","mam","8100","diversity"
"22","CPER_005","CPER","grasslandHerbaceous","distributed","tickPlot","tck","1600",
"30","CPER_006","CPER","grasslandHerbaceous","distributed","basePlot","all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst","1600",
"30","CPER_006","CPER","grasslandHerbaceous","distributed","mammalGrid","mam","8100","diversity"
"33","CPER_007","CPER","grasslandHerbaceous","distributed","basePlot","all|bet|cdw|cfc|dhp|div|hbp|vst","1600",
"33","CPER_007","CPER","grasslandHerbaceous","distributed","tickPlot","tck","1600",
"39","CPER_008","CPER","grasslandHerbaceous","distributed","basePlot","all|bet|cdw|cfc|dhp|div|hbp|vst","1600",
"39","CPER_008","CPER","grasslandHerbaceous","distributed","mammalGrid","mam","8100","diversity"
"62","CPER_009","CPER","grasslandHerbaceous","distributed","basePlot","all|bet|cdw|cfc|dhp|div|hbp|vst","1600",
"62","CPER_009","CPER","grasslandHerbaceous","distributed","birdGrid","brd","250000","ninePoints"
"62","CPER_009","CPER","grasslandHerbaceous","distributed","mammalGrid","mam","8100","diversity"
"65","CPER_010","CPER","grasslandHerbaceous","distributed","basePlot","all|bet|cdw|cfc|dhp|div|hbp|vst","1600",
"70","CPER_011","CPER","grasslandHerbaceous","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst","1600",
"70","CPER_011","CPER","grasslandHerbaceous","distributed","birdGrid","brd","250000","ninePoints"
"70","CPER_011","CPER","grasslandHerbaceous","distributed","mammalGrid","mam","8100","diversity"
"78","CPER_012","CPER","grasslandHerbaceous","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst","1600",
"82","CPER_013","CPER","grasslandHerbaceous","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst","1600",
"85","CPER_014","CPER","grasslandHerbaceous","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst","1600",
"85","CPER_014","CPER","grasslandHerbaceous","distributed","birdGrid","brd","250000","ninePoints"
"86","CPER_015","CPER","grasslandHerbaceous","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst","1600",
"86","CPER_015","CPER","grasslandHerbaceous","distributed","birdGrid","brd","250000","ninePoints"
"86","CPER_015","CPER","grasslandHerbaceous","distributed","mammalGrid","mam","8100","diversity"
"94","CPER_016","CPER","grasslandHerbaceous","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst","1600",
"94","CPER_016","CPER","grasslandHerbaceous","distributed","birdGrid","brd","250000","ninePoints"
"97","CPER_017","CPER","grasslandHerbaceous","distributed","basePlot","all|cdw|dhp|div|hbp|vst","1600",
"101","CPER_018","CPER","grasslandHerbaceous","distributed","basePlot","all|cdw|dhp|div|hbp|vst","1600",
"101","CPER_018","CPER","grasslandHerbaceous","distributed","birdGrid","brd","250000","ninePoints"
"110","CPER_019","CPER","grasslandHerbaceous","distributed","basePlot","all|cdw|dhp|div|hbp|vst","1600",
"111","CPER_020","CPER","grasslandHerbaceous","distributed","basePlot","all|cdw|dhp|div|hbp|vst","1600",
"118","CPER_021","CPER","grasslandHerbaceous","distributed","basePlot","all|div","1600",
"129","CPER_022","CPER","grasslandHerbaceous","distributed","basePlot","all|div","1600",
"130","CPER_023","CPER","grasslandHerbaceous","distributed","basePlot","all|div","1600",
"146","CPER_024","CPER","grasslandHerbaceous","distributed","basePlot","all|div","1600",
"149","CPER_025","CPER","grasslandHerbaceous","distributed","basePlot","all|div","1600",
"158","CPER_026","CPER","grasslandHerbaceous","distributed","basePlot","all|div","1600",
"162","CPER_027","CPER","grasslandHerbaceous","distributed","basePlot","all|div","1600",
"167","CPER_028","CPER","grasslandHerbaceous","distributed","basePlot","all|div","1600",
"174","CPER_029","CPER","grasslandHerbaceous","distributed","basePlot","all|div","1600",
"174","CPER_029","CPER","grasslandHerbaceous","distributed","birdGrid","brd","250000","ninePoints"
"180","CPER_030","CPER","grasslandHerbaceous","distributed","basePlot","all|div","1600",
"246","CPER_036","CPER","grasslandHerbaceous","distributed","birdGrid","brd","250000","ninePoints"
"2078","CPER_045","CPER","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"3102","CPER_046","CPER","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"8510","CPER_047","CPER","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"10558","CPER_048","CPER","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst","1600",
"12482","CPER_049","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"13746","CPER_050","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"14366","CPER_051","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"15390","CPER_052","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"18462","CPER_053","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"20798","CPER_054","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"24894","CPER_055","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"27678","CPER_056","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"28866","CPER_057","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"28990","CPER_058","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"30750","CPER_059","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"31774","CPER_060","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"34846","CPER_061","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"35870","CPER_062","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"37182","CPER_063","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"41278","CPER_064","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"42418","CPER_065","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"43038","CPER_066","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"46514","CPER_067","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"54706","CPER_068","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"59710","CPER_069","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"61634","CPER_070","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"61758","CPER_071","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"64542","CPER_072","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"95666","CPER_073","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"110910","CPER_074","CPER","","tower","basePlot","all|bbc|cdw|dhp|hbp|ltr|vst","400",
"159930","CPER_077","CPER","","tower","phenology","phe","40000","primary"
"37","CPER_078","CPER","grasslandHerbaceous","distributed","mosquitoPoint","mos|mpt","0",
"126","CPER_080","CPER","grasslandHerbaceous","distributed","mosquitoPoint","mos|mpt","0",
"161","CPER_082","CPER","grasslandHerbaceous","distributed","mosquitoPoint","mos|mpt","0",
"193","CPER_083","CPER","grasslandHerbaceous","distributed","mosquitoPoint","mos|mpt","0",
"202","CPER_084","CPER","grasslandHerbaceous","distributed","mosquitoPoint","mos|mpt","0",
"438","CPER_086","CPER","grasslandHerbaceous","distributed","mosquitoPoint","mos|mpt","0",
"446","CPER_087","CPER","grasslandHerbaceous","distributed","mosquitoPoint","mos|mpt","0",
"462","CPER_088","CPER","grasslandHerbaceous","distributed","mosquitoPoint","mos|mpt","0",
"478","CPER_089","CPER","grasslandHerbaceous","distributed","mosquitoPoint","mos|mpt","0",
"518","CPER_090","CPER","grasslandHerbaceous","distributed","mosquitoPoint","mos|mpt","0",
"163","DCFS_001","DCFS","grasslandHerbaceous","distributed","basePlot","all|brd|cdw|cfc|dhp|div|hbp|vst","1600",
