"siteID","namedLocation","subplotID","targetTaxaPresent","easting","northing","utmZone","E_add","N_add","easting_calc","northing_calc","plotArea","CHM_area","CHM_percent"
"BART","BART_033.basePlot.ltr","23","Y","317102.14764","4881427.69356","19N",10,-10,317112.14764,4881417.69356,400,NA,NA
"BART","BART_033.basePlot.ltr","41","Y","317102.14764","4881427.69356","19N",10,10,317112.14764,4881437.69356,400,NA,NA
"BART","BART_034.basePlot.ltr","23","Y","316949.71863","4881552.63993","19N",10,-10,316959.71863,4881542.63993,400,NA,NA
"BART","BART_034.basePlot.ltr","39","Y","316949.71863","4881552.63993","19N",-10,10,316939.71863,4881562.63993,400,NA,NA
"BART","BART_034.basePlot.ltr","21","Y","316949.71863","4881552.63993","19N",-10,-10,316939.71863,4881542.63993,400,NA,NA
"BART","BART_034.basePlot.ltr","41","Y","316949.71863","4881552.63993","19N",10,10,316959.71863,4881562.63993,400,NA,NA
"BART","BART_036.basePlot.ltr","21","Y","316921.30471","4881308.65957","19N",-10,-10,316911.30471,4881298.65957,400,NA,NA
"BART","BART_036.basePlot.ltr","41","Y","316921.30471","4881308.65957","19N",10,10,316931.30471,4881318.65957,400,NA,NA
"BART","BART_037.basePlot.ltr","41","Y","317130.7781","4881249.04772","19N",10,10,317140.7781,4881259.04772,400,NA,NA
"BART","BART_037.basePlot.ltr","21","Y","317130.7781","4881249.04772","19N",-10,-10,317120.7781,4881239.04772,400,NA,NA
"BART","BART_039.basePlot.ltr","39","Y","316680.12012","4881493.21187","19N",-10,10,316670.12012,4881503.21187,400,NA,NA
"BART","BART_039.basePlot.ltr","41","Y","316680.12012","4881493.21187","19N",10,10,316690.12012,4881503.21187,400,NA,NA
"BART","BART_040.basePlot.ltr","41","Y","316443.14982","4881730.79011","19N",10,10,316453.14982,4881740.79011,400,NA,NA
"BART","BART_040.basePlot.ltr","21","Y","316443.14982","4881730.79011","19N",-10,-10,316433.14982,4881720.79011,400,NA,NA
"BART","BART_041.basePlot.ltr","23","Y","316952.82043","4881670.15863","19N",10,-10,316962.82043,4881660.15863,400,NA,NA
"BART","BART_041.basePlot.ltr","39","Y","316952.82043","4881670.15863","19N",-10,10,316942.82043,4881680.15863,400,NA,NA
"BART","BART_042.basePlot.ltr","39","Y","316741.35647","4881103.79152","19N",-10,10,316731.35647,4881113.79152,400,NA,NA
"BART","BART_042.basePlot.ltr","41","Y","316741.35647","4881103.79152","19N",10,10,316751.35647,4881113.79152,400,NA,NA
"BART","BART_044.basePlot.ltr","39","Y","317042.30542","4881189.03096","19N",-10,10,317032.30542,4881199.03096,400,NA,NA
"BART","BART_044.basePlot.ltr","23","Y","317042.30542","4881189.03096","19N",10,-10,317052.30542,4881179.03096,400,NA,NA
"BART","BART_046.basePlot.ltr","39","Y","316952.36367","4881070.36488","19N",-10,10,316942.36367,4881080.36488,400,NA,NA
"BART","BART_046.basePlot.ltr","41","Y","316952.36367","4881070.36488","19N",10,10,316962.36367,4881080.36488,400,NA,NA
"BART","BART_047.basePlot.ltr","41","Y","316531.60184","4881640.29134","19N",10,10,316541.60184,4881650.29134,400,NA,NA
"BART","BART_047.basePlot.ltr","21","Y","316531.60184","4881640.29134","19N",-10,-10,316521.60184,4881630.29134,400,NA,NA
"BART","BART_050.basePlot.ltr","41","Y","316774.41177","4881249.15672","19N",10,10,316784.41177,4881259.15672,400,NA,NA
"BART","BART_050.basePlot.ltr","21","Y","316774.41177","4881249.15672","19N",-10,-10,316764.41177,4881239.15672,400,NA,NA
"BART","BART_051.basePlot.ltr","39","Y","316754.36761","4881384.54801","19N",-10,10,316744.36761,4881394.54801,400,NA,NA
"BART","BART_051.basePlot.ltr","41","Y","316754.36761","4881384.54801","19N",10,10,316764.36761,4881394.54801,400,NA,NA
"BART","BART_070.basePlot.ltr","39","Y","317283.69852","4881549.38032","19N",-10,10,317273.69852,4881559.38032,400,NA,NA
"BART","BART_070.basePlot.ltr","41","Y","317283.69852","4881549.38032","19N",10,10,317293.69852,4881559.38032,400,NA,NA
"BART","BART_071.basePlot.ltr","23","Y","316559.29824","4881970.32725","19N",10,-10,316569.29824,4881960.32725,400,NA,NA
"BART","BART_071.basePlot.ltr","41","Y","316559.29824","4881970.32725","19N",10,10,316569.29824,4881980.32725,400,NA,NA
"BART","BART_071.basePlot.ltr","21","Y","316559.29824","4881970.32725","19N",-10,-10,316549.29824,4881960.32725,400,NA,NA
"BART","BART_071.basePlot.ltr","39","Y","316559.29824","4881970.32725","19N",-10,10,316549.29824,4881980.32725,400,NA,NA
"BART","BART_072.basePlot.ltr","39","Y","316892.40228","4881159.73263","19N",-10,10,316882.40228,4881169.73263,400,NA,NA
"BART","BART_072.basePlot.ltr","21","Y","316892.40228","4881159.73263","19N",-10,-10,316882.40228,4881149.73263,400,NA,NA
"BART","BART_073.basePlot.ltr","39","Y","316710.32163","4881613.75679","19N",-10,10,316700.32163,4881623.75679,400,NA,NA
"BART","BART_073.basePlot.ltr","23","Y","316710.32163","4881613.75679","19N",10,-10,316720.32163,4881603.75679,400,NA,NA
"BART","BART_074.basePlot.ltr","41","Y","317130.15387","4881099.33602","19N",10,10,317140.15387,4881109.33602,400,NA,NA
"BART","BART_074.basePlot.ltr","39","Y","317130.15387","4881099.33602","19N",-10,10,317120.15387,4881109.33602,400,NA,NA
"BART","BART_075.basePlot.ltr","23","Y","316863.05746","4880983.36214","19N",10,-10,316873.05746,4880973.36214,400,NA,NA
"BART","BART_075.basePlot.ltr","41","Y","316863.05746","4880983.36214","19N",10,10,316873.05746,4880993.36214,400,NA,NA
"BLAN","BLAN_031.basePlot.ltr","31","N","753479.32587","4327387.86908","17N",0,0,753479.32587,4327387.86908,400,NA,NA
"BLAN","BLAN_032.basePlot.ltr","31","Y","753241.48637","4327353.86862","17N",0,0,753241.48637,4327353.86862,400,NA,NA
"BLAN","BLAN_033.basePlot.ltr","31","N","753602.21764","4327327.38435","17N",0,0,753602.21764,4327327.38435,400,NA,NA
"BLAN","BLAN_034.basePlot.ltr","31","N","753422.81735","4327447.71747","17N",0,0,753422.81735,4327447.71747,400,NA,NA
"BLAN","BLAN_035.basePlot.ltr","31","Y","753209.10714","4327205.26166","17N",0,0,753209.10714,4327205.26166,400,NA,NA
"BLAN","BLAN_036.basePlot.ltr","31","Y","753171.90744","4327685.09089","17N",0,0,753171.90744,4327685.09089,400,NA,NA
"BLAN","BLAN_037.basePlot.ltr","31","N","753510.49179","4327447.65542","17N",0,0,753510.49179,4327447.65542,400,NA,NA
"BLAN","BLAN_038.basePlot.ltr","31","N","753451.19136","4327266.28809","17N",0,0,753451.19136,4327266.28809,400,NA,NA
"BLAN","BLAN_039.basePlot.ltr","31","N","753360.81738","4327237.15115","17N",0,0,753360.81738,4327237.15115,400,NA,NA
"BLAN","BLAN_040.basePlot.ltr","31","N","753510.83132","4327297.43511","17N",0,0,753510.83132,4327297.43511,400,NA,NA
"BLAN","BLAN_041.basePlot.ltr","31","Y","753242.02638","4327686.68298","17N",0,0,753242.02638,4327686.68298,400,NA,NA
"BLAN","BLAN_042.basePlot.ltr","31","N","753360.39257","4327296.02979","17N",0,0,753360.39257,4327296.02979,400,NA,NA
"BLAN","BLAN_043.basePlot.ltr","31","N","753571.93516","4327267.07056","17N",0,0,753571.93516,4327267.07056,400,NA,NA
"BLAN","BLAN_044.basePlot.ltr","31","Y","753302.08723","4327446.60415","17N",0,0,753302.08723,4327446.60415,400,NA,NA
"BLAN","BLAN_045.basePlot.ltr","31","N","753420.89803","4327327.20402","17N",0,0,753420.89803,4327327.20402,400,NA,NA
"BLAN","BLAN_046.basePlot.ltr","31","N","753300.23221","4327235.30992","17N",0,0,753300.23221,4327235.30992,400,NA,NA
"BLAN","BLAN_047.basePlot.ltr","31","Y","753150.69495","4327595.9582","17N",0,0,753150.69495,4327595.9582,400,NA,NA
"BLAN","BLAN_048.basePlot.ltr","31","Y","753001.78397","4327654.94513","17N",0,0,753001.78397,4327654.94513,400,NA,NA
"BLAN","BLAN_049.basePlot.ltr","31","N","753540.764","4327387.40582","17N",0,0,753540.764,4327387.40582,400,NA,NA
"BLAN","BLAN_050.basePlot.ltr","31","Y","753301.31442","4327387.24247","17N",0,0,753301.31442,4327387.24247,400,NA,NA
"BLAN","BLAN_051.basePlot.ltr","31","N","753571.43817","4327207.27313","17N",0,0,753571.43817,4327207.27313,400,NA,NA
"BLAN","BLAN_052.basePlot.ltr","31","Y","753360.67602","4327445.82548","17N",0,0,753360.67602,4327445.82548,400,NA,NA
"BLAN","BLAN_053.basePlot.ltr","31","Y","753210.39029","4327294.53028","17N",0,0,753210.39029,4327294.53028,400,NA,NA
"BLAN","BLAN_054.basePlot.ltr","31","N","753362.86078","4327176.43569","17N",0,0,753362.86078,4327176.43569,400,NA,NA
"BLAN","BLAN_055.basePlot.ltr","31","Y","753300.65182","4327625.56833","17N",0,0,753300.65182,4327625.56833,400,NA,NA
"BLAN","BLAN_056.basePlot.ltr","31","N","753362.22569","4327357.42579","17N",0,0,753362.22569,4327357.42579,400,NA,NA
"BLAN","BLAN_057.basePlot.ltr","31","Y","753149.62305","4327233.79211","17N",0,0,753149.62305,4327233.79211,400,NA,NA
"BLAN","BLAN_059.basePlot.ltr","31","N","753270.47351","4327174.79215","17N",0,0,753270.47351,4327174.79215,400,NA,NA
"BLAN","BLAN_060.basePlot.ltr","31","N","753510.73035","4327206.53752","17N",0,0,753510.73035,4327206.53752,400,NA,NA
"BLAN","BLAN_063.basePlot.ltr","31","Y","753000.77807","4327594.6872","17N",0,0,753000.77807,4327594.6872,400,NA,NA
"BLAN","BLAN_064.basePlot.ltr","31","N","753421.48909","4327384.11533","17N",0,0,753421.48909,4327384.11533,400,NA,NA
"BONA","BONA_070.basePlot.ltr","23","Y","476102.02409","7225673.20172","6N",10,-10,476112.02409,7225663.20172,400,NA,NA
"BONA","BONA_070.basePlot.ltr","39","Y","476102.02409","7225673.20172","6N",-10,10,476092.02409,7225683.20172,400,NA,NA
"BONA","BONA_071.basePlot.ltr","39","Y","476221.19132","7225822.37157","6N",-10,10,476211.19132,7225832.37157,400,NA,NA
"BONA","BONA_071.basePlot.ltr","21","Y","476221.19132","7225822.37157","6N",-10,-10,476211.19132,7225812.37157,400,NA,NA
"BONA","BONA_072.basePlot.ltr","23","Y","476460.56808","7226061.75759","6N",10,-10,476470.56808,7226051.75759,400,NA,NA
"BONA","BONA_072.basePlot.ltr","39","Y","476460.56808","7226061.75759","6N",-10,10,476450.56808,7226071.75759,400,NA,NA
"BONA","BONA_073.basePlot.ltr","23","Y","476701.02124","7226002.12155","6N",10,-10,476711.02124,7225992.12155,400,NA,NA
"BONA","BONA_073.basePlot.ltr","39","Y","476701.02124","7226002.12155","6N",-10,10,476691.02124,7226012.12155,400,NA,NA
"BONA","BONA_074.basePlot.ltr","21","Y","476792.11751","7225733.5807","6N",-10,-10,476782.11751,7225723.5807,400,NA,NA
"BONA","BONA_074.basePlot.ltr","39","Y","476792.11751","7225733.5807","6N",-10,10,476782.11751,7225743.5807,400,NA,NA
"BONA","BONA_075.basePlot.ltr","41","Y","476193.00405","7226182.59696","6N",10,10,476203.00405,7226192.59696,400,NA,NA
"BONA","BONA_075.basePlot.ltr","21","Y","476193.00405","7226182.59696","6N",-10,-10,476183.00405,7226172.59696,400,NA,NA
"BONA","BONA_076.basePlot.ltr","23","Y","476461.59086","7225913.29187","6N",10,-10,476471.59086,7225903.29187,400,NA,NA
"BONA","BONA_076.basePlot.ltr","41","Y","476461.59086","7225913.29187","6N",10,10,476471.59086,7225923.29187,400,NA,NA
"BONA","BONA_077.basePlot.ltr","39","Y","476731.71992","7225851.86226","6N",-10,10,476721.71992,7225861.86226,400,NA,NA
"BONA","BONA_077.basePlot.ltr","23","Y","476731.71992","7225851.86226","6N",10,-10,476741.71992,7225841.86226,400,NA,NA
"BONA","BONA_078.basePlot.ltr","21","Y","476191.46071","7226002.38703","6N",-10,-10,476181.46071,7225992.38703,400,NA,NA
"BONA","BONA_078.basePlot.ltr","39","Y","476191.46071","7226002.38703","6N",-10,10,476181.46071,7226012.38703,400,NA,NA
"BONA","BONA_079.basePlot.ltr","41","Y","476340.85033","7226210.50108","6N",10,10,476350.85033,7226220.50108,400,NA,NA
"BONA","BONA_079.basePlot.ltr","21","Y","476340.85033","7226210.50108","6N",-10,-10,476330.85033,7226200.50108,400,NA,NA
"BONA","BONA_080.basePlot.ltr","23","Y","475981.57592","7225702.82042","6N",10,-10,475991.57592,7225692.82042,400,NA,NA
"BONA","BONA_080.basePlot.ltr","39","Y","475981.57592","7225702.82042","6N",-10,10,475971.57592,7225712.82042,400,NA,NA
"BONA","BONA_081.basePlot.ltr","21","Y","476612.60311","7225913.32084","6N",-10,-10,476602.60311,7225903.32084,400,NA,NA
"BONA","BONA_081.basePlot.ltr","39","Y","476612.60311","7225913.32084","6N",-10,10,476602.60311,7225923.32084,400,NA,NA
"BONA","BONA_082.basePlot.ltr","41","Y","475983.4404","7226001.94997","6N",10,10,475993.4404,7226011.94997,400,NA,NA
"BONA","BONA_082.basePlot.ltr","21","Y","475983.4404","7226001.94997","6N",-10,-10,475973.4404,7225991.94997,400,NA,NA
"BONA","BONA_083.basePlot.ltr","21","Y","476671.33602","7225733.30409","6N",-10,-10,476661.33602,7225723.30409,400,NA,NA
"BONA","BONA_083.basePlot.ltr","41","Y","476671.33602","7225733.30409","6N",10,10,476681.33602,7225743.30409,400,NA,NA
"BONA","BONA_084.basePlot.ltr","41","Y","475951.34635","7225854.42147","6N",10,10,475961.34635,7225864.42147,400,NA,NA
"BONA","BONA_084.basePlot.ltr","39","Y","475951.34635","7225854.42147","6N",-10,10,475941.34635,7225864.42147,400,NA,NA
"BONA","BONA_086.basePlot.ltr","41","Y","476011.69461","7225583.43106","6N",10,10,476021.69461,7225593.43106,400,NA,NA
"BONA","BONA_086.basePlot.ltr","23","Y","476011.69461","7225583.43106","6N",10,-10,476021.69461,7225573.43106,400,NA,NA
"BONA","BONA_087.basePlot.ltr","21","Y","476461.95127","7226212.09893","6N",-10,-10,476451.95127,7226202.09893,400,NA,NA
"BONA","BONA_087.basePlot.ltr","23","Y","476461.95127","7226212.09893","6N",10,-10,476471.95127,7226202.09893,400,NA,NA
"BONA","BONA_088.basePlot.ltr","41","Y","476281.63686","7226092.83301","6N",10,10,476291.63686,7226102.83301,400,NA,NA
"BONA","BONA_088.basePlot.ltr","23","Y","476281.63686","7226092.83301","6N",10,-10,476291.63686,7226082.83301,400,NA,NA
"BONA","BONA_089.basePlot.ltr","41","Y","476039.49397","7225912.88912","6N",10,10,476049.49397,7225922.88912,400,NA,NA
"BONA","BONA_089.basePlot.ltr","39","Y","476039.49397","7225912.88912","6N",-10,10,476029.49397,7225922.88912,400,NA,NA
"BONA","BONA_093.basePlot.ltr","23","Y","476341.13135","7225911.35442","6N",10,-10,476351.13135,7225901.35442,400,NA,NA
"BONA","BONA_093.basePlot.ltr","39","Y","476341.13135","7225911.35442","6N",-10,10,476331.13135,7225921.35442,400,NA,NA
"CLBJ","CLBJ_001.basePlot.ltr","31","N","633141.64208","3696324.97824","14N",0,0,633141.64208,3696324.97824,400,NA,NA
"CLBJ","CLBJ_002.basePlot.ltr","31","Y","632872.19458","3696985.90992","14N",0,0,632872.19458,3696985.90992,400,NA,NA
"CLBJ","CLBJ_003.basePlot.ltr","31","Y","632722.82407","3696984.85798","14N",0,0,632722.82407,3696984.85798,400,NA,NA
"CLBJ","CLBJ_004.basePlot.ltr","31","Y","633082.84114","3696203.95184","14N",0,0,633082.84114,3696203.95184,400,NA,NA
"CLBJ","CLBJ_005.basePlot.ltr","31","Y","632962.8094","3696984.71486","14N",0,0,632962.8094,3696984.71486,400,NA,NA
"CLBJ","CLBJ_006.basePlot.ltr","31","Y","633291.37459","3696354.54299","14N",0,0,633291.37459,3696354.54299,400,NA,NA
"CLBJ","CLBJ_007.basePlot.ltr","31","Y","632871.9489","3696414.42931","14N",0,0,632871.9489,3696414.42931,400,NA,NA
"CLBJ","CLBJ_008.basePlot.ltr","31","Y","632991.47931","3696536.5106","14N",0,0,632991.47931,3696536.5106,400,NA,NA
"CLBJ","CLBJ_009.basePlot.ltr","31","Y","632721.22205","3697135.55159","14N",0,0,632721.22205,3697135.55159,400,NA,NA
"CLBJ","CLBJ_010.basePlot.ltr","31","Y","633351.27047","3696233.81948","14N",0,0,633351.27047,3696233.81948,400,NA,NA
"CLBJ","CLBJ_011.basePlot.ltr","31","Y","632812.8714","3696204.90127","14N",0,0,632812.8714,3696204.90127,400,NA,NA
"CLBJ","CLBJ_012.basePlot.ltr","31","Y","633052.31909","3696833.89868","14N",0,0,633052.31909,3696833.89868,400,NA,NA
"CLBJ","CLBJ_013.basePlot.ltr","31","N","633230.56718","3696264.54051","14N",0,0,633230.56718,3696264.54051,400,NA,NA
"CLBJ","CLBJ_014.basePlot.ltr","31","Y","632841.43272","3697193.98311","14N",0,0,632841.43272,3697193.98311,400,NA,NA
"CLBJ","CLBJ_015.basePlot.ltr","31","Y","632871.83505","3696293.9884","14N",0,0,632871.83505,3696293.9884,400,NA,NA
"CLBJ","CLBJ_016.basePlot.ltr","31","Y","632932.54901","3697074.90596","14N",0,0,632932.54901,3697074.90596,400,NA,NA
"CLBJ","CLBJ_017.basePlot.ltr","31","Y","632631.96638","3697044.49719","14N",0,0,632631.96638,3697044.49719,400,NA,NA
"CLBJ","CLBJ_018.basePlot.ltr","31","Y","632661.38598","3697164.67447","14N",0,0,632661.38598,3697164.67447,400,NA,NA
"CLBJ","CLBJ_019.basePlot.ltr","31","N","633020.83828","3696085.65443","14N",0,0,633020.83828,3696085.65443,400,NA,NA
"CLBJ","CLBJ_020.basePlot.ltr","31","N","633232.46985","3696173.6271","14N",0,0,633232.46985,3696173.6271,400,NA,NA
"CLBJ","CLBJ_021.basePlot.ltr","31","Y","632993.15394","3696414.65245","14N",0,0,632993.15394,3696414.65245,400,NA,NA
"CLBJ","CLBJ_022.basePlot.ltr","31","Y","632752.15783","3697226.47193","14N",0,0,632752.15783,3697226.47193,400,NA,NA
"CLBJ","CLBJ_023.basePlot.ltr","31","Y","633141.99771","3696265.3179","14N",0,0,633141.99771,3696265.3179,400,NA,NA
"CLBJ","CLBJ_024.basePlot.ltr","31","Y","633081.32249","3696145.26387","14N",0,0,633081.32249,3696145.26387,400,NA,NA
"CLBJ","CLBJ_024.basePlot.ltr","31","N","633081.32249","3696145.26387","14N",0,0,633081.32249,3696145.26387,400,NA,NA
"CLBJ","CLBJ_025.basePlot.ltr","31","Y","633021.52106","3696266.10111","14N",0,0,633021.52106,3696266.10111,400,NA,NA
"CLBJ","CLBJ_026.basePlot.ltr","31","Y","633021.37903","3696926.07643","14N",0,0,633021.37903,3696926.07643,400,NA,NA
"CLBJ","CLBJ_027.basePlot.ltr","31","Y","633051.74723","3696564.28819","14N",0,0,633051.74723,3696564.28819,400,NA,NA
"CLBJ","CLBJ_028.basePlot.ltr","31","Y","632931.96738","3696744.85386","14N",0,0,632931.96738,3696744.85386,400,NA,NA
"CLBJ","CLBJ_029.basePlot.ltr","31","Y","633112.29452","3696443.23961","14N",0,0,633112.29452,3696443.23961,400,NA,NA
"CLBJ","CLBJ_030.basePlot.ltr","31","Y","633232.26531","3696384.44892","14N",0,0,633232.26531,3696384.44892,400,NA,NA
"DEJU","DEJU_045.basePlot.ltr","23","Y","561742.27943","7084349.56342","6N",10,-10,561752.27943,7084339.56342,400,NA,NA
"DEJU","DEJU_045.basePlot.ltr","39","Y","561742.27943","7084349.56342","6N",-10,10,561732.27943,7084359.56342,400,NA,NA
"DEJU","DEJU_046.basePlot.ltr","21","Y","561232.42921","7083990.36425","6N",-10,-10,561222.42921,7083980.36425,400,NA,NA
"DEJU","DEJU_046.basePlot.ltr","23","Y","561232.42921","7083990.36425","6N",10,-10,561242.42921,7083980.36425,400,NA,NA
"DEJU","DEJU_047.basePlot.ltr","21","Y","561922.44749","7084503.69789","6N",-10,-10,561912.44749,7084493.69789,400,NA,NA
"DEJU","DEJU_047.basePlot.ltr","23","Y","561922.44749","7084503.69789","6N",10,-10,561932.44749,7084493.69789,400,NA,NA
"DEJU","DEJU_048.basePlot.ltr","39","Y","561232.00954","7084379.00755","6N",-10,10,561222.00954,7084389.00755,400,NA,NA
"DEJU","DEJU_048.basePlot.ltr","21","Y","561232.00954","7084379.00755","6N",-10,-10,561222.00954,7084369.00755,400,NA,NA
"DEJU","DEJU_049.basePlot.ltr","23","Y","561923.12828","7084349.89943","6N",10,-10,561933.12828,7084339.89943,400,NA,NA
"DEJU","DEJU_049.basePlot.ltr","21","Y","561923.12828","7084349.89943","6N",-10,-10,561913.12828,7084339.89943,400,NA,NA
"DEJU","DEJU_050.basePlot.ltr","21","Y","561023.71149","7084322.55963","6N",-10,-10,561013.71149,7084312.55963,400,NA,NA
"DEJU","DEJU_050.basePlot.ltr","23","Y","561023.71149","7084322.55963","6N",10,-10,561033.71149,7084312.55963,400,NA,NA
"DEJU","DEJU_051.basePlot.ltr","21","Y","561082.58457","7084049.63347","6N",-10,-10,561072.58457,7084039.63347,400,NA,NA
"DEJU","DEJU_051.basePlot.ltr","39","Y","561082.58457","7084049.63347","6N",-10,10,561072.58457,7084059.63347,400,NA,NA
"DEJU","DEJU_052.basePlot.ltr","21","Y","561773.49417","7084470.88733","6N",-10,-10,561763.49417,7084460.88733,400,NA,NA
"DEJU","DEJU_052.basePlot.ltr","23","Y","561773.49417","7084470.88733","6N",10,-10,561783.49417,7084460.88733,400,NA,NA
"DEJU","DEJU_053.basePlot.ltr","41","Y","560722.35301","7084410.44115","6N",10,10,560732.35301,7084420.44115,400,NA,NA
"DEJU","DEJU_053.basePlot.ltr","21","Y","560722.35301","7084410.44115","6N",-10,-10,560712.35301,7084400.44115,400,NA,NA
"DEJU","DEJU_054.basePlot.ltr","41","Y","560842.42406","7084020.88746","6N",10,10,560852.42406,7084030.88746,400,NA,NA
"DEJU","DEJU_054.basePlot.ltr","23","Y","560842.42406","7084020.88746","6N",10,-10,560852.42406,7084010.88746,400,NA,NA
"DEJU","DEJU_055.basePlot.ltr","41","Y","561112.88219","7083808.69649","6N",10,10,561122.88219,7083818.69649,400,NA,NA
"DEJU","DEJU_055.basePlot.ltr","23","Y","561112.88219","7083808.69649","6N",10,-10,561122.88219,7083798.69649,400,NA,NA
"DEJU","DEJU_056.basePlot.ltr","39","Y","561564.39225","7084381.06143","6N",-10,10,561554.39225,7084391.06143,400,NA,NA
"DEJU","DEJU_056.basePlot.ltr","21","Y","561564.39225","7084381.06143","6N",-10,-10,561554.39225,7084371.06143,400,NA,NA
"DEJU","DEJU_057.basePlot.ltr","21","Y","561832.90155","7084081.95667","6N",-10,-10,561822.90155,7084071.95667,400,NA,NA
"DEJU","DEJU_057.basePlot.ltr","23","Y","561832.90155","7084081.95667","6N",10,-10,561842.90155,7084071.95667,400,NA,NA
"DEJU","DEJU_058.basePlot.ltr","41","Y","560963.13329","7083900.63032","6N",10,10,560973.13329,7083910.63032,400,NA,NA
"DEJU","DEJU_058.basePlot.ltr","21","Y","560963.13329","7083900.63032","6N",-10,-10,560953.13329,7083890.63032,400,NA,NA
"DEJU","DEJU_059.basePlot.ltr","41","Y","560872.59738","7084379.91894","6N",10,10,560882.59738,7084389.91894,400,NA,NA
"DEJU","DEJU_059.basePlot.ltr","23","Y","560872.59738","7084379.91894","6N",10,-10,560882.59738,7084369.91894,400,NA,NA
"DEJU","DEJU_059.basePlot.ltr","21","Y","560872.59738","7084379.91894","6N",-10,-10,560862.59738,7084369.91894,400,NA,NA
"DEJU","DEJU_060.basePlot.ltr","21","Y","561173.02005","7084139.00265","6N",-10,-10,561163.02005,7084129.00265,400,NA,NA
