"Name","Description","History","Start Date","Children","Plot type","Subtype Specification","Plot Size","Plot Dimensions","Reference Point Position","Decimal Latitude","Decimal Longitude","UTM Zone","UTM Easting","UTM Northing","Coordinate Uncertainty","Elevation","Elevation Uncertainty","Minimum Elevation","Maximum Elevation","Slope Gradient","Slope Aspect","NLCD Class","Soil Type Order"
"BARR_055.basePlot.ltr","Plot ""BARR_055"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.287487","-156.608456","4N","585614.01797","7911153.25078","0.1","5.46","0.1","5.45","","0","0","sedgeHerbaceous",""
"BARR_056.basePlot.ltr","Plot ""BARR_056"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.283122","-156.603968","4N","585793.88844","7910673.10482","0.1","5.44","0.1","5.26","","0","0","emergentHerbaceousWetlands",""
"BARR_057.basePlot.ltr","Plot ""BARR_057"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.277166","-156.623143","4N","585133.70674","7909982.17887","0.1","5.35","0.1","5.35","","0","0","emergentHerbaceousWetlands",""
"BARR_058.basePlot.ltr","Plot ""BARR_058"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.279115","-156.606146","4N","585733.62029","7910223.4134","0.1","5.98","0.1","5.46","","0","0","emergentHerbaceousWetlands",""
"BARR_059.basePlot.ltr","Plot ""BARR_059"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.28751","-156.610958","4N","585524.38973","7911152.27472","0.1","5.08","0.1","5.05","","0","0","sedgeHerbaceous",""
"BARR_060.basePlot.ltr","Plot ""BARR_060"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.2819","-156.634298","4N","584713.69524","7910494.15664","0.1","6.14","0.1","5.86","","0","0","sedgeHerbaceous",""
"BARR_061.basePlot.ltr","Plot ""BARR_061"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.284164","-156.600487","4N","585913.86434","7910794.18239","0.1","5.4","0.1","5.2","","0","0","emergentHerbaceousWetlands",""
"BARR_062.basePlot.ltr","Plot ""BARR_062"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.28584","-156.605333","4N","585733.03627","7910974.10626","0.01","5.52","0.02","5.18","","0","0","emergentHerbaceousWetlands",""
"BARR_063.basePlot.ltr","Plot ""BARR_063"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.276703","-156.627374","4N","584984.25566","7909924.62478","0.1","5.68","0.1","5.68","","0","0","emergentHerbaceousWetlands",""
"BARR_064.basePlot.ltr","Plot ""BARR_064"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.282326","-156.604058","4N","585794.18314","7910584.2584","0.01","5.34","0.01","5.34","","0","0","sedgeHerbaceous",""
"BARR_065.basePlot.ltr","Plot ""BARR_065"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.281952","-156.638461","4N","584564.46263","7910494.12732","0.12","6.18","0.11","5.86","","0","0","sedgeHerbaceous",""
"BARR_066.basePlot.ltr","Plot ""BARR_066"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.279927","-156.606014","4N","585734.76208","7910314.10263","0.1","6.17","0.1","5.58","","0","0","emergentHerbaceousWetlands",""
"BARR_067.basePlot.ltr","Plot ""BARR_067"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.283676","-156.604738","4N","585763.88383","7910733.75935","0.1","5.65","0.1","5.46","","0","0","emergentHerbaceousWetlands",""
"BARR_068.basePlot.ltr","Plot ""BARR_068"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.278034","-156.605417","4N","585764.48844","7910103.96309","0.1","5.51","0.1","5.28","","1.26","1","emergentHerbaceousWetlands",""
"BARR_069.basePlot.ltr","Plot ""BARR_069"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.286141","-156.607786","4N","585643.92794","7911004.17945","0.1","5.31","0.1","5.09","","0","0","emergentHerbaceousWetlands",""
"BARR_070.basePlot.ltr","Plot ""BARR_070"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.282808","-156.600656","4N","585913.81391","7910642.80866","0.1","5.27","0.1","5.27","","0","0","emergentHerbaceousWetlands",""
"BARR_071.basePlot.ltr","Plot ""BARR_071"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.280428","-156.602619","4N","585854.07527","7910374.75725","0.1","5.3","0.1","5.25","","0","0","emergentHerbaceousWetlands",""
"BARR_072.basePlot.ltr","Plot ""BARR_072"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.284755","-156.60461","4N","585763.70012","7910854.20164","0.01","5.43","0.01","5.36","","0","0","emergentHerbaceousWetlands",""
"BARR_073.basePlot.ltr","Plot ""BARR_073"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.277768","-156.627269","4N","584983.35669","7910043.47419","0.01","5.78","0.03","5.72","","0","0","sedgeHerbaceous",""
"BARR_074.basePlot.ltr","Plot ""BARR_074"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.278341","-156.608747","4N","585643.92277","7910133.46196","0.1","5.81","0.1","5.81","","0","0","emergentHerbaceousWetlands",""
"BARR_075.basePlot.ltr","Plot ""BARR_075"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.28165","-156.636819","4N","584624.55025","7910462.76342","0.1","6.22","0.1","5.97","","0","0","sedgeHerbaceous",""
"BARR_076.basePlot.ltr","Plot ""BARR_076"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.286962","-156.609363","4N","585583.87734","7911093.45277","0.1","5.26","0.1","5.24","","0","0","emergentHerbaceousWetlands",""
"BARR_077.basePlot.ltr","Plot ""BARR_077"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.284729","-156.602094","4N","585853.85528","7910854.87306","0.1","5.17","0.1","5.17","","2.29","1.7","emergentHerbaceousWetlands",""
"BARR_078.basePlot.ltr","Plot ""BARR_078"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.282441","-156.635056","4N","584684.20558","7910553.39387","0.01","5.97","0.02","5.21","","0","0","sedgeHerbaceous",""
"BARR_079.basePlot.ltr","Plot ""BARR_079"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.279344","-156.603587","4N","585824.2144","7910252.56565","0.1","5.85","0.1","5.71","","0","0","emergentHerbaceousWetlands",""
"BARR_080.basePlot.ltr","Plot ""BARR_080"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","71.283937","-156.603034","4N","585823.71508","7910765.26621","0.01","5.44","0.01","5.22","","0","0","sedgeHerbaceous",""
"BART_032.basePlot.ltr","Plot ""BART_032"" at site ""BART""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","44.067467","-71.28758","19N","316801.60415","4881910.56829","0.19","244.71","0.29","244.67","","3.49","215","deciduousForest",""
"BART_033.basePlot.ltr","Plot ""BART_033"" at site ""BART""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","44.063198","-71.283663","19N","317102.14764","4881427.69356","0.17","275.68","0.23","269.67","","3.43","237","deciduousForest",""
"BART_034.basePlot.ltr","Plot ""BART_034"" at site ""BART""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","44.064284","-71.285608","19N","316949.71863","4881552.63993","0.17","265.88","0.25","265.88","","7.41","286","mixedForest",""
"BART_036.basePlot.ltr","Plot ""BART_036"" at site ""BART""","History","2010-01-01T00:00:00.000Z","13","tower","","1600","40m x 40m","41","44.062082","-71.285878","19N","316921.30471","4881308.65957","0.17","290.97","0.23","288.28","","1.72","236","deciduousForest",""
"BART_037.basePlot.ltr","Plot ""BART_037"" at site ""BART""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","44.061598","-71.283244","19N","317130.7781","4881249.04772","0.15","290.6","0.17","289.59","","3.15","211","deciduousForest",""
"BART_039.basePlot.ltr","Plot ""BART_039"" at site ""BART""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","44.063682","-71.288951","19N","316680.12012","4881493.21187","0.28","270.76","0.48","270.76","","2.86","118","deciduousForest",""
"BART_040.basePlot.ltr","Plot ""BART_040"" at site ""BART""","History","2010-01-01T00:00:00.000Z","13","tower","","1600","40m x 40m","41","44.06576","-71.29199","19N","316443.14982","4881730.79011","0.14","260.15","0.19","254.51","","2.06","208","deciduousForest",""
"BART_041.basePlot.ltr","Plot ""BART_041"" at site ""BART""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","44.065342","-71.28561","19N","316952.82043","4881670.15863","0.21","260.92","0.36","253.79","","6.56","228","deciduousForest",""
"BART_042.basePlot.ltr","Plot ""BART_042"" at site ""BART""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","44.060194","-71.288052","19N","316741.35647","4881103.79152","0.17","288.29","0.24","286.74","","1.72","201","deciduousForest",""
"BART_044.basePlot.ltr","Plot ""BART_044"" at site ""BART""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","44.061036","-71.284327","19N","317042.30542","4881189.03096","0.14","303.1","0.22","299.6","","1.43","151","deciduousForest",""
"BART_046.basePlot.ltr","Plot ""BART_046"" at site ""BART""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","44.059946","-71.285408","19N","316952.36367","4881070.36488","0.21","302.95","0.3","298.46","","1.72","80","deciduousForest",""
"BART_047.basePlot.ltr","Plot ""BART_047"" at site ""BART""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","44.064968","-71.290855","19N","316531.60184","4881640.29134","0.12","262.9","0.21","261.29","","2.63","98","deciduousForest",""
"BART_050.basePlot.ltr","Plot ""BART_050"" at site ""BART""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","44.06151","-71.28769","19N","316774.41177","4881249.15672","0.18","287.74","0.26","283.53","","2.69","98","mixedForest",""
"BART_051.basePlot.ltr","Plot ""BART_051"" at site ""BART""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","44.062847","-71.287742","19N","316774.37275","4881397.77574","0.24","280.42","0.41","275.94","","2.29","104","deciduousForest",""
"BART_070.basePlot.ltr","Plot ""BART_070"" at site ""BART""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","44.064338","-71.28144","19N","317283.69852","4881549.38032","0.17","251.29","0.27","251.21","","3.21","233.4","mixedForest",""
"BART_071.basePlot.ltr","Plot ""BART_071"" at site ""BART""","History","2010-01-01T00:00:00.000Z","13","tower","","1600","40m x 40m","41","44.067944","-71.290624","19N","316559.29824","4881970.32725","0.13","256.42","0.17","249.91","","10.2","54","mixedForest",""
"BART_072.basePlot.ltr","Plot ""BART_072"" at site ""BART""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","44.060735","-71.286187","19N","316892.40228","4881159.73263","0.3","295.86","0.54","293.77","","2.29","304","deciduousForest",""
"BART_073.basePlot.ltr","Plot ""BART_073"" at site ""BART""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","44.064774","-71.288616","19N","316710.32163","4881613.75679","0.12","274.89","0.16","267.73","","1.2","283","mixedForest",""
"BART_074.basePlot.ltr","Plot ""BART_074"" at site ""BART""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","44.060251","-71.2832","19N","317130.15387","4881099.33602","0.14","311.19","0.2","306.52","","2.86","10","mixedForest",""
"BART_075.basePlot.ltr","Plot ""BART_075"" at site ""BART""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","44.059141","-71.286492","19N","316863.05746","4880983.36214","0.25","296.95","0.39","292.12","","2.86","328","mixedForest",""
"BLAN_031.basePlot.ltr","Plot ""BLAN_031"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","39.058809","-78.070547","17N","753479.32587","4327387.86908","0.1","183.12","0.1","181.68","","3.43","299.7","cultivatedCrops","Alfisols"
"BLAN_032.basePlot.ltr","Plot ""BLAN_032"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","39.058572","-78.073305","17N","753241.48637","4327353.86862","0.1","184.68","0.1","183.38","","0","0","shrubScrub","Alfisols"
"BLAN_033.basePlot.ltr","Plot ""BLAN_033"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","39.058229","-78.069151","17N","753602.21764","4327327.38435","0.1","184.57","0.1","183.08","","0.74","280","cultivatedCrops","Alfisols"
"BLAN_034.basePlot.ltr","Plot ""BLAN_034"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.059364","-78.071177","17N","753422.81735","4327447.71747","0.1","182.62","0.1","182.38","","2.29","113.9","cultivatedCrops","Alfisols"
"BLAN_035.basePlot.ltr","Plot ""BLAN_035"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.057244","-78.073734","17N","753209.10714","4327205.26166","0.1","183.65","0.1","183.55","","0","0","shrubScrub","Ultisols"
"BLAN_036.basePlot.ltr","Plot ""BLAN_036"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.061573","-78.073985","17N","753171.90744","4327685.09089","0.1","183.75","0.1","183.75","","1.89","80.6","shrubScrub","Alfisols"
"BLAN_037.basePlot.ltr","Plot ""BLAN_037"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.059338","-78.070165","17N","753510.49179","4327447.65542","0.1","179.61","0.1","179.57","","0.69","308.7","cultivatedCrops","Ultisols"
"BLAN_038.basePlot.ltr","Plot ""BLAN_038"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","39.057723","-78.070917","17N","753451.19136","4327266.28809","0.1","181.86","0.1","180.75","","2.52","218","cultivatedCrops","Ultisols"
"BLAN_039.basePlot.ltr","Plot ""BLAN_039"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.057487","-78.071971","17N","753360.81738","4327237.15115","0.1","184.45","0.1","183.53","","3.72","33.1","cultivatedCrops","Alfisols"
"BLAN_040.basePlot.ltr","Plot ""BLAN_040"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.057986","-78.070217","17N","753510.83132","4327297.43511","0.1","180.29","0.1","180.27","","0.52","136","cultivatedCrops","Ultisols"
"BLAN_041.basePlot.ltr","Plot ""BLAN_041"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","39.061567","-78.073175","17N","753242.02638","4327686.68298","0.1","183.97","0.1","182.57","","1.09","174.2","shrubScrub","Alfisols"
"BLAN_042.basePlot.ltr","Plot ""BLAN_042"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.058017","-78.071954","17N","753360.39257","4327296.02979","0.1","185.23","0.1","184.73","","1.43","213.2","cultivatedCrops","Alfisols"
"BLAN_043.basePlot.ltr","Plot ""BLAN_043"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.057695","-78.069523","17N","753571.93516","4327267.07056","0.1","183.05","0.1","182.78","","0.97","33.3","cultivatedCrops","Alfisols"
"BLAN_044.basePlot.ltr","Plot ""BLAN_044"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.059389","-78.072571","17N","753302.08723","4327446.60415","0.1","183.71","0.1","183.27","","0","0","shrubScrub","Alfisols"
"BLAN_045.basePlot.ltr","Plot ""BLAN_045"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.05828","-78.071244","17N","753420.89803","4327327.20402","0.1","183.79","0.1","183.16","","2.58","319.3","cultivatedCrops","Alfisols"
"BLAN_046.basePlot.ltr","Plot ""BLAN_046"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.057488","-78.072671","17N","753300.23221","4327235.30992","0.1","184.55","0.1","183.94","","1.6","34.4","cultivatedCrops","Alfisols"
"BLAN_047.basePlot.ltr","Plot ""BLAN_047"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.060777","-78.074263","17N","753150.69495","4327595.9582","0.1","180.98","0.1","180.75","","0","0","deciduousForest","Ultisols"
"BLAN_048.basePlot.ltr","Plot ""BLAN_048"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.061351","-78.07596","17N","753001.78397","4327654.94513","0.15","190.71","0.17","186.21","","6.16","293.8","deciduousForest","Alfisols"
"BLAN_049.basePlot.ltr","Plot ""BLAN_049"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.058787","-78.069838","17N","753540.764","4327387.40582","0.1","179.81","0.1","179.72","","0.34","319.7","cultivatedCrops","Ultisols"
"BLAN_050.basePlot.ltr","Plot ""BLAN_050"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.058855","-78.072602","17N","753301.31442","4327387.24247","0.1","183.09","0.1","183.06","","0","0","shrubScrub","Ultisols"
"BLAN_051.basePlot.ltr","Plot ""BLAN_051"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.057157","-78.069551","17N","753571.43817","4327207.27313","0.1","183.45","0.1","182.94","","2.92","136.3","cultivatedCrops","Ultisols"
"BLAN_052.basePlot.ltr","Plot ""BLAN_052"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.059365","-78.071895","17N","753360.67602","4327445.82548","0.1","182.87","0.1","181.94","","0","0","shrubScrub","Ultisols"
"BLAN_053.basePlot.ltr","Plot ""BLAN_053"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.058047","-78.073686","17N","753210.39029","4327294.53028","0.1","186.43","0.1","185.76","","0","0","shrubScrub","Alfisols"
"BLAN_054.basePlot.ltr","Plot ""BLAN_054"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.05694","-78.07197","17N","753362.86078","4327176.43569","0.1","181.81","0.1","181.79","","0.29","34.2","cultivatedCrops","Ultisols"
"BLAN_055.basePlot.ltr","Plot ""BLAN_055"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.061","-78.072521","17N","753300.65182","4327625.56833","0.1","179.75","0.1","179.27","","2.75","351.8","shrubScrub","Alfisols"
"BLAN_056.basePlot.ltr","Plot ""BLAN_056"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.058569","-78.07191","17N","753362.22569","4327357.42579","0.1","183.34","0.1","183.06","","0.34","305.8","cultivatedCrops","Alfisols"
"BLAN_057.basePlot.ltr","Plot ""BLAN_057"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.057518","-78.07441","17N","753149.62305","4327233.79211","0.1","184.86","0.1","184.35","","0","0","shrubScrub","Alfisols"
"BLAN_058.basePlot.ltr","Plot ""BLAN_058"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.059863","-78.071181","17N","753420.68546","4327503.09648","0.1","181.65","0.1","179.81","","13.1","154.6","pastureHay","Alfisols"
"BLAN_059.basePlot.ltr","Plot ""BLAN_059"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.056952","-78.073037","17N","753270.47351","4327174.79215","0.1","182.63","0.1","182.63","","0.57","275.5","cultivatedCrops","Ultisols"
"BLAN_060.basePlot.ltr","Plot ""BLAN_060"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.057168","-78.070252","17N","753510.73035","4327206.53752","0.1","181.55","0.1","180.87","","0","0","cultivatedCrops","Alfisols"
"BLAN_063.basePlot.ltr","Plot ""BLAN_063"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.060809","-78.075994","17N","753000.77807","4327594.6872","0.17","191.93","0.25","187.82","","1.6","349.1","deciduousForest","Alfisols"
"BLAN_064.basePlot.ltr","Plot ""BLAN_064"" at site ""BLAN""","History","2010-01-01T00:00:00.000Z","5","tower","","400","20m x 20m","41","39.058792","-78.071216","17N","753421.48909","4327384.11533","0.1","183.76","0.1","183.29","","0","0","cultivatedCrops","Alfisols"
"BONA_070.basePlot.ltr","Plot ""BONA_070"" at site ""BONA""","History","2010-01-01T00:00:00.000Z","13","tower","","1600","40m x 40m","41","65.153632","-147.509712","6N","476102.02409","7225673.20172","0.1","237.66","0.1","235.97","","3.03","316","evergreenForest","Histosols"
"BONA_071.basePlot.ltr","Plot ""BONA_071"" at site ""BONA""","History","2010-01-01T00:00:00.000Z","13","tower","","1600","40m x 40m","41","65.154979","-147.507196","6N","476221.19132","7225822.37157","0.11","246.07","0.11","243.75","","2.41","332","evergreenForest","Histosols"
"BONA_072.basePlot.ltr","Plot ""BONA_072"" at site ""BONA""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","65.157144","-147.502131","6N","476460.56808","7226061.75759","0.25","260.96","0.29","255.42","","5.14","315","deciduousForest","Inceptisols"
