"siteID","namedLocation","subplotID","targetTaxaPresent","easting","northing","utmZone","E_add","N_add","easting_calc","northing_calc","plotArea","CHM_area"
"NIWO","NIWO_057.basePlot.ltr","31","Y","450093.106","4433146.6103","13N",0,0,450093.106,4433146.6103,400,NA
"NIWO","NIWO_058.basePlot.ltr","31","Y","449913.97753","4433329.7134","13N",0,0,449913.97753,4433329.7134,400,NA
"NIWO","NIWO_058.basePlot.ltr","31","Y","449913.97753","4433329.7134","13N",0,0,449913.97753,4433329.7134,400,NA
"NIWO","NIWO_061.basePlot.ltr","31","Y","450004.95501","4433206.79536","13N",0,0,450004.95501,4433206.79536,400,NA
"NIWO","NIWO_061.basePlot.ltr","31","Y","450004.95501","4433206.79536","13N",0,0,450004.95501,4433206.79536,400,NA
"NIWO","NIWO_062.basePlot.ltr","31","Y","450034.56795","4433597.64287","13N",0,0,450034.56795,4433597.64287,400,NA
"NIWO","NIWO_062.basePlot.ltr","31","Y","450034.56795","4433597.64287","13N",0,0,450034.56795,4433597.64287,400,NA
"NIWO","NIWO_063.basePlot.ltr","31","Y","450095.17401","4433357.4909","13N",0,0,450095.17401,4433357.4909,400,NA
"NIWO","NIWO_063.basePlot.ltr","31","Y","450095.17401","4433357.4909","13N",0,0,450095.17401,4433357.4909,400,NA
"NIWO","NIWO_064.basePlot.ltr","31","Y","450184.50474","4433178.19943","13N",0,0,450184.50474,4433178.19943,400,NA
"NIWO","NIWO_064.basePlot.ltr","31","Y","450184.50474","4433178.19943","13N",0,0,450184.50474,4433178.19943,400,NA
"NIWO","NIWO_067.basePlot.ltr","31","Y","450096.78832","4433447.38784","13N",0,0,450096.78832,4433447.38784,400,NA
"SJER","SJER_045.basePlot.ltr","23","Y","257286.00664","4110881.33112","11N",10,-10,257296.00664,4110871.33112,400,NA
"SJER","SJER_045.basePlot.ltr","39","Y","257286.00664","4110881.33112","11N",-10,10,257276.00664,4110891.33112,400,NA
"SJER","SJER_046.basePlot.ltr","41","Y","257587.40007","4110700.40324","11N",10,10,257597.40007,4110710.40324,400,NA
"SJER","SJER_046.basePlot.ltr","39","Y","257587.40007","4110700.40324","11N",-10,10,257577.40007,4110710.40324,400,NA
"SJER","SJER_047.basePlot.ltr","21","Y","256988.20714","4109649.45716","11N",-10,-10,256978.20714,4109639.45716,400,NA
"SJER","SJER_047.basePlot.ltr","39","Y","256988.20714","4109649.45716","11N",-10,10,256978.20714,4109659.45716,400,NA
"SJER","SJER_048.basePlot.ltr","39","Y","256956.79242","4110578.06405","11N",-10,10,256946.79242,4110588.06405,400,NA
"SJER","SJER_048.basePlot.ltr","41","Y","256956.79242","4110578.06405","11N",10,10,256966.79242,4110588.06405,400,NA
"SJER","SJER_049.basePlot.ltr","23","Y","257526.23073","4111032.2374","11N",10,-10,257536.23073,4111022.2374,400,NA
"SJER","SJER_049.basePlot.ltr","21","Y","257526.23073","4111032.2374","11N",-10,-10,257516.23073,4111022.2374,400,NA
"SJER","SJER_050.basePlot.ltr","21","Y","256596.6173","4110848.56239","11N",-10,-10,256586.6173,4110838.56239,400,NA
"SJER","SJER_050.basePlot.ltr","39","Y","256596.6173","4110848.56239","11N",-10,10,256586.6173,4110858.56239,400,NA
"SJER","SJER_051.basePlot.ltr","41","Y","256416.76983","4110851.75742","11N",10,10,256426.76983,4110861.75742,400,NA
"SJER","SJER_051.basePlot.ltr","39","Y","256416.76983","4110851.75742","11N",-10,10,256406.76983,4110861.75742,400,NA
"SJER","SJER_052.basePlot.ltr","23","Y","257977.67559","4110488.83702","11N",10,-10,257987.67559,4110478.83702,400,NA
"SJER","SJER_052.basePlot.ltr","21","Y","257977.67559","4110488.83702","11N",-10,-10,257967.67559,4110478.83702,400,NA
"SJER","SJER_053.basePlot.ltr","21","Y","256838.25945","4110668.77658","11N",-10,-10,256828.25945,4110658.77658,400,NA
"SJER","SJER_053.basePlot.ltr","23","Y","256838.25945","4110668.77658","11N",10,-10,256848.25945,4110658.77658,400,NA
"SJER","SJER_054.basePlot.ltr","39","Y","257197.38592","4111269.3792","11N",-10,10,257187.38592,4111279.3792,400,NA
"SJER","SJER_054.basePlot.ltr","21","Y","257197.38592","4111269.3792","11N",-10,-10,257187.38592,4111259.3792,400,NA
"SJER","SJER_055.basePlot.ltr","39","Y","257618.22907","4111209.62274","11N",-10,10,257608.22907,4111219.62274,400,NA
"SJER","SJER_055.basePlot.ltr","21","Y","257618.22907","4111209.62274","11N",-10,-10,257608.22907,4111199.62274,400,NA
"SJER","SJER_056.basePlot.ltr","23","Y","256927.54892","4111269.82553","11N",10,-10,256937.54892,4111259.82553,400,NA
"SJER","SJER_056.basePlot.ltr","39","Y","256927.54892","4111269.82553","11N",-10,10,256917.54892,4111279.82553,400,NA
"SJER","SJER_057.basePlot.ltr","23","Y","257616.90562","4110848.04424","11N",10,-10,257626.90562,4110838.04424,400,NA
"SJER","SJER_057.basePlot.ltr","39","Y","257616.90562","4110848.04424","11N",-10,10,257606.90562,4110858.04424,400,NA
"SJER","SJER_058.basePlot.ltr","39","Y","256896.31703","4109948.97424","11N",-10,10,256886.31703,4109958.97424,400,NA
"SJER","SJER_058.basePlot.ltr","41","Y","256896.31703","4109948.97424","11N",10,10,256906.31703,4109958.97424,400,NA
"SJER","SJER_059.basePlot.ltr","23","Y","257226.14993","4109979.34403","11N",10,-10,257236.14993,4109969.34403,400,NA
"SJER","SJER_059.basePlot.ltr","21","Y","257226.14993","4109979.34403","11N",-10,-10,257216.14993,4109969.34403,400,NA
"SJER","SJER_060.basePlot.ltr","39","Y","257137.16298","4111031.33092","11N",-10,10,257127.16298,4111041.33092,400,NA
"SJER","SJER_060.basePlot.ltr","23","N","257137.16298","4111031.33092","11N",10,-10,257147.16298,4111021.33092,400,NA
"SJER","SJER_061.basePlot.ltr","41","Y","256597.90561","4111001.01418","11N",10,10,256607.90561,4111011.01418,400,NA
"SJER","SJER_061.basePlot.ltr","39","N","256597.90561","4111001.01418","11N",-10,10,256587.90561,4111011.01418,400,NA
"SJER","SJER_062.basePlot.ltr","23","N","257017.05541","4110851.20601","11N",10,-10,257027.05541,4110841.20601,400,NA
"SJER","SJER_062.basePlot.ltr","21","Y","257017.05541","4110851.20601","11N",-10,-10,257007.05541,4110841.20601,400,NA
"SJER","SJER_063.basePlot.ltr","41","Y","256628.1078","4110669.9532","11N",10,10,256638.1078,4110679.9532,400,NA
"SJER","SJER_063.basePlot.ltr","23","Y","256628.1078","4110669.9532","11N",10,-10,256638.1078,4110659.9532,400,NA
"SJER","SJER_064.basePlot.ltr","39","Y","257737.2013","4110459.42577","11N",-10,10,257727.2013,4110469.42577,400,NA
"SJER","SJER_064.basePlot.ltr","21","Y","257737.2013","4110459.42577","11N",-10,-10,257727.2013,4110449.42577,400,NA
"SRER","SRER_042.basePlot.ltr","39","Y","515696.21849","3530779.76965","12N",-10,10,515686.21849,3530789.76965,400,NA
"SRER","SRER_042.basePlot.ltr","23","Y","515696.21849","3530779.76965","12N",10,-10,515706.21849,3530769.76965,400,NA
"SRER","SRER_043.basePlot.ltr","39","Y","515394.68822","3530482.47907","12N",-10,10,515384.68822,3530492.47907,400,NA
"SRER","SRER_043.basePlot.ltr","21","Y","515394.68822","3530482.47907","12N",-10,-10,515384.68822,3530472.47907,400,NA
"SRER","SRER_044.basePlot.ltr","39","Y","515394.52345","3530780.97459","12N",-10,10,515384.52345,3530790.97459,400,NA
"SRER","SRER_044.basePlot.ltr","41","Y","515394.52345","3530780.97459","12N",10,10,515404.52345,3530790.97459,400,NA
"SRER","SRER_045.basePlot.ltr","23","Y","515756.15385","3530660.81798","12N",10,-10,515766.15385,3530650.81798,400,NA
"SRER","SRER_045.basePlot.ltr","21","Y","515756.15385","3530660.81798","12N",-10,-10,515746.15385,3530650.81798,400,NA
"SRER","SRER_046.basePlot.ltr","41","Y","515365.25349","3530628.85631","12N",10,10,515375.25349,3530638.85631,400,NA
"SRER","SRER_046.basePlot.ltr","23","Y","515365.25349","3530628.85631","12N",10,-10,515375.25349,3530618.85631,400,NA
"SRER","SRER_047.basePlot.ltr","39","Y","515275.5155","3530511.00865","12N",-10,10,515265.5155,3530521.00865,400,NA
"SRER","SRER_047.basePlot.ltr","41","Y","515275.5155","3530511.00865","12N",10,10,515285.5155,3530521.00865,400,NA
"SRER","SRER_048.basePlot.ltr","41","Y","515517.39863","3530802.99568","12N",10,10,515527.39863,3530812.99568,400,NA
"SRER","SRER_048.basePlot.ltr","23","Y","515517.39863","3530802.99568","12N",10,-10,515527.39863,3530792.99568,400,NA
"SRER","SRER_049.basePlot.ltr","21","Y","515427.67264","3530302.52236","12N",-10,-10,515417.67264,3530292.52236,400,NA
"SRER","SRER_049.basePlot.ltr","39","Y","515427.67264","3530302.52236","12N",-10,10,515417.67264,3530312.52236,400,NA
"SRER","SRER_050.basePlot.ltr","41","Y","515696.19771","3530299.49401","12N",10,10,515706.19771,3530309.49401,400,NA
"SRER","SRER_050.basePlot.ltr","39","Y","515696.19771","3530299.49401","12N",-10,10,515686.19771,3530309.49401,400,NA
"SRER","SRER_051.basePlot.ltr","41","Y","515305.00658","3530389.57056","12N",10,10,515315.00658,3530399.57056,400,NA
"SRER","SRER_051.basePlot.ltr","23","Y","515305.00658","3530389.57056","12N",10,-10,515315.00658,3530379.57056,400,NA
"SRER","SRER_052.basePlot.ltr","21","Y","515755.57852","3530420.06965","12N",-10,-10,515745.57852,3530410.06965,400,NA
"SRER","SRER_052.basePlot.ltr","39","Y","515755.57852","3530420.06965","12N",-10,10,515745.57852,3530430.06965,400,NA
"SRER","SRER_053.basePlot.ltr","39","Y","515514.14793","3530452.17784","12N",-10,10,515504.14793,3530462.17784,400,NA
"SRER","SRER_053.basePlot.ltr","41","Y","515514.14793","3530452.17784","12N",10,10,515524.14793,3530462.17784,400,NA
"SRER","SRER_054.basePlot.ltr","39","Y","515635.23012","3530660.30024","12N",-10,10,515625.23012,3530670.30024,400,NA
"SRER","SRER_054.basePlot.ltr","41","Y","515635.23012","3530660.30024","12N",10,10,515645.23012,3530670.30024,400,NA
"SRER","SRER_055.basePlot.ltr","39","Y","515546.57505","3530329.41479","12N",-10,10,515536.57505,3530339.41479,400,NA
"SRER","SRER_055.basePlot.ltr","41","Y","515546.57505","3530329.41479","12N",10,10,515556.57505,3530339.41479,400,NA
"SRER","SRER_056.basePlot.ltr","41","Y","515636.06695","3530421.66008","12N",10,10,515646.06695,3530431.66008,400,NA
"SRER","SRER_056.basePlot.ltr","39","Y","515636.06695","3530421.66008","12N",-10,10,515626.06695,3530431.66008,400,NA
"SRER","SRER_057.basePlot.ltr","23","Y","515516.59613","3530646.15391","12N",10,-10,515526.59613,3530636.15391,400,NA
"SRER","SRER_057.basePlot.ltr","41","Y","515516.59613","3530646.15391","12N",10,10,515526.59613,3530656.15391,400,NA
"SRER","SRER_058.basePlot.ltr","41","Y","515816.04699","3530570.13115","12N",10,10,515826.04699,3530580.13115,400,NA
"SRER","SRER_058.basePlot.ltr","23","Y","515816.04699","3530570.13115","12N",10,-10,515826.04699,3530560.13115,400,NA
"SRER","SRER_059.basePlot.ltr","21","Y","515695.54196","3530542.45722","12N",-10,-10,515685.54196,3530532.45722,400,NA
"SRER","SRER_059.basePlot.ltr","41","Y","515695.54196","3530542.45722","12N",10,10,515705.54196,3530552.45722,400,NA
"TEAK","TEAK_043.basePlot.ltr","23","Y","321054.90595","4096729.25051","11N",10,-10,321064.90595,4096719.25051,400,NA
"TEAK","TEAK_043.basePlot.ltr","21","Y","321054.90595","4096729.25051","11N",-10,-10,321044.90595,4096719.25051,400,NA
"TEAK","TEAK_044.basePlot.ltr","39","Y","321151.44204","4097118.27029","11N",-10,10,321141.44204,4097128.27029,400,NA
"TEAK","TEAK_044.basePlot.ltr","21","Y","321151.44204","4097118.27029","11N",-10,-10,321141.44204,4097108.27029,400,NA
"TEAK","TEAK_045.basePlot.ltr","23","Y","321692.99771","4096518.09722","11N",10,-10,321702.99771,4096508.09722,400,NA
"TEAK","TEAK_045.basePlot.ltr","39","Y","321692.99771","4096518.09722","11N",-10,10,321682.99771,4096528.09722,400,NA
"TEAK","TEAK_046.basePlot.ltr","39","Y","321363.49215","4097510.06976","11N",-10,10,321353.49215,4097520.06976,400,NA
"TEAK","TEAK_046.basePlot.ltr","41","Y","321363.49215","4097510.06976","11N",10,10,321373.49215,4097520.06976,400,NA
"TEAK","TEAK_047.basePlot.ltr","21","Y","321242.81035","4097330.35217","11N",-10,-10,321232.81035,4097320.35217,400,NA
"TEAK","TEAK_047.basePlot.ltr","41","Y","321242.81035","4097330.35217","11N",10,10,321252.81035,4097340.35217,400,NA
"TEAK","TEAK_048.basePlot.ltr","41","Y","321812.36954","4096787.87064","11N",10,10,321822.36954,4096797.87064,400,NA
"TEAK","TEAK_048.basePlot.ltr","21","Y","321812.36954","4096787.87064","11N",-10,-10,321802.36954,4096777.87064,400,NA
"TEAK","TEAK_049.basePlot.ltr","23","Y","321451.36751","4096759.06636","11N",10,-10,321461.36751,4096749.06636,400,NA
"TEAK","TEAK_049.basePlot.ltr","41","Y","321451.36751","4096759.06636","11N",10,10,321461.36751,4096769.06636,400,NA
"TEAK","TEAK_050.basePlot.ltr","21","Y","320612.15328","4097237.79511","11N",-10,-10,320602.15328,4097227.79511,400,NA
"TEAK","TEAK_050.basePlot.ltr","41","Y","320612.15328","4097237.79511","11N",10,10,320622.15328,4097247.79511,400,NA
"TEAK","TEAK_051.basePlot.ltr","41","Y","321392.22384","4097086.99127","11N",10,10,321402.22384,4097096.99127,400,NA
"TEAK","TEAK_051.basePlot.ltr","21","Y","321392.22384","4097086.99127","11N",-10,-10,321382.22384,4097076.99127,400,NA
"TEAK","TEAK_052.basePlot.ltr","41","Y","321212.71334","4097751.57362","11N",10,10,321222.71334,4097761.57362,400,NA
"TEAK","TEAK_052.basePlot.ltr","23","Y","321212.71334","4097751.57362","11N",10,-10,321222.71334,4097741.57362,400,NA
"TEAK","TEAK_053.basePlot.ltr","21","Y","321092.88335","4097300.44047","11N",-10,-10,321082.88335,4097290.44047,400,NA
"TEAK","TEAK_053.basePlot.ltr","41","Y","321092.88335","4097300.44047","11N",10,10,321102.88335,4097310.44047,400,NA
"TEAK","TEAK_054.basePlot.ltr","41","Y","321901.46749","4096668.33501","11N",10,10,321911.46749,4096678.33501,400,NA
"TEAK","TEAK_054.basePlot.ltr","23","Y","321901.46749","4096668.33501","11N",10,-10,321911.46749,4096658.33501,400,NA
"TEAK","TEAK_055.basePlot.ltr","39","Y","321542.53028","4096665.90149","11N",-10,10,321532.53028,4096675.90149,400,NA
"TEAK","TEAK_055.basePlot.ltr","23","Y","321542.53028","4096665.90149","11N",10,-10,321552.53028,4096655.90149,400,NA
"TEAK","TEAK_056.basePlot.ltr","39","Y","321092.7542","4096995.18811","11N",-10,10,321082.7542,4097005.18811,400,NA
"TEAK","TEAK_056.basePlot.ltr","21","Y","321092.7542","4096995.18811","11N",-10,-10,321082.7542,4096985.18811,400,NA
"TEAK","TEAK_057.basePlot.ltr","23","Y","321331.27141","4097210.82309","11N",10,-10,321341.27141,4097200.82309,400,NA
"TEAK","TEAK_057.basePlot.ltr","21","Y","321331.27141","4097210.82309","11N",-10,-10,321321.27141,4097200.82309,400,NA
"TEAK","TEAK_058.basePlot.ltr","41","Y","321356.57565","4096545.05657","11N",10,10,321366.57565,4096555.05657,400,NA
"TEAK","TEAK_058.basePlot.ltr","21","Y","321356.57565","4096545.05657","11N",-10,-10,321346.57565,4096535.05657,400,NA
"TEAK","TEAK_059.basePlot.ltr","41","Y","321662.19446","4096911.35756","11N",10,10,321672.19446,4096921.35756,400,NA
"TEAK","TEAK_059.basePlot.ltr","21","Y","321662.19446","4096911.35756","11N",-10,-10,321652.19446,4096901.35756,400,NA
"TEAK","TEAK_060.basePlot.ltr","21","Y","321541.79842","4096846.62724","11N",-10,-10,321531.79842,4096836.62724,400,NA
"TEAK","TEAK_060.basePlot.ltr","23","Y","321541.79842","4096846.62724","11N",10,-10,321551.79842,4096836.62724,400,NA
"TEAK","TEAK_061.basePlot.ltr","41","Y","321901.27391","4096908.87861","11N",10,10,321911.27391,4096918.87861,400,NA
"TEAK","TEAK_061.basePlot.ltr","21","Y","321901.27391","4096908.87861","11N",-10,-10,321891.27391,4096898.87861,400,NA
"TEAK","TEAK_062.basePlot.ltr","41","Y","321240.69962","4096787.59833","11N",10,10,321250.69962,4096797.59833,400,NA
"TEAK","TEAK_062.basePlot.ltr","21","Y","321240.69962","4096787.59833","11N",-10,-10,321230.69962,4096777.59833,400,NA
"YELL","YELL_043.basePlot.ltr","21","Y","536279.86716","4977551.69908","12N",-10,-10,536269.86716,4977541.69908,400,NA
"YELL","YELL_043.basePlot.ltr","41","Y","536279.86716","4977551.69908","12N",10,10,536289.86716,4977561.69908,400,NA
"YELL","YELL_044.basePlot.ltr","23","Y","536729.43325","4977882.09124","12N",10,-10,536739.43325,4977872.09124,400,NA
"YELL","YELL_044.basePlot.ltr","39","Y","536729.43325","4977882.09124","12N",-10,10,536719.43325,4977892.09124,400,NA
"YELL","YELL_045.basePlot.ltr","21","Y","536579.00651","4977523.29717","12N",-10,-10,536569.00651,4977513.29717,400,NA
"YELL","YELL_045.basePlot.ltr","23","Y","536579.00651","4977523.29717","12N",10,-10,536589.00651,4977513.29717,400,NA
