siteID,namedLocation,subplotID,targetTaxaPresent,easting,northing,utmZone,E_add,N_add,easting_calc,northing_calc,plotArea,CHM_area,CHM_percent,Year
HEAL,HEAL_073.basePlot.ltr,31,Y,391235.7404,7084705.039,6N,0,0,391235.7404,7084705.039,400,NA,,
HEAL,HEAL_074.basePlot.ltr,31,N,391027.2046,7084825.248,6N,0,0,391027.2046,7084825.248,400,NA,,
YELL,YELL_043.basePlot.ltr,21,Y,536279.8672,4977551.699,12N,-10,-10,536269.8672,4977541.699,400,NA,,
YELL,YELL_043.basePlot.ltr,41,Y,536279.8672,4977551.699,12N,10,10,536289.8672,4977561.699,400,NA,,
YELL,YELL_044.basePlot.ltr,23,Y,536729.4333,4977882.091,12N,10,-10,536739.4333,4977872.091,400,NA,,
YELL,YELL_044.basePlot.ltr,39,Y,536729.4333,4977882.091,12N,-10,10,536719.4333,4977892.091,400,NA,,
YELL,YELL_045.basePlot.ltr,21,Y,536579.0065,4977523.297,12N,-10,-10,536569.0065,4977513.297,400,NA,,
YELL,YELL_045.basePlot.ltr,23,Y,536579.0065,4977523.297,12N,10,-10,536589.0065,4977513.297,400,NA,,
YELL,YELL_046.basePlot.ltr,39,Y,536160.2779,4977760.76,12N,-10,10,536150.2779,4977770.76,400,NA,,
YELL,YELL_046.basePlot.ltr,41,Y,536160.2779,4977760.76,12N,10,10,536170.2779,4977770.76,400,NA,,
YELL,YELL_047.basePlot.ltr,21,Y,536729.8804,4977763.005,12N,-10,-10,536719.8804,4977753.005,400,NA,,
YELL,YELL_047.basePlot.ltr,23,Y,536729.8804,4977763.005,12N,10,-10,536739.8804,4977753.005,400,NA,,
YELL,YELL_048.basePlot.ltr,23,Y,536550.0877,4977641.887,12N,10,-10,536560.0877,4977631.887,400,NA,,
YELL,YELL_048.basePlot.ltr,21,Y,536550.0877,4977641.887,12N,-10,-10,536540.0877,4977631.887,400,NA,,
YELL,YELL_049.basePlot.ltr,21,N,536369.269,4977672.295,12N,-10,-10,536359.269,4977662.295,400,NA,,
YELL,YELL_049.basePlot.ltr,41,N,536369.269,4977672.295,12N,10,10,536379.269,4977682.295,400,NA,,
YELL,YELL_049.basePlot.ltr,41,Y,536369.269,4977672.295,12N,10,10,536379.269,4977682.295,400,NA,,
YELL,YELL_049.basePlot.ltr,21,Y,536369.269,4977672.295,12N,-10,-10,536359.269,4977662.295,400,NA,,
YELL,YELL_050.basePlot.ltr,23,Y,536040.4931,4978061.915,12N,10,-10,536050.4931,4978051.915,400,NA,,
YELL,YELL_050.basePlot.ltr,21,Y,536040.4931,4978061.915,12N,-10,-10,536030.4931,4978051.915,400,NA,,
YELL,YELL_051.basePlot.ltr,21,N,536159.9437,4977973.384,12N,-10,-10,536149.9437,4977963.384,400,NA,,
YELL,YELL_051.basePlot.ltr,23,N,536159.9437,4977973.384,12N,10,-10,536169.9437,4977963.384,400,NA,,
YELL,YELL_051.basePlot.ltr,23,Y,536159.9437,4977973.384,12N,10,-10,536169.9437,4977963.384,400,NA,,
YELL,YELL_051.basePlot.ltr,21,Y,536159.9437,4977973.384,12N,-10,-10,536149.9437,4977963.384,400,NA,,
YELL,YELL_052.basePlot.ltr,41,Y,536339.8504,4978032.393,12N,10,10,536349.8504,4978042.393,400,NA,,
YELL,YELL_052.basePlot.ltr,21,Y,536339.8504,4978032.393,12N,-10,-10,536329.8504,4978022.393,400,NA,,
YELL,YELL_053.basePlot.ltr,23,Y,536459.8305,4977491.956,12N,10,-10,536469.8305,4977481.956,400,NA,,
YELL,YELL_053.basePlot.ltr,21,Y,536459.8305,4977491.956,12N,-10,-10,536449.8305,4977481.956,400,NA,,
YELL,YELL_054.basePlot.ltr,39,Y,536518.5041,4977881.994,12N,-10,10,536508.5041,4977891.994,400,NA,,
YELL,YELL_054.basePlot.ltr,41,Y,536518.5041,4977881.994,12N,10,10,536528.5041,4977891.994,400,NA,,
YELL,YELL_055.basePlot.ltr,39,Y,536459.2068,4978002.744,12N,-10,10,536449.2068,4978012.744,400,NA,,
YELL,YELL_055.basePlot.ltr,41,Y,536459.2068,4978002.744,12N,10,10,536469.2068,4978012.744,400,NA,,
YELL,YELL_056.basePlot.ltr,39,Y,536731.5197,4977642.371,12N,-10,10,536721.5197,4977652.371,400,NA,,
YELL,YELL_056.basePlot.ltr,21,Y,536731.5197,4977642.371,12N,-10,-10,536721.5197,4977632.371,400,NA,,
YELL,YELL_057.basePlot.ltr,41,Y,535919.6368,4978092.341,12N,10,10,535929.6368,4978102.341,400,NA,,
YELL,YELL_057.basePlot.ltr,21,Y,535919.6368,4978092.341,12N,-10,-10,535909.6368,4978082.341,400,NA,,
YELL,YELL_058.basePlot.ltr,21,Y,536609.5678,4977972.498,12N,-10,-10,536599.5678,4977962.498,400,NA,,
YELL,YELL_058.basePlot.ltr,41,Y,536609.5678,4977972.498,12N,10,10,536619.5678,4977982.498,400,NA,,
YELL,YELL_059.basePlot.ltr,23,Y,536279.9322,4977762.77,12N,10,-10,536289.9322,4977752.77,400,NA,,
YELL,YELL_059.basePlot.ltr,21,Y,536279.9322,4977762.77,12N,-10,-10,536269.9322,4977752.77,400,NA,,
YELL,YELL_060.basePlot.ltr,21,Y,536040.2157,4977943.158,12N,-10,-10,536030.2157,4977933.158,400,NA,,
YELL,YELL_060.basePlot.ltr,41,Y,536040.2157,4977943.158,12N,10,10,536050.2157,4977953.158,400,NA,,
YELL,YELL_061.basePlot.ltr,41,Y,536249.597,4977881.909,12N,10,10,536259.597,4977891.909,400,NA,,
YELL,YELL_061.basePlot.ltr,21,Y,536249.597,4977881.909,12N,-10,-10,536239.597,4977871.909,400,NA,,
YELL,YELL_062.basePlot.ltr,21,Y,536520.1337,4977762.36,12N,-10,-10,536510.1337,4977752.36,400,NA,,
YELL,YELL_062.basePlot.ltr,23,Y,536520.1337,4977762.36,12N,10,-10,536530.1337,4977752.36,400,NA,,
