siteID,namedLocation,subplotID,targetTaxaPresent,easting,northing,utmZone,E_add,N_add,easting_calc,northing_calc,plotArea,CHM_area,CHM_percent,Year,startDate,endDate
SOAP,SOAP_045.basePlot.ltr,21,Y,299204.778,4100919.602,11N,-10,-10,299194,4100909,400,339,84.75,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_046.basePlot.ltr,41,Y,298394.7462,4100860.825,11N,10,10,298404,4100870,400,262,65.5,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_046.basePlot.ltr,23,Y,298394.7462,4100860.825,11N,10,-10,298404,4100850,400,377,94.25,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_047.basePlot.ltr,41,Y,299204.0416,4101072.272,11N,10,10,299214,4101082,400,202,50.5,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_047.basePlot.ltr,23,Y,299204.0416,4101072.272,11N,10,-10,299214,4101062,400,231,57.75,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_048.basePlot.ltr,39,Y,298065.0187,4101190.876,11N,-10,10,298055,4101200,400,377,94.25,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_048.basePlot.ltr,21,Y,298065.0187,4101190.876,11N,-10,-10,298055,4101180,400,344,86,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_049.basePlot.ltr,39,Y,299564.941,4101135.429,11N,-10,10,299554,4101145,400,330,82.5,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_049.basePlot.ltr,23,Y,299564.941,4101135.429,11N,10,-10,299574,4101125,400,381,95.25,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_050.basePlot.ltr,41,Y,298306.5395,4100950.413,11N,10,10,298316,4100960,400,332,83,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_050.basePlot.ltr,23,Y,298306.5395,4100950.413,11N,10,-10,298316,4100940,400,320,80,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_051.basePlot.ltr,39,Y,297944.7245,4100954.165,11N,-10,10,297934,4100964,400,98,24.5,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_051.basePlot.ltr,21,Y,297944.7245,4100954.165,11N,-10,-10,297934,4100944,400,0,0,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_052.basePlot.ltr,39,Y,298094.3101,4100859.444,11N,-10,10,298084,4100869,400,309,77.25,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_052.basePlot.ltr,23,Y,298094.3101,4100859.444,11N,10,-10,298104,4100849,400,392,98,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_053.basePlot.ltr,39,Y,299355.5326,4100982.414,11N,-10,10,299345,4100992,400,263,65.75,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_053.basePlot.ltr,23,Y,299355.5326,4100982.414,11N,10,-10,299365,4100972,400,145,36.25,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_054.basePlot.ltr,23,Y,299024.7292,4100950.079,11N,10,-10,299034,4100940,400,362,90.5,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_054.basePlot.ltr,39,Y,299024.7292,4100950.079,11N,-10,10,299014,4100960,400,202,50.5,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_055.basePlot.ltr,23,Y,298514.2808,4100950.346,11N,10,-10,298524,4100940,400,363,90.75,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_055.basePlot.ltr,41,Y,298514.2808,4100950.346,11N,10,10,298524,4100960,400,323,80.75,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_056.basePlot.ltr,41,Y,299443.8918,4101075.24,11N,10,10,299453,4101085,400,330,82.5,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_056.basePlot.ltr,39,Y,299443.8918,4101075.24,11N,-10,10,299433,4101085,400,391,97.75,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_057.basePlot.ltr,39,Y,297855.0993,4101162.918,11N,-10,10,297845,4101172,400,336,84,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_057.basePlot.ltr,23,Y,297855.0993,4101162.918,11N,10,-10,297865,4101152,400,270,67.5,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_058.basePlot.ltr,39,Y,298635.4361,4101010.853,11N,-10,10,298625,4101020,400,257,64.25,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_058.basePlot.ltr,41,Y,298635.4361,4101010.853,11N,10,10,298645,4101020,400,214,53.5,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_059.basePlot.ltr,39,Y,297825.8674,4101012.405,11N,-10,10,297815,4101022,400,255,63.75,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
