,siteID,namedLocation,subplotID,targetTaxaPresent,easting,northing,utmZone,E_add,N_add,easting_calc,northing_calc,plotArea,CHM_area,CHM_percent,Year,startDate,endDate
406,JERC,JERC_047.basePlot.ltr,21,Y,741333.085,3454357.886,16N,-10,-10,741323,3454347,400,288,72,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
407,JERC,JERC_048.basePlot.ltr,21,Y,741839.9275,3454150.41,16N,-10,-10,741829,3454140,400,278,69.5,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
408,JERC,JERC_048.basePlot.ltr,39,Y,741839.9275,3454150.41,16N,-10,10,741829,3454160,400,176,44,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
409,JERC,JERC_049.basePlot.ltr,39,Y,741630.6383,3454148.934,16N,-10,10,741620,3454158,400,361,90.25,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
410,JERC,JERC_049.basePlot.ltr,21,Y,741630.6383,3454148.934,16N,-10,-10,741620,3454138,400,264,66,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
411,JERC,JERC_050.basePlot.ltr,23,Y,741239.6145,3454179.576,16N,10,-10,741249,3454169,400,398,99.5,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
412,JERC,JERC_050.basePlot.ltr,21,Y,741239.6145,3454179.576,16N,-10,-10,741229,3454169,400,379,94.75,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
413,JERC,JERC_051.basePlot.ltr,39,Y,741600.8874,3454481.397,16N,-10,10,741590,3454491,400,352,88,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
414,JERC,JERC_051.basePlot.ltr,21,Y,741600.8874,3454481.397,16N,-10,-10,741590,3454471,400,264,66,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
415,JERC,JERC_052.basePlot.ltr,39,Y,741630.4306,3454029.117,16N,-10,10,741620,3454039,400,250,62.5,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
416,JERC,JERC_052.basePlot.ltr,21,Y,741630.4306,3454029.117,16N,-10,-10,741620,3454019,400,186,46.5,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
417,JERC,JERC_053.basePlot.ltr,21,Y,741689.7549,3453879.159,16N,-10,-10,741679,3453869,400,354,88.5,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
418,JERC,JERC_053.basePlot.ltr,41,Y,741689.7549,3453879.159,16N,10,10,741699,3453889,400,336,84,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
419,JERC,JERC_054.basePlot.ltr,21,Y,741179.2857,3454298.783,16N,-10,-10,741169,3454288,400,396,99,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
