transectID,easting,northing,dbh.cm,stemrad.m,maxcanopy.m,canopyrad.m,firstbranch.m,height.m,status
1,387744.94,3292463.79,21.1,0.106,3.8,1.9,12,19,Alive
1,387744.79,3292459.9,15.8,0.079,2,1,11.5,17.6,Alive
1,387744.72,3292458.1,17.3,0.087,2.6,1.3,12.2,18,Alive
1,387744.62,3292455.7,12.8,0.064,2.5,1.3,11.2,18.1,Alive
1,387744.46,3292451.4,12.9,0.065,1.8,0.9,10.6,13.4,Alive
1,387744.41,3292450.2,16.2,0.081,2.7,1.4,11.8,16.5,Alive
1,387744.23,3292445.61,14.7,0.074,1.3,0.7,10.8,15.9,Alive
1,387744.14,3292443.41,12.9,0.065,2.8,1.4,10.2,15.8,Alive
1,387744.03,3292440.61,14.9,0.075,2.4,1.2,12.8,16.4,Alive
1,387743.93,3292437.91,15.5,0.078,3.2,1.6,11,15.8,Alive
1,387743.79,3292434.42,19.5,0.098,3.4,1.7,11.6,20.5,Alive
1,387743.65,3292430.92,15.3,0.077,2.1,1.1,11.3,14.5,Alive
1,387743.43,3292425.12,19.4,0.097,2.5,1.3,11.5,18.1,Alive
1,387743.34,3292422.92,11.5,0.058,2.7,1.4,9.3,12.7,Alive
1,387743.25,3292420.53,15.6,0.078,2.5,1.3,10.7,16.3,Alive
1,387743.15,3292418.13,16,0.08,2.7,1.4,10.1,16,Alive
1,387742.99,3292413.93,16.8,0.084,3.5,1.8,10.9,16.5,Alive
1,387742.79,3292408.73,15.6,0.078,2.6,1.3,8.9,13.4,Alive
2,387743.78,3292580.99,12.7,0.064,2,1,11.1,14.1,Alive
2,387743.7,3292578.49,15.9,0.08,1.7,0.9,10.8,14.7,Alive
2,387743.62,3292575.99,17.8,0.089,3.5,1.8,11.7,16,Alive
2,387743.51,3292572.59,16.9,0.084,3.2,1.6,12.4,18.3,Alive
2,387743.38,3292568.49,19.1,0.095,3.5,1.8,12.4,18,Alive
2,387743.17,3292561.8,16.6,0.083,2.7,1.4,11.7,16.7,Alive
2,387743.07,3292558.6,18.1,0.091,4,2,11.5,16.2,Alive
2,387742.9,3292553.3,16.2,0.081,2.5,1.3,10.9,14.3,Alive
2,387742.77,3292549.2,13.7,0.068,2.9,1.5,10.2,13.7,Alive
2,387742.7,3292547,14.3,0.072,3.4,1.7,10.4,13.5,Alive
2,387742.57,3292543.01,16.2,0.081,3,1.5,10.9,15.8,Alive
2,387742.43,3292538.51,13.1,0.065,2.8,1.4,8.6,12.1,Alive
2,387742.31,3292534.61,26.4,0.132,5,2.5,11.1,15,Double-bole
2,387742.15,3292529.61,28.6,0.143,4.3,2.2,10.9,17,Double-bole
2,387741.98,3292524.41,15,0.075,3.2,1.6,10.9,14.9,Alive
2,387741.9,3292521.72,14.6,0.073,2.5,1.3,11,14.4,Alive
2,387741.8,3292518.62,10.5,0.053,1.8,0.9,9,11.7,Alive
2,387741.7,3292515.52,13.4,0.067,2.9,1.5,11.6,16.4,Alive
2,387741.63,3292513.42,15.9,0.08,2.6,1.3,11.7,14.8,Alive
2,387741.54,3292510.32,14,0.07,3.3,1.7,11.1,15.3,Alive
2,387741.45,3292507.52,11.1,0.056,1.7,0.9,10.8,13.2,Alive
2,387741.33,3292503.72,12.1,0.06,2.7,1.4,10,12.3,Alive
2,387741.25,3292501.23,15.9,0.08,2.4,1.2,9.4,14.5,Alive
2,387741.16,3292498.33,13.1,0.065,3.5,1.8,11.1,14,Alive
2,387741.06,3292495.33,15.3,0.076,2.9,1.5,12.9,16.4,Alive
2,387740.95,3292491.93,13.1,0.065,NA,NA,10.9,13.1,Dead
2,387740.81,3292487.33,17.2,0.086,3.1,1.6,10.8,14.6,Alive
2,387740.74,3292485.33,17.2,0.086,2.8,1.4,11,16.9,Alive
2,387740.65,3292482.34,15.9,0.08,2.6,1.3,11.4,15.1,Alive
2,387740.52,3292478.34,15.9,0.08,3.1,1.6,12.2,17.5,Alive
2,387740.33,3292472.34,13.1,0.065,2.7,1.4,8,12.4,Alive
2,387740.24,3292469.54,15,0.075,3.7,1.9,10.4,15.9,Alive
2,387740.16,3292466.94,15,0.075,3.1,1.6,9.7,15.7,Alive
2,387740.01,3292462.35,15.9,0.08,2.8,1.4,11.3,16.1,Alive
2,387739.85,3292457.35,12.7,0.064,3.2,1.6,9.4,12.6,Alive
2,387739.79,3292455.35,13.1,0.065,2.9,1.5,9.8,13.7,Alive
2,387739.7,3292452.35,14,0.07,2.5,1.3,7.8,12.1,Alive
2,387739.57,3292448.35,16.2,0.081,3,1.5,10.2,14.9,Alive
2,387739.48,3292445.65,12.7,0.064,2.9,1.5,12.4,14.6,Alive
2,387739.44,3292444.15,14.3,0.072,2.6,1.3,12.6,16.4,Alive
2,387739.29,3292439.66,17.5,0.088,2.7,1.4,10.9,15,Alive
2,387739.19,3292436.36,15.3,0.076,3.2,1.6,11.1,13.6,Alive
2,387739.06,3292432.36,13.7,0.068,2.3,1.2,10,12.2,Alive
2,387739,3292430.56,17.5,0.088,2.8,1.4,10.6,16.1,Alive
2,387738.92,3292427.96,15.9,0.08,3.7,1.9,10.3,14.1,Alive
2,387738.8,3292424.07,16.6,0.083,3,1.5,9.9,15.8,Alive
2,387738.71,3292421.37,17.8,0.089,2.6,1.3,10.8,15.9,Alive
2,387738.57,3292416.87,17.5,0.088,2.5,1.3,11.2,15.8,Alive
2,387738.51,3292414.87,11.1,0.056,3.2,1.6,10,13.8,Alive
2,387738.43,3292412.37,15.9,0.08,3.3,1.7,10.8,16,Alive
