speciesID,PC1,PC2,PC3,PC4
Pipa,7.585671112,-0.678287427,-0.406497373,1.522992795
Pipa,7.554660581,1.429515204,-2.200846754,0.555254859
Pipa,8.801115108,-0.488791364,-1.275508222,1.255397434
Pipa,13.60383857,-1.088041299,-1.05866143,1.088891097
Pipa,8.330779578,2.971266741,-3.185226786,1.156617856
Pipa,13.97599002,0.281969408,-3.097119996,1.475233733
Pipa,12.43252888,1.653474774,-1.743350293,2.549481523
Pipa,15.71753837,3.751848455,-2.818103715,2.528371276
Pipa,-9.26364653,0.336868401,-1.534807862,0.228052998
Qula,-6.051860974,-1.315197837,0.075903934,-0.104690442
Qula,-2.919130225,-0.89050429,0.460361744,-1.098584621
Qula,-8.247774467,0.898795369,0.198357996,0.396511131
Qula,-6.841037433,-0.276273367,-0.888016106,0.064704423
Qula,-2.982361386,-2.839662016,0.410506835,0.123831212
Qula,-6.947413519,0.622585803,-0.609693619,-0.050503709
Qula,-4.636307832,-0.96539249,0.873804444,0.207079179
Qula,-6.530144016,-0.052854427,-0.370580033,0.253620198
Qula,-6.763977629,-0.012850504,-0.384959135,0.312905684
Qula,-5.598994661,0.764522973,0.533644115,-0.116830549
Qula,-3.807799208,-0.184201117,0.883702359,-0.254673494
Qula,-6.38590672,0.417339557,0.279749085,0.325628941
Qula,-6.279982163,1.52136415,-0.511929941,-0.362232968
Qula,-6.163768289,-0.296091987,-0.258325107,0.371955095
Qula,-6.372606543,1.530694364,-0.722631419,-0.278934956
Qula,-6.102588766,0.271296348,0.538986304,0.592459191
Qula,-4.215814707,-0.373874457,0.522735179,0.20057377
Qula,-2.366302863,-0.679068587,-1.544333968,-0.896416487
Qula,-4.262001589,1.187107285,1.111356549,-0.217430602
Qula,-3.943385064,0.692533234,0.858854955,-0.206341727
Qula,-3.750725799,-0.997097892,0.030782877,0.14340918
Qula,-3.339036934,0.417185814,0.12750819,-0.513064802
Qula,-5.231628614,0.426551176,1.132911569,0.524804683
Qula,-4.659940533,0.84383049,0.338191717,-0.056117918
Qula,-4.509435873,1.907482022,0.325309564,-0.520690642
Qula,-6.903776111,0.66800559,-0.975488084,0.508269258
Qula,-4.089766615,0.811144173,0.933436224,0.166406876
Qula,1.118286197,0.066413075,2.743940904,-0.784189941
Qula,4.520837378,0.426153904,5.639435225,-1.241731884
Qula,-5.592605836,1.537023326,0.636516374,0.424112781
Qula,-4.559293021,1.259663298,0.696736489,0.315901974
Qula,-6.345853631,1.188646399,-0.174088506,0.696456322
Qula,-3.755225285,0.987853361,0.210537693,0.010606764
Qula,-3.128954645,0.624108396,1.985334934,0.795189097
Qula,1.919684312,2.198307629,1.045633617,-1.666538526
Qula,-1.584069116,0.289889304,2.364198653,0.627592607
Qula,-3.485238606,2.476255729,-0.315064975,-0.224993366
Qula,-1.919209647,1.74009549,-0.27358403,-0.457158682
Qula,-2.429852245,1.901340013,0.990607302,0.594061855
Qula,3.285243166,2.895619855,2.368557434,-1.321752719
Qula,-1.140242467,1.842255745,0.105841863,0.276877698
Qula,3.892054092,0.617001448,4.055545232,0.994224575
Qula,-0.16073003,1.675273498,-0.041364645,1.01240646
Qula,-0.782697682,5.16173991,-2.271617203,0.05132284
Qula,4.785853032,3.737085504,1.736117063,0.333579504
Qula,3.382118317,2.279214716,2.444168931,1.687390483
Qula,2.85296929,5.546095715,-0.343364626,-0.075319508
Qula,5.647385501,0.848614725,2.00617773,1.697971529
Qula,6.922941502,2.097375697,4.131819948,1.510359988
Qula,-5.259658913,6.380108093,-3.640055144,-3.24257678
