"","domainID","siteID","plotID","date","eventID","volumeFactor","samplingImpractical","samplingProtocolVersion","lidsAzimuth","targetTaxaPresent","logDistance","logMaxDiameter","logMinorDiameter","logID","logLength","taxonID","scientificName","decayClass","plotType","diameterClass","decayClassNum"
"30","D05","STEI","STEI_021",2021-05-18,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",40,"Y",1.9,5.9,5.9,"L02",2.6,"SALIX","Salix sp.","2 - Sound round","distributed","5-10cm","2"
"31","D05","STEI","STEI_002",2021-05-11,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",80,"Y",1.34,5.58,5.58,"L03",1.4,"ACSA3","Acer saccharum Marshall","3 - Heartwood sound","distributed","5-10cm","3"
"32","D05","STEI","STEI_006",2021-05-26,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",150,"Y",2,29.1,29.1,"00204",17.2,"POPUL","Populus sp.","2 - Sound round","distributed",">=10cm","2"
"33","D05","STEI","STEI_005",2021-05-20,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",190,"Y",4.8,15.3,15.3,"00003",4,"FAGACE","Fagaceae sp.","3 - Heartwood sound","distributed",">=10cm","3"
"34","D05","STEI","STEI_009",2021-05-25,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",280,"Y",5.3,19.2,19.2,"00002",7.2,"BEPA","Betula papyrifera Marshall","4 - Rotten throughout","distributed",">=10cm","4"
"35","D05","STEI","STEI_007",2021-05-25,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",30,"Y",0.2,7.4,7.4,"L01",4.2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound","distributed","5-10cm","3"
"36","D05","STEI","STEI_021",2021-05-18,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",40,"Y",10.9,18.9,18.9,"00324",12.7,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound","distributed",">=10cm","3"
"37","D05","STEI","STEI_008",2021-05-20,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",190,"Y",11,13.4,10.1,"00345",3.2,"SALICA","Salicaceae sp.","4 - Rotten throughout","distributed",">=10cm","4"
"38","D05","STEI","STEI_009",2021-05-25,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",160,"Y",13.3,15.1,15.1,"00001",10.7,"FRAM2/FRPE","Fraxinus americana/pennsylvanica","3 - Heartwood sound","distributed",">=10cm","3"
"39","D05","STEI","STEI_021",2021-05-18,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",40,"Y",1.8,9.8,9.8,"L01",1.9,"SALIX","Salix sp.","2 - Sound round","distributed","5-10cm","2"
"40","D05","STEI","STEI_021",2021-05-18,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",40,"Y",14.8,34.2,34.2,"00325",5.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound","distributed",">=10cm","3"
"41","D05","STEI","STEI_007",2021-05-25,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",30,"Y",38.5,44.1,44.1,"01701",11.9,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound","distributed",">=10cm","3"
"42","D05","STEI","STEI_002",2021-05-11,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",200,"Y",0.4,2.6,2.6,"L01",2.3,"ACSA3","Acer saccharum Marshall","2 - Sound round","distributed","2-5cm","2"
"43","D05","STEI","STEI_021",2021-05-18,"CDW.2021.STEI",5,"OK","NEON.DOC.001711vF",40,"Y",16.8,34.4,34.4,"01499",7.9,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout","distributed",">=10cm","4"
"44","D05","STEI","STEI_046",2019-05-16,"CDW.2019.STEI",5,NA,"NEON.DOC.001711vE",300,"Y",2.8,5.8,NA,"L01",2.4,"ACRU","Acer rubrum L.","1 - Fresh fallen","tower","5-10cm","1"
"45","D05","STEI","STEI_046",2019-05-16,"CDW.2019.STEI",5,NA,"NEON.DOC.001711vE",180,"Y",5.4,18.2,NA,"298",1.9,"ACRU","Acer rubrum L.","4 - Rotten throughout","tower",">=10cm","4"
"46","D05","STEI","STEI_060",2019-06-20,"CDW.2019.STEI",5,NA,"NEON.DOC.001711vE",150,"Y",28,18.8,NA,"57",9.9,"PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","2 - Sound round","tower",">=10cm","2"
"47","D05","STEI","STEI_061",2019-06-27,"CDW.2019.STEI",5,NA,"NEON.DOC.001711vE",200,"Y",14.3,22.8,NA,"673",1.7,"ACER","Acer sp.","4 - Rotten throughout","tower",">=10cm","4"
