"plotID","pointID","mOrder","country","stateProvince","county","domainName","domainID","siteName","siteID","plotType","subtype","subtypeSpecification","plotSize","plotDimensions","decimalLatitude","decimalLongitude","geodeticDatum","utmZone","easting","northing","coordinateUncertainty","elevation","elevationUncertainty","minimumElevation","maximumElevation","slopeGradient","slopeAspect","nlcdClass","soilTypeOrder","coordinateSource","recordedDate","filteredPositions","plotPdop","plotHdop","applicableModules","module","plot"
"YELL_064","C",99999,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","tower","phenology","phenocam",40000,"200m x 200m",44.954686,-110.539162,"WGS84","12N",536349.725,4978019.978,,2128.23,,2122.27,2128.79,3.71,47.98,"",,"GIS",,,,,"phe","H","99999H"
"YELL_064","S",99999,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","tower","phenology","phenocam",40000,"200m x 200m",44.953792,-110.539161,"WGS84","12N",536350.374,4977920.616,0.1,2128.79,0.1,2122.27,2128.79,1.91,70.98,"",,"Geo 7X (H-Star)",20180802,303,2,1.3,"phe","H","99999H"
"YELL_064","SE",99999,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","tower","phenology","phenocam",40000,"200m x 200m",44.953781,-110.537896,"WGS84","12N",536450.155,4977919.977,0.19,2125.86,0.3,2122.27,2128.79,1.88,23.81,"",,"Geo 7X (H-Star)",20180802,309,11.6,7.3,"phe","H","99999H"
"YELL_064","SW",99999,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","tower","phenology","phenocam",40000,"200m x 200m",44.953792,-110.540427,"WGS84","12N",536250.483,4977919.983,0.1,2122.27,0.11,2122.27,2128.79,4.63,226.7,"",,"Geo 7X (H-Star)",20180802,303,2.5,1.4,"phe","H","99999H"
"YELL_063","C",141848,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","tower","phenology","primary",40000,"200m x 200m",44.96249,-110.550272,"WGS84","12N",535468.55,4978881.92,,2089.38,,2080.42,2097.08,2.16,307.86,"",,"GIS",,,,,"phe","H","141848H"
"YELL_063","SW",141848,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","tower","phenology","primary",40000,"200m x 200m",44.961602,-110.551538,"WGS84","12N",535369.281,4978782.708,0.1,2094.36,0.1,2080.42,2097.08,2.08,338.89,"",,"Geo 7X (H-Star)",20180524,,1.8,1.1,"phe","H","141848H"
"YELL_063","W",141848,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","tower","phenology","primary",40000,"200m x 200m",44.962492,-110.55154,"WGS84","12N",535368.555,4978881.517,0.1,2085.41,0.1,2080.42,2097.08,5.75,330.81,"",,"Geo 7X (H-Star)",20180524,,2.7,1.8,"phe","H","141848H"
"YELL_063","NW",141848,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","tower","phenology","primary",40000,"200m x 200m",44.9634,-110.551532,"WGS84","12N",535368.594,4978982.388,0.11,2080.42,0.13,2080.42,2097.08,2.67,353.08,"",,"Geo 7X (H-Star)",20180524,,6.5,3.1,"phe","H","141848H"
"YELL_063","N",141848,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","tower","phenology","primary",40000,"200m x 200m",44.963396,-110.550271,"WGS84","12N",535468.062,4978982.532,0.1,2087.89,0.1,2080.42,2097.08,1.97,319.23,"",,"Geo 7X (H-Star)",20180524,,2.4,1.3,"phe","H","141848H"
"YELL_063","NE",141848,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","tower","phenology","primary",40000,"200m x 200m",44.963394,-110.549,"WGS84","12N",535568.307,4978982.924,0.1,2090.63,0.1,2080.42,2097.08,1.28,293.35,"",,"Geo 7X (H-Star)",20180524,,2,1,"phe","H","141848H"
"YELL_063","E",141848,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","tower","phenology","primary",40000,"200m x 200m",44.962493,-110.549003,"WGS84","12N",535568.615,4978882.824,0.1,2091.39,0.1,2080.42,2097.08,1.66,281.8,"",,"Geo 7X (H-Star)",20180524,,1.8,0.9,"phe","H","141848H"
"YELL_063","SE",141848,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","tower","phenology","primary",40000,"200m x 200m",44.961596,-110.549011,"WGS84","12N",535568.546,4978783.099,0.1,2097.08,0.1,2080.42,2097.08,2.82,344.72,"",,"Geo 7X (H-Star)",20180524,,1.8,0.9,"phe","H","141848H"
"YELL_063","S",141848,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","tower","phenology","primary",40000,"200m x 200m",44.961607,-110.550286,"WGS84","12N",535468.034,4978783.781,0.1,2094.91,0.1,2080.42,2097.08,3.25,325.35,"",,"Geo 7X (H-Star)",20180524,,2.6,1,"phe","H","141848H"
"YELL_002","25",67,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.932233,-110.632753,"WGS84","12N",528978.799,4975487.955,0.01,2089.69,0.02,2089.69,2101.4,19,126.21,"shrubScrub",,"Geo 7X (H-Star)",20180507,136,1.9,1.1,"tck","K","67K"
"YELL_002","57",67,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.932599,-110.633252,"WGS84","12N",528939.193,4975528.412,0.02,2101.4,0.02,2089.69,2101.4,11.34,86.75,"shrubScrub",,"Geo 7X (H-Star)",20180507,304,1.8,1.1,"tck","K","67K"
"YELL_002","61",67,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.932591,-110.632748,"WGS84","12N",528979.013,4975527.77,0.02,2091.56,0.02,2089.69,2101.4,12.44,92.95,"shrubScrub",,"Geo 7X (H-Star)",20180507,156,2.6,1.8,"tck","K","67K"
"YELL_002","21",67,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.932237,-110.63326,"WGS84","12N",528938.746,4975488.229,0.02,2095.8,0.02,2089.69,2101.4,16.97,114.92,"shrubScrub",,"Geo 7X (H-Star)",20180507,126,1.9,1.1,"tck","K","67K"
"YELL_001","21",18,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.916659,-110.412279,"WGS84","12N",546388.55,4973860.357,0.1,1905.47,0.1,1904.57,1905.47,1.91,22.07,"shrubScrub",,"Geo 7X (H-Star)",20180419,102,2,1.1,"tck","K","18K"
"YELL_004","21",203,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.961736,-110.594874,"WGS84","12N",531951.348,4978779.579,0.02,1995.42,0.02,1993.19,1997.93,2.34,76.49,"shrubScrub",,"Geo 7X (H-Star)",20180419,111,2.4,1.4,"tck","K","203K"
"YELL_009","21",391,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.972041,-110.504415,"WGS84","12N",539078.663,4979963.921,0.12,2025.62,0.12,2015.23,2025.62,16.89,36.9,"evergreenForest",,"GeoXH 6000",20180502,355,4.1,2.5,"tck","K","391K"
"YELL_003","25",167,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.955873,-110.533598,"WGS84","12N",536787.79,4978154.208,0.1,2111.27,0.1,2111.27,2118.39,8.89,89.28,"shrubScrub",,"Geo 7X (H-Star)",20180514,124,1.3,0.7,"tck","K","167K"
"YELL_003","57",167,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.956235,-110.534103,"WGS84","12N",536747.751,4978194.262,0.1,2118.39,0.1,2111.27,2118.39,15.22,3.23,"shrubScrub",,"Geo 7X (H-Star)",20180514,301,1.3,0.7,"tck","K","167K"
"YELL_003","61",167,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.95623,-110.533597,"WGS84","12N",536787.666,4978193.927,0.1,2116.16,0.1,2111.27,2118.39,24.82,40.88,"shrubScrub",,"Geo 7X (H-Star)",20180514,124,1.3,0.7,"tck","K","167K"
"YELL_001","61",18,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.917016,-110.411762,"WGS84","12N",546429.07,4973900.295,0.1,1904.57,0.1,1904.57,1905.47,1.9,23.99,"shrubScrub",,"Geo 7X (H-Star)",20180419,112,2.5,1.5,"tck","K","18K"
"YELL_001","25",18,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.916655,-110.411771,"WGS84","12N",546428.602,4973860.226,0.1,1905.35,0.1,1904.57,1905.47,1.85,30.61,"shrubScrub",,"Geo 7X (H-Star)",20180419,220,1.8,1.1,"tck","K","18K"
"YELL_012","21",602,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.943023,-110.434013,"WGS84","12N",544652.639,4976776.8,0.24,1890.81,0.32,1890.81,1906.48,10.12,259.19,"evergreenForest",,"GeoXH 6000",20180430,302,3.6,1.7,"tck","K","602K"
"YELL_003","21",167,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.955875,-110.534109,"WGS84","12N",536747.522,4978154.232,0.1,2116.64,0.1,2111.27,2118.39,4.56,145.45,"shrubScrub",,"Geo 7X (H-Star)",20180514,121,1.3,0.7,"tck","K","167K"
"YELL_004","57",203,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.962098,-110.59486,"WGS84","12N",531952.245,4978819.81,0.01,1997.93,0.02,1993.19,1997.93,5.99,135.85,"shrubScrub",,"Geo 7X (H-Star)",20180419,108,1.7,0.9,"tck","K","203K"
"YELL_004","25",203,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.961721,-110.594367,"WGS84","12N",531991.344,4978778.151,0.01,1993.19,0.02,1993.19,1997.93,1.67,59.25,"shrubScrub",,"Geo 7X (H-Star)",20180419,102,2,1,"tck","K","203K"
"YELL_004","61",203,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.962088,-110.594351,"WGS84","12N",531992.41,4978818.94,0.02,1993.88,0.02,1993.19,1997.93,2.94,128.74,"shrubScrub",,"Geo 7X (H-Star)",20180419,163,2.3,1.2,"tck","K","203K"
"YELL_002","41",67,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.932413,-110.633006,"WGS84","12N",528958.751,4975507.907,0.02,2097.42,0.02,2089.69,2101.4,14.65,106.92,"shrubScrub",,"Geo 7X (H-Star)",20180507,135,1.8,1.1,"tck","K","67K"
"YELL_001","41",18,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.91684,-110.412018,"WGS84","12N",546408.97,4973880.566,0.1,1904.84,0.1,1904.57,1905.47,1.95,17.25,"shrubScrub",,"Geo 7X (H-Star)",20180419,102,2.1,1.2,"tck","K","18K"
"YELL_004","41",203,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.96191,-110.594615,"WGS84","12N",531971.675,4978799.044,0.02,1994.36,0.02,1993.19,1997.93,5.99,135.85,"shrubScrub",,"Geo 7X (H-Star)",20180419,101,2.2,1.2,"tck","K","203K"
"YELL_009","41",391,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.972216,-110.504156,"WGS84","12N",539098.994,4979983.553,0.13,2018.92,0.2,2015.23,2025.62,16.43,54.27,"evergreenForest",,"GeoXH 6000",20180502,340,5.5,3.7,"tck","K","391K"
"YELL_012","41",602,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.9432,-110.433745,"WGS84","12N",544673.627,4976796.565,0.12,1896.23,0.2,1890.81,1906.48,19.06,250.95,"evergreenForest",,"GeoXH 6000",20180430,301,3.6,2,"tck","K","602K"
"YELL_003","41",167,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.956055,-110.533849,"WGS84","12N",536767.874,4978174.338,0.1,2115.23,0.1,2111.27,2118.39,6.8,89.26,"shrubScrub",,"Geo 7X (H-Star)",20180514,301,1.4,0.7,"tck","K","167K"
"YELL_009","25",391,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.972031,-110.503891,"WGS84","12N",539119.991,4979963.127,0.23,2020.88,0.32,2015.23,2025.62,16.43,54.27,"evergreenForest",,"GeoXH 6000",20180502,306,5.9,2.9,"tck","K","391K"
"YELL_009","57",391,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.972395,-110.504407,"WGS84","12N",539079.029,4980003.269,0.19,2021.37,0.25,2015.23,2025.62,21.5,15.13,"evergreenForest",,"GeoXH 6000",20180502,301,3.4,1.9,"tck","K","391K"
"YELL_009","61",391,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.972397,-110.503896,"WGS84","12N",539119.376,4980003.714,0.13,2015.23,0.18,2015.23,2025.62,18.46,28.76,"evergreenForest",,"GeoXH 6000",20180502,304,3.5,1.4,"tck","K","391K"
"YELL_012","25",602,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.943011,-110.433501,"WGS84","12N",544693.012,4976775.762,0.14,1902.56,0.23,1890.81,1906.48,16.11,255.08,"evergreenForest",,"GeoXH 6000",20180430,302,4,2.2,"tck","K","602K"
"YELL_012","57",602,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.943383,-110.433995,"WGS84","12N",544653.778,4976816.811,0.12,1891.13,0.15,1890.81,1906.48,15.27,258.14,"evergreenForest",,"GeoXH 6000",20180430,307,2.2,1.2,"tck","K","602K"
"YELL_012","61",602,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.943382,-110.433491,"WGS84","12N",544693.528,4976816.952,0.11,1906.48,0.13,1890.81,1906.48,22.09,252.67,"evergreenForest",,"GeoXH 6000",20180430,305,4,3.2,"tck","K","602K"
"YELL_001","57",18,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","tickPlot","",1600,"40m x 40m",44.917031,-110.412271,"WGS84","12N",546388.862,4973901.638,0.1,1904.71,0.1,1904.57,1905.47,1.95,17.25,"shrubScrub",,"Geo 7X (H-Star)",20180419,116,1.8,1.1,"tck","K","18K"
"YELL_020","E5",1179,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","mammalGrid","diversity",8100,"90m x 90m",44.943811,-110.646584,"WGS84","12N",527881.801,4976769.24,0.1,2104.13,0.11,2098.65,2106.68,3.24,53.87,"evergreenForest",,"Geo 7X (H-Star)",20170601,165,1.4,0.7,"mam","M","1179M"
"YELL_023","E5",1603,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","mammalGrid","diversity",8100,"90m x 90m",44.938201,-110.630976,"WGS84","12N",529115.956,4976151.626,0.1,2062.44,0.11,2049.16,2072.59,11.78,24.92,"evergreenForest",,"Geo 7X (H-Star)",20170601,121,1.6,0.8,"mam","M","1603M"
"YELL_031","E5",263,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","mammalGrid","diversity",8100,"90m x 90m",44.95647,-110.510295,"WGS84","12N",538625.443,4978231.439,0.18,2136.18,0.26,2122.62,2136.93,5.81,257.89,"shrubScrub",,"Geo 7X (H-Star)",20170602,151,1.2,0.6,"mam","M","263M"
"YELL_032","E5",346,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","mammalGrid","diversity",8100,"90m x 90m",44.951333,-110.449548,"WGS84","12N",543420.761,4977691.45,0.26,1964.17,0.29,1955.37,1964.17,2.42,18.61,"shrubScrub",,"Geo 7X (H-Star)",20170606,122,1.4,0.7,"mam","M","346M"
"YELL_011","E5",523,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","mammalGrid","diversity",8100,"90m x 90m",44.957982,-110.589389,"WGS84","12N",532386.103,4978364.776,0.16,2022.1,0.22,2017.13,2022.1,1.04,236.9,"shrubScrub",,"Geo 7X (H-Star)",20170602,176,1.2,0.7,"mam","M","523M"
"YELL_001","E5",18,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","mammalGrid","diversity",8100,"90m x 90m",44.918169,-110.408714,"WGS84","12N",546668.681,4974030.069,0.1,1904.11,0.11,1893.65,1904.11,4.9,358.29,"shrubScrub",,"Geo 7X (H-Star)",20180522,344,1.8,1,"mam","M","18M"
"YELL_033","41",1562,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","mosquitoPoint","",0,"0m",44.948544,-110.464438,"WGS84","12N",542248.241,4977373.828,10.25,2009.46,0.25,2009.46,2009.46,5.91,68.8,"evergreenForest",,"GeoXH 6000",20170531,301,5.6,3.9,"mos|mpt","Q","1562Q"
"YELL_041","41",27666,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","mosquitoPoint","",0,"0m",44.919892,-110.405942,"WGS84","12N",546886.037,4974223.078,10.23,1847.77,0.26,1847.77,1847.77,11.46,102.93,"shrubScrub",,"GeoXH 6000",20170601,133,1.5,0.8,"mos|mpt","Q","27666Q"
"YELL_037","41",19953,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","mosquitoPoint","",0,"0m",44.958452,-110.493909,"WGS84","12N",539916.542,4978459.534,10.1,2093.22,0.1,2093.22,2093.22,14.12,340.32,"shrubScrub",,"Geo 7X (H-Star)",20170727,200,1.5,0.9,"mos|mpt","Q","19953Q"
"YELL_008","41",331,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","basePlot","",1600,"40m x 40m",44.959683,-110.613808,"WGS84","12N",530459.18,4978544.252,0.1,2200.17,0.16,2198.53,2205.53,8.81,199,"shrubScrub",,"GeoXH 6000",20180509,132,2.7,1.5,"cdw|cfc|dhp|div|hbp|vst","R","331R"
"YELL_008","49",331,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","basePlot","",1600,"40m x 40m",44.959776,-110.61393,"WGS84","12N",530449.491,4978554.53,0.1,2202.05,0.11,2198.53,2205.53,4.9,118.23,"shrubScrub",,"GeoXH 6000",20180509,139,1.9,1.2,"cdw|cfc|dhp|div|hbp|vst","R","331R"
"YELL_008","51",331,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","basePlot","",1600,"40m x 40m",44.959773,-110.61368,"WGS84","12N",530469.236,4978554.283,0.1,2202.22,0.12,2198.53,2205.53,4.65,116.2,"shrubScrub",,"GeoXH 6000",20180509,156,2.9,1.8,"cdw|cfc|dhp|div|hbp|vst","R","331R"
"YELL_008","57",331,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","basePlot","",1600,"40m x 40m",44.959871,-110.614053,"WGS84","12N",530439.746,4978564.999,0.1,2204.44,0.1,2198.53,2205.53,4.9,118.23,"shrubScrub",,"GeoXH 6000",20180509,135,4,2.5,"cdw|cfc|dhp|div|hbp|vst","R","331R"
"YELL_008","33",331,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","basePlot","",1600,"40m x 40m",44.95959,-110.613678,"WGS84","12N",530469.49,4978533.996,0.1,2199.7,0.12,2198.53,2205.53,4.41,123.32,"shrubScrub",,"GeoXH 6000",20180509,136,2.3,1.3,"cdw|cfc|dhp|div|hbp|vst","R","331R"
"YELL_008","31",331,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","basePlot","",1600,"40m x 40m",44.959592,-110.613938,"WGS84","12N",530448.973,4978534.051,0.1,2201.68,0.1,2198.53,2205.53,4.96,128.57,"shrubScrub",,"GeoXH 6000",20180509,125,1.5,0.8,"cdw|cfc|dhp|div|hbp|vst","R","331R"
"YELL_008","21",331,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","basePlot","",1600,"40m x 40m",44.9595,-110.614067,"WGS84","12N",530438.873,4978523.819,0.1,2203.05,0.1,2198.53,2205.53,4.96,128.57,"shrubScrub",,"GeoXH 6000",20180509,122,1.5,0.8,"cdw|cfc|dhp|div|hbp|vst","R","331R"
"YELL_008","61",331,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","basePlot","",1600,"40m x 40m",44.959863,-110.613552,"WGS84","12N",530479.244,4978564.314,0.15,2205.53,0.19,2198.53,2205.53,4.65,116.2,"shrubScrub",,"GeoXH 6000",20180509,130,2.3,1.6,"cdw|cfc|dhp|div|hbp|vst","R","331R"
"YELL_008","25",331,"unitedStates","WY","Park","Northern Rockies","D12","Yellowstone Northern Range (Frog Rock)","YELL","distributed","basePlot","",1600,"40m x 40m",44.959498,-110.613546,"WGS84","12N",530479.952,4978523.807,0.19,2198.53,0.26,2198.53,2205.53,4.41,123.32,"shrubScrub",,"GeoXH 6000",20180509,133,2.7,1.3,"cdw|cfc|dhp|div|hbp|vst","R","331R"
