"","domainID","siteID","plotID","plotType","date","eventID","volumeFactor","samplingImpractical","samplingProtocolVersion","lidsAzimuth","targetTaxaPresent","logDistance","logMaxDiameter","logMinorDiameter","logID","logLength","taxonID","scientificName","decayClass","diameterClass","decayClassNum"
"28","D16","WREF","WREF_086","tower",2019-08-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",240,"Y",10.2,62,NA,"211",5.7,"PINACE","Pinaceae sp.","3 - Heartwood sound",">=10cm","3"
"29","D16","WREF","WREF_086","tower",2019-08-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",240,"Y",6.1,67,58,"210",44.1,"TSHE","Tsuga heterophylla (Raf.) Sarg.","3 - Heartwood sound",">=10cm","3"
"30","D16","WREF","WREF_086","tower",2019-08-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",0,"Y",23.9,46,27,"218",19.3,"TSHE","Tsuga heterophylla (Raf.) Sarg.","4 - Rotten throughout",">=10cm","4"
"31","D16","WREF","WREF_086","tower",2019-08-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",0,"Y",61.8,91,83,"221",48.6,"TSHE","Tsuga heterophylla (Raf.) Sarg.","2 - Sound round",">=10cm","2"
"32","D16","WREF","WREF_086","tower",2019-08-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",0,"Y",0.7,37,37,"215",1.3,"TSHE","Tsuga heterophylla (Raf.) Sarg.","2 - Sound round",">=10cm","2"
"33","D16","WREF","WREF_086","tower",2019-08-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",0,"Y",5.8,43,32,"210",44.1,"TSHE","Tsuga heterophylla (Raf.) Sarg.","3 - Heartwood sound",">=10cm","3"
"34","D16","WREF","WREF_086","tower",2019-08-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",240,"Y",3.5,31,26,"209",1.4,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","4 - Rotten throughout",">=10cm","4"
"35","D16","WREF","WREF_086","tower",2019-08-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",120,"Y",15.9,40,34,"206",5.2,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","5 - No structural integrity",">=10cm","5"
"36","D16","WREF","WREF_086","tower",2019-08-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",240,"Y",41.4,54,26,"213",1.4,"2PLANT-S","Unknown softwood plant","4 - Rotten throughout",">=10cm","4"
"37","D16","WREF","WREF_086","tower",2019-08-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",0,"Y",15.8,73,65,"216",2.4,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"38","D16","WREF","WREF_086","tower",2019-08-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",0,"Y",51.7,48,NA,"220",13.1,"TSHE","Tsuga heterophylla (Raf.) Sarg.","2 - Sound round",">=10cm","2"
"39","D16","WREF","WREF_086","tower",2019-08-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",0,"Y",35.2,60,56,"219",37.2,"TSHE","Tsuga heterophylla (Raf.) Sarg.","3 - Heartwood sound",">=10cm","3"
"40","D16","WREF","WREF_086","tower",2019-08-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",240,"Y",67.2,56,56,"214",11.9,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"41","D16","WREF","WREF_086","tower",2019-08-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",120,"Y",71.3,69,39,"208",14.2,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"42","D16","WREF","WREF_086","tower",2019-08-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",0,"Y",24.3,49,44,"217",2.7,"TSHE","Tsuga heterophylla (Raf.) Sarg.","3 - Heartwood sound",">=10cm","3"
"43","D16","WREF","WREF_086","tower",2019-08-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",240,"Y",30.3,42,26,"212",11.8,"PINACE","Pinaceae sp.","4 - Rotten throughout",">=10cm","4"
"44","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",110,"Y",21.8,57,48,"227",5.6,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"45","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",110,"Y",91.6,63,46,"232",25.6,"THPL","Thuja plicata Donn ex D. Don","2 - Sound round",">=10cm","2"
"46","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",230,"Y",51.1,61,58,"238",18.2,"TSHE","Tsuga heterophylla (Raf.) Sarg.","3 - Heartwood sound",">=10cm","3"
"47","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",110,"Y",97.6,63,55,"233",36,"TSHE","Tsuga heterophylla (Raf.) Sarg.","2 - Sound round",">=10cm","2"
"48","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",230,"Y",37.3,38.4,36,"235",6.2,"TSHE","Tsuga heterophylla (Raf.) Sarg.","3 - Heartwood sound",">=10cm","3"
"49","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",230,"Y",109.2,70,61,"242",15.1,"TSHE","Tsuga heterophylla (Raf.) Sarg.","4 - Rotten throughout",">=10cm","4"
"50","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",230,"Y",112.1,93,63,"243",18.6,"PINACE","Pinaceae sp.","4 - Rotten throughout",">=10cm","4"
"51","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",350,"Y",87.2,69,63,"225",6.8,"TSHE","Tsuga heterophylla (Raf.) Sarg.","3 - Heartwood sound",">=10cm","3"
"52","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",110,"Y",30.5,47,46,"229",6.1,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"53","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",230,"Y",174.5,90,76,"244",38.3,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"54","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",230,"Y",73.8,69,NA,"241",47.8,"TSHE","Tsuga heterophylla (Raf.) Sarg.","2 - Sound round",">=10cm","2"
"55","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",230,"Y",39.1,63,54,"236",9.7,"TSHE","Tsuga heterophylla (Raf.) Sarg.","2 - Sound round",">=10cm","2"
"56","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",350,"Y",38.5,39,29,"223",6.9,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","4 - Rotten throughout",">=10cm","4"
"57","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",350,"Y",39.4,67,20,"224",6.4,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","5 - No structural integrity",">=10cm","5"
"58","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",350,"Y",0.5,48,40,"222",17.4,"PINACE","Pinaceae sp.","4 - Rotten throughout",">=10cm","4"
"59","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",230,"Y",48,61,54,"237",36.7,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"60","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",230,"Y",59.8,55,46,"239",31.9,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","2 - Sound round",">=10cm","2"
"61","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",110,"Y",22.6,46,40,"228",1.1,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"62","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",110,"Y",0.2,57,49,"226",36.1,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"63","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",230,"Y",68.2,55,42,"240",16.1,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"64","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",230,"Y",5.6,99,33,"234",8.4,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","5 - No structural integrity",">=10cm","5"
"65","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",110,"Y",66.2,58,46,"231",24.2,"TSHE","Tsuga heterophylla (Raf.) Sarg.","3 - Heartwood sound",">=10cm","3"
"66","D16","WREF","WREF_081","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",110,"Y",39.3,52,38,"230",3.2,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","5 - No structural integrity",">=10cm","5"
"67","D16","WREF","WREF_082","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",280,"Y",3.2,15.5,NA,"296",22.3,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","2 - Sound round",">=10cm","2"
"68","D16","WREF","WREF_082","tower",2019-08-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",280,"Y",14.7,43.3,NA,"294",34.5,"TSHE","Tsuga heterophylla (Raf.) Sarg.","2 - Sound round",">=10cm","2"
"69","D16","WREF","WREF_083","tower",2019-08-28,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",150,"Y",3,35,NA,"248",7.2,"TSHE","Tsuga heterophylla (Raf.) Sarg.","3 - Heartwood sound",">=10cm","3"
"70","D16","WREF","WREF_083","tower",2019-08-28,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",30,"Y",39.7,77,64,"297",27.1,"2PLANT-S","Unknown softwood plant","3 - Heartwood sound",">=10cm","3"
"71","D16","WREF","WREF_083","tower",2019-08-28,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",150,"Y",39.1,39,33,"249",13.1,"2PLANT-S","Unknown softwood plant","3 - Heartwood sound",">=10cm","3"
"72","D16","WREF","WREF_083","tower",2019-08-28,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",270,"Y",40.7,54,52,"298",23.7,"2PLANT-S","Unknown softwood plant","3 - Heartwood sound",">=10cm","3"
"73","D16","WREF","WREF_083","tower",2019-08-28,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",270,"Y",82.5,60,NA,"246",23.4,"TSHE","Tsuga heterophylla (Raf.) Sarg.","2 - Sound round",">=10cm","2"
"74","D16","WREF","WREF_083","tower",2019-08-28,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",270,"Y",158.5,77,77,"247",9.7,"TSHE","Tsuga heterophylla (Raf.) Sarg.","3 - Heartwood sound",">=10cm","3"
"75","D16","WREF","WREF_083","tower",2019-08-28,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",270,"Y",46.4,71,65,"245",7.9,"2PLANT-S","Unknown softwood plant","3 - Heartwood sound",">=10cm","3"
"76","D16","WREF","WREF_088","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",210,"Y",1.2,13.2,NA,"112",7.2,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"77","D16","WREF","WREF_088","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",330,"Y",17.3,63.8,NA,"257",15.5,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","4 - Rotten throughout",">=10cm","4"
"78","D16","WREF","WREF_078","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",110,"Y",1.4,10.5,NA,"196",6.5,"PINACE","Pinaceae sp.","3 - Heartwood sound",">=10cm","3"
"79","D16","WREF","WREF_078","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",230,"Y",103.8,86.9,61,"111",10.1,"PINACE","Pinaceae sp.","4 - Rotten throughout",">=10cm","4"
"80","D16","WREF","WREF_088","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",330,"Y",28,45.6,25,"260",14.1,"PINACE","Pinaceae sp.","4 - Rotten throughout",">=10cm","4"
"81","D16","WREF","WREF_088","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",330,"Y",2.7,17.3,NA,"256",12.3,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","2 - Sound round",">=10cm","2"
"82","D16","WREF","WREF_078","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",350,"Y",34.2,38.5,36,"255",5.1,"2PLANT-S","Unknown softwood plant","5 - No structural integrity",">=10cm","5"
"83","D16","WREF","WREF_078","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",110,"Y",7.3,29.6,NA,"199",14.9,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","2 - Sound round",">=10cm","2"
"84","D16","WREF","WREF_078","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",110,"Y",3.1,21,NA,"197",31.7,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","2 - Sound round",">=10cm","2"
"85","D16","WREF","WREF_078","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",350,"Y",2.2,37.9,22,"254",1.9,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","5 - No structural integrity",">=10cm","5"
"86","D16","WREF","WREF_088","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",210,"Y",5,33,30.3,"113",3.6,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"87","D16","WREF","WREF_078","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",110,"Y",9.8,23.3,NA,"110",14.2,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"88","D16","WREF","WREF_078","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",350,"Y",0.6,11.6,NA,"253",5.5,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"89","D16","WREF","WREF_088","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",90,"Y",3.2,11.3,NA,"116",13.6,"TSHE","Tsuga heterophylla (Raf.) Sarg.","2 - Sound round",">=10cm","2"
"90","D16","WREF","WREF_088","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",90,"Y",30.3,42.4,NA,"117",5,"PINACE","Pinaceae sp.","3 - Heartwood sound",">=10cm","3"
"91","D16","WREF","WREF_088","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",330,"Y",25.9,31.2,29,"259",26.7,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","2 - Sound round",">=10cm","2"
"92","D16","WREF","WREF_088","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",210,"Y",9.3,20.7,NA,"115",17.7,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"93","D16","WREF","WREF_078","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",110,"Y",5.4,14.3,NA,"198",7.7,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"94","D16","WREF","WREF_088","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",330,"Y",21.8,67,55.6,"258",3.7,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","4 - Rotten throughout",">=10cm","4"
"95","D16","WREF","WREF_078","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",230,"Y",6.7,21.5,13.8,"291",3.2,"2PLANT-H","Unknown hardwood plant","3 - Heartwood sound",">=10cm","3"
"96","D16","WREF","WREF_088","tower",2019-10-14,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",210,"Y",6.7,23.6,NA,"114",6.2,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"97","D16","WREF","WREF_089","tower",2019-10-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",160,"Y",79.5,59.3,NA,"272",4.7,"TSHE","Tsuga heterophylla (Raf.) Sarg.","2 - Sound round",">=10cm","2"
"98","D16","WREF","WREF_072","tower",2019-10-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",20,"Y",40.1,62.8,NA,"413",15.8,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"99","D16","WREF","WREF_072","tower",2019-10-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",20,"Y",70.6,54.9,42,"415",5.9,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"100","D16","WREF","WREF_072","tower",2019-10-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",140,"Y",41.2,70.6,50.7,"426",7.5,"2PLANT-S","Unknown softwood plant","4 - Rotten throughout",">=10cm","4"
"101","D16","WREF","WREF_072","tower",2019-10-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",260,"Y",10.9,107.5,94.5,"417",32,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","3 - Heartwood sound",">=10cm","3"
"102","D16","WREF","WREF_072","tower",2019-10-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",260,"Y",19,43,37.1,"418",4.4,"2PLANT-S","Unknown softwood plant","5 - No structural integrity",">=10cm","5"
"103","D16","WREF","WREF_089","tower",2019-10-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",160,"Y",5.9,90.4,NA,"16",38.2,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","2 - Sound round",">=10cm","2"
"104","D16","WREF","WREF_089","tower",2019-10-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",280,"Y",44.7,45,31.5,"263",8.5,"2PLANT-S","Unknown softwood plant","4 - Rotten throughout",">=10cm","4"
"105","D16","WREF","WREF_076","tower",2019-10-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",40,"Y",20.6,47,27,"407",4,"2PLANT-S","Unknown softwood plant","4 - Rotten throughout",">=10cm","4"
"106","D16","WREF","WREF_074","tower",2019-10-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",100,"Y",3.5,25,NA,"133",7.2,"PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","4 - Rotten throughout",">=10cm","4"
"107","D16","WREF","WREF_089","tower",2019-10-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",40,"Y",8.2,22.6,21.5,"278",1.9,"TSHE","Tsuga heterophylla (Raf.) Sarg.","2 - Sound round",">=10cm","2"
"108","D16","WREF","WREF_076","tower",2019-10-15,"CDW.2019.WREF",15,NA,"NEON.DOC.001711vF",160,"Y",17.2,45.9,39.7,"289",8,"2PLANT-S","Unknown softwood plant","4 - Rotten throughout",">=10cm","4"
