"domainID","siteID","nlcdClass","date","elevation","decimalLatitude","decimalLongitude","pitProfileID","depthIncrementID","topDepth","bottomDepth","sampleArea","sampleID","rootStatus","sizeCategory","rootDryMass","d15N","d13C","nitrogenPercent","carbonPercent","CNratio","cnIsotopeQF","cnPercentQF"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.100",100,120,0.01,"BART.2.100.DEAD.<2MM","dead","0-2",0.0082,2.7,-27.2,1.1,48.5,43.4,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.120",120,140,0.011,"BART.2.120.LIVE.<2MM","live","0-2",7e-04,3.6,-25,1.6,45.5,28.3,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.120",120,140,0.011,"BART.2.120.DEAD.<2MM","dead","0-2",0.0021,2.6,-28.2,1.1,40.3,37.6,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.140",140,160,0.01,"BART.2.140.LIVE.<2MM","live","0-2",3e-04,0,-27.6,1.9,47.8,25.5,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.20",20,30,0.0045,"BART.2.20.LIVE.<2MM","live","0-2",1.2115,0.8,-27.2,0.5,45,84.7,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.20",20,30,0.0045,"BART.2.20.LIVE.>2MM","live","2-10",3.2772,0.3,-27.1,0.5,46.9,89.5,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.20",20,30,0.0045,"BART.2.20.DEAD.>2MM","dead","2-10",0.1119,1.2,-28.6,0.6,42.9,68.9,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.20",20,30,0.0045,"BART.2.20.DEAD.<2MM","dead","0-2",0.1992,0.4,-28.2,0.5,43.5,83.4,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.30",30,40,0.01,"BART.2.30.LIVE.<2MM","live","0-2",1.0615,0.2,-26.8,0.5,44.7,82.5,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.30",30,40,0.01,"BART.2.30.DEAD.>2MM","dead","2-10",0.0723,-1.1,-27.9,0.8,47.3,62,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.30",30,40,0.01,"BART.2.30.DEAD.<2MM","dead","0-2",0.2939,1.7,-27.8,0.5,43.2,82.2,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.40",40,50,0.012,"BART.2.40.LIVE.<2MM","live","0-2",0.1783,1.1,-28,0.7,44.3,64,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.40",40,50,0.012,"BART.2.40.DEAD.<2MM","dead","0-2",0.1004,-0.2,-27.9,0.6,45.7,77,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.50",50,60,0.0154,"BART.2.50.LIVE.<2MM","live","0-2",0.2009,1.7,-27.8,0.6,42.7,69,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.50",50,60,0.0154,"BART.2.50.DEAD.<2MM","dead","0-2",0.1176,0.8,-28,0.6,44.2,75.2,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.60",60,70,0.014,"BART.2.60.LIVE.<2MM","live","0-2",0.1311,1.4,-27.9,0.7,45.1,68.8,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.60",60,70,0.014,"BART.2.60.DEAD.<2MM","dead","0-2",0.1738,-0.6,-28.8,0.6,46.6,80.9,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.70",70,80,0.01,"BART.2.70.LIVE.<2MM","live","0-2",0.1532,3,-27.6,0.7,30.9,46.6,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.70",70,80,0.01,"BART.2.70.DEAD.<2MM","dead","0-2",0.0765,1.3,-28.1,0.6,45.5,77,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.80",80,90,0.00941,"BART.2.80.LIVE.<2MM","live","0-2",0.0075,-2.4,-27.9,0.9,42.7,46.4,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.80",80,90,0.00941,"BART.2.80.DEAD.<2MM","dead","0-2",0.0102,2.2,-28.2,0.7,42.6,58.1,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.90",90,100,0.0108,"BART.2.90.LIVE.<2MM","live","0-2",0.1773,3.5,-27.7,0.7,45.5,68,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.2","BART.2.90",90,100,0.0108,"BART.2.90.DEAD.<2MM","dead","0-2",0.2377,2.4,-27.7,0.7,47,71.5,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.0",0,10,0.0099,"BART.3.0.DEAD.<2MM","dead","0-2",0.6207,-1.5,-28,0.9,53.4,56.5,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.0",0,10,0.0099,"BART.3.0.DEAD.>2MM","dead","2-10",0.3299,-0.7,-28.5,0.8,51.5,68.1,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.0",0,10,0.0099,"BART.3.0.LIVE.<2MM","live","0-2",4.855,-1.2,-28,0.75,42.65,56.7,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.10",10,20,0.0187,"BART.3.10.LIVE.<2MM","live","0-2",4.2613,2.6,-27.9,0.7,43.6,58.4,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.10",10,20,0.0187,"BART.3.10.DEAD.>2MM","dead","2-10",0.8381,0.5,-27.7,0.55,48.3,85.8,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.10",10,20,0.0187,"BART.3.10.DEAD.<2MM","dead","0-2",0.8598,-0.8,-27.9,0.8,47.8,59,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.10",10,20,0.0187,"BART.3.10.LIVE.>2MM","live","2-10",8.3646,1.6,-27.8,0.6,42.2,78.8,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.100",100,120,0.009,"BART.3.100.LIVE.<2MM","live","0-2",0.184,2.3,-27.5,0.7,48.2,70.2,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.100",100,120,0.009,"BART.3.100.DEAD.<2MM","dead","0-2",0.0392,1.7,-27.8,0.7,48.6,74.5,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.140",140,160,0.01,"BART.3.140.DEAD.<2MM","dead","0-2",0.0249,1,-29,0.75,48.1,61.1,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.140",140,160,0.01,"BART.3.140.LIVE.<2MM","live","0-2",0.0032,0.6,-28.6,1.1,48.8,43.3,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.20",20,30,0.01,"BART.3.20.DEAD.>2MM","dead","2-10",0.3755,0.9,-26.7,0.6,45.1,76.2,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.20",20,30,0.01,"BART.3.20.LIVE.>2MM","live","2-10",1.1524,0.8,-27.7,0.4,47.6,120,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.20",20,30,0.01,"BART.3.20.DEAD.<2MM","dead","0-2",0.4613,-0.2,-27.5,0.7,47.5,69.8,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.20",20,30,0.01,"BART.3.20.LIVE.<2MM","live","0-2",1.4385,2,-28.4,0.5,36.8,69.1,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.30",30,40,0.011,"BART.3.30.DEAD.<2MM","dead","0-2",0.3362,1.2,-28.4,0.6,45,80.6,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.30",30,40,0.011,"BART.3.30.LIVE.<2MM","live","0-2",0.4724,2.6,-28.6,0.8,40.1,50.9,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.40",40,50,0.011,"BART.3.40.LIVE.<2MM","live","0-2",0.1256,1.6,-29.2,0.6,48.2,74.4,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.40",40,50,0.011,"BART.3.40.DEAD.<2MM","dead","0-2",0.0344,-0.6,-27.9,0.7,47.5,68.8,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.50",50,60,0.01,"BART.3.50.DEAD.<2MM","dead","0-2",0.0272,1.5,-27.2,0.5,43.2,78.6,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.50",50,60,0.01,"BART.3.50.LIVE.<2MM","live","0-2",0.0391,1.2,-27.8,0.9,45.1,49.4,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.60",60,70,0.01,"BART.3.60.LIVE.<2MM","live","0-2",0.0065,2.2,-27.5,1.2,45,38.2,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.60",60,70,0.01,"BART.3.60.DEAD.<2MM","dead","0-2",0.061,-0.5,-28.5,0.7,45.5,69.5,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.70",70,80,0.0105,"BART.3.70.DEAD.<2MM","dead","0-2",0.0657,0.2,-27.9,0.7,40.4,60.8,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.70",70,80,0.0105,"BART.3.70.LIVE.<2MM","live","0-2",0.0261,-2.2,-28,0.8,41.3,51.9,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.80",80,90,0.0108,"BART.3.80.LIVE.<2MM","live","0-2",0.009,-0.5,-28.8,1.2,39.5,32.2,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.80",80,90,0.0108,"BART.3.80.DEAD.<2MM","dead","0-2",0.0125,0.7,-29.6,0.9,42.7,47.3,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.90",90,100,0.011,"BART.3.90.DEAD.<2MM","dead","0-2",0.1876,2,-27.5,0.5,49,98,"OK","OK"
"D01","BART","deciduousForest",2013-08-19,284,44.06516,-71.28834,"BART.3","BART.3.90",90,100,0.011,"BART.3.90.LIVE.<2MM","live","0-2",0.0738,0.7,-27.9,0.9,49.9,57.7,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.1","HARV.1.0",0,10,0.00588,"HARV.1.0.LIVE.>2MM","live","2-10",0.5061,-1.6,-27,0.5,48.8,98.8,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.1","HARV.1.0",0,10,0.00588,"HARV.1.0.LIVE.<2MM","live","0-2",4.2057,0.6,-28.7,1.3,45.15,34.1,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.1","HARV.1.10",10,20,0.00203,"HARV.1.10.LIVE.>2MM","live","2-10",0.0814,-0.4,-25.5,0.9,45.3,49.8,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.1","HARV.1.10",10,20,0.00203,"HARV.1.10.LIVE.<2MM","live","0-2",0.829,2,-28.5,1,47.7,48,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.1","HARV.1.110",110,120,0.00608,"HARV.1.110.LIVE.<2MM","live","0-2",0.1138,1.2,-28.1,0.9,42.7,45.2,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.1","HARV.1.120",120,130,0.00426,"HARV.1.120.LIVE.<2MM","live","0-2",0.2371,1,-28.5,0.8,31.5,41.8,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.1","HARV.1.20",20,30,0.00101,"HARV.1.20.LIVE.<2MM","live","0-2",0.1733,2.2,-28.6,1,48.1,48.5,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.1","HARV.1.30",30,40,0.00486,"HARV.1.30.LIVE.>2MM","live","2-10",0.1353,1.5,-26.8,0.3,48.1,142.8,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.1","HARV.1.30",30,40,0.00486,"HARV.1.30.LIVE.<2MM","live","0-2",0.6412,2.7,-27.9,1,45.2,43.1,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.1","HARV.1.40",40,50,0.00284,"HARV.1.40.LIVE.<2MM","live","0-2",0.2419,2.3,-27.9,0.9,42.7,47.2,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.1","HARV.1.50",50,60,0.00223,"HARV.1.50.LIVE.<2MM","live","0-2",0.1958,1.1,-28.2,0.8,33.7,39.7,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.1","HARV.1.60",60,70,0.00426,"HARV.1.60.LIVE.<2MM","live","0-2",0.2358,1.5,-28.5,0.9,40.7,43.2,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.1","HARV.1.70",70,80,0.00345,"HARV.1.70.LIVE.<2MM","live","0-2",0.0393,0.9,-27.7,1.2,40.2,35,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.1","HARV.1.80",80,90,0.00588,"HARV.1.80.LIVE.<2MM","live","0-2",0.0135,0.2,-26.9,0.9,38.1,41.4,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.2","HARV.2.0",0,10,0.00588,"HARV.2.0.LIVE.>2MM","live","2-10",0.0908,-0.7,-30.8,0.3,48.3,146.6,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.2","HARV.2.0",0,10,0.00588,"HARV.2.0.LIVE.<2MM","live","0-2",2.6064,0.1,-29.1,1.2,49.1,42,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.2","HARV.2.10",10,20,0.00608,"HARV.2.10.LIVE.>2MM","live","2-10",0.1492,-0.8,-29.6,0.6,48.7,88.5,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.2","HARV.2.10",10,20,0.00608,"HARV.2.10.LIVE.<2MM","live","0-2",2.088,2.3,-28.2,1.1,47.3,41.3,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.2","HARV.2.20",20,30,0.00547,"HARV.2.20.LIVE.<2MM","live","0-2",1.059,1.3,-28.1,0.8,48.65,60.5,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.2","HARV.2.20",20,30,0.00547,"HARV.2.20.LIVE.>2MM","live","2-10",0.2484,-0.1,-29,0.4,46.5,121.7,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.2","HARV.2.30",30,40,0.00568,"HARV.2.30.LIVE.<2MM","live","0-2",0.5317,1.2,-28.3,0.4,46.4,115.1,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.2","HARV.2.30",30,40,0.00568,"HARV.2.30.LIVE.>2MM","live","2-10",1.7533,0.2,-27.5,2,26.3,13.2,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.2","HARV.2.40",40,50,0.00426,"HARV.2.40.LIVE.>2MM","live","2-10",0.0948,0.8,-28.1,0.7,45.4,67.3,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.2","HARV.2.40",40,50,0.00426,"HARV.2.40.LIVE.<2MM","live","0-2",3.0801,0.5,-27.2,0.7,52.3,74.2,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.2","HARV.2.50",50,60,0.00405,"HARV.2.50.LIVE.<2MM","live","0-2",0.1191,1.9,-29,0.6,44.6,75.1,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.2","HARV.2.60",60,70,0.00507,"HARV.2.60.LIVE.<2MM","live","0-2",0.3135,1.1,-27.9,1.1,42,37.9,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.2","HARV.2.60",60,70,0.00507,"HARV.2.60.LIVE.>2MM","live","2-10",0.0224,1.6,-26.8,1.5,33,21.8,"OK","OK"
"D01","HARV","deciduousForest",2012-07-17,373,42.53562,-72.17562,"HARV.2","HARV.2.70",70,80,0.00426,"HARV.2.70.LIVE.<2MM","live","0-2",0.0791,2.1,-27.8,0.6,15.8,25.4,"OK","OK"
