eventid,siteid,plotid,subplotid,individualid,taxonid,stemdiameter,growthform,plantstatus
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00053A,NA,8.5,NA,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00054,NA,10.9,multi-bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00054A,NA,7.5,NA,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00055,NA,11.7,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00056,NA,14.4,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00057,NA,11,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00058,NA,10,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00059,NA,17.9,multi-bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00059A,NA,15.6,NA,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00059B,NA,11.7,NA,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00059C,NA,11.5,NA,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00059D,NA,27.9,NA,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00059E,NA,16.7,NA,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00060,NA,10,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00061,NA,12.1,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00062,NA,13.1,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00063,NA,10.1,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00064,NA,12.3,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00065,NA,10.4,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00066,NA,10.7,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00067,NA,15,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00068,NA,13.3,multi-bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00068A,NA,9.9,NA,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00069,NA,13,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00070,NA,15.1,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00071,NA,11,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00072,NA,15,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00073,NA,10.1,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00074,NA,10.3,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00075,NA,12,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00076,NA,15.1,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00077,NA,13.5,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00078,NA,12.5,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00079,NA,10.7,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00080,NA,20.4,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00081,NA,16.8,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00082,NA,17.1,multi-bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00082A,NA,9.6,NA,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00083,NA,10.9,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00084,NA,14.7,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00085,NA,10.8,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00086,NA,11,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00087,NA,9.8,small tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00088,NA,15.9,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00089,NA,16,single bole tree,"Live, other damage"
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00090,NA,9.3,small tree,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00091,NA,14.4,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00092,NA,16.4,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00093,NA,15.9,single bole tree,"Live, other damage"
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00094,NA,15,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00095,NA,12.4,single bole tree,"Live, other damage"
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00096,NA,7.3,small tree,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00097,NA,16.4,single bole tree,"Live, other damage"
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00101,NA,15,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00102,NA,12.6,single bole tree,"Live, other damage"
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00103,NA,8.2,small tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00104,NA,12,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00105,NA,21.8,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00106,NA,24,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00107,NA,13.6,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00108,NA,10.1,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00109,NA,17.5,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00110,NA,9.1,small tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00111,NA,11.1,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00112,NA,6.8,small tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00113,NA,15,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00114,NA,16.3,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00115,NA,10.9,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00116,NA,17.2,multi-bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00116A,NA,16.6,NA,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00117,NA,16,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00118,NA,10.1,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00119,NA,14,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00120,NA,13.8,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00121,NA,10.5,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00122,NA,12.6,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00123,NA,12.1,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00124,NA,19,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00125,NA,12.5,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00126,NA,12.6,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00127,NA,18.2,single bole tree,"Live, physically damaged"
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00128,NA,12.9,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00129,NA,13,multi-bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00129A,NA,8.5,NA,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00130,NA,17.4,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00131,NA,15.5,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00132,NA,23,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00133,NA,18.9,multi-bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00133A,NA,12.1,NA,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00134,NA,18.3,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00135,NA,29.3,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00136,NA,13.4,multi-bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00136A,NA,8.1,NA,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00137,NA,13,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00138,NA,13.1,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00139,NA,18,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00140,NA,11.2,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00141,NA,21.4,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00142,NA,16.1,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00143,NA,14.4,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00144,NA,13.5,multi-bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00144A,NA,10.6,NA,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00145,NA,11.9,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00146,NA,16.5,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00147,NA,13.1,multi-bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00147A,NA,8.4,NA,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00148,NA,17.7,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00149,NA,20.6,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00150,NA,13.7,multi-bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00150A,NA,14,NA,Standing dead
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00151,NA,14.2,single bole tree,Live
vst_BONA_2016,BONA,BONA_072,NA,NEON.PLA.D19.BONA.00152,NA,10.2,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00156,NA,21,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00157,NA,18.8,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00159,NA,16.4,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00160,NA,11.7,multi-bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00160A,NA,8.6,NA,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00163,NA,7.2,small tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00165,NA,5,single shrub,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00166,NA,20.8,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00170,NA,23.5,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00172,NA,26.2,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00175,NA,26.2,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00176,NA,11.5,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00177,NA,11.7,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00180,NA,16.5,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00182,NA,5,small tree,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00183,NA,6,small shrub,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00184,NA,26.3,multi-bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00184A,NA,21.4,NA,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00185,NA,11.7,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00187,NA,15,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00188,NA,10.6,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00190,NA,18,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00191,NA,10.3,multi-bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00191A,NA,10,NA,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00192,NA,25.4,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00193,NA,17.8,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00194,NA,8.8,small tree,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00195,NA,13.8,multi-bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00196,NA,11.6,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00198,NA,7,small tree,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00199,NA,17.6,multi-bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00199A,NA,14.1,NA,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00201,NA,16.2,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00206,NA,5.6,small tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00207,NA,14.6,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00208,NA,16.8,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00209,NA,15,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00210,NA,16.9,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00211,NA,16.4,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00213,NA,5,single shrub,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00214,NA,9.4,small tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00216,NA,5.9,single shrub,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00218,NA,12.5,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00220,NA,7.1,small tree,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00221,NA,15.8,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00222,NA,16.1,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00223,NA,20.1,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00224,NA,20.4,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00225,NA,10.1,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00226,NA,12.4,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00227,NA,12.4,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00228,NA,17.8,single bole tree,"Live, other damage"
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00229,NA,10.3,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00230,NA,12.3,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00231,NA,12.8,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00232,NA,18.1,multi-bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00232A,NA,10.9,NA,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00233,NA,25.3,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00234,NA,11.7,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00235,NA,20.1,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00236,NA,12.8,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00236A,NA,8,NA,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00236B,NA,5.5,NA,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00238,NA,13.7,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00239,NA,20.5,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00242,NA,15,NA,Standing dead
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00243,NA,21.1,single bole tree,Live
vst_BONA_2016,BONA,BONA_079,NA,NEON.PLA.D19.BONA.00249,NA,20.6,single bole tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00274,NA,5.1,small tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00275,NA,5.8,small tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00277,NA,6.2,small tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00278,NA,5,small tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00309,NA,14,single bole tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00310,NA,10.5,single bole tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00311,NA,13.8,single bole tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00316,NA,6.8,small tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00317,NA,8.5,small tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00318,NA,7.8,small tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00325,NA,8.7,small tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00328,NA,9.3,small tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00329,NA,8,small tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00340,NA,13.2,single bole tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00341,NA,11,single bole tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00342,NA,11.3,single bole tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00343,NA,14.4,single bole tree,"Live, disease damaged"
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00344,NA,10,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00345,NA,11.7,single bole tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00346,NA,11.6,single bole tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00347,NA,12.3,single bole tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00348,NA,13.7,single bole tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00349,NA,10.3,single bole tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00350,NA,10.4,single bole tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00351,NA,10.1,multi-bole tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00351A,NA,9.8,NA,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00352,NA,11.5,single bole tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00353,NA,14.8,single bole tree,Live
vst_BONA_2016,BONA,BONA_070,NA,NEON.PLA.D19.BONA.00354,NA,10.3,single bole tree,Live
vst_BONA_2016,BONA,BONA_078,NA,NEON.PLA.D19.BONA.00355,NA,26.9,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_078,NA,NEON.PLA.D19.BONA.00356,NA,15.1,single bole tree,Standing dead
vst_BONA_2016,BONA,BONA_078,NA,NEON.PLA.D19.BONA.00357,NA,15.9,single bole tree,Live
vst_BONA_2016,BONA,BONA_078,NA,NEON.PLA.D19.BONA.00358,NA,13.9,single bole tree,Live
vst_BONA_2016,BONA,BONA_078,NA,NEON.PLA.D19.BONA.00359,NA,14.4,single bole tree,Live
vst_BONA_2016,BONA,BONA_078,NA,NEON.PLA.D19.BONA.00360,NA,14.9,single bole tree,Standing dead
