"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","growthform","stemdiameter"
"D10","RMNP","RMNP_041",21,NA,NA,NA,"PICOL2","NEON.PLA.D10.RMNP.02475","smt",2.1
"D10","RMNP","RMNP_041",21,NA,NA,NA,"PICOL2","NEON.PLA.D10.RMNP.02454","smt",1.5
"D10","RMNP","RMNP_041",21,NA,NA,NA,"POTR5","NEON.PLA.D10.RMNP.02460","smt",1
"D10","RMNP","RMNP_041",23,"25",278.2,17.6,"PICOL2","NEON.PLA.D10.RMNP.02496","sbt",40.1
"D10","RMNP","RMNP_041",23,"25",311.8,26.1,"PICOL2","NEON.PLA.D10.RMNP.02504","sbt",39.4
"D10","RMNP","RMNP_041",23,"25",287.9,8,"PICOL2","NEON.PLA.D10.RMNP.02487","sbt",38.1
"D10","RMNP","RMNP_041",23,"25",317.2,22.2,"PICOL2","NEON.PLA.D10.RMNP.02502","sbt",35.6
"D10","RMNP","RMNP_041",23,"25",273.5,4.3,"PICOL2","NEON.PLA.D10.RMNP.02481","mbt",31
"D10","RMNP","RMNP_041",23,"25",306.3,20,"PICOL2","NEON.PLA.D10.RMNP.02505","sbt",30.5
"D10","RMNP","RMNP_041",23,"25",301.1,16,"PICOL2","NEON.PLA.D10.RMNP.02500","sbt",30.4
"D10","RMNP","RMNP_041",23,"25",298.8,12.8,"PICOL2","NEON.PLA.D10.RMNP.02490","sbt",28.1
"D10","RMNP","RMNP_041",23,"25",295.3,19.5,"PICOL2","NEON.PLA.D10.RMNP.02499","sbt",25.3
"D10","RMNP","RMNP_041",23,"25",277.8,11.7,"PICOL2","NEON.PLA.D10.RMNP.02494","sbt",25
"D10","RMNP","RMNP_041",23,"25",335.1,14.8,"PICOL2","NEON.PLA.D10.RMNP.02488","sbt",24.2
"D10","RMNP","RMNP_041",23,"25",302.6,11.3,"PICOL2","NEON.PLA.D10.RMNP.02486","sbt",23.8
"D10","RMNP","RMNP_041",23,"25",293.7,18.6,"PICOL2","NEON.PLA.D10.RMNP.02498","sbt",22.3
"D10","RMNP","RMNP_041",23,"25",290.8,6.2,"PICOL2","NEON.PLA.D10.RMNP.02482","sbt",21.4
"D10","RMNP","RMNP_041",23,"25",322.3,16,"PICOL2","NEON.PLA.D10.RMNP.02489","sbt",21.3
"D10","RMNP","RMNP_041",23,"25",288.8,11.5,"PICOL2","NEON.PLA.D10.RMNP.02507","sbt",20.7
"D10","RMNP","RMNP_041",23,"25",273.7,6.9,"PICOL2","NEON.PLA.D10.RMNP.02506","sbt",19
"D10","RMNP","RMNP_041",23,"25",275.1,14.3,"PICOL2","NEON.PLA.D10.RMNP.02495","sbt",18.8
"D10","RMNP","RMNP_041",23,"25",318.1,23.2,"PICOL2","NEON.PLA.D10.RMNP.02503","sbt",18
"D10","RMNP","RMNP_041",23,"25",315,13.2,"PICOL2","NEON.PLA.D10.RMNP.02491","sbt",16.7
"D10","RMNP","RMNP_041",23,"25",323.3,8.2,"PICOL2","NEON.PLA.D10.RMNP.02483","mbt",15.1
"D10","RMNP","RMNP_041",23,NA,NA,NA,"PICOL2","NEON.PLA.D10.RMNP.02481A","mbt",14.7
"D10","RMNP","RMNP_041",23,NA,NA,NA,"PICOL2","NEON.PLA.D10.RMNP.02483A","mbt",14
"D10","RMNP","RMNP_041",23,"41",164.3,20.4,"PICOL2","NEON.PLA.D10.RMNP.02497","sbt",13.7
"D10","RMNP","RMNP_041",23,"25",276.2,11.5,"PICOL2","NEON.PLA.D10.RMNP.02493","sbt",13.6
"D10","RMNP","RMNP_041",23,"25",325,10.6,"PICOL2","NEON.PLA.D10.RMNP.02485","sbt",12.2
"D10","RMNP","RMNP_041",23,"25",335.8,15,"POTR5","NEON.PLA.D10.RMNP.02510","sbt",12
"D10","RMNP","RMNP_041",23,"25",324.2,19.4,"PICOL2","NEON.PLA.D10.RMNP.02501","sbt",11.2
"D10","RMNP","RMNP_041",23,"25",327.4,13.3,"PICOL2","NEON.PLA.D10.RMNP.02527","sbt",10.7
"D10","RMNP","RMNP_041",23,NA,NA,NA,"POTR5","NEON.PLA.D10.RMNP.02522","smt",7.9
"D10","RMNP","RMNP_041",23,NA,NA,NA,"PICOL2","NEON.PLA.D10.RMNP.02516","smt",4.1
"D10","RMNP","RMNP_041",23,NA,NA,NA,"PICOL2","NEON.PLA.D10.RMNP.02530","smt",3.3
"D10","RMNP","RMNP_041",23,NA,NA,NA,"PICOL2","NEON.PLA.D10.RMNP.02514","smt",1.2
"D10","RMNP","RMNP_042",21,"21",43.8,22,"PICOL2","NEON.PLA.D10.RMNP.02179","sbt",41.3
"D10","RMNP","RMNP_042",21,"21",89.8,9.6,"PICOL2","NEON.PLA.D10.RMNP.02169","sbt",30.6
"D10","RMNP","RMNP_042",21,"21",25.2,20.1,"PICOL2","NEON.PLA.D10.RMNP.02182","sbt",29.1
"D10","RMNP","RMNP_042",21,"41",182.7,20,"PICOL2","NEON.PLA.D10.RMNP.02184","sbt",28.6
"D10","RMNP","RMNP_042",21,"21",41.1,11.8,"PICOL2","NEON.PLA.D10.RMNP.02164","sbt",26.8
"D10","RMNP","RMNP_042",21,"41",202.9,14.8,"PICOL2","NEON.PLA.D10.RMNP.02183","sbt",24.7
"D10","RMNP","RMNP_042",21,"21",2.6,12.1,"PICOL2","NEON.PLA.D10.RMNP.02163","sbt",24.6
"D10","RMNP","RMNP_042",21,"21",65.9,11.7,"PICOL2","NEON.PLA.D10.RMNP.02172","sbt",24.4
"D10","RMNP","RMNP_042",21,"21",50,9.4,"PICOL2","NEON.PLA.D10.RMNP.02166","sbt",24.3
"D10","RMNP","RMNP_042",21,"21",45.6,11.7,"PICOL2","NEON.PLA.D10.RMNP.02165","sbt",23.9
"D10","RMNP","RMNP_042",21,"21",49.1,22.5,"PICOL2","NEON.PLA.D10.RMNP.02178","sbt",23.6
"D10","RMNP","RMNP_042",21,"21",83.9,17.1,"PICOL2","NEON.PLA.D10.RMNP.02175","sbt",23.2
"D10","RMNP","RMNP_042",21,"21",69.1,8.3,"PICOL2","NEON.PLA.D10.RMNP.02167","sbt",22.9
"D10","RMNP","RMNP_042",21,"21",79.6,8.8,"PICOL2","NEON.PLA.D10.RMNP.02168","sbt",22.2
"D10","RMNP","RMNP_042",21,"21",73.7,14.5,"PICOL2","NEON.PLA.D10.RMNP.02174","sbt",21.8
"D10","RMNP","RMNP_042",21,"21",31.7,21.3,"PICOL2","NEON.PLA.D10.RMNP.02181","sbt",21.8
"D10","RMNP","RMNP_042",21,"21",76.5,10.6,"PICOL2","NEON.PLA.D10.RMNP.02170","sbt",21.4
"D10","RMNP","RMNP_042",21,"21",65.4,19.7,"PICOL2","NEON.PLA.D10.RMNP.02176","sbt",19.5
"D10","RMNP","RMNP_042",21,"21",81,12.9,"PICOL2","NEON.PLA.D10.RMNP.02171","sbt",17.3
"D10","RMNP","RMNP_042",21,"21",13.2,5,"PICOL2","NEON.PLA.D10.RMNP.01670","sbt",16.5
"D10","RMNP","RMNP_042",21,"21",57,21.9,"PICOL2","NEON.PLA.D10.RMNP.02177","sbt",16.4
"D10","RMNP","RMNP_042",21,"21",47.6,16.8,"PICOL2","NEON.PLA.D10.RMNP.02180","sbt",15.6
"D10","RMNP","RMNP_042",21,"21",52.5,12.9,"PICOL2","NEON.PLA.D10.RMNP.02173","sbt",14.7
"D10","RMNP","RMNP_042",39,"39",82.5,8.3,"PICOL2","NEON.PLA.D10.RMNP.02190","sbt",33.8
"D10","RMNP","RMNP_042",39,"39",58.1,18,"PICOL2","NEON.PLA.D10.RMNP.02332","sbt",28.7
"D10","RMNP","RMNP_042",39,"39",32.3,12.6,"PICOL2","NEON.PLA.D10.RMNP.02340","mbt",28.7
"D10","RMNP","RMNP_042",39,"39",28.9,21.6,"PICOL2","NEON.PLA.D10.RMNP.02336","mbt",26.6
"D10","RMNP","RMNP_042",39,"39",24.2,19.6,"PICOL2","NEON.PLA.D10.RMNP.02337","mbt",25.2
"D10","RMNP","RMNP_042",39,"39",44.9,19.5,"PICOL2","NEON.PLA.D10.RMNP.02334","mbt",22.7
"D10","RMNP","RMNP_042",39,"39",64,20.1,"PICOL2","NEON.PLA.D10.RMNP.01800","sbt",21.7
"D10","RMNP","RMNP_042",39,NA,NA,NA,"PICOL2","NEON.PLA.D10.RMNP.02333A","mbt",21.5
"D10","RMNP","RMNP_042",39,"39",61.4,13.3,"PICOL2","NEON.PLA.D10.RMNP.02191","sbt",19.7
"D10","RMNP","RMNP_042",39,"39",78.8,18.5,"PICOL2","NEON.PLA.D10.RMNP.02194","sbt",19.2
"D10","RMNP","RMNP_042",39,"39",27.4,15.4,"PICOL2","NEON.PLA.D10.RMNP.02339","mbt",18.8
"D10","RMNP","RMNP_042",39,"39",69.2,14,"PICOL2","NEON.PLA.D10.RMNP.02192","sbt",18.5
"D10","RMNP","RMNP_042",39,"39",72,19.2,"PICOL2","NEON.PLA.D10.RMNP.02195","sbt",17.9
"D10","RMNP","RMNP_042",39,"39",42.3,21.9,"PICOL2","NEON.PLA.D10.RMNP.02335","mbt",16.9
"D10","RMNP","RMNP_042",39,"39",74.7,16.1,"PICOL2","NEON.PLA.D10.RMNP.02193","sbt",16.5
"D10","RMNP","RMNP_042",39,"39",25.7,17.2,"POTR5","NEON.PLA.D10.RMNP.02338","mbt",14.1
"D10","RMNP","RMNP_042",39,NA,NA,NA,"PICOL2","NEON.PLA.D10.RMNP.02341","smt",7.1
"D10","RMNP","RMNP_042",39,NA,NA,NA,"PICOL2","NEON.PLA.D10.RMNP.02342","smt",7
"D10","RMNP","RMNP_042",39,NA,NA,NA,"PICOL2","NEON.PLA.D10.RMNP.02603","smt",2.8
"D10","RMNP","RMNP_042",39,NA,NA,NA,"PICOL2","NEON.PLA.D10.RMNP.02611","smt",1.3
"D10","RMNP","RMNP_043",21,"21",78.7,14.7,"PICOL2","NEON.PLA.D10.RMNP.02121","sbt",34.6
"D10","RMNP","RMNP_043",21,"21",57.6,10.5,"PICOL2","NEON.PLA.D10.RMNP.02120","sbt",33.6
"D10","RMNP","RMNP_043",21,"21",81.9,7.6,"PICOL2","NEON.PLA.D10.RMNP.02116","sbt",33
"D10","RMNP","RMNP_043",21,"21",62.7,15.3,"PICOL2","NEON.PLA.D10.RMNP.02123","sbt",30.6
"D10","RMNP","RMNP_043",21,"21",87.4,4.3,"PICOL2","NEON.PLA.D10.RMNP.02115","sbt",29.1
"D10","RMNP","RMNP_043",21,"31",37,12,"PICOL2","NEON.PLA.D10.RMNP.02132","sbt",27.6
"D10","RMNP","RMNP_043",21,"21",9.2,6,"PICOL2","NEON.PLA.D10.RMNP.02118","sbt",27.4
"D10","RMNP","RMNP_043",21,"21",63,15.3,"PICOL2","NEON.PLA.D10.RMNP.02122","sbt",27.3
"D10","RMNP","RMNP_043",21,"31",78.1,10,"PICOL2","NEON.PLA.D10.RMNP.02130","sbt",26.3
"D10","RMNP","RMNP_043",21,"21",46.3,9.2,"PICOL2","NEON.PLA.D10.RMNP.02119","sbt",25.5
"D10","RMNP","RMNP_043",21,"31",269,8.1,"PICOL2","NEON.PLA.D10.RMNP.02126","sbt",24.8
"D10","RMNP","RMNP_043",21,"31",53.9,11.1,"PICOL2","NEON.PLA.D10.RMNP.02131","sbt",20.7
"D10","RMNP","RMNP_043",21,NA,NA,NA,"ABLAL","NEON.PLA.D10.RMNP.02144","smt",2.4
"D10","RMNP","RMNP_043",21,NA,NA,NA,"ABLAL","NEON.PLA.D10.RMNP.02149","smt",1.6
"D10","RMNP","RMNP_043",23,"25",316.6,12.6,"PICOL2","NEON.PLA.D10.RMNP.02315","sbt",45.9
"D10","RMNP","RMNP_043",23,"25",337,5.5,"PICOL2","NEON.PLA.D10.RMNP.02317","sbt",38.2
"D10","RMNP","RMNP_043",23,"25",319.5,5.7,"PICOL2","NEON.PLA.D10.RMNP.02316","sbt",37.6
"D10","RMNP","RMNP_043",23,"25",314.8,23,"PICOL2","NEON.PLA.D10.RMNP.02312","sbt",37.4
"D10","RMNP","RMNP_043",23,"25",277.7,14.2,"PICOL2","NEON.PLA.D10.RMNP.02307","sbt",36.8
"D10","RMNP","RMNP_043",23,"25",272.9,2.6,"PICOL2","NEON.PLA.D10.RMNP.02305","sbt",36.1
"D10","RMNP","RMNP_043",23,"25",269.9,18.5,"PICOL2","NEON.PLA.D10.RMNP.02309","sbt",35.7
"D10","RMNP","RMNP_043",23,"25",315.3,16.3,"PICOL2","NEON.PLA.D10.RMNP.02313","sbt",33.3
"D10","RMNP","RMNP_043",23,"25",305.7,13,"PICOL2","NEON.PLA.D10.RMNP.02310","sbt",33
"D10","RMNP","RMNP_043",23,"41",186,5.7,"PICOL2","NEON.PLA.D10.RMNP.02311","sbt",33
"D10","RMNP","RMNP_043",23,"25",267,13,"PICOL2","NEON.PLA.D10.RMNP.02306","sbt",31
"D10","RMNP","RMNP_043",23,"25",343.5,7.2,"PICOL2","NEON.PLA.D10.RMNP.02318","sbt",30
"D10","RMNP","RMNP_043",23,"41",113.8,11.4,"PICOL2","NEON.PLA.D10.RMNP.02321","sbt",28.5
"D10","RMNP","RMNP_043",23,"25",289.3,13.3,"PICOL2","NEON.PLA.D10.RMNP.02308","sbt",27.7
"D10","RMNP","RMNP_043",23,"41",92,6.7,"PICOL2","NEON.PLA.D10.RMNP.02320","sbt",24.6
"D10","RMNP","RMNP_043",23,"41",169.4,17.4,"PICOL2","NEON.PLA.D10.RMNP.02319","sbt",23.9
"D10","RMNP","RMNP_043",23,"25",334.7,18.8,"PICOL2","NEON.PLA.D10.RMNP.02314","sbt",22.3
"D10","RMNP","RMNP_044",23,"41",175.2,3,"PICOL2","NEON.PLA.D10.RMNP.02886","sbt",41.5
"D10","RMNP","RMNP_044",23,"25",304.3,14.9,"PICOL2","NEON.PLA.D10.RMNP.02870","sbt",39.5
"D10","RMNP","RMNP_044",23,"25",300.9,8.5,"ABLAL","NEON.PLA.D10.RMNP.02867","sbt",35.5
"D10","RMNP","RMNP_044",23,"25",276.5,12,"PICOL2","NEON.PLA.D10.RMNP.02868","sbt",35
"D10","RMNP","RMNP_044",23,"25",330.1,17.2,"PICOL2","NEON.PLA.D10.RMNP.02876","sbt",27
"D10","RMNP","RMNP_044",23,"25",347.1,12.1,"POTR5","NEON.PLA.D10.RMNP.02875","sbt",26.9
"D10","RMNP","RMNP_044",23,"25",332.1,19.3,"POTR5","NEON.PLA.D10.RMNP.02877","sbt",25.6
"D10","RMNP","RMNP_044",23,"25",344.6,13,"POTR5","NEON.PLA.D10.RMNP.02874","mbt",22.6
"D10","RMNP","RMNP_044",23,"25",323.1,18.4,"POTR5","NEON.PLA.D10.RMNP.02880","sbt",22.4
"D10","RMNP","RMNP_044",23,NA,NA,NA,"POTR5","NEON.PLA.D10.RMNP.02874A","mbt",21.3
"D10","RMNP","RMNP_044",23,"41",90.4,5.6,"POTR5","NEON.PLA.D10.RMNP.02884","sbt",20.7
"D10","RMNP","RMNP_044",23,"25",317.9,16.6,"POTR5","NEON.PLA.D10.RMNP.02882","mbt",20.3
"D10","RMNP","RMNP_044",23,"41",93.6,9.1,"POTR5","NEON.PLA.D10.RMNP.02883","sbt",20.3
"D10","RMNP","RMNP_044",23,NA,NA,NA,"POTR5","NEON.PLA.D10.RMNP.02882A","mbt",20
"D10","RMNP","RMNP_044",23,"25",327.4,14.5,"POTR5","NEON.PLA.D10.RMNP.02871","sbt",19.8
"D10","RMNP","RMNP_044",23,"25",329.6,13.2,"PICOL2","NEON.PLA.D10.RMNP.02873","sbt",18.4
"D10","RMNP","RMNP_044",23,"25",328.2,17.6,"POTR5","NEON.PLA.D10.RMNP.02878","sbt",17.8
"D10","RMNP","RMNP_044",23,"25",326.3,19.1,"POTR5","NEON.PLA.D10.RMNP.02879","sbt",17.7
"D10","RMNP","RMNP_044",23,"25",317.5,5.9,"POTR5","NEON.PLA.D10.RMNP.02866","sbt",14.1
"D10","RMNP","RMNP_044",39,"41",325.1,11.2,"PIEN","NEON.PLA.D10.RMNP.02898","sbt",50.7
"D10","RMNP","RMNP_044",39,"41",296.3,17.3,"PICOL2","NEON.PLA.D10.RMNP.02892","sbt",44.1
"D10","RMNP","RMNP_044",39,"41",348.7,10,"PIEN","NEON.PLA.D10.RMNP.02900","sbt",40.6
"D10","RMNP","RMNP_044",39,"41",314.6,4.5,"PICOL2","NEON.PLA.D10.RMNP.02891","sbt",28.1
"D10","RMNP","RMNP_044",39,"41",342.2,7.9,"POTR5","NEON.PLA.D10.RMNP.02899","sbt",28
"D10","RMNP","RMNP_044",39,"39",9.4,15,"ABLAL","NEON.PLA.D10.RMNP.02229","sbt",27.8
"D10","RMNP","RMNP_044",39,"41",279.9,1.3,"PICOL2","NEON.PLA.D10.RMNP.02890","sbt",25.4
"D10","RMNP","RMNP_044",39,"41",320,23.3,"POTR5","NEON.PLA.D10.RMNP.02897","sbt",25.3
"D10","RMNP","RMNP_044",39,"41",333.8,16.4,"PICOL2","NEON.PLA.D10.RMNP.02158","sbt",22.5
"D10","RMNP","RMNP_044",39,"21",4.6,32.1,"PIEN","NEON.PLA.D10.RMNP.02226","sbt",20.7
"D10","RMNP","RMNP_044",39,"41",309.6,20.7,"PIEN","NEON.PLA.D10.RMNP.02895","sbt",15.3
"D10","RMNP","RMNP_044",39,"39",20.5,20.1,"PICOL2","NEON.PLA.D10.RMNP.02231","sbt",12.2
"D10","RMNP","RMNP_044",39,"41",315.9,24.9,"PICOL2","NEON.PLA.D10.RMNP.02228","sbt",11.3
"D10","RMNP","RMNP_044",39,NA,NA,NA,"PICOL2","NEON.PLA.D10.RMNP.03268","smt",1.5
"D10","RMNP","RMNP_044",39,NA,NA,NA,"PIEN","NEON.PLA.D10.RMNP.03319","smt",1.3
"D10","RMNP","RMNP_045",21,"21",32.4,15.8,"PICOL2","NEON.PLA.D10.RMNP.03009","sbt",52.2
"D10","RMNP","RMNP_045",21,"41",200.1,9.3,"PICOL2","NEON.PLA.D10.RMNP.03045","sbt",48.9
"D10","RMNP","RMNP_045",21,"21",39.3,9.9,"PICOL2","NEON.PLA.D10.RMNP.03003","sbt",47.8
"D10","RMNP","RMNP_045",21,"21",43.1,10.5,"PICOL2","NEON.PLA.D10.RMNP.03004","sbt",33.6
"D10","RMNP","RMNP_045",21,"21",54.2,6.4,"PICOL2","NEON.PLA.D10.RMNP.02256","sbt",32
"D10","RMNP","RMNP_045",21,"21",44.8,6.6,"PICOL2","NEON.PLA.D10.RMNP.02255","sbt",30.7
"D10","RMNP","RMNP_045",21,"21",40.3,5.9,"PICOL2","NEON.PLA.D10.RMNP.02253","sbt",30.2
"D10","RMNP","RMNP_045",21,"21",71.6,20.1,"PICOL2","NEON.PLA.D10.RMNP.03022","sbt",29.8
"D10","RMNP","RMNP_045",21,"21",45.7,5.6,"PICOL2","NEON.PLA.D10.RMNP.02254","sbt",28
"D10","RMNP","RMNP_045",21,"21",1.3,17.6,"POTR5","NEON.PLA.D10.RMNP.03033","mbt",27.1
"D10","RMNP","RMNP_045",21,"21",77.1,8.2,"PICOL2","NEON.PLA.D10.RMNP.02259","sbt",26.3
"D10","RMNP","RMNP_045",21,"41",260.4,1.8,"POTR5","NEON.PLA.D10.RMNP.03039","sbt",26.1
"D10","RMNP","RMNP_045",21,"41",217.1,2.6,"POTR5","NEON.PLA.D10.RMNP.03040","sbt",25.1
"D10","RMNP","RMNP_045",21,"21",72.5,19.9,"POTR5","NEON.PLA.D10.RMNP.03021","sbt",24.8
"D10","RMNP","RMNP_045",21,"21",13.3,16,"POTR5","NEON.PLA.D10.RMNP.03028","sbt",23.6
"D10","RMNP","RMNP_045",21,"21",72.5,18.6,"POTR5","NEON.PLA.D10.RMNP.03020","sbt",23.1
"D10","RMNP","RMNP_045",21,"21",28.8,18.5,"POTR5","NEON.PLA.D10.RMNP.03011","sbt",23
"D10","RMNP","RMNP_045",21,"21",21.3,21.4,"POTR5","NEON.PLA.D10.RMNP.03036","sbt",22.9
"D10","RMNP","RMNP_045",21,"21",0.6,16.5,"PIEN","NEON.PLA.D10.RMNP.03032","sbt",22.7
"D10","RMNP","RMNP_045",21,NA,NA,NA,"POTR5","NEON.PLA.D10.RMNP.03033A","mbt",22.7
"D10","RMNP","RMNP_045",21,"21",58.1,21.5,"POTR5","NEON.PLA.D10.RMNP.03025","sbt",22.5
"D10","RMNP","RMNP_045",21,"21",5.6,18.2,"POTR5","NEON.PLA.D10.RMNP.03034","sbt",22.4
"D10","RMNP","RMNP_045",21,"21",6.9,15.1,"POTR5","NEON.PLA.D10.RMNP.03026","sbt",22
"D10","RMNP","RMNP_045",21,"21",10.7,15.6,"POTR5","NEON.PLA.D10.RMNP.03027","sbt",21.8
"D10","RMNP","RMNP_045",21,"41",245.2,3.3,"POTR5","NEON.PLA.D10.RMNP.03041","sbt",21.5
"D10","RMNP","RMNP_045",21,"21",85.1,19.7,"POTR5","NEON.PLA.D10.RMNP.03081","sbt",21.5
"D10","RMNP","RMNP_045",21,"21",60.5,6.8,"PICOL2","NEON.PLA.D10.RMNP.02258","sbt",21.4
"D10","RMNP","RMNP_045",21,"21",41.3,17.8,"POTR5","NEON.PLA.D10.RMNP.03015","sbt",20.4
"D10","RMNP","RMNP_045",21,"21",13,8.8,"POTR5","NEON.PLA.D10.RMNP.03005","sbt",20
"D10","RMNP","RMNP_045",21,"21",29.7,16.7,"POTR5","NEON.PLA.D10.RMNP.03010","mbt",19.9
"D10","RMNP","RMNP_045",21,"21",33.7,18.4,"POTR5","NEON.PLA.D10.RMNP.03012","sbt",19.9
"D10","RMNP","RMNP_045",21,"41",207.6,4,"POTR5","NEON.PLA.D10.RMNP.03042","sbt",19.8
"D10","RMNP","RMNP_045",21,"21",43.8,18.6,"POTR5","NEON.PLA.D10.RMNP.03014","sbt",19.4
"D10","RMNP","RMNP_045",21,"21",66.8,12.2,"PICOL2","NEON.PLA.D10.RMNP.03016","sbt",19
"D10","RMNP","RMNP_045",21,"21",10.2,18.5,"POTR5","NEON.PLA.D10.RMNP.03035","sbt",18.8
"D10","RMNP","RMNP_045",21,"41",218.6,4.2,"POTR5","NEON.PLA.D10.RMNP.03043","sbt",18.8
"D10","RMNP","RMNP_045",21,"41",213.5,8.4,"POTR5","NEON.PLA.D10.RMNP.03044","sbt",18.5
"D10","RMNP","RMNP_045",21,"21",64.9,19.6,"POTR5","NEON.PLA.D10.RMNP.03024","sbt",17.8
"D10","RMNP","RMNP_045",21,"21",11.8,8.4,"POTR5","NEON.PLA.D10.RMNP.03810","sbt",17.8
"D10","RMNP","RMNP_045",21,"21",61.8,13.4,"POTR5","NEON.PLA.D10.RMNP.03018","sbt",17.1
"D10","RMNP","RMNP_045",21,"21",60.2,10.5,"PICOL2","NEON.PLA.D10.RMNP.03001","sbt",16.8
"D10","RMNP","RMNP_045",21,NA,NA,NA,"ABLAL","NEON.PLA.D10.RMNP.03047","smt",1
"D10","RMNP","RMNP_045",23,"41",114.9,22,"PICOL2","NEON.PLA.D10.RMNP.02806","sbt",40.7
"D10","RMNP","RMNP_045",23,"41",125.3,24.6,"PICOL2","NEON.PLA.D10.RMNP.02808","sbt",38.9
"D10","RMNP","RMNP_045",23,"41",110.2,4.9,"POTR5","NEON.PLA.D10.RMNP.02993","sbt",29
"D10","RMNP","RMNP_045",23,"41",146.8,15.3,"POTR5","NEON.PLA.D10.RMNP.02803","sbt",28.3
"D10","RMNP","RMNP_045",23,"41",91.6,1.8,"POTR5","NEON.PLA.D10.RMNP.02990","sbt",26.6
"D10","RMNP","RMNP_045",23,"41",147.6,23.6,"POTR5","NEON.PLA.D10.RMNP.02810","sbt",24.5
"D10","RMNP","RMNP_045",23,"41",116.2,8.9,"POTR5","NEON.PLA.D10.RMNP.02995","sbt",24.1
"D10","RMNP","RMNP_045",23,"41",154.2,2.6,"POTR5","NEON.PLA.D10.RMNP.02989","sbt",23.5
"D10","RMNP","RMNP_045",23,"25",294.3,15.5,"POTR5","NEON.PLA.D10.RMNP.02816","sbt",23.4
