"individualid","pointid","stemdistance","stemazimuth","taxonid"
"NEON.PLA.D17.SJER.04144",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04145",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04132",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04133",NA,NA,NA,"RHIL"
"NEON.PLA.D17.SJER.04136",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04131",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04134",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04135",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04137",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.00148A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.04138",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04139",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04146",NA,NA,NA,"CECU"
"NEON.PLA.D17.SJER.04116A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.04116B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.04116C",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00146A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00148B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.04127","25",19.1,324.3,"CECU"
"NEON.PLA.D17.SJER.00245B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.04025",NA,NA,NA,"CELE2"
"NEON.PLA.D17.SJER.04123",NA,NA,NA,"RHIL"
"NEON.PLA.D17.SJER.00248A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00071A",NA,NA,NA,"QUDO"
"NEON.PLA.D17.SJER.00077A",NA,NA,NA,"QUDO"
"NEON.PLA.D17.SJER.00243A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00243B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00243C",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00243D",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.04017",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04018",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04019",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04020",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04021",NA,NA,NA,"SANIC5"
"NEON.PLA.D17.SJER.04022",NA,NA,NA,"CELE2"
"NEON.PLA.D17.SJER.04023",NA,NA,NA,"CELE2"
"NEON.PLA.D17.SJER.04024",NA,NA,NA,"CELE2"
"NEON.PLA.D17.SJER.04120",NA,NA,NA,"LUAL4"
"NEON.PLA.D17.SJER.00036A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.04122",NA,NA,NA,"LUAL4"
"NEON.PLA.D17.SJER.00036B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00036C",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00036D",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00036E",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00029A",NA,NA,NA,"PISA2"
"NEON.PLA.D17.SJER.00268B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00268C",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00268A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00271B",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00268D",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00268E",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00268F",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00268G",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00269A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00271A",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00271C",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00271D",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00271E",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00271F",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.00271G",NA,NA,NA,"QUWI2"
"NEON.PLA.D17.SJER.04038",NA,NA,NA,"ARVIM"
"NEON.PLA.D17.SJER.04039",NA,NA,NA,"ARVIM"
"NEON.PLA.D17.SJER.04040",NA,NA,NA,"ARVIM"
"NEON.PLA.D17.SJER.04041",NA,NA,NA,"ARVIM"
"NEON.PLA.D17.SJER.04042",NA,NA,NA,"ARVIM"
"NEON.PLA.D17.SJER.04043",NA,NA,NA,"ARVIM"
"NEON.PLA.D17.SJER.04170",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04171",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04164",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04168",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04172",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04173",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04174",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04175",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04176",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04177",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04128",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04130",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04163",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04165",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04166",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04167",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04169",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04180",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04181",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04182",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04183",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04184",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04186",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04187",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04188",NA,NA,NA,"TODI"
"NEON.PLA.D17.SJER.04189",NA,NA,NA,"CECU"
"NEON.PLA.D13.NIWO.00845","33",3,359.8,"ABLAL"
"NEON.PLA.D19.HEAL.00418",NA,NA,NA,"BETUL"
"NEON.PLA.D10.RMNP.02683","41",4.3,8.1,"POTR5"
"NEON.PLA.D10.RMNP.02245","41",7,105.8,"PICOL2"
"NEON.PLA.D10.RMNP.02659","41",13.3,210.4,"PICOL2"
"NEON.PLA.D10.RMNP.02699",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02676","41",17.6,247.5,"POTR5"
"NEON.PLA.D10.RMNP.02329",NA,NA,NA,"JUCOD"
"NEON.PLA.D10.RMNP.02124","21",16.8,33.5,"PICOL2"
"NEON.PLA.D10.RMNP.02691",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02116","21",7.6,81.9,"PICOL2"
"NEON.PLA.D10.RMNP.02117","21",4.7,36.8,"PICOL2"
"NEON.PLA.D10.RMNP.02118","21",6,9.2,"PICOL2"
"NEON.PLA.D10.RMNP.02119","21",9.2,46.3,"PICOL2"
"NEON.PLA.D10.RMNP.02120","21",10.5,57.6,"PICOL2"
"NEON.PLA.D10.RMNP.02121","21",14.7,78.7,"PICOL2"
"NEON.PLA.D10.RMNP.02122","21",15.3,63,"PICOL2"
"NEON.PLA.D10.RMNP.02123","21",15.3,62.7,"PICOL2"
"NEON.PLA.D10.RMNP.02125","21",13.5,23,"PICOL2"
"NEON.PLA.D10.RMNP.02126","31",8.1,269,"PICOL2"
"NEON.PLA.D10.RMNP.02127","31",7.7,319.9,"PICOL2"
"NEON.PLA.D10.RMNP.02128","31",8.6,339.5,"PICOL2"
"NEON.PLA.D10.RMNP.02129","31",9.5,16.6,"PICOL2"
"NEON.PLA.D10.RMNP.02130","31",10,78.1,"PICOL2"
"NEON.PLA.D10.RMNP.02131","31",11.1,53.9,"PICOL2"
"NEON.PLA.D10.RMNP.02132","31",12,37,"PICOL2"
"NEON.PLA.D10.RMNP.02133",NA,NA,NA,"JUCOD"
"NEON.PLA.D10.RMNP.02134",NA,NA,NA,"JUCOD"
"NEON.PLA.D10.RMNP.02135",NA,NA,NA,"JUCOD"
"NEON.PLA.D10.RMNP.02136",NA,NA,NA,"JUCOD"
"NEON.PLA.D10.RMNP.02657","41",12.4,203,"POTR5"
"NEON.PLA.D10.RMNP.02137",NA,NA,NA,"JUCOD"
"NEON.PLA.D10.RMNP.02138",NA,NA,NA,"JUCOD"
"NEON.PLA.D10.RMNP.02139",NA,NA,NA,"JUCOD"
"NEON.PLA.D10.RMNP.02140",NA,NA,NA,"JUCOD"
"NEON.PLA.D10.RMNP.02658","41",13.8,203.6,"POTR5"
"NEON.PLA.D10.RMNP.02141",NA,NA,NA,"JUCOD"
"NEON.PLA.D10.RMNP.02327",NA,NA,NA,"JUCOD"
"NEON.PLA.D10.RMNP.02331",NA,NA,NA,"JUCOD"
"NEON.PLA.D10.RMNP.02142",NA,NA,NA,"JUCOD"
"NEON.PLA.D10.RMNP.02143",NA,NA,NA,"JUCOD"
"NEON.PLA.D10.RMNP.02144",NA,NA,NA,"ABLAL"
"NEON.PLA.D10.RMNP.02145",NA,NA,NA,"JUCOD"
"NEON.PLA.D10.RMNP.02146",NA,NA,NA,"PICOL2"
"NEON.PLA.D10.RMNP.02147",NA,NA,NA,"PICOL2"
"NEON.PLA.D10.RMNP.02148",NA,NA,NA,"JUCOD"
"NEON.PLA.D10.RMNP.02149",NA,NA,NA,"ABLAL"
"NEON.PLA.D10.RMNP.02151",NA,NA,NA,"PIEN"
"NEON.PLA.D10.RMNP.02305","25",2.6,272.9,"PICOL2"
"NEON.PLA.D10.RMNP.02306","25",13,267,"PICOL2"
"NEON.PLA.D10.RMNP.02307","25",14.2,277.7,"PICOL2"
"NEON.PLA.D10.RMNP.02308","25",13.3,289.3,"PICOL2"
"NEON.PLA.D10.RMNP.02309","25",18.5,269.9,"PICOL2"
"NEON.PLA.D10.RMNP.02310","25",13,305.7,"PICOL2"
"NEON.PLA.D10.RMNP.02312","25",23,314.8,"PICOL2"
"NEON.PLA.D10.RMNP.02313","25",16.3,315.3,"PICOL2"
"NEON.PLA.D10.RMNP.02314","25",18.8,334.7,"PICOL2"
"NEON.PLA.D10.RMNP.02315","25",12.6,316.6,"PICOL2"
"NEON.PLA.D10.RMNP.02316","25",5.7,319.5,"PICOL2"
"NEON.PLA.D10.RMNP.02317","25",5.5,337,"PICOL2"
"NEON.PLA.D10.RMNP.02318","25",7.2,343.5,"PICOL2"
"NEON.PLA.D10.RMNP.02324",NA,NA,NA,"PIEN"
"NEON.PLA.D10.RMNP.02677","41",19.1,256.2,"POTR5"
"NEON.PLA.D10.RMNP.02328",NA,NA,NA,"JUCOD"
"NEON.PLA.D10.RMNP.02412","31",8.5,75,"PICOL2"
"NEON.PLA.D10.RMNP.02244","41",3.8,92.8,"PICOL2"
"NEON.PLA.D10.RMNP.02413","31",7.7,60.7,"PICOL2"
"NEON.PLA.D10.RMNP.02414","31",9.9,43.9,"PICOL2"
"NEON.PLA.D10.RMNP.02415","31",10.3,32.7,"PICOL2"
"NEON.PLA.D10.RMNP.02416","31",8,33.8,"PICOL2"
"NEON.PLA.D10.RMNP.02417","31",7.9,27.8,"PICOL2"
"NEON.PLA.D10.RMNP.02418","31",8.6,26.6,"PICOL2"
"NEON.PLA.D10.RMNP.02419","31",9.6,10.8,"PICOL2"
"NEON.PLA.D10.RMNP.02660","41",10.2,220.4,"POTR5"
"NEON.PLA.D10.RMNP.02420","31",9.7,332.1,"POTR5"
"NEON.PLA.D10.RMNP.02421","31",8.6,329.1,"PICOL2"
"NEON.PLA.D10.RMNP.02422","31",6.9,227.4,"PICOL2"
"NEON.PLA.D10.RMNP.02423","31",8.3,324.2,"PICOL2"
"NEON.PLA.D10.RMNP.02692",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02424","31",12.1,313,"POTR5"
"NEON.PLA.D10.RMNP.02425","31",12.4,309.8,"PICOL2"
"NEON.PLA.D10.RMNP.02426","31",8.2,302.5,"PICOL2"
"NEON.PLA.D10.RMNP.02427","41",18.7,257.6,"PICOL2"
"NEON.PLA.D10.RMNP.02661","41",4.7,244.4,"POTR5"
"NEON.PLA.D10.RMNP.02438",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02429","31",6.3,314,"PICOL2"
"NEON.PLA.D10.RMNP.02430",NA,NA,NA,"JUCOD"
"NEON.PLA.D10.RMNP.02431",NA,NA,NA,"PICOL2"
"NEON.PLA.D10.RMNP.02700",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02432",NA,NA,NA,"PIEN"
"NEON.PLA.D10.RMNP.02433",NA,NA,NA,"ABLAL"
"NEON.PLA.D10.RMNP.02434",NA,NA,NA,"PIEN"
"NEON.PLA.D10.RMNP.02436",NA,NA,NA,"PICOL2"
"NEON.PLA.D10.RMNP.02437",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02662","41",6.5,265.7,"POTR5"
"NEON.PLA.D10.RMNP.02435",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02439",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02440",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02441",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02653","41",9.8,183.6,"POTR5"
"NEON.PLA.D10.RMNP.02442",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02443",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02246","41",7.3,113.9,"PICOL2"
"NEON.PLA.D10.RMNP.02444",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02651","41",5,186.8,"POTR5"
"NEON.PLA.D10.RMNP.02445",NA,NA,NA,"PICOL2"
"NEON.PLA.D10.RMNP.02446",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02447",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02448",NA,NA,NA,"ABLAL"
"NEON.PLA.D10.RMNP.02663","41",6.7,259,"POTR5"
"NEON.PLA.D10.RMNP.02449",NA,NA,NA,"JUCOD"
"NEON.PLA.D10.RMNP.02450",NA,NA,NA,"PICOL2"
"NEON.PLA.D10.RMNP.02451",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02452",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02664","41",9.6,239.7,"POTR5"
"NEON.PLA.D10.RMNP.02457",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02453",NA,NA,NA,"PICOL2"
"NEON.PLA.D10.RMNP.02459",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02460",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02248","41",6.6,154.5,"PICOL2"
"NEON.PLA.D10.RMNP.02454",NA,NA,NA,"PICOL2"
"NEON.PLA.D10.RMNP.02455",NA,NA,NA,"POTR5"
"NEON.PLA.D10.RMNP.02456",NA,NA,NA,"ABLAL"
