"X_record_id","load_status","date","yearboutbegan","individualid","vstid","taxonid","domainid","siteid","plotid","subplotid","nestedsubplotid","pointid","stemazimuth","stemdistance","recordtype","cfconlytag"
"5f7ff55d-04ce-4271-b621-d1e99b7852ce","LOADED","2019-10-03",2019,"NEON.PLA.D05.STEI.00941","VST.STEI.00941.2019","FRAM2/FRPE","D05","STEI","STEI_053",23,4,NA,NA,NA,"tag only","N"
"5fa35cf4-e67d-4839-92b8-0c745e89f71f","LOADED","2015-06-17",2015,"NEON.PLA.D19.DEJU.00344","VST.DEJU.00344.2015","PIMA","D19","DEJU","DEJU_047",23,NA,39,152.3,6.1,"map and tag",NA
"61bcc92d-4567-4e85-bc7d-24f516b3d73c","LOADED","2015-07-21",2015,"NEON.PLA.D05.UNDE.04393","VST.UNDE.04393.2015","ABBA","D05","UNDE","UNDE_037",41,NA,NA,NA,NA,"map and tag","N"
"63297bc4-db3a-4af0-8d65-93d825c973ce","LOADED","2015-08-31",2015,"NEON.PLA.D17.TEAK.00428","VST.TEAK.00428.2015","ABMA","D17","TEAK","TEAK_059",21,NA,23,357.5,14,"map and tag",NA
"64985ba7-d0c8-4e5e-a233-56657ef2b411","LOADED",NA,2015,"NEON.PLA.D03.OSBS.02890","VST.OSBS.02890.2015","QULA2","D03","OSBS","OSBS_027",39,NA,NA,NA,NA,"tag only","N"
"653ab165-1914-4e99-877f-72381bfe9dab","LOADED","2020-06-25",2020,"NEON.PLA.D19.BONA.00704","VST.BONA.00704.2020","BENE4","D19","BONA","BONA_078",39,NA,39,66.6,4.4,"band","N"
"6652f884-bf0a-4163-b348-b80f00fc317d","LOADED","2015-06-15",2015,"NEON.PLA.D19.DEJU.00120","VST.DEJU.00120.2015","BETUL","D19","DEJU","DEJU_051",39,3,NA,NA,NA,"tag only",NA
"671d2ee5-353f-4070-b36c-c2bee5ec8209","LOADED","2016-10-11",2016,"NEON.PLA.D05.STEI.01749A","VST.STEI.01749A.2016","ACRU","D05","STEI","STEI_001",32,NA,NA,NA,NA,"tag only","N"
"6a7abc90-0bf4-42a1-b2e7-dc07d2ef1d9b","LOADED",NA,2015,"NEON.PLA.D03.OSBS.02254","VST.OSBS.02254.2015","QULA2","D03","OSBS","OSBS_027",39,NA,NA,NA,NA,"tag only","N"
"6a8a5151-1cce-4005-a4d5-080423d9662b","LOADED","2019-09-19",2019,"NEON.PLA.D12.YELL.02758","VST.YELL.02758.2019","PSME","D12","YELL","YELL_046",39,NA,41,345,17.5,"map and tag","N"
"6a8ab51f-0568-431c-a722-ad3853212131","LOADED","2015-07-29",2015,"NEON.PLA.D16.ABBY.00745","VST.ABBY.00745.2015","PSMEM","D16","ABBY","ABBY_070",21,1,NA,NA,NA,"tag only","N"
"6c3129ad-2298-4805-afe2-504089c2d724","LOADED",NA,2015,"NEON.PLA.D03.OSBS.00563","VST.OSBS.00563.2015","QULA2","D03","OSBS","OSBS_043",39,NA,NA,NA,NA,"tag only","N"
"6d26622c-cf81-47e6-bb22-346eaf47aa26","LOADED","2015-06-18",2015,"NEON.PLA.D19.DEJU.00688","VST.DEJU.00688.2015","PIMA","D19","DEJU","DEJU_045",39,1,NA,NA,NA,"tag only",NA
"6f04837b-44cd-44e3-ae68-5b845dc8825a","LOADED","2015-08-19",2015,"NEON.PLA.D13.NIWO.01108","VST.NIWO.01108.2015","ABLAL","D13","NIWO","NIWO_002",31,NA,NA,NA,NA,"tag only",NA
"6f6a796e-c0e5-4d63-9926-b75375ff7416","LOADED","2015-07-23",2015,"NEON.PLA.D05.UNDE.02075","VST.UNDE.02075.2015","POTR5","D05","UNDE","UNDE_043",23,1,NA,NA,NA,"tag only","N"
"707d990e-cd08-4fe1-922e-08de39859c8e","LOADED","2016-09-13",2016,"NEON.PLA.D05.UNDE.04194A","VST.UNDE.04194A.2016","ACRU","D05","UNDE","UNDE_037",41,NA,NA,NA,NA,"tag only","N"
"715241cb-c513-41de-aea3-ab60c448960e","LOADED","2019-10-22",2019,"NEON.PLA.D05.STEI.01517","VST.STEI.01517.2019","POTR5","D05","STEI","STEI_058",41,NA,61,211.1,11,"map and tag","N"
"722253a5-a186-4081-9ba4-636a9c3947b5","LOADED",NA,2015,"NEON.PLA.D03.OSBS.02253","VST.OSBS.02253.2015","QULA2","D03","OSBS","OSBS_027",39,NA,NA,NA,NA,"tag only","N"
"72aaaf89-5e04-4aaa-8d7a-2fa196a71a86","LOADED","2019-09-11",2019,"NEON.PLA.D12.YELL.01391","VST.YELL.01391.2019","PSME","D12","YELL","YELL_052",40,NA,61,186.3,5.8,"map and tag","N"
"747b8cc7-d8ea-43fd-afc6-a83a42e70e5e","LOADED","2015-09-29",2015,"NEON.PLA.D17.TEAK.02133","VST.TEAK.02133.2015","ABCOL","D17","TEAK","TEAK_046",41,NA,43,331.1,5.7,"map and tag",NA
"7530fc38-801b-45f7-b6ee-5eddd285ab7c","LOADED","2015-08-31",2015,"NEON.PLA.D17.TEAK.00430","VST.TEAK.00430.2015","ABMA","D17","TEAK","TEAK_059",21,NA,23,289.6,5,"map and tag",NA
"76d0770c-de66-4bde-acdc-84e9c37c0fa8","LOADED",NA,2015,"NEON.PLA.D03.JERC.04177","VST.JERC.04177.2015","QUIN","D03","JERC","JERC_049",21,NA,NA,NA,NA,"tag only","N"
"7706936c-4fd2-4196-a5ab-ec0ccbaea106","LOADED","2019-10-01",2019,"NEON.PLA.D12.YELL.01975","VST.YELL.01975.2019","ARTR2","D12","YELL","YELL_050",23,1,NA,NA,NA,"tag only","N"
"7733f259-540c-4ed0-a323-c5196f3e0c18","LOADED",NA,2015,"NEON.PLA.D03.JERC.04182","VST.JERC.04182.2015","PIPA2","D03","JERC","JERC_049",21,NA,NA,NA,NA,"tag only","N"
"78273858-d6a4-42ea-8735-70f6622178a8","LOADED",NA,2015,"NEON.PLA.D03.JERC.04236","VST.JERC.04236.2015","QUIN","D03","JERC","JERC_049",21,NA,NA,NA,NA,"tag only","N"
"7897cd6e-3400-47ca-ad20-4f0d7030651c","LOADED",NA,2015,"NEON.PLA.D03.JERC.04181","VST.JERC.04181.2015","QUFA","D03","JERC","JERC_049",21,NA,NA,NA,NA,"tag only","N"
"793e4a86-93cb-44eb-b33f-6ecfff02e567","NONE","2021-08-05",2021,"NEON.PLA.D12.YELL.03053","VST.YELL.03053.2021","JUCO6","D12","YELL","YELL_045",21,4,NA,NA,NA,"tag only","N"
"7c9ea7e7-b651-4a59-a1dc-8cedf6d40bdb","LOADED","2019-01-15",2019,"NEON.PLA.D20.PUUM.08333","VST.PUUM.08333.2019","MEPO5","D20","PUUM","PUUM_013",NA,NA,33,320.4,11.4,"map and tag","Y"
"7ed59819-73ea-4ff2-bbf6-bd1f6d861749","LOADED","2015-07-23",2015,"NEON.PLA.D05.UNDE.02290","VST.UNDE.02290.2015","FRNI","D05","UNDE","UNDE_043",23,1,NA,NA,NA,"tag only","N"
"82df9b5c-8628-42bb-a683-e4e3cbcbdcb8","LOADED","2015-09-21",2015,"NEON.PLA.D17.TEAK.01742","VST.TEAK.01742.2015","PICO","D17","TEAK","TEAK_057",21,NA,39,153.5,11.8,"map and tag",NA
"83934448-97bb-47ab-8b74-a77f056c3a89","LOADED","2015-08-13",2015,"NEON.PLA.D17.TEAK.00408","VST.TEAK.00408.2015","ABCOL","D17","TEAK","TEAK_045",23,NA,25,344.4,13.8,"map and tag",NA
"84a0831b-b166-43da-a991-5faab637dde9","LOADED","2016-08-23",2016,"NEON.PLA.D19.DEJU.02419","VST.DEJU.02419.2016","PIMA","D19","DEJU","DEJU_045",39,1,NA,NA,NA,"tag only","N"
"84ad9112-4367-477b-8716-043a296a0d46","LOADED",NA,2015,"NEON.PLA.D03.JERC.04206","VST.JERC.04206.2015","QUMA6","D03","JERC","JERC_049",21,NA,NA,NA,NA,"tag only","N"
"84d41a0e-1275-44e0-80c3-717ea2bdea3a","LOADED","2015-08-13",2015,"NEON.PLA.D17.TEAK.00372","VST.TEAK.00372.2015","ABCOL","D17","TEAK","TEAK_045",39,NA,49,39.6,10,"map and tag",NA
"86875a69-7023-422c-b273-9a876db63d2b","LOADED","2015-09-24",2015,"NEON.PLA.D17.TEAK.01920","VST.TEAK.01920.2015","PICO","D17","TEAK","TEAK_051",NA,NA,NA,NA,NA,"map and tag",NA
"870a0739-b082-494b-8513-0a9414e3fd3d","LOADED","2020-08-24",2020,"NEON.PLA.D01.HARV.10867","VST.HARV.10867.2020","PIRE","D01","HARV","HARV_034",39,NA,57,173,0.5,"map and tag","N"
"892cde6e-ee47-4ed6-9c54-864e6aad1837","LOADED","2014-09-03",2014,"NEON.PLA.D01.BART.01120","VST.BART.01120.2014","ACSAS","D01","BART","BART_002",41,NA,NA,257,2.4,"tag only","N"
"89627567-9355-40f6-b3cc-607b2b80f58a","LOADED","2015-09-21",2015,"NEON.PLA.D17.TEAK.01723","VST.TEAK.01723.2015","ABMA","D17","TEAK","TEAK_057",21,NA,23,319.1,7.2,"map and tag",NA
