_record_id,domainid,plotid,siteid,subplotid,nestedsubplotid,tagid_input,tagid,individualid,vstid,individualfate,acceptedtaxonid
42ec0335-077c-4bc4-a043-7d4e91c4bb63,D16,WREF_074,WREF,23,,3669A,03669A,NEON.PLA.D16.WREF.03669A,VST.WREF.03669A.2019,released,PSMEM
2d6b8129-dd17-43b2-be33-2e7b0c2ebbd0,D16,WREF_078,WREF,23,,2246A,02246A,NEON.PLA.D16.WREF.02246A,VST.WREF.02246A.2020,released,PSMEM
adadbf29-5f6d-4533-a6cc-6251163cc011,D16,WREF_071,WREF,23,,2038A,02038A,NEON.PLA.D16.WREF.02038A,VST.WREF.02038A.2020,released,TSHE
5261c9dd-cdeb-4682-a691-8c16a59b7747,D16,WREF_071,WREF,23,,2042A,02042A,NEON.PLA.D16.WREF.02042A,VST.WREF.02042A.2020,released,PSMEM
7673a39d-2c75-4980-a024-ddb705a931a5,D16,WREF_011,WREF,40,,7603A,07603A,NEON.PLA.D16.WREF.07603A,VST.WREF.07603A.2019,released,TSHE
e0f52165-35c1-40ba-adf9-97eaa262a4eb,D16,WREF_076,WREF,21,4,4668E,04668E,NEON.PLA.D16.WREF.04668E,VST.WREF.04668E.2019,released,ACCI
a22d0acb-0882-4dd2-8657-dae8d21235dd,D16,WREF_076,WREF,21,4,4668A,04668A,NEON.PLA.D16.WREF.04668A,VST.WREF.04668A.2019,released,ACCI
911b87eb-ca98-4444-8451-a5548a635b92,D16,WREF_076,WREF,21,,4637A,04637A,NEON.PLA.D16.WREF.04637A,VST.WREF.04637A.2019,released,TABR2
c1116a0e-45c3-48c5-a6b9-4def995a76b3,D16,WREF_076,WREF,21,4,4668B,04668B,NEON.PLA.D16.WREF.04668B,VST.WREF.04668B.2019,released,ACCI
c071d4af-22f6-44d3-a464-e70ffad511f2,D16,ABBY_001,ABBY,40,,2639B,02639B,NEON.PLA.D16.ABBY.02639B,VST.ABBY.02639B.2019,released,ALRU2
5614a367-703c-4177-b045-bdeef73c2388,D16,WREF_008,WREF,41,,5689A,05689A,NEON.PLA.D16.WREF.05689A,VST.WREF.05689A.2019,released,TSHE
2e9af561-a9a6-4f9f-8d3d-57e5de2f1041,D16,WREF_002,WREF,41,,9151A,09151A,NEON.PLA.D16.WREF.09151A,VST.WREF.09151A.2019,released,TSHE
f79aa91e-4308-4020-9f05-3a632b3bb602,D16,WREF_013,WREF,32,,7258A,07258A,NEON.PLA.D16.WREF.07258A,VST.WREF.07258A.2019,released,TSHE
671af69c-ac82-4e7f-ad77-cb45456b0c43,D16,ABBY_006,ABBY,32,,1988A,01988A,NEON.PLA.D16.ABBY.01988A,VST.ABBY.01988A.2019,released,PSMEM
9f7c2477-950b-4424-8fde-c135377287ab,D16,WREF_002,WREF,41,,9154A,09154A,NEON.PLA.D16.WREF.09154A,VST.WREF.09154A.2019,released,TSHE
de94e2c9-d385-4ba2-82be-554b7b331854,D16,WREF_002,WREF,40,,7521A,07521A,NEON.PLA.D16.WREF.07521A,VST.WREF.07521A.2019,released,TSHE
b73471ea-84fe-4a5d-a89c-70ea536e3f35,D16,ABBY_025,ABBY,41,1,1817A,01817A,NEON.PLA.D16.ABBY.01817A,VST.ABBY.01817A.2019,released,ALRU2
de148d5d-2b69-47ef-ba6e-30f2e73dad2e,D16,WREF_074,WREF,23,2,3211A,03211A,NEON.PLA.D16.WREF.03211A,VST.WREF.03211A.2019,released,TSHE
cbf9215b-f206-436a-b0f4-fabff606611d,D16,WREF_002,WREF,32,,9122A,09122A,NEON.PLA.D16.WREF.09122A,VST.WREF.09122A.2019,released,TSHE
cb51b245-9f59-4302-be1b-b13cf39c7d83,D16,ABBY_014,ABBY,41,,1637A,01637A,NEON.PLA.D16.ABBY.01637A,VST.ABBY.01637A.2019,released,ACMA3
9c3ec7d4-5965-437e-97cc-ffbcc181c5c2,D16,WREF_002,WREF,32,,9113A,09113A,NEON.PLA.D16.WREF.09113A,VST.WREF.09113A.2019,released,PSMEM
c80ead72-1220-4f1e-9e18-9605571aa199,D16,WREF_002,WREF,41,,9149A,09149A,NEON.PLA.D16.WREF.09149A,VST.WREF.09149A.2019,released,TSHE
69652c4a-d6db-4538-a800-e4ebefacbfe5,D16,WREF_011,WREF,32,,7747A,07747A,NEON.PLA.D16.WREF.07747A,VST.WREF.07747A.2019,released,TSHE
185c897a-13d1-4ea7-bec0-6e51d0ea6b42,D16,ABBY_061,ABBY,39,,653A,00653A,NEON.PLA.D16.ABBY.00653A,VST.ABBY.00653A.2019,released,PSMEM
190a1d40-503c-48bf-8cfd-fabdd1639718,D16,WREF_002,WREF,31,,5668A,05668A,NEON.PLA.D16.WREF.05668A,VST.WREF.05668A.2019,released,TSHE
5ce69f08-a449-4d20-a61f-36e5101f8d06,D16,WREF_020,WREF,32,2,7474B,07474B,NEON.PLA.D16.WREF.07474B,VST.WREF.07474B.2019,released,FRPU7
39ecd2c4-7fe7-4232-90c4-97db832fbbad,D16,WREF_002,WREF,41,,9158A,09158A,NEON.PLA.D16.WREF.09158A,VST.WREF.09158A.2019,released,TSHE
18b85a94-c842-4f54-827e-8e47f8cb0ac4,D16,ABBY_025,ABBY,31,1,1903A,01903A,NEON.PLA.D16.ABBY.01903A,VST.ABBY.01903A.2019,released,ALRU2
48964fd6-ecef-43f9-8290-d18a5ae36b69,D16,ABBY_001,ABBY,40,,2639A,02639A,NEON.PLA.D16.ABBY.02639A,VST.ABBY.02639A.2019,released,ALRU2
bd4dda17-5bb9-4450-b2f3-ee2d55806f69,D16,WREF_073,WREF,39,,4424A,04424A,NEON.PLA.D16.WREF.04424A,VST.WREF.04424A.2019,released,PSMEM
a6089aa0-d06d-4367-802d-2451e02dd175,D16,WREF_076,WREF,21,4,4668C,04668C,NEON.PLA.D16.WREF.04668C,VST.WREF.04668C.2019,released,ACCI
87d8fda7-7b33-4fb2-b76f-cb657b86d173,D16,ABBY_023,ABBY,41,,9946A,09946A,NEON.PLA.D16.ABBY.09946A,VST.ABBY.09946A.2019,released,ALRU2
f26abbd2-4b35-4f50-836b-64da0786be19,D16,ABBY_023,ABBY,32,2,1345A,01345A,NEON.PLA.D16.ABBY.01345A,VST.ABBY.01345A.2019,released,PSMEM
a28950e8-ec42-4bb1-993a-971d81a954e7,D16,ABBY_023,ABBY,40,,3912B,03912B,NEON.PLA.D16.ABBY.03912B,VST.ABBY.03912B.2019,released,ALRU2
9e1e5ea2-0d90-464e-97b0-625e10abd1db,D16,ABBY_023,ABBY,40,,3912A,03912A,NEON.PLA.D16.ABBY.03912A,VST.ABBY.03912A.2019,released,ALRU2
a10a5636-cd6c-4909-8080-7a990f85b3ff,D16,ABBY_023,ABBY,40,,3913A,03913A,NEON.PLA.D16.ABBY.03913A,VST.ABBY.03913A.2019,released,ALRU2
2574c0e7-8b20-40af-99f2-a2aac243349d,D16,ABBY_023,ABBY,40,,1493A,01493A,NEON.PLA.D16.ABBY.01493A,VST.ABBY.01493A.2019,released,ALRU2
e765bd1d-624a-4754-a147-22d4d8c8afc4,D16,ABBY_016,ABBY,40,,1756A,01756A,NEON.PLA.D16.ABBY.01756A,VST.ABBY.01756A.2019,released,PSMEM
1f63131e-ca5b-4178-a102-1934fc42cce8,D16,ABBY_016,ABBY,32,,2920A,02920A,NEON.PLA.D16.ABBY.02920A,VST.ABBY.02920A.2019,released,PSMEM
9ed80843-02f6-4e35-8ff9-22b0b7fbe247,D16,ABBY_014,ABBY,32,,3313B,03313B,NEON.PLA.D16.ABBY.03313B,VST.ABBY.03313B.2019,released,ACCI
12993a23-50c8-4ab3-9341-d5d66d0dff42,D16,ABBY_014,ABBY,32,,3313A,03313A,NEON.PLA.D16.ABBY.03313A,VST.ABBY.03313A.2019,released,ACCI
