_record_id,domainid,siteid,taxonid,scientificname,preferredstatus
52be4757-413a-46b1-aaf9-3e82e483a7df,D16,WREF,CASC7,Campanula scouleri ,
ae6275c3-216e-44f4-91bd-186cba939faf,D16,WREF,FRVE,Fragaria vesca ,
92520a2c-2b9e-444e-b124-3c4eecc1016b,D16,WREF,HISC2,Hieracium scouleri ,
7b7387ec-80ed-410b-a911-c0852b2212d5,D16,WREF,ADBI,Adenocaulon bicolor ,
640f2843-b8fd-4eef-8be1-6e6a6a08df5d,D16,WREF,APAN2,Apocynum androsaemifolium ,
508bdd7b-bb18-485e-817e-cb092823c99d,D16,WREF,HIAL2,Hieracium albiflorum ,
d3015dda-57f3-4964-991c-1b547b2fe946,D16,WREF,XETE,Xerophyllum tenax ,
5ee381ac-a2de-44a0-a2de-6ff9d678c82e,D16,WREF,CHME,Chimaphila menziesii ,
46362bb2-4ca8-438d-93ae-d5b4f62294de,D16,WREF,CONU4,Cornus nuttallii ,
f8688634-c9b5-450e-9007-bab0d54f68e2,D16,WREF,FRPU7,Frangula purshiana ,
737abb1e-8689-4891-8631-8188e3787fee,D16,WREF,AMAL2,Amelanchier alnifolia ,
b42d23a2-ab5e-4106-9c81-0ceac9675e54,D16,WREF,TITRU,Tiarella trifoliata ,
ac979f40-b2cd-4e7e-a14e-ce7691c9c301,D16,WREF,2PLANT,Unknown plant,
e4223447-7e7c-46f4-b9dc-d7a2a56b2c6b,D16,WREF,CHUM,Chimaphila umbellata ,
8fd343cf-c4f9-4cb1-a4ad-54c49cfee9ea,D16,WREF,ACMA3,Acer macrophyllum ,
485fcf8f-dc27-4e89-a4e4-03d46f0163e3,D16,WREF,CLSI2,Claytonia sibirica ,
07bcb8a9-1129-428b-ac82-9ea1353819a6,D16,WREF,COMA25,Corallorhiza maculata ,
b34b0a7f-f4ee-4017-8b39-aa058f8d45b5,D16,WREF,POACEA,Poaceae sp.,
98856afa-48d5-4f41-8ae3-9b94d54609c8,D16,WREF,STREP3,Streptopus sp.,
561df813-c182-4e74-ba43-b352c20caabf,D16,WREF,CORAL5,Corallorhiza sp.,
e1f0a3ee-3726-475a-bcb4-a7b15417ca9e,D16,WREF,FEOC,Festuca occidentalis ,
f52717cd-e952-4f0d-b964-b72956f759b3,D16,WREF,GATR2,Galium trifidum ,
5a3f4f50-3575-40ec-9f6f-8d4aac53947f,D16,WREF,GLST,Glyceria striata ,
676b4ebb-9c06-4c68-b36e-516dc2ab4a8f,D16,WREF,GOOB2,Goodyera oblongifolia ,
5c13fa6d-12d4-4aca-8825-bd08f77c3f10,D16,WREF,HISCA,Hieracium scouleri ,
e20bed02-ca6b-44d1-ab7d-d0a59567ccb1,D16,WREF,PRHO2,Prosartes hookeri ,
07b90283-8156-4c03-be73-83c6c23af6f9,D16,WREF,PINACE,Pinaceae sp.,
ddf17e4a-7ddb-483d-a223-def085dc80ff,D10,RMNP,PSME,Pseudotsuga menziesii ,
8e150828-8306-4223-a72b-864177440c62,D10,RMNP,PIEN,Picea engelmannii ,
226edd7b-ccc7-4ed6-901b-b07da5a2b074,D10,RMNP,POTR5,Populus tremuloides ,"USA-NPN; Green Wave, Popclock"
5128b599-5e4c-40a5-b485-e69c0165edeb,D10,RMNP,VASC/VAMY2,0,
17565e9f-4972-4d94-929f-2866657b0c1d,D10,RMNP,PIPOS,Pinus ponderosa ,
c89bdad8-b1cd-4e77-8964-3e87eca4765a,D10,RMNP,MOSS,0,
5f6a6097-2bde-44e5-9c54-a26996c67662,D10,RMNP,MARE11,Mahonia repens ,
b6cb5191-6da8-4831-91a1-5bb1f8dbf97a,D10,RMNP,CHUM,Chimaphila umbellata ,
cbdb24e5-aece-4e61-908b-f04b7b91c50f,D10,RMNP,CAGE2,Carex geyeri ,
deabddfb-0309-4100-bc2b-2eb01dbf863c,D10,RMNP,PIFL2,Pinus flexilis ,
5f2ed46e-3bca-4c01-aa48-091e0a179be0,D10,RMNP,THDI4,Thermopsis divaricarpa ,
2d2a2a59-ba09-45cf-b314-7d569b1b5109,D10,RMNP,LIBO3,Linnaea borealis ,
535a990d-71ca-459f-a1b3-5b45b4573131,D10,RMNP,ORSE,Orthilia secunda ,
ac4b857a-6843-4425-999a-f8e034044673,D10,RMNP,SOSI3,Solidago simplex ,
62f26d33-77e6-4ffe-b8fc-f834a670d383,D10,RMNP,ERSP4,Erigeron speciosus ,
ed3227cb-5fd1-497a-a6fd-d34b91396d8f,D10,RMNP,ROWO,Rosa woodsii ,
610d76d1-40de-446b-9ae8-fdb9491c9dc8,D10,RMNP,PINACE,Pinaceae sp.,
3002bec9-0542-4164-ab4d-3fd30d880219,D10,RMNP,ACGL,Acer glabrum ,
07c78065-4450-4558-84df-52cd6cf682ca,D10,RMNP,ARCO9,Arnica cordifolia ,
5671adba-5114-423c-95a3-d2751336e67d,D10,RMNP,CYPERASPP,Cyperaceae spp.,
f0c7d959-677d-42c2-b983-4b42172bec42,D10,RMNP,CYPERA,Cyperaceae sp.,
be620bde-6d4b-4870-8082-ecbd5c5a12f6,D10,RMNP,GABO2,Galium boreale ,
887f5517-6656-420f-8629-dea864bed92b,D10,RMNP,GOOB2,Goodyera oblongifolia ,
63ed3ff1-0fcc-4350-b4ed-a2b8c684ed25,D10,RMNP,ANTEN,Antennaria sp.,
f00c8fd1-f999-4788-8c70-94f8512b5fde,D10,RMNP,EREX4,Erigeron eximius ,
80834728-451d-463b-b865-b0be25e0331f,D10,RMNP,HIAL2,Hieracium albiflorum ,
7927e20c-0c9c-4387-86aa-bfd5bbdd3e14,D10,RMNP,MARAA,Maianthemum racemosum ,
4bc0ce2e-1cbb-4db8-bbdd-626e6be7c5a1,D10,RMNP,POCO,Poa compressa ,
3577ff48-bcdd-4938-ae3f-e236a677db87,D10,RMNP,JAAM,Jamesia americana ,
578727b4-cb6f-41cb-a621-2191cdf938b6,D10,RMNP,ACMI2,Achillea millefolium ,
f723a049-2fce-4a27-bf42-1401da744d43,D10,RMNP,ARLU,Artemisia ludoviciana ,
e8228844-8e14-46cb-b3af-054960b6e890,D10,RMNP,BRLA6,Bromus lanatipes ,
5320b75f-9f15-4746-91db-ef9919645e32,D10,RMNP,CHANC,Chamerion angustifolium ,
7d7b5b23-5400-41af-95db-0ecfd2ae2c0e,D10,RMNP,ERCA14,Erysimum capitatum ,
d919b906-8acd-4936-b121-4c19d8621d80,D10,RMNP,LEKI2,Leucopoa kingii ,
8347bef9-6c42-48aa-af59-be7eff5e58bc,D10,RMNP,PAFE4,Packera fendleri ,
d09d9bcc-ec95-4856-bdb4-16fd47d4dd6a,D10,RMNP,POARA4,Potentilla arguta ,
d2e7320b-f07e-4f4e-85e3-d5e4ddde5fd7,D10,RMNP,PONEI2,Poa nemoralis ,
fe0a7017-603d-4034-b4a1-c6d0aeb16b9f,D10,RMNP,POPR,Poa pratensis ,
bd67ccac-54eb-4519-a014-edd18ad00513,D10,RMNP,PSMO,Pseudocymopterus montanus ,
8d76b7d1-997c-4507-8d36-f3c2ce7eba08,D10,RMNP,PYCH,Pyrola chlorantha ,
6aaed412-87da-4ff2-b791-570e8191cd40,D10,RMNP,PICOL,Pinus contorta ,
ef8aafa4-1b60-433f-b4c0-4b0eb97e89e7,D10,RMNP,ABLAL,Abies lasiocarpa ,
a3e10c56-291b-4ebb-8f5b-3a6b3adc386f,D10,RMNP,JUCOD,Juniperus communis ,
bcc32cc8-fe2f-49d7-bb12-c780ffbe13cd,D11,CLBJ,QUERC,Quercus sp.,
0d56764a-3294-4f84-8e02-1aded48114aa,D11,CLBJ,ULMUS,Ulmus sp.,
a71f2b6a-3fcf-4794-a20f-1cca81734f9c,D11,CLBJ,SMBO2,Smilax bona-nox ,
e9f21e20-3308-437f-87e1-52d2e50e3b92,D11,CLBJ,JUVI,Juniperus virginiana ,
1e55987a-c1c8-43d6-9e84-cfd14b015f17,D11,CLBJ,SILA20,Sideroxylon lanuginosum ,
6417985d-45e9-45a0-bdeb-f0b51c86ae16,D11,CLBJ,ULAL,Ulmus alata ,
c49eb8ca-d1eb-4f20-be5d-f26d6c9311f3,D11,CLBJ,AMPS,Ambrosia psilostachya ,
44258e04-2934-423c-9506-8633a0f943d0,D11,CLBJ,SYOR,Symphoricarpos orbiculatus ,
9f431c5c-bd64-4630-9f92-90c13c5b112c,D11,CLBJ,ERIN,Eragrostis intermedia ,
4cf72ef4-0a32-4832-b631-5a17a66831cb,D11,CLBJ,BOCU,Bouteloua curtipendula ,
1418fd96-6b6b-4bbb-a96f-8dac14746fca,D11,CLBJ,DIOL,Dichanthelium oligosanthes ,
5b63c73c-62c5-4a7c-bda0-b29b33da4960,D11,CLBJ,SCCI,Scleria ciliata ,
9fbbe831-e033-4981-aa7a-539c74eb7cdf,D11,CLBJ,TORA2,Toxicodendron radicans ,
118010de-cd0a-45c1-b1e9-f5641c88b098,D11,CLBJ,CELTI,Celtis sp.,
9df15f6c-ad7f-4087-a025-bc4e247b2dce,D11,CLBJ,SONU2,Sorghastrum nutans ,
3f26948a-e26c-4621-9d79-8b54b3db0110,D11,CLBJ,FRCA13,Frangula caroliniana ,
a3cbc1b4-4d7d-4f7a-a7e3-8a93c438346c,D11,CLBJ,PASE5,Paspalum setaceum ,
82cd533a-4f73-49e7-96c8-c9c3d535748b,D11,CLBJ,CODR,Cornus drummondii ,
67e22734-28ea-4c45-8569-dbe6edf3ea7c,D11,CLBJ,PRME,Prunus mexicana ,
b62c53ce-2cc2-4d5c-8513-e50af0dd7b5c,D11,CLBJ,BOHI2,Bouteloua hirsuta ,
e92a4935-7548-4cef-bdc5-fc4e49b6008a,D11,CLBJ,CAAM2,Callicarpa americana ,
d750dc53-6c8f-43ed-b80d-4b853c2ecfd2,D11,CLBJ,TRFL2,Tridens flavus ,
8bd8f839-7c4a-4df8-a7a4-f0862d9c2438,D11,CLBJ,BOISI,Bothriochloa ischaemum ,
437fa8e2-be6f-49bd-a4c1-b2b19f07dd5c,D11,CLBJ,POACEA,Poaceae sp.,
28ef6a94-5d1d-4aa8-a529-d23e2709fe2c,D11,CLBJ,PAQU2,Parthenocissus quinquefolia ,
de3a034d-e5e6-4b45-b6ca-047c439984a3,D11,CLBJ,DISP2,Dichanthelium sphaerocarpon ,
8569b1da-35b1-4406-a551-e92dbb2eb030,D11,CLBJ,GAVO,Galactia volubilis ,
0e8fba01-8729-4dd5-9ea1-f51ef5fca263,D11,CLBJ,BOGR2,Bouteloua gracilis ,
2a3b456c-143e-4d67-926f-8a6267052f9b,D11,CLBJ,PRUNU,Prunus sp.,
c04c08c4-b794-4e5a-b439-11368392b3e8,D11,CLBJ,SYER,Symphyotrichum ericoides ,
6b0c3fba-82fa-41bf-bfcc-ca54f0cb4d71,D11,CLBJ,BOIS,Bothriochloa ischaemum ,
c1e3a8a1-e640-4270-805c-e37e42efb105,D11,CLBJ,ANTE2,Andropogon ternarius ,
612aa07b-21eb-4a15-a637-2e83994cbd0e,D11,CLBJ,CYDA,Cynodon dactylon ,
ca275331-d6af-44a2-be82-2ec7e4121973,D11,CLBJ,PAAN,Panicum anceps ,
3d54775b-b0ae-40e8-b20f-15d2047be9e6,D11,CLBJ,ERSP,Eragrostis spectabilis ,
da7a116e-7471-4b43-b288-a3fae437b71a,D11,CLBJ,HEAM,Helenium amarum ,
414d11a3-433f-45c9-aee0-0b9f4dd5506b,D11,CLBJ,SPCO16,Sporobolus compositus ,
c12e6573-b2f8-4197-9509-59124256aba0,D11,CLBJ,ROSE2,Rosa setigera ,
93bcac7e-f388-4f11-bd31-5b9de648b9d9,D11,CLBJ,DILI2,Dichanthelium linearifolium ,
42698bae-a178-4402-abbe-d7fde1e53325,D11,CLBJ,ERST3,Erigeron strigosus ,
d340ad38-0d0a-46af-b1a9-98eadab0837c,D11,CLBJ,DIAC2,Dichanthelium acuminatum ,
fc964632-7ee0-467b-82a5-233452000c72,D11,CLBJ,VITIS,Vitis sp.,
1d711c75-62a7-46e2-9dbd-e3543ba0f07c,D11,CLBJ,HEGE,Helianthemum georgianum ,
b8aa2b75-e85a-4ac6-acbc-7339894c69cc,D11,CLBJ,LETE,Lechea tenuifolia ,
4edf78e0-adba-43cd-9c11-00040fd5db85,D11,CLBJ,NELU2,Neptunia lutea ,
4217299c-3334-4451-9617-f4bad8c47cb3,D11,CLBJ,LECU,Lespedeza cuneata ,
f5974245-8543-43ff-b575-b6d80484f7b4,D11,CLBJ,DITE2,Diodia teres ,
f5f95bc9-5ab3-4874-b961-c5fb04a56a9a,D11,CLBJ,CAREX,Carex sp.,
9d86b5b5-bf09-4d94-bb0e-84f8ea2fb4e8,D11,CLBJ,PRGR,Prunus gracilis ,
fe4d41a8-d4f7-4698-8387-2a4ad76c3456,D11,CLBJ,COCY,Coelorachis cylindrica ,
cd46489a-cd2c-48d3-961d-826b154bad67,D11,CLBJ,CHFA2,Chamaecrista fasciculata ,
ee4f58c0-24c4-4155-9c6d-58cbb2ed9f1e,D11,CLBJ,LEST5,Lespedeza stuevei ,
0f6f8161-2479-4316-897f-a86d60eb817f,D11,CLBJ,LEMU3,Lechea mucronata ,
d4684566-9470-4e46-abe7-f9ca6961dd69,D11,CLBJ,SYPAP2,Symphyotrichum patens ,
80a53e8b-8b7f-4e0d-bdcc-81d75001fbf5,D11,CLBJ,LEVI7,Lespedeza virginica ,
092eea03-1499-4795-bd0c-e9527b703593,D11,CLBJ,SACA3,Sabatia campestris ,
f8de564e-bba5-4e7e-8854-3e8cd10e694f,D11,CLBJ,COCA5,Conyza canadensis ,
546e9155-7e92-4511-8291-b92e4d306cea,D11,CLBJ,STBI2,Stylosanthes biflora ,
d94ce03f-ecb4-4e84-90e1-410017c9a2d2,D11,CLBJ,SONU,Sophora nuttalliana ,
08ad2335-d86e-4c54-abe1-3146b0c0039e,D11,CLBJ,OXDI2,Oxalis dillenii ,
5ac41972-da4f-414f-a148-46d57dff5328,D11,CLBJ,SEPU8,Setaria pumila ,
124483c5-76bd-4618-b43d-287f93389730,D11,CLBJ,RUHIP,Rudbeckia hirta ,
c478daf6-aaae-4289-9508-c8023e363b30,D11,CLBJ,FIAN,Fimbristylis annua ,
e384e29a-e761-46e9-b075-1caf1084cd39,D11,CLBJ,PAVI2,Panicum virgatum ,
29b70327-1386-416c-b912-05dcd83ce450,D11,CLBJ,GLTR,Gleditsia triacanthos ,
25e49721-22d7-4309-917c-7ad6df6558bf,D11,CLBJ,DAPU5,Dalea purpurea ,
42f533bf-692c-44a6-9ece-0ce9049821c1,D11,CLBJ,CHGOG,Chrysopsis gossypina ,
8dffe177-f1a0-4da4-b5e0-2b428e922fc9,D11,CLBJ,VEBA,Vernonia baldwinii ,
3fa20d96-5709-4076-8831-6f464700daec,D11,CLBJ,GAPI2,Galium pilosum ,
48c37159-c828-4154-b0a9-a5d970779963,D11,CLBJ,CEOC,Celtis occidentalis ,
95db6eac-e27c-4daa-8085-2e2ea3fee213,D11,CLBJ,LIPY,Liatris pycnostachya ,
9e171ba8-f626-417e-9deb-0176107cd045,D11,CLBJ,RHCO,Rhus copallinum ,
7cfdf9c1-1503-423a-8f4b-52925f18cb03,D11,CLBJ,GAAE,Gaillardia aestivalis ,
3d4920dc-2d01-43a2-a5ce-cd45e3b3b93d,D11,CLBJ,BREU,Brickellia eupatorioides ,
778567c6-552d-4cd1-9e2c-f81ae2957d66,D11,CLBJ,TRRA5,Tragia ramosa ,
f18bdb64-1b50-4845-ac02-431064f69020,D11,CLBJ,LOUN,Lotus unifoliolatus ,
d936ab15-750e-4e84-8adf-f26367924b88,D11,CLBJ,SODI,Solanum dimidiatum ,
3f196db4-7344-4de4-8cfc-fb50cf77f15b,D11,CLBJ,RUOK,Rubus oklahomus ,
0c1e236f-fbe6-4b8e-8538-6cea1aab6909,D11,CLBJ,JUMA4,Juncus marginatus ,
1248243e-079e-4b5d-bf7d-b150615c4fbb,D11,CLBJ,INMI,Indigofera miniata ,
8c3ad627-1d3d-4a71-aa55-76ce9a4773de,D11,CLBJ,CRATA,Crataegus sp.,
3348f0b9-7640-4bdd-83fd-b3a7f47e0f8b,D11,CLBJ,ELCA4,Elymus canadensis ,
970137e1-3826-4002-9c52-f7cd5de71cc9,D11,CLBJ,CRCR2,Crataegus crus-galli ,
73c76143-ead0-4604-9a27-d423ad7e270c,D11,CLBJ,LEPR,Lespedeza procumbens ,
1c6c6308-b25b-4c1a-a138-3a9f95b3645b,D11,CLBJ,DESE,Desmodium sessilifolium ,
6869855e-8ac9-431f-aa34-58a9f5deb67c,D11,CLBJ,CYRE5,Cyperus retrorsus ,
b3febef7-d628-42f8-87cb-1982a88dce99,D11,CLBJ,GECA7,Geum canadense ,
633d2d58-7d64-47c5-9350-f4a9395bd076,D11,CLBJ,SPCR,Sporobolus cryptandrus ,
67715a81-9a72-4fe9-9457-fa01f7f93afa,D11,CLBJ,LIATR,Liatris sp.,
dbfbe93e-e8d8-48ec-a463-f715bfc60ae6,D11,CLBJ,DYLI,Dyschoriste linearis ,
0d567a43-1dd7-4ece-baee-f7422fd4d61a,D11,CLBJ,DICO6,Digitaria cognata ,
2a4df028-4e53-4ac2-9d66-7459a76d9023,D11,CLBJ,SACA15,Sanicula canadensis ,
1a565119-cffd-42dc-aad8-00941b840f34,D11,CLBJ,COCA,Cocculus carolinus ,
635e74d4-7173-4601-9a7c-b7343a8b9ebf,D11,CLBJ,SPORO,Sporobolus sp.,
92a9c202-9d80-4b3b-af62-76ecb3c30569,D11,CLBJ,ERHI,Eragrostis hirsuta ,
a1f828fb-45d1-4d9a-9bc7-8b5c62305571,D11,CLBJ,PAHA,Panicum hallii ,
d4330e78-0536-4c9d-87ca-6397da2399fe,D11,CLBJ,OPMA2,Opuntia macrorhiza ,
fef532b4-f9e7-464f-84c6-73000da9b442,D11,CLBJ,SOLID,Solidago sp.,
45ee5522-1342-46b0-afd7-267271ddf540,D11,CLBJ,RHLA5,Rhynchosia latifolia ,
d1674231-a650-4d7f-9e62-b04e2fe7dec8,D11,CLBJ,PRAN3,Prunus angustifolia ,
5c5557fd-aec5-4882-9bd1-fbb863a93b4c,D11,CLBJ,ACMI2,Achillea millefolium ,
7e8c6c5c-5ef6-4fd1-9f35-2411888381e7,D11,CLBJ,CRCA6,Croton capitatus ,
dbe32269-04d0-4479-a7af-b871be3934f9,D11,CLBJ,PACO2,Panicum coloratum ,
cf2c7532-a493-46e0-8cf0-87227ee68986,D11,CLBJ,QUSH,Quercus shumardii ,
85ff5907-cbcb-425e-a598-5ae18fb6b054,D11,CLBJ,CHLA5,Chasmanthium latifolium ,
1b6c2c13-d9e5-44fc-8f8c-37119f815c1a,D11,CLBJ,CHVE2,Chloris verticillata ,
88f9c01c-212f-4f2f-ac8e-cc59a014c1c6,D11,CLBJ,ARIST,Aristida sp.,
f375b566-1ba6-4304-a925-e1a51c1b56b8,D11,CLBJ,LIMET,Linum medium ,
1e0e5ac7-30b7-4e7a-91a7-b02e108b9228,D11,CLBJ,VEHA,Verbena halei ,
2b9b136c-3ace-4672-a08c-f17bf6eaf97d,D11,CLBJ,PHCI4,Physalis cinerascens ,
6b9544db-1a56-4d44-afc2-1f37c2eac862,D11,CLBJ,VEHE,Verbesina helianthoides ,
948d71c1-ea14-462f-a7ac-84d799002255,D11,CLBJ,RHHA,Rhynchospora harveyi ,
f95c2be0-8dd0-4a76-9ca3-9966040293ca,D11,CLBJ,BOLA2,Bothriochloa laguroides ,
1a3d42f0-f90c-44e9-9fd3-24a84480b467,D11,CLBJ,WOOB2,Woodsia obtusa ,
b5f3bd7c-ae26-40d7-8501-630b61d636a4,D11,CLBJ,CABE6,Calylophus berlandieri ,
e6386590-bb21-472b-8633-1438cbfc919f,D11,CLBJ,DEIL,Desmanthus illinoensis ,
353e4b7b-52b8-4fa0-b98f-d64f0186baad,D11,CLBJ,TRBE4,Tragia betonicifolia ,
b2051439-e8f7-48bd-9046-12d434f42946,D11,CLBJ,ARLU,Artemisia ludoviciana ,
b9ad75a4-0d1e-4cf2-8cc8-b8fdb5ce1311,D11,CLBJ,POHI2,Polygonum hispidum ,
ccee95ac-347e-43f3-8b57-a6c2ccaae7fb,D11,CLBJ,CYLU2,Cyperus lupulinus ,
5873cf4d-2f1f-41bd-a633-d34b8f4503ed,D11,CLBJ,SOMI2,Solidago missouriensis ,
93c96dcc-85ea-4892-8f2c-2b9d411aa5e4,D11,CLBJ,DIVI5,Diospyros virginiana ,
f1b94700-ffbc-470f-855f-5fc8e1b1bb6b,D11,CLBJ,LISU4,Linum sulcatum ,
4e86cfa3-e08f-48f8-a811-1e1e91cc5f0c,D11,CLBJ,CORNU,Cornus sp.,
323b8076-c974-4512-8377-329264e0dba5,D11,CLBJ,CYEC2,Cyperus echinatus ,
76f3ad65-89a0-455e-ad86-846c749b46c6,D11,CLBJ,GYAM,Gymnopogon ambiguus ,
cd09f7e4-e925-4d31-bba9-23bc6de53472,D11,CLBJ,DESMO,Desmodium sp.,
01e6910c-922e-4e30-a5d8-f474a8441a86,D11,CLBJ,PELA10,Penstemon laxiflorus ,
74e83a3c-a11f-42fb-9b62-236959fb293e,D11,CLBJ,JUIN2,Juncus interior ,
aa39ac5a-c162-4122-95a6-bf31b8814449,D11,CLBJ,VETH,Verbascum thapsus ,
f1fc5708-7280-43b8-964c-a3912cde3b19,D11,CLBJ,MOSS,0,
08e64d13-0a5e-4be5-bd15-e69353eb16f1,D11,CLBJ,GACI2,Galium circaezans ,
37966f16-7307-420d-aeee-0a55c65c3e1c,D11,CLBJ,MOPU,Monarda punctata ,
94b0a0e5-8167-4340-abf4-1ad4a67cb78b,D11,CLBJ,CHAS,Chaetopappa asteroides ,
0a1aa4e2-9557-4579-959d-7c59f176257c,D11,CLBJ,DESMA,Desmanthus sp.,
36aaf9e1-422b-4e6e-96bd-e267fb180834,D11,CLBJ,APCA,Apocynum cannabinum ,
4c716cce-5e0d-4d05-84bd-39cd4221e005,D11,CLBJ,SCPA,Schedonnardus paniculatus ,
5875426f-97a4-4336-bc2b-df5e49da818c,D11,CLBJ,VESC,Verbena scabra ,
a7ea2184-0bca-4d62-805f-e38bf403ced8,D11,CLBJ,CITR2,Cissus trifoliata ,
e455c672-5fad-4f51-8ea9-afebf731dc8c,D11,CLBJ,PADI3,Paspalum dilatatum ,
f5e640e2-4163-4e80-a0c0-37d63b780cce,D11,CLBJ,BOUTE,Bouteloua sp.,
24a1ef65-56d0-4960-988b-a366f51c1378,D11,CLBJ,CLMA4,Clitoria mariana ,
2fc7b7c0-442a-498b-94c0-da0d56ea94bb,D11,CLBJ,PAQU,Panax quinquefolius ,
8f8f2aa0-8d14-4a89-ad28-0154f1fcfa28,D11,CLBJ,EUDA5,Euphorbia davidii ,
a855d0eb-f522-4a10-94a0-46207381a0cc,D11,CLBJ,HYDR,Hypericum drummondii ,
a9b63629-435d-4103-84fb-1163d0571600,D11,CLBJ,OLBO,Oldenlandia boscii ,
06a184ac-902e-4778-957f-cbeb4b769778,D11,CLBJ,PADI7,Panicum diffusum ,
4136b6e2-5f70-4a9e-9977-0cac07221d3f,D11,CLBJ,ACMO4,Acalypha monococca ,
498a758e-be69-4245-9549-87306d0385fa,D11,CLBJ,BORI,Bouteloua rigidiseta ,
6dd9bbf1-b709-47ef-958d-f244be2848ae,D11,CLBJ,ELTO2,Elephantopus tomentosus ,
e074774a-8f60-4b1c-bf6a-e4bb8f57e8a5,D11,CLBJ,AGHE4,Agalinis heterophylla ,
07ee9f6d-b1a6-4dca-a8af-8b532a66fb97,D11,CLBJ,MORU2,Morus rubra ,
2560c53d-cb98-496c-b3b9-d8b0d0162067,D11,CLBJ,PERH2,Pediomelum rhombifolium ,
34c6a061-7a2b-4ccd-a6bb-92e10c271071,D11,CLBJ,GASI,Gaura sinuata ,
6352eef4-68e1-4f84-aed3-456147e237bd,D11,CLBJ,BRAR5,Bromus arvensis ,
8a419798-71bf-41ad-a2e2-3484ac8874f9,D11,CLBJ,CYRE14,Cyperus retroflexus ,
5cd4be9a-e365-4611-8c38-9e11c564be06,D11,CLBJ,RHGL,Rhus glabra ,
69b0bb01-147c-4c5d-8879-16e02c1d5cbe,D11,CLBJ,LIIN2,Lithospermum incisum ,
7dc5de61-4226-4717-9de1-347c7b09f728,D11,CLBJ,ANPA9,Antennaria parlinii ,
d7ba7305-1661-4c1a-affd-c025c0cbb89f,D11,CLBJ,ERSE2,Eragrostis sessilispica ,
eefa6899-92ad-4f30-b6e2-566572835530,D11,CLBJ,CAAU6,Carex austrina ,
1828261c-1f21-4e75-8eb7-e84f05c17931,D11,CLBJ,DIGIT2,Digitaria sp.,
39a09d5e-adb6-4d7c-b9a0-4cf6a2067283,D11,CLBJ,FABACE,Fabaceae sp.,
74ab870b-ab61-48de-84e6-ffc1c99c4807,D11,CLBJ,POVE,Polygala verticillata ,
fe72bc2a-ed8f-4852-a3ac-53e20eb5c38b,D11,CLBJ,CYPER,Cyperus sp.,
