_record_id,domainid,siteid,taxonid,scientificname,preferredstatus,deletions,accept_change(y/n),botanist_notes
0dc7e2ba-56c8-4577-9399-126eda20b5b5,D01,HARV,LIBE3,Lindera benzoin (L.) Blume,,,,
841615d5-7ce5-47aa-8670-2c41cc41657a,D01,HARV,AMELA,Amelanchier sp.,,,,
01c29834-e005-4901-b0a2-1f422709b791,D01,HARV,ILLA,Ilex laevigata (Pursh) A. Gray,,,,
1028b719-52ee-4af0-b516-7c61b9724477,D01,HARV,VIDE,Viburnum dentatum L.,,,,
a20a37f6-4ef1-436b-8313-349e10d5b970,D01,HARV,QUAL,Quercus alba L.,,,,
858045f4-759d-413e-aa16-044ee6579dcb,D01,HARV,DRCR4,Dryopteris cristata (L.) A. Gray,,,,
896a75ae-3a69-47cb-bb7f-7c013bcacc5f,D01,HARV,LYAN2,Lycopodium annotinum L.,,,,
70e6bc58-16af-438c-9854-4ebfd1a15628,D01,HARV,THPA,Thelypteris palustris Schott,,,,
052e8c93-6caa-4343-80f9-f183c8b87b84,D01,HARV,CELAS,Celastrus sp.,,,,
12720133-45d1-404f-9d37-e94faff9f560,D01,HARV,DRMA4,Dryopteris marginalis (L.) A. Gray,,,,
979b0704-90aa-493c-8aa0-82270bd28ff3,D01,HARV,MOUN3,Monotropa uniflora L.,,,,
f0d9646c-916c-412c-9041-b6a39ad956dd,D01,HARV,TRUN,Trillium undulatum Willd.,,,,
512a53e4-2a92-41a4-a76f-8dfa67d825bf,D01,HARV,PIGL,Picea glauca (Moench) Voss,,,,
5545ab43-04a4-4e7b-8a32-8280076df8cd,D01,HARV,POGR4,Populus grandidentata Michx.,,,,
cfc6df3b-8002-4917-8614-7159727aebc4,D01,HARV,LADE2,Larix decidua Mill.,,,,
e22e8111-20cc-402f-a37e-2cc6d3756e6e,D01,HARV,LYTR,Lycopodium tristachyum Pursh,,,,
f5780ff7-d80b-42fb-bcdb-47f11345d9f6,D01,HARV,OCAC,Oclemena acuminata (Michx.) Greene,,,,
dd79bbc6-dd23-4caf-bc72-d98ee49ee2c3,D01,HARV,RUHI,Rubus hispidus L.,,,,
612a671d-2c9d-4814-bdbb-916b22da51da,D01,HARV,ACSA3,Acer saccharum Marshall,,,,
ac33dd15-b038-4254-8291-e36f022a674a,D01,HARV,BETUL,Betula sp.,,,,
d3fafd29-98cf-4511-95cf-474923587a01,D01,HARV,CADE5,Carex debilis Michx.,,,,
7c1c5d07-f8f3-4675-85df-2008c49092ce,D01,HARV,CAREX,Carex sp.,,,,
a3fe1a7d-8c3f-4cbb-92d2-857e754db28f,D01,HARV,CASW,Carex swanii (Fernald) Mack.,,,,
3efdd532-3d31-4a98-82f9-27f6d0f4a3ac,D01,HARV,CATR10,Carex trisperma Dewey,,,,
a5bcaf32-17e4-417f-8655-4fa73ec7cca4,D01,HARV,COCA13,Cornus canadensis L.,,,,
59f887e0-7171-430f-836f-697f719c838a,D01,HARV,EUDI16,Eurybia divaricata (L.) G.L. Nesom,,,,
538a4520-00cc-4b36-8edf-f4bc52c1c4bf,D01,HARV,PRAV,Prunus avium (L.) L.,,,,
a182b495-c7bf-4e9e-8ac6-89f272f8373c,D01,HARV,RUPU,Rubus pubescens Raf.,,,,
6dc4fdb3-f37f-4057-a1d6-e66d5c890d5e,D01,HARV,SPAL2,Spiraea alba Du Roi,,,,
f3d0de31-74d1-465c-8ec9-378b52b99003,D01,HARV,TRER3,Trillium erectum L.,,,,
2407933b-6478-48b5-b0c0-196b2e08c0d9,D01,HARV,CADE12,Castanea dentata (Marshall) Borkh.,,,,
1e589877-e789-4274-90a1-fb7ce4fe888f,D01,HARV,HAVI4,Hamamelis virginiana L.,,,,
3a9f4a1e-13d9-4df4-b9ab-bb3446bc2312,D01,HARV,OSVI,Ostrya virginiana (Mill.) K. Koch,,,,
6184e16a-efb3-453a-a67e-5d9e0dea1578,D01,HARV,VINU,Viburnum nudum L.,,,,
4d156675-4d4b-4119-a93e-8966ed133808,D01,HARV,KAAN,Kalmia angustifolia L.,,,,
a197c695-8efc-4b21-aa25-e9a0fb212b4f,D01,HARV,AMLA,Amelanchier laevis Wiegand,,,,
5d6559b7-9f52-4b82-9083-88da4e99235a,D01,BART,ACPE,Acer pensylvanicum L.,,,,
6c8abb9c-e92b-4743-b93e-5cdebb1a0032,D01,BART,ACSA2,Acer saccharinum L.,USA-NPN; Green Wave,,,
19c76006-34b2-4735-af66-8d0a690e659f,D01,BART,ACSP2,Acer spicatum Lam.,,,,
02a9cfc4-74f1-4adf-889d-7add17771327,D01,BART,AMELA,Amelanchier sp.,,,,
31dd9d96-17c1-4d39-86ad-1e634d143645,D01,BART,ARNU2,Aralia nudicaulis L.,,,,
80afa826-786f-412c-9473-bfed945e0c35,D01,BART,ARTR,Arisaema triphyllum (L.) Schott,,,,
7c48b9b7-fadd-4c4c-af38-028985eec69a,D01,BART,ATFIA,Athyrium filix-femina (L.) Roth ssp. angustum (Willd.) R.T. Clausen,,,,
894a7690-71de-4719-9b26-aa467aebe439,D01,BART,BIDEN,Bidens sp.,,,,
8f40bc0c-fc46-4130-a246-71213b2cf75c,D01,BART,CASC13,Carex scabrata Schwein.,,,,
e2429c5f-8902-45b3-9509-90f4d8869135,D01,BART,CHGL2,Chelone glabra L.,,,,
8333f8e2-8d66-4056-a90a-15fe5fe7fa1b,D01,BART,CHUM,Chimaphila umbellata (L.) W.P.C. Barton,,,,
09bbd870-3814-44a9-854c-90991357f422,D01,BART,CIAL,Circaea alpina L.,,,,
a9275edf-419e-48ba-aff2-e5968cb98ccf,D01,BART,CLBO3,Clintonia borealis (Aiton) Raf.,,,,
73b23f4a-c56b-4157-a353-0789a6f5a0d7,D01,BART,COTR2,Coptis trifolia (L.) Salisb.,,,,
13a7c2fb-cd5b-4a36-b668-0f0e2f221edb,D01,BART,CYAC3,Cypripedium acaule Aiton,,,,
1e294355-d8db-46c5-a8bb-58c560d37985,D01,BART,DARE,Dalibarda repens L.,,,,
7b7e79fa-2801-4ebe-a5b3-2ab120ff3482,D01,BART,FRPE,Fraxinus pennsylvanica Marshall,,,,
2c8ee5a3-9d73-43ca-8bdd-c79f4033ea15,D01,BART,FRAXI,Fraxinus sp.,,,,
6a36c411-39de-432b-bedd-68cd74df2021,D01,BART,GOTE,Goodyera tesselata Lodd.,,,,
c4a28383-9fc3-489e-b7c2-998268bc0f04,D01,BART,ILVE,Ilex verticillata (L.) A. Gray,,,,
59154364-f4e0-4c53-9051-94ae7c9009bf,D01,BART,LOCA7,Lonicera canadensis W. Bartram ex Marshall,,,,
94a994fc-247e-4b0a-a95b-24e710c8a2a1,D01,BART,LYCL,Lycopodium clavatum L.,,,,
1a87b836-9afe-4504-90f5-66f8ce4a1ec5,D01,BART,LYCO3,Lycopodium complanatum L.,,,,
74e070ee-996d-4ab4-9920-6fe5a6de4972,D01,BART,LYUN,Lycopus uniflorus Michx.,,,,
88b09b6a-77e2-470b-a324-a75d1978263f,D01,BART,MARA7,Maianthemum racemosum (L.) Link,,,,
1e11e6f0-cb7f-47bb-83af-ee37d6d61ef5,D01,BART,MOUN3,Monotropa uniflora L.,,,,
6aed201e-957c-4f4f-8352-eb450bffd0b6,D01,BART,OCAC,Oclemena acuminata (Michx.) Greene,,,,
1d221b28-34cc-4a21-b939-f4428c61688b,D01,BART,ONSE,Onoclea sensibilis L.,,,,
b3876df6-91dc-4d53-8e63-5001be339b78,D01,BART,OSCI,Osmunda cinnamomea L.,,,,
5ebcb8c2-ba0e-4269-a07f-19168f6eef73,D01,BART,OSCIC,Osmunda cinnamomea L. var. cinnamomea,,,,
7c43ab12-ba62-4d50-a47f-c739b1b8b831,D01,BART,OXMO,Oxalis montana Raf.,,,,
54416995-c6c1-4eea-bcb5-1173715deb59,D01,BART,PINACE,Pinaceae sp.,,,,
94aa4adc-0eb8-4826-af73-76d81df0bf76,D01,BART,PLDI3,Platanthera dilatata (Pursh) Lindl. ex Beck,,,,
33fb32a6-3ea9-47aa-9e97-52ea8fbbb33f,D01,BART,POPU5,Polygonum punctatum Elliott,,,,
520907e8-7e16-4cb5-8d05-f4d7b2d2f8f4,D01,BART,PRSE2,Prunus serotina Ehrh.,,,,
e81239fc-7f16-4a6d-85af-93786cc116a0,D01,BART,PTAQL,Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller,,,,
773ccef9-97c4-48f5-8773-7d69701ea2f8,D01,BART,PYEL,Pyrola elliptica Nutt.,,,,
66d36cc0-c057-4f91-a788-a430966abea5,D01,BART,QURU,Quercus rubra L.,USA-NPN; Green Wave,,,
e6aa6530-4bed-4f02-8033-f5997ada84b6,D01,BART,RUPU,Rubus pubescens Raf.,,,,
64bb34db-f75c-425f-9d1b-af1caf217274,D01,BART,TICO,Tiarella cordifolia L.,,,,
85c8ccae-33bd-4aed-82f6-edf378895a55,D01,BART,TORA2,Toxicodendron radicans (L.) Kuntze,,,,
ebe7d30d-ab52-469f-b83c-862bdf499ffd,D01,BART,TRBO2,Trientalis borealis Raf.,,,,
2b2f283d-5f91-42bd-9fc1-54118d517311,D01,BART,TRUN,Trillium undulatum Willd.,,,,
1abfc696-89c2-44f5-89da-ec6d8c5eccbd,D01,BART,ULAM,Ulmus americana L.,,,,
5ee50a1b-f473-4a15-98c9-b1f88f3d7383,D01,BART,2PLANT,Unknown plant,,,,
e3a81a5c-eea4-41fb-84e4-cba53fc19c1d,D01,BART,UVSE,Uvularia sessilifolia L.,,,,
67d4a9e8-2294-4fc6-adc8-e7c18e4a9382,D01,BART,VEVI,Veratrum viride Aiton,,,,
880f5347-3b26-4a0d-9895-1a481c6afe9c,D01,BART,VINU,Viburnum nudum L.,,,,
c950ba88-402a-4bb0-be73-efc10301892b,D01,BART,VICU,Viola cucullata Aiton,,,,
a817b9ac-5f5f-42bc-9943-30e2377c7f7f,D02,BLAN,ACRH,Acalypha rhomboidea Raf.,,,,
2629b03a-3d43-4916-8da3-9b83cb48cadf,D02,BLAN,ACNEN,Acer negundo L. var. negundo,USA-NPN; Green Wave,,,
04c583e5-3f9d-4233-9200-297a5d24f582,D02,BLAN,ACMI2,Achillea millefolium L.,,,,
947e07c4-3ebc-475c-acae-04ee0dd6688c,D02,SCBI,MIVI,Microstegium vimineum (Trin.) A. Camus,VA-NW,,,
a3da582e-698b-4257-a6f7-f3f606502bcd,D02,SCBI,RUPH,Rubus phoenicolasius Maxim.,VA-NW,,,
69b13db2-5eda-4bea-a12d-f7b5c0a2b9c6,D02,BLAN,ALVI,Allium vineale L.,,,,
e673e4e2-e3cd-4383-bcd9-45af6e2e4df2,D02,BLAN,AMAR2,Ambrosia artemisiifolia L.,,,,
392704b6-c1cb-498e-af3b-7c46fa2d0528,D02,BLAN,ANOD,Anthoxanthum odoratum L.,,,,
efee0144-5a04-4e30-b66f-c49bbfae3a06,D02,BLAN,APCA,Apocynum cannabinum L.,,,,
9fad1ddb-00b0-406e-91f4-1559d565ccfc,D02,BLAN,ARTR,Arisaema triphyllum (L.) Schott,,,,
9d112452-76bd-49e8-9a42-279685e8d761,D02,BLAN,ASTR,Asimina triloba (L.) Dunal,,,,
37061d32-0398-4fb0-a92d-d9cd104ac789,D02,BLAN,BRASSI,Brassicaceae sp.,,,,
80fc7f17-a682-4bd4-b230-3b0a089d8a65,D02,BLAN,BRIN2,Bromus inermis Leyss.,,,,
91acc932-fa28-4064-b7fa-8cf6b113dd6b,D02,BLAN,BROMU,Bromus sp.,,,,
e3784f7b-d1d8-4c2d-b556-84002730e708,D02,BLAN,CAREX,Carex sp.,,,,
9df1181f-4051-49bc-815a-d38ff33598c3,D02,BLAN,CAGL8,Carya glabra (Mill.) Sweet,,,,
7571f0b3-b57b-4cea-b0c4-a4515d8f7765,D02,BLAN,CARYA,Carya sp.,,,,
2fbaa65a-1841-4209-850c-a984bf51defc,D02,SERC,AIAL,Ailanthus altissima (Mill.) Swingle,MD-NW,,,
803a6792-b954-4f12-9dc5-21e49fdcced6,D02,BLAN,CEOC,Celtis occidentalis L.,,,,
b2076db2-a832-4008-8dca-c57e58a696fb,D02,BLAN,CILU,Circaea lutetiana L.,,,,
83525c40-a27d-4db8-ad90-e2ad93f2b3cc,D02,BLAN,CIRSI,Cirsium sp.,,,,
dd37d2d7-cae2-4374-855f-26a4c9be3e31,D02,BLAN,COAR4,Convolvulus arvensis L.,,,,
25998688-64fd-40d1-8dab-271768d3d3c7,D02,BLAN,CYPERA,Cyperaceae sp.,,,,
f2d81794-cf06-4619-a3f4-1988bf3733fb,D02,BLAN,DIGIT2,Digitaria sp.,,,,
a435d4cb-3e41-479c-b7ad-3797e0af01f1,D02,BLAN,ELYMU,Elymus sp.,,,,
c8df99a9-6f3a-4e0b-8a63-05bf409d6fe2,D02,BLAN,ERHI12,Erechtites hieraciifolia (L.) Raf. ex DC.,,,,
3472a768-5a71-4a27-936c-ee230e43d97c,D02,BLAN,ERAN,Erigeron annuus (L.) Pers.,,,,
2734dc0a-5344-40f5-b6a5-e285fc0d3225,D02,BLAN,EUPHO,Euphorbia sp.,,,,
cf092b1a-0e64-44b9-ba4b-a2bfe225cf9b,D02,BLAN,FESU3,Festuca subverticillata (Pers.) Alexeev,,,,
e7a867fe-39db-45fa-95ac-17cb78c2074b,D02,BLAN,FRAM2,Fraxinus americana L.,,,,
f1c547c9-e77c-45f4-a536-7fd150b7f00c,D02,BLAN,GAAP2,Galium aparine L.,,,,
427eb6ba-7437-4654-9ee4-002155eb9fc2,D02,BLAN,GAVE,Galium verum L.,,,,
6301435d-c580-4373-a208-60a65340f60f,D02,BLAN,GECA7,Geum canadense Jacq.,,,,
360f8b72-9e54-447a-81e5-843f600531ed,D02,BLAN,GIBI2,Ginkgo biloba L.,,,,
866a2217-5fea-4238-a281-df428c71b51c,D02,BLAN,GLHE2,Glechoma hederacea L.,,,,
f56cd879-4b39-437d-a8c4-421a5f516569,D02,BLAN,GLTR,Gleditsia triacanthos L.,,,,
d3522203-cf04-4a2b-a3f2-3008a9a21631,D02,BLAN,HAVI2,Hackelia virginiana (L.) I.M. Johnst.,,,,
bf1ce402-33eb-4c3b-b7b5-39973333eaf7,D02,BLAN,HEHE5,Heliopsis helianthoides (L.) Sweet,,,,
02695af7-7628-4ecd-bb45-ed722b98f222,D02,BLAN,IMCA,Impatiens capensis Meerb.,,,,
ce5eb6da-9142-4d35-a03c-5a08768fd74a,D02,BLAN,JUNI,Juglans nigra L.,,,,
23b9a28f-20c8-4700-964f-dec29045e7f3,D02,BLAN,JUVIV,Juniperus virginiana L. var. virginiana,,,,
811406ad-63b9-4051-a73b-61e13028e5ac,D02,SERC,ALPE4,Alliaria petiolata (M. Bieb.) Cavara & Grande,MD-NW,,,
71a8cf01-d248-4b29-926b-6d4eff5cb866,D02,BLAN,LIGUS2,Ligustrum sp.,,,,
47de0a14-e539-4f83-9207-81f93364f106,D02,BLAN,LIBE3,Lindera benzoin (L.) Blume,,,,
50d870a9-3630-4e94-83e4-ae7edb11d1d9,D02,BLAN,LOIN,Lobelia inflata L.,,,,
2f086f32-dd0b-4354-8145-5b6364179c33,D02,SERC,CEOR7,Celastrus orbiculatus Thunb.,MD-NW,,,
8f4ff25e-61ba-437e-942a-4d38f10547da,D02,SERC,LOJA,Lonicera japonica Thunb.,MD-NW,,,
bd462e82-2880-4f39-b0d8-a942f0c9d19e,D02,BLAN,LYAR6,Lysimachia arvensis (L.) U. Manns & Anderb.,,,,
0d608b87-df68-492d-a686-2afa5f4d8107,D02,SERC,MIVI,Microstegium vimineum (Trin.) A. Camus,MD-NW,,,
6779a56f-ded7-493c-b0c7-212cf07fa86a,D02,BLAN,MOVE,Mollugo verticillata L.,,,,
90db1a99-b931-44f7-8e46-64131e9a998e,D02,BLAN,MUSC,Muhlenbergia schreberi J.F. Gmel.,,,,
29801eb0-9b3c-4cc1-8be1-a27abdaa0791,D02,BLAN,OXALI,Oxalis sp.,,,,
90975a26-c3f9-46ad-86ec-89af5c4047e7,D02,BLAN,PAQU2,Parthenocissus quinquefolia (L.) Planch.,,,,
a1a78a26-96b6-4fcb-983b-55a30ce5b10f,D02,BLAN,PEVI13,Persicaria virginiana (L.) Gaertn.,,,,
b6ebfe18-6cbe-409e-9d05-92b6e5ad3cca,D02,BLAN,PHLE5,Phryma leptostachya L.,,,,
cf918ad2-4e81-4a82-b3f9-9c24d34d612b,D02,BLAN,PHYSA,Physalis sp.,,,,
da4ba6c3-2f3c-429c-8d63-4ec86afc33d3,D02,BLAN,PIPU2,Pilea pumila (L.) A. Gray,,,,
5ab92244-ea43-45a2-8d3b-cebc7cea02aa,D02,BLAN,PIST,Pinus strobus L.,,,,
f878737a-ca32-47cf-9dd7-933bcc5dbda5,D02,BLAN,PLMA2,Plantago major L.,,,,
3ec5768f-e58d-42b5-9172-c211ae46f357,D02,BLAN,POA,Poa sp.,,,,
f41b0029-493c-436c-bd1d-68d5a80ff155,D02,BLAN,POACEA,Poaceae sp.,,,,
09e87b72-7fb7-4ad3-9256-2841e3b7b76f,D02,BLAN,POPE,Podophyllum peltatum L.,PBB,,,
7eca9528-638c-48f5-976a-6ff6dbf37be3,D02,BLAN,POAV,Polygonum aviculare L.,,,,
82c345da-0037-4d82-b05a-b6845101bcbb,D02,BLAN,POLYG4,Polygonum sp.,,,,
87263ee3-14c3-4305-9be9-ab6c42534764,D02,BLAN,POLYG4SPP,Polygonum spp.,,,,
f38938f8-ae49-448c-94fc-3b833ff2f559,D02,BLAN,POIN5,Potentilla indica (Andrews) Th. Wolf,,,,
fff8c1f3-1d7c-4f84-aa41-8bb87bb9f78e,D02,BLAN,PRSES,Prunus serotina Ehrh. var. serotina,,,,
c179723c-2122-48b7-b641-ae0cc43610f7,D02,BLAN,PRSES,Prunus serotina Ehrh. var. serotina,,,,
ff6c3ced-c793-48b0-b843-a7df79861a7b,D02,BLAN,PRUNUSPP,Prunus spp.,,,,
c77fa3d1-9ca7-48a4-a580-587fda91b2c3,D02,BLAN,QUAL,Quercus alba L.,,,,
8fe5faa7-9222-48d5-9063-d5d2f8cef949,D02,BLAN,RHDA,Rhamnus davurica Pall.,,,,
2f8bcc74-b7c3-4f1f-b4d0-bd9b279ec4f4,D02,BLAN,RHSC3,Rhodotypos scandens (Thunb.) Makino,,,,
b43dec4f-1e69-41e3-b12d-34b7e9aad6fd,D02,BLAN,ROMU,Rosa multiflora Thunb.,,D02 - StateNW,,
fdde2bfd-9efc-4911-962c-021d499b3376,D02,BLAN,RUAL,Rubus allegheniensis Porter,,,,
272c69cd-4419-454b-a2b4-1efff2544646,D02,SERC,RUPH,Rubus phoenicolasius Maxim.,MD-NW,,,
714c8d97-04e0-49f7-a43d-051ec786ac88,D02,BLAN,RUBUS,Rubus sp.,,,,
30830aa5-9158-461e-82e1-f8e561a22358,D02,BLAN,RUBUSSPP,Rubus spp.,,,,
e7fdf3f2-3c69-4115-98e3-761b954e8d3e,D02,BLAN,RUOB,Rumex obtusifolius L.,,,,
0b30f2c1-f985-40f2-a90c-130d443808e9,D02,BLAN,SACA13,Sanguinaria canadensis L.,,,,
45b38da1-558f-4b55-b52b-a236b15df00e,D02,BLAN,SACA15,Sanicula canadensis L.,,,,
d37dfdfd-a403-46ce-b791-60cbcef5242c,D02,BLAN,SMRO,Smilax rotundifolia L.,,,,
2a48f22f-b786-4d51-8dba-0c172fa85fd2,D02,BLAN,SOCA3,Solanum carolinense L.,,,,
2080bd90-f39d-4fe6-8104-c4b1db45d2ae,D02,BLAN,SOAL6,Solidago altissima L.,,,,
413d3fe4-6382-4a16-90a1-f77a7c40f9d1,D02,BLAN,SOAL6,Solidago altissima L.,,,,
81f9a932-6b16-4fc6-8904-eea9c718f3e0,D02,BLAN,SOLID,Solidago sp.,,,,
d69a8e1a-6d14-412c-993e-3127c41eb2d3,D02,BLAN,SOHA,Sorghum halepense (L.) Pers.,,D02 - StateNW,,
e332453e-6e3a-47a6-a766-ba70f4b4be21,D02,BLAN,STELL,Stellaria sp.,,,,
f522bd7d-6f4c-45c0-8286-9e9ac909240b,D02,BLAN,SYOR,Symphoricarpos orbiculatus Moench,,,,
18492f5f-e4cd-4bc4-a5cb-19a4a13347f3,D02,BLAN,TAOF,Taraxacum officinale F.H. Wigg.,,,,
baa6a525-2c03-4e32-88dc-9b17922dbade,D02,BLAN,TEDA,Tetradium daniellii (Benn.) T.G. Hartley,,,,
38cfa0b0-441d-4101-9e14-f3c7e5fc66ca,D02,BLAN,TOAR,Torilis arvensis (Huds.) Link,,,,
88255f62-b2bd-4c0a-bdf9-38850e272607,D02,BLAN,TORA2,Toxicodendron radicans (L.) Kuntze,,,,
df9bc732-a0e7-48b7-8551-5e83a5540240,D02,BLAN,TRIFO,Trifolium sp.,,,,
6d101534-40e1-4aae-85d1-f1b03e092326,D02,BLAN,TRITI,Triticum sp.,,,,
b026a5d2-d541-4310-b7e0-c7aab6d9a9f1,D02,BLAN,2PLANT,Unknown plant,,,,
5986992a-056e-4f92-afde-7d4dcf7feba5,D02,BLAN,VEBL,Verbascum blattaria L.,,,,
2f743d3f-1322-4eda-8797-39547c3e0062,D02,BLAN,VETH,Verbascum thapsus L.,,,,
c3c41e7a-65bf-4216-8125-e11d506bc85e,D02,BLAN,VEAL,Verbesina alternifolia (L.) Britton ex Kearney,,,,
4bb7829f-366d-4ebc-9b02-95d19033c31c,D02,BLAN,VERON,Veronica sp.,,,,
84992b4d-7e9d-46a1-a848-986901d808b5,D02,BLAN,VIMI2,Vinca minor L.,,,,
68539b1b-b496-4a51-9e1b-d74ce8d50bd0,D02,BLAN,VIOLA,Viola sp.,,,,
60501ab0-d272-4f8d-a7de-196aae2c5090,D02,BLAN,VITIS,Vitis sp.,,,,
b6691d74-bc5f-4afb-85ca-4a9b2bd36832,D02,BLAN,ZEMA,Zea mays L.,,,,
97553ba4-063a-44a1-8bc4-59a8e0bc7036,D02,BLAN,MOSS,,,,,
1e696968-0821-420b-85cb-e240577c73c5,D02,SCBI,ACVI,Acalypha virginica L.,,,,
