"X_status","domainid","siteid","taxonid","scientificname","preferredstatus","remarks"
"unedited","D05","UNDE","PLLA","Plantago lanceolata","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","RARA2","Raphanus raphanistrum","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","RUCR","Rumex crispus","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","SEFA","Seteria faberi","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","SIAR4","Sinapis arvensis ","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","SODU","Solanum dulcamara","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","SOPT7","Solanum ptycanthum","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","SOAR2","Sonchus arvensis","MI-NW","state listed noxious weed added by request of FS"
"unedited","D05","UNDE","XAST","Xanthium strumarium","MI-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","ALJU","Albizia julibrissin","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","ALPE4","Alliaria petiolata","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","ARHI3","Arthraxon hispidus","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","BUDA2","Buddleja davidii","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","CEOR7","Celastrus orbiculatus","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","CLTE4","Clematis terniflora","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","ELUM","Elaeagnus umbellata","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","EUAL13","Euonymus alatus","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","LEBI2","Lespedeza bicolor","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","LECU","Lespedeza cuneata","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","LISI","Ligustrum sinense","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","LOMA6","Lonicera maackii","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","MISI","Miscanthus sinensis","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","PATO2","Paulownia tomentosa","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","PEFR4","Perilla frutescens","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","POCU6","Polygonum cuspidatum","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","PUMO","Pueraria montana","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","PYCA80","Pyrus calleryana","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","ROMU","Rosa multiflora","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","RUPH","Rubus phoenicolasius","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","SOHA","Sorghum halepense","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","TUFA","Tussilago farfara","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","VIMI2","Vinca minor","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","GRSM","WIFL","Wisteria floribunda","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","MLBS","AIAL","Ailanthus altissima","VA-NW","state listed noxious weed added by request of FS"
"unedited","D07","MLBS","ALPE4 ","Alliaria petiolata","VA-NW","state listed noxious weed added by request of FS"
"unedited","D07","MLBS","CEOR7 ","Celastrus orbiculatus","VA-NW","state listed noxious weed added by request of FS"
"unedited","D07","MLBS","CESTM","Centaurea stoebe ssp. micranthos","VA-NW","state listed noxious weed added by request of FS"
"unedited","D07","MLBS","ELUM","Elaeagnus umbellata","VA-NW","state listed noxious weed added by request of FS"
"unedited","D07","MLBS","EUAL13","Euonymus alatus","VA-NW","state listed noxious weed added by request of FS"
"unedited","D07","MLBS","IRPS ","Iris pseudacorus","VA-NW","state listed noxious weed added by request of FS"
"unedited","D07","MLBS","LECU","Lespedeza cuneata","VA-NW","state listed noxious weed added by request of FS"
"unedited","D07","MLBS","LOJA ","Lonicera japonica","VA-NW","state listed noxious weed added by request of FS"
"unedited","D07","MLBS","MIVI ","Microstegium vimineum","VA-NW","state listed noxious weed added by request of FS"
"unedited","D07","MLBS","PUMOL","Pueraria montana var. lobata","VA-NW","state listed noxious weed added by request of FS"
"unedited","D07","MLBS","ROMU ","Rosa multiflora","VA-NW","state listed noxious weed added by request of FS"
"unedited","D07","MLBS","RUPH ","Rubus phoenicolasius","VA-NW","state listed noxious weed added by request of FS"
"unedited","D07","MLBS","SOHA ","Sorghum halepense","VA-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","AIAL","Ailanthus altissima","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","ALJU","Albizia julibrissin","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","ALPE4","Alliaria petiolata","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","ARHI3","Arthraxon hispidus","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","CEOR7","Celastrus orbiculatus","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","DIOP","Dioscorea polystachya","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","EUAL13","Euonymus alatus","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","EUFO5","Euonymus hederaceus","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","HEHE","Hedera helix","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","LEBI2","Lespedeza bicolor","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","LECU","Lespedeza cuneata","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","LOMA6","Lonicera maackii","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","LYSA2","Lythrum salicaria","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","MABE2","Mahonia bealei","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","MISI","Miscanthus sinensis","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","MUKE","Murdannia keisak","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","MYSP2","Myriophyllum spicatum","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","NADO","Nandina domestica","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","PATO2","Paulownia tomentosa","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","PEFR4","Perilla frutescens","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","POCU6","Polygonum cuspidatum","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","PUMO","Pueraria montana","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","PYCA80","Pyrus calleryana","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","ROMU","Rosa multiflora","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","RUPH","Rubus phoenicolasius","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","SOHA","Sorghum halepense","TN-NW","state listed noxious weed added by request of FS"
"unedited","D07","ORNL","TUFA","Tussilago farfara","TN-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","ALJU","Albizia julibrissin","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","ALPH","Alternanthera philoxeroides","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","CLTE4","Clematis terniflora","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","COES","Colocasia esculenta","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","EICR","Eichhornia crassipes","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","ELPU2","Elaeagnus pungens","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","ELUM","Elaeagnus umbellata","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","HEHE","Hedera helix","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","HYVE3","Hydrilla verticillata","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","LEBI2","Lespedeza bicolor","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","LECU","Lespedeza cuneata","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","LILU2","Ligustrum lucidum","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","MABE2","Mahonia bealei","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","MIVI","Microstegium vimineum","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","MYAQ2","Myriophyllum aquaticum","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","NADO","Nandina domestica","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","OXCU2","Oxycaryum cubense","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","PAUR2","Paspalum urvillei","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","PHUR","Phyllanthus urinaria","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","POTR4","Poncirus trifoliata","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","PUMOL","Pueraria montana var. lobata","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","PYCA80","Pyrus calleryana","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","SAMO5","Salvinia molesta","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","SEPU7","Sesbania punicea","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","SOHA","Sorghum halepense","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","VIMA","Vinca major","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","DELA","WISI","Wisteria sinensis","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","ALJU","Albizia julibrissin","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","ALPH","Alternanthera philoxeroides","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","CLTE4","Clematis terniflora","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","COES","Colocasia esculenta","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","EICR","Eichhornia crassipes","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","ELPU2","Elaeagnus pungens","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","ELUM","Elaeagnus umbellata","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","HEHE","Hedera helix","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","HYVE3","Hydrilla verticillata","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","IMCY","Imperata cylindrica","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","LEBI2","Lespedeza bicolor","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","LECU","Lespedeza cuneata","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","LIJA","Ligustrum japonicum","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","LILU2","Ligustrum lucidum","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","LYJA","Lygodium japonicum","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","MABE2","Mahonia bealei","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","MEAZ","Melia azedarach","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","MIVI","Microstegium vimineum","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","MYAQ2","Myriophyllum aquaticum","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","NADO","Nandina domestica","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","OXCU2","Oxycaryum cubense","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","PAUR2","Paspalum urvillei","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","PHUR","Phyllanthus urinaria","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","PUMOL","Pueraria montana var. lobata","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","PYCA80","Pyrus calleryana","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","SAMO5","Salvinia molesta","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","SEPU7","Sesbania punicea","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","SOHA","Sorghum halepense","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","TRSE6","Triadica sebifera","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","VIMA","Vinca major","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","LENO","WISI","Wisteria sinensis","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","TALL","ALJU","Albizia julibrissin","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","TALL","ALPH","Alternanthera philoxeroides","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","TALL","ARDO4","Arundo donax","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","TALL","CLTE4","Clematis terniflora","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","TALL","COES","Colocasia esculenta","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","TALL","EICR","Eichhornia crassipes","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","TALL","ELPU2","Elaeagnus pungens","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","TALL","ELUM","Elaeagnus umbellata","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","TALL","HEHE","Hedera helix","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","TALL","HYVE3","Hydrilla verticillata","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","TALL","LEBI2","Lespedeza bicolor","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","TALL","LECU","Lespedeza cuneata","AL-NW","state listed noxious weed added by request of FS"
"unedited","D08","TALL","LIJA","Ligustrum japonicum","AL-NW","state listed noxious weed added by request of FS"
