domainID,siteID,plotID,plotType,date,eventID,eventType,dataCollected,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaOther
D01,HARV,HARV_026,distributed,2019-04-30,vst_HARV_2019,NA,NA,10,noneSelected,noneSelected
D01,HARV,HARV_027,distributed,2019-07-10,vst_HARV_2019,NA,NA,noneSelected,noneSelected,noneSelected
D01,HARV,HARV_033,tower,2021-07-26,vst_HARV_2021,towerSubset,allGrowthForms,100,noneSelected,100
D01,HARV,HARV_034,tower,2021-07-26,vst_HARV_2021,towerSubset,allGrowthForms,10,noneSelected,100
D01,HARV,HARV_035,tower,2020-08-05,vst_HARV_2020,allTowerPlots,allGrowthForms,100,noneSelected,noneSelected
D01,HARV,HARV_036,tower,2020-08-05,vst_HARV_2020,allTowerPlots,allGrowthForms,25,noneSelected,1
D01,HARV,HARV_037,tower,2020-08-05,vst_HARV_2020,allTowerPlots,allGrowthForms,10,noneSelected,noneSelected
D01,HARV,HARV_038,tower,2021-07-26,vst_HARV_2021,towerSubset,allGrowthForms,100,noneSelected,10
D01,HARV,HARV_039,tower,2021-07-26,vst_HARV_2021,towerSubset,allGrowthForms,100,noneSelected,25
D01,HARV,HARV_040,tower,2021-07-26,vst_HARV_2021,towerSubset,allGrowthForms,1,noneSelected,1
D01,HARV,HARV_041,tower,2020-08-05,vst_HARV_2020,allTowerPlots,allGrowthForms,100,noneSelected,100
D01,HARV,HARV_042,tower,2020-08-05,vst_HARV_2020,allTowerPlots,allGrowthForms,10,noneSelected,25
D01,HARV,HARV_043,tower,2020-08-07,vst_HARV_2020,allTowerPlots,allGrowthForms,100,noneSelected,noneSelected
D01,HARV,HARV_044,tower,2020-08-07,vst_HARV_2020,allTowerPlots,allGrowthForms,25,noneSelected,10
D01,HARV,HARV_045,tower,2020-08-05,vst_HARV_2020,allTowerPlots,allGrowthForms,100,noneSelected,25
D01,HARV,HARV_046,tower,2020-08-05,vst_HARV_2020,allTowerPlots,allGrowthForms,10,noneSelected,10
D01,HARV,HARV_047,tower,2020-08-05,vst_HARV_2020,allTowerPlots,allGrowthForms,25,noneSelected,10
D01,HARV,HARV_048,tower,2020-08-05,vst_HARV_2020,allTowerPlots,allGrowthForms,100,noneSelected,noneSelected
D01,HARV,HARV_049,tower,2020-08-07,vst_HARV_2020,allTowerPlots,allGrowthForms,100,noneSelected,100
D01,HARV,HARV_050,tower,2020-08-07,vst_HARV_2020,allTowerPlots,allGrowthForms,100,noneSelected,noneSelected
D01,HARV,HARV_051,tower,2020-08-07,vst_HARV_2020,allTowerPlots,allGrowthForms,100,noneSelected,25
D01,HARV,HARV_052,tower,2020-08-05,vst_HARV_2020,allTowerPlots,allGrowthForms,noneSelected,noneSelected,noneSelected
D02,BLAN,BLAN_001,distributed,2019-09-23,vst_BLAN_2019,NA,NA,10,noneSelected,noneSelected
D02,BLAN,BLAN_005,distributed,2019-10-02,vst_BLAN_2019,NA,NA,25,25,noneSelected
D02,BLAN,BLAN_007,distributed,2019-09-30,vst_BLAN_2019,NA,NA,10,noneSelected,noneSelected
D02,BLAN,BLAN_009,distributed,2019-09-18,vst_BLAN_2019,NA,NA,10,noneSelected,noneSelected
D02,BLAN,BLAN_011,distributed,2019-10-01,vst_BLAN_2019,NA,NA,10,noneSelected,noneSelected
D02,BLAN,BLAN_012,distributed,2019-09-23,vst_BLAN_2019,NA,NA,25,noneSelected,noneSelected
D02,BLAN,BLAN_013,distributed,2019-10-01,vst_BLAN_2019,NA,NA,25,noneSelected,noneSelected
D02,BLAN,BLAN_015,distributed,2019-09-18,vst_BLAN_2019,NA,NA,10,noneSelected,noneSelected
D02,BLAN,BLAN_017,distributed,2019-09-30,vst_BLAN_2019,NA,NA,10,noneSelected,noneSelected
D02,BLAN,BLAN_018,distributed,2019-09-26,vst_BLAN_2019,NA,NA,10,noneSelected,noneSelected
D02,BLAN,BLAN_031,tower,2018-10-02,vst_BLAN_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,BLAN,BLAN_032,tower,2020-09-11,vst_BLAN_2020,towerSubset,allGrowthForms,25,noneSelected,noneSelected
D02,BLAN,BLAN_033,tower,2018-10-02,vst_BLAN_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,BLAN,BLAN_034,tower,2018-10-02,vst_BLAN_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,BLAN,BLAN_035,tower,2020-09-10,vst_BLAN_2020,towerSubset,allGrowthForms,10,noneSelected,noneSelected
D02,BLAN,BLAN_036,tower,2020-09-11,vst_BLAN_2020,towerSubset,allGrowthForms,10,10,noneSelected
D02,BLAN,BLAN_037,tower,2018-10-02,vst_BLAN_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,BLAN,BLAN_038,tower,2018-10-02,vst_BLAN_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,BLAN,BLAN_039,tower,2018-10-02,vst_BLAN_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,BLAN,BLAN_040,tower,2018-10-02,vst_BLAN_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,BLAN,BLAN_041,tower,2016-11-02,vst_BLAN_2016,NA,NA,10,25,noneSelected
D02,BLAN,BLAN_042,tower,2018-10-02,vst_BLAN_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,BLAN,BLAN_043,tower,2018-10-02,vst_BLAN_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,BLAN,BLAN_044,tower,2020-09-10,vst_BLAN_2020,towerSubset,allGrowthForms,10,10,noneSelected
D02,BLAN,BLAN_045,tower,2018-10-02,vst_BLAN_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,BLAN,BLAN_046,tower,2018-10-02,vst_BLAN_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,BLAN,BLAN_047,tower,2020-09-11,vst_BLAN_2020,towerSubset,allGrowthForms,10,10,noneSelected
D02,BLAN,BLAN_048,tower,2018-09-19,vst_BLAN_2018,NA,NA,10,25,noneSelected
D02,BLAN,BLAN_049,tower,2018-10-02,vst_BLAN_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,BLAN,BLAN_050,tower,2018-09-05,vst_BLAN_2018,NA,NA,10,25,noneSelected
D02,BLAN,BLAN_051,tower,2018-10-03,vst_BLAN_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,BLAN,BLAN_052,tower,2018-09-04,vst_BLAN_2018,NA,NA,10,10,noneSelected
D02,BLAN,BLAN_053,tower,2018-09-10,vst_BLAN_2018,NA,NA,10,noneSelected,noneSelected
D02,BLAN,BLAN_054,tower,2018-10-03,vst_BLAN_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,BLAN,BLAN_055,tower,2018-11-08,vst_BLAN_2018,NA,NA,10,noneSelected,noneSelected
D02,BLAN,BLAN_056,tower,2018-10-03,vst_BLAN_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,BLAN,BLAN_057,tower,2018-09-06,vst_BLAN_2018,NA,NA,10,noneSelected,noneSelected
D02,BLAN,BLAN_059,tower,2018-10-03,vst_BLAN_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,BLAN,BLAN_060,tower,2018-10-03,vst_BLAN_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,BLAN,BLAN_063,tower,2018-09-12,vst_BLAN_2018,NA,NA,25,noneSelected,noneSelected
D02,BLAN,BLAN_064,tower,2018-10-03,vst_BLAN_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,SCBI,SCBI_002,distributed,2018-01-08,vst_SCBI_2017,NA,NA,25,noneSelected,noneSelected
D02,SCBI,SCBI_003,distributed,2018-01-09,vst_SCBI_2017,NA,NA,25,noneSelected,noneSelected
D02,SCBI,SCBI_004,distributed,2018-01-23,vst_SCBI_2017,NA,NA,noneSelected,noneSelected,noneSelected
D02,SCBI,SCBI_005,distributed,2018-01-25,vst_SCBI_2017,NA,NA,noneSelected,noneSelected,noneSelected
D02,SCBI,SCBI_006,distributed,2017-12-21,vst_SCBI_2017,NA,NA,noneSelected,noneSelected,noneSelected
D02,SCBI,SCBI_007,distributed,2018-01-12,vst_SCBI_2017,NA,NA,10,noneSelected,noneSelected
D02,SCBI,SCBI_008,distributed,2018-01-19,vst_SCBI_2017,NA,NA,noneSelected,noneSelected,noneSelected
D02,SCBI,SCBI_010,distributed,2018-01-10,vst_SCBI_2017,NA,NA,noneSelected,noneSelected,noneSelected
D02,SCBI,SCBI_011,distributed,2018-01-23,vst_SCBI_2017,NA,NA,10,noneSelected,noneSelected
D02,SCBI,SCBI_012,distributed,2017-12-21,vst_SCBI_2017,NA,NA,noneSelected,noneSelected,noneSelected
D02,SCBI,SCBI_013,distributed,2017-12-19,vst_SCBI_2017,NA,NA,noneSelected,noneSelected,noneSelected
D02,SCBI,SCBI_014,distributed,2017-12-20,vst_SCBI_2017,NA,NA,noneSelected,noneSelected,noneSelected
D02,SCBI,SCBI_015,distributed,2018-01-24,vst_SCBI_2017,NA,NA,25,noneSelected,noneSelected
D02,SCBI,SCBI_016,distributed,2018-01-22,vst_SCBI_2017,NA,NA,25,noneSelected,noneSelected
D02,SCBI,SCBI_017,distributed,2018-01-18,vst_SCBI_2017,NA,NA,10,noneSelected,noneSelected
D02,SCBI,SCBI_018,distributed,2017-12-18,vst_SCBI_2017,NA,NA,10,noneSelected,noneSelected
D02,SCBI,SCBI_033,distributed,2017-12-21,vst_SCBI_2017,NA,NA,noneSelected,noneSelected,noneSelected
D02,SCBI,SCBI_034,distributed,2017-12-21,vst_SCBI_2017,NA,NA,noneSelected,noneSelected,noneSelected
D02,SCBI,SCBI_035,distributed,2017-12-21,vst_SCBI_2017,NA,NA,noneSelected,noneSelected,noneSelected
D02,SCBI,SCBI_038,distributed,2017-12-21,vst_SCBI_2017,NA,NA,noneSelected,noneSelected,noneSelected
D02,SCBI,SCBI_045,tower,2020-10-28,vst_SCBI_2020,allTowerPlots,allGrowthForms,10,100,noneSelected
D02,SCBI,SCBI_046,tower,2020-09-21,vst_SCBI_2020,allTowerPlots,allGrowthForms,noneSelected,noneSelected,noneSelected
D02,SCBI,SCBI_047,tower,2020-09-22,vst_SCBI_2020,allTowerPlots,allGrowthForms,25,noneSelected,noneSelected
D02,SCBI,SCBI_048,tower,2020-10-21,vst_SCBI_2020,allTowerPlots,allGrowthForms,25,noneSelected,noneSelected
D02,SCBI,SCBI_049,tower,2020-09-21,vst_SCBI_2020,allTowerPlots,allGrowthForms,noneSelected,noneSelected,noneSelected
D02,SCBI,SCBI_050,tower,2020-10-21,vst_SCBI_2020,allTowerPlots,allGrowthForms,10,noneSelected,noneSelected
D02,SCBI,SCBI_051,tower,2020-10-01,vst_SCBI_2020,allTowerPlots,allGrowthForms,25,noneSelected,noneSelected
D02,SCBI,SCBI_052,tower,2020-10-05,vst_SCBI_2020,allTowerPlots,allGrowthForms,25,100,noneSelected
D02,SCBI,SCBI_053,tower,2020-10-12,vst_SCBI_2020,allTowerPlots,allGrowthForms,10,100,noneSelected
D02,SCBI,SCBI_054,tower,2020-10-27,vst_SCBI_2020,allTowerPlots,allGrowthForms,25,100,noneSelected
D02,SCBI,SCBI_055,tower,2020-09-29,vst_SCBI_2020,allTowerPlots,allGrowthForms,100,noneSelected,noneSelected
D02,SCBI,SCBI_056,tower,2020-10-05,vst_SCBI_2020,allTowerPlots,allGrowthForms,25,noneSelected,noneSelected
D02,SCBI,SCBI_057,tower,2020-10-06,vst_SCBI_2020,allTowerPlots,allGrowthForms,25,noneSelected,noneSelected
D02,SCBI,SCBI_058,tower,2020-09-30,vst_SCBI_2020,allTowerPlots,allGrowthForms,10,100,noneSelected
D02,SCBI,SCBI_061,tower,2020-10-26,vst_SCBI_2020,allTowerPlots,allGrowthForms,10,100,noneSelected
D02,SCBI,SCBI_062,tower,2020-10-21,vst_SCBI_2020,allTowerPlots,allGrowthForms,25,noneSelected,noneSelected
D02,SCBI,SCBI_063,tower,2020-09-24,vst_SCBI_2020,allTowerPlots,allGrowthForms,25,noneSelected,noneSelected
D02,SCBI,SCBI_064,tower,2020-09-30,vst_SCBI_2020,allTowerPlots,allGrowthForms,25,noneSelected,noneSelected
D02,SCBI,SCBI_066,tower,2020-09-28,vst_SCBI_2020,allTowerPlots,allGrowthForms,25,noneSelected,noneSelected
D02,SCBI,SCBI_067,tower,2020-10-15,vst_SCBI_2020,allTowerPlots,allGrowthForms,25,noneSelected,noneSelected
D02,SERC,SERC_001,distributed,2019-10-30,vst_SERC_2019,NA,NA,noneSelected,noneSelected,noneSelected
D02,SERC,SERC_002,distributed,2019-10-09,vst_SERC_2019,NA,NA,10,noneSelected,noneSelected
D02,SERC,SERC_003,distributed,2019-11-05,vst_SERC_2019,NA,NA,25,noneSelected,noneSelected
D02,SERC,SERC_004,distributed,2019-10-17,vst_SERC_2019,NA,NA,10,noneSelected,noneSelected
D02,SERC,SERC_005,distributed,2019-10-10,vst_SERC_2019,NA,NA,25,noneSelected,noneSelected
D02,SERC,SERC_006,distributed,2019-10-07,vst_SERC_2019,NA,NA,25,noneSelected,noneSelected
D02,SERC,SERC_007,distributed,2016-09-13,vst_SERC_2016,NA,NA,noneSelected,noneSelected,noneSelected
D02,SERC,SERC_008,distributed,2016-09-13,vst_SERC_2016,NA,NA,noneSelected,noneSelected,noneSelected
D02,SERC,SERC_009,distributed,2019-11-05,vst_SERC_2019,NA,NA,10,noneSelected,noneSelected
D02,SERC,SERC_010,distributed,2019-10-07,vst_SERC_2019,NA,NA,25,noneSelected,noneSelected
D02,SERC,SERC_011,distributed,2019-10-10,vst_SERC_2019,NA,NA,25,noneSelected,noneSelected
D02,SERC,SERC_012,distributed,2019-10-24,vst_SERC_2019,NA,NA,noneSelected,noneSelected,noneSelected
D02,SERC,SERC_013,distributed,2019-11-04,vst_SERC_2019,NA,NA,10,noneSelected,noneSelected
D02,SERC,SERC_014,distributed,2019-10-29,vst_SERC_2019,NA,NA,25,noneSelected,noneSelected
D02,SERC,SERC_016,distributed,2019-10-15,vst_SERC_2019,NA,NA,10,noneSelected,noneSelected
D02,SERC,SERC_017,distributed,2019-10-28,vst_SERC_2019,NA,NA,25,noneSelected,noneSelected
D02,SERC,SERC_018,distributed,2016-09-13,vst_SERC_2016,NA,NA,noneSelected,noneSelected,noneSelected
D02,SERC,SERC_019,distributed,2019-10-30,vst_SERC_2019,NA,NA,10,noneSelected,noneSelected
D02,SERC,SERC_021,distributed,2019-10-08,vst_SERC_2019,NA,NA,25,noneSelected,noneSelected
D02,SERC,SERC_022,distributed,2019-11-05,vst_SERC_2019,NA,NA,10,noneSelected,noneSelected
D02,SERC,SERC_043,tower,2018-09-27,vst_SERC_2018,NA,NA,10,noneSelected,noneSelected
D02,SERC,SERC_044,tower,2020-11-09,vst_SERC_2020,towerSubset,allGrowthForms,25,noneSelected,noneSelected
D02,SERC,SERC_045,tower,2020-11-11,vst_SERC_2020,towerSubset,allGrowthForms,noneSelected,noneSelected,noneSelected
D02,SERC,SERC_046,tower,2015-07-14,vst_SERC_2015,NA,NA,10,noneSelected,noneSelected
D02,SERC,SERC_047,tower,2020-11-10,vst_SERC_2020,towerSubset,allGrowthForms,100,noneSelected,noneSelected
D02,SERC,SERC_048,tower,2018-11-06,vst_SERC_2018,NA,NA,10,noneSelected,noneSelected
D02,SERC,SERC_049,tower,2020-11-10,vst_SERC_2020,towerSubset,allGrowthForms,100,noneSelected,noneSelected
D02,SERC,SERC_050,tower,2020-11-11,vst_SERC_2020,towerSubset,allGrowthForms,noneSelected,noneSelected,noneSelected
D02,SERC,SERC_051,tower,2018-10-03,vst_SERC_2018,NA,NA,25,noneSelected,noneSelected
D02,SERC,SERC_052,tower,2018-09-26,vst_SERC_2018,NA,NA,25,noneSelected,noneSelected
D02,SERC,SERC_053,tower,2018-10-10,vst_SERC_2018,NA,NA,25,noneSelected,noneSelected
D02,SERC,SERC_054,tower,2018-10-11,vst_SERC_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,SERC,SERC_055,tower,2018-11-08,vst_SERC_2018,NA,NA,10,100,noneSelected
D02,SERC,SERC_056,tower,2018-11-07,vst_SERC_2018,NA,NA,25,noneSelected,noneSelected
D02,SERC,SERC_057,tower,2018-10-01,vst_SERC_2018,NA,NA,25,noneSelected,noneSelected
D02,SERC,SERC_058,tower,2018-11-12,vst_SERC_2018,NA,NA,10,noneSelected,noneSelected
D02,SERC,SERC_059,tower,2018-11-16,vst_SERC_2018,NA,NA,100,noneSelected,noneSelected
D02,SERC,SERC_060,tower,2018-09-28,vst_SERC_2018,NA,NA,25,noneSelected,noneSelected
D02,SERC,SERC_061,tower,2018-10-11,vst_SERC_2018,NA,NA,10,noneSelected,noneSelected
D02,SERC,SERC_062,tower,2018-10-02,vst_SERC_2018,NA,NA,noneSelected,noneSelected,noneSelected
D02,SERC,SERC_067,tower,2018-10-01,vst_SERC_2018,NA,NA,100,noneSelected,noneSelected
D03,DSNY,DSNY_001,distributed,2018-01-05,vst_DSNY_2017,NA,NA,noneSelected,noneSelected,noneSelected
D03,DSNY,DSNY_002,distributed,2018-01-18,vst_DSNY_2017,NA,NA,noneSelected,noneSelected,noneSelected
D03,DSNY,DSNY_003,distributed,2018-01-11,vst_DSNY_2017,NA,NA,10,noneSelected,1
D03,DSNY,DSNY_004,distributed,2018-01-04,vst_DSNY_2017,NA,NA,10,noneSelected,noneSelected
D03,DSNY,DSNY_005,distributed,2018-01-09,vst_DSNY_2017,NA,NA,10,10,10
D03,DSNY,DSNY_006,distributed,2018-01-16,vst_DSNY_2017,NA,NA,noneSelected,noneSelected,1
D03,DSNY,DSNY_007,distributed,2018-01-18,vst_DSNY_2017,NA,NA,noneSelected,noneSelected,1
D03,DSNY,DSNY_008,distributed,2018-01-18,vst_DSNY_2017,NA,NA,noneSelected,noneSelected,noneSelected
D03,DSNY,DSNY_009,distributed,2018-01-17,vst_DSNY_2017,NA,NA,noneSelected,noneSelected,noneSelected
D03,DSNY,DSNY_010,distributed,2018-01-18,vst_DSNY_2017,NA,NA,noneSelected,noneSelected,noneSelected
D03,DSNY,DSNY_011,distributed,2018-01-15,vst_DSNY_2017,NA,NA,noneSelected,noneSelected,noneSelected
D03,DSNY,DSNY_012,distributed,2018-01-16,vst_DSNY_2017,NA,NA,noneSelected,noneSelected,1
D03,DSNY,DSNY_013,distributed,2018-01-16,vst_DSNY_2017,NA,NA,10,noneSelected,noneSelected
D03,DSNY,DSNY_014,distributed,2018-01-17,vst_DSNY_2017,NA,NA,25,noneSelected,noneSelected
D03,DSNY,DSNY_015,distributed,2018-01-17,vst_DSNY_2017,NA,NA,10,noneSelected,noneSelected
D03,DSNY,DSNY_016,distributed,2018-01-11,vst_DSNY_2017,NA,NA,noneSelected,noneSelected,noneSelected
D03,DSNY,DSNY_017,distributed,2018-01-02,vst_DSNY_2017,NA,NA,noneSelected,noneSelected,1
D03,DSNY,DSNY_018,distributed,2018-05-03,vst_DSNY_2017,NA,NA,10,noneSelected,noneSelected
D03,DSNY,DSNY_019,distributed,2018-05-02,vst_DSNY_2017,NA,NA,noneSelected,noneSelected,noneSelected
D03,DSNY,DSNY_020,distributed,2018-05-01,vst_DSNY_2017,NA,NA,10,noneSelected,noneSelected
D03,DSNY,DSNY_021,distributed,2018-01-18,vst_DSNY_2017,NA,NA,noneSelected,noneSelected,noneSelected
D03,DSNY,DSNY_022,distributed,2014-09-04,vst_DSNY_2014,NA,NA,noneSelected,noneSelected,noneSelected
D03,DSNY,DSNY_023,distributed,2014-10-14,vst_DSNY_2014,NA,NA,noneSelected,noneSelected,noneSelected
D03,DSNY,DSNY_024,distributed,2014-09-02,vst_DSNY_2014,NA,NA,noneSelected,noneSelected,noneSelected
D03,DSNY,DSNY_025,distributed,2018-01-17,vst_DSNY_2017,NA,NA,noneSelected,noneSelected,noneSelected
D03,DSNY,DSNY_026,distributed,2014-10-21,vst_DSNY_2014,NA,NA,noneSelected,noneSelected,noneSelected
D03,DSNY,DSNY_027,distributed,2014-08-12,vst_DSNY_2014,NA,NA,noneSelected,noneSelected,noneSelected
D03,DSNY,DSNY_028,distributed,2014-10-14,vst_DSNY_2014,NA,NA,noneSelected,noneSelected,noneSelected
D03,DSNY,DSNY_029,distributed,2014-08-13,vst_DSNY_2014,NA,NA,noneSelected,noneSelected,noneSelected
D03,DSNY,DSNY_030,distributed,2014-08-13,vst_DSNY_2014,NA,NA,25,noneSelected,noneSelected
D03,DSNY,DSNY_031,distributed,2014-10-15,vst_DSNY_2014,NA,NA,noneSelected,noneSelected,noneSelected
D03,DSNY,DSNY_032,distributed,2014-09-03,vst_DSNY_2014,NA,NA,10,noneSelected,noneSelected
